hird |Hird |Hirds,2014100223,8580,9,0.001048951048951049
hird |Hird |Hirds,2014100222,12009,61,0.005079523690565409
hird |Hird |Hirds,2014100221,14828,51,0.003439438899379552
hird |Hird |Hirds,2014100220,15090,45,0.002982107355864811
hird |Hird |Hirds,2014093023,7216,0,0.0
hird |Hird |Hirds,2014093020,2478,2,8.071025020177562E-4
hird |Hird |Hirds,2014093022,2524,2,7.92393026941363E-4
hird |Hird |Hirds,2014093021,2547,0,0.0
hird |Hird |Hirds,2014100321,9080,6,6.607929515418502E-4
hird |Hird |Hirds,2014100322,8671,3,3.4598085572598315E-4
hird |Hird |Hirds,2014100320,9381,16,0.0017055750986035604
hird |Hird |Hirds,2014100323,6929,4,5.772838793476692E-4
hird |Hird |Hirds,2014100123,8836,26,0.0029425079221367134
hird |Hird |Hirds,2014100122,10378,103,0.009924841009828484
hird |Hird |Hirds,2014100121,12311,184,0.014945983266996995
hird |Hird |Hirds,2014100200,11724,15,0.00127942681678608
hird |Hird |Hirds,2014100201,6861,2,2.915026963999417E-4
hird |Hird |Hirds,2014100309,9997,20,0.0020006001800540163
hird |Hird |Hirds,2014100307,6926,11,0.0015882183078255846
hird |Hird |Hirds,2014100204,8387,2,2.384642899725766E-4
hird |Hird |Hirds,2014100308,8532,29,0.0033989685888420064
hird |Hird |Hirds,2014100205,14882,11,7.391479639833355E-4
hird |Hird |Hirds,2014100305,3838,0,0.0
hird |Hird |Hirds,2014100202,5853,0,0.0
hird |Hird |Hirds,2014100306,5526,4,7.238508867173362E-4
hird |Hird |Hirds,2014100203,5613,0,0.0
hird |Hird |Hirds,2014100303,5043,1,1.98294665873488E-4
hird |Hird |Hirds,2014100208,9640,73,0.007572614107883817
hird |Hird |Hirds,2014100304,4725,2,4.232804232804233E-4
hird |Hird |Hirds,2014100209,12321,55,0.004463923382842302
hird |Hird |Hirds,2014100301,4480,0,0.0
hird |Hird |Hirds,2014100206,9203,21,0.002281864609366511
hird |Hird |Hirds,2014100302,8095,2,2.470660901791229E-4
hird |Hird |Hirds,2014100207,9445,71,0.007517204870301747
hird |Hird |Hirds,2014100300,6707,1,1.490979573579842E-4
hird |Hird |Hirds,2014100106,45483,0,0.0
hird |Hird |Hirds,2014100105,7742,0,0.0
hird |Hird |Hirds,2014100104,8731,0,0.0
hird |Hird |Hirds,2014100103,1127,0,0.0
hird |Hird |Hirds,2014100102,2940,0,0.0
hird |Hird |Hirds,2014100101,3598,0,0.0
hird |Hird |Hirds,2014100100,1816,0,0.0
hird |Hird |Hirds,2014100109,10999,3,2.727520683698518E-4
hird |Hird |Hirds,2014100108,14670,1,6.81663258350375E-5
hird |Hird |Hirds,2014100107,32104,1,3.114876650884625E-5
hird |Hird |Hirds,2014100210,10300,339,0.0329126213592233
hird |Hird |Hirds,2014100211,11008,355,0.032249273255813955
hird |Hird |Hirds,2014100212,11567,738,0.06380219590213539
hird |Hird |Hirds,2014100316,10537,8,7.592293821770903E-4
hird |Hird |Hirds,2014100213,10976,401,0.03653425655976676
hird |Hird |Hirds,2014100317,9832,11,0.0011187957689178193
hird |Hird |Hirds,2014100214,12210,109,0.008927108927108927
hird |Hird |Hirds,2014100318,9075,7,7.713498622589532E-4
hird |Hird |Hirds,2014100215,11832,58,0.004901960784313725
hird |Hird |Hirds,2014100319,8645,7,8.097165991902834E-4
hird |Hird |Hirds,2014100216,10725,44,0.0041025641025641026
hird |Hird |Hirds,2014100312,10661,12,0.001125597973923647
hird |Hird |Hirds,2014100217,9835,36,0.0036603965429588205
hird |Hird |Hirds,2014100313,9887,29,0.0029331445332254477
hird |Hird |Hirds,2014100218,9907,59,0.005955385081255678
hird |Hird |Hirds,2014100314,9820,21,0.002138492871690428
hird |Hird |Hirds,2014100219,11100,71,0.006396396396396396
hird |Hird |Hirds,2014100420,8163,5,6.125199068969741E-4
hird |Hird |Hirds,2014100315,10271,10,9.736150326161036E-4
hird |Hird |Hirds,2014100120,12122,149,0.012291701039432437
hird |Hird |Hirds,2014100421,8099,5,6.173601679219657E-4
hird |Hird |Hirds,2014100422,8432,3,3.557874762808349E-4
hird |Hird |Hirds,2014100423,6306,1,1.585791309863622E-4
hird |Hird |Hirds,2014100310,10343,11,0.0010635212220825678
hird |Hird |Hirds,2014100311,11400,12,0.0010526315789473684
hird |Hird |Hirds,2014100115,14152,5,3.5330695308083665E-4
hird |Hird |Hirds,2014100114,11535,8,6.935413957520589E-4
hird |Hird |Hirds,2014100117,11365,220,0.01935767707875055
hird |Hird |Hirds,2014100116,10904,145,0.013297872340425532
hird |Hird |Hirds,2014100111,9571,3,3.1344687075540695E-4
hird |Hird |Hirds,2014100110,9126,0,0.0
hird |Hird |Hirds,2014100823,5727,1,1.7461148943600488E-4
hird |Hird |Hirds,2014100113,11543,9,7.7969332062722E-4
hird |Hird |Hirds,2014100822,900,0,0.0
hird |Hird |Hirds,2014100112,11651,21,0.0018024203930993047
hird |Hird |Hirds,2014100119,11403,260,0.022801017276155397
hird |Hird |Hirds,2014100118,10294,364,0.03536040411890422
hird |Hird |Hirds,2014100604,4638,0,0.0
hird |Hird |Hirds,2014100605,8675,0,0.0
hird |Hird |Hirds,2014100700,5207,0,0.0
hird |Hird |Hirds,2014100914,3191,2,6.267627702914447E-4
hird |Hird |Hirds,2014100602,8176,0,0.0
hird |Hird |Hirds,2014100915,1000,0,0.0
hird |Hird |Hirds,2014100603,9384,1,1.0656436487638534E-4
hird |Hird |Hirds,2014100912,2545,1,3.929273084479371E-4
hird |Hird |Hirds,2014100608,13680,5,3.654970760233918E-4
hird |Hird |Hirds,2014100913,6771,4,5.907546891153448E-4
hird |Hird |Hirds,2014100609,13287,32,0.0024083690825619027
hird |Hird |Hirds,2014100810,6053,4,6.608293408227325E-4
hird |Hird |Hirds,2014100606,4334,0,0.0
hird |Hird |Hirds,2014100607,6194,1,1.6144656118824668E-4
hird |Hird |Hirds,2014100707,4802,2,4.1649312786339027E-4
hird |Hird |Hirds,2014100813,7061,2,2.83245999150262E-4
hird |Hird |Hirds,2014100708,5400,4,7.407407407407407E-4
hird |Hird |Hirds,2014100814,6011,4,6.654466810846781E-4
hird |Hird |Hirds,2014100705,2740,4,0.00145985401459854
hird |Hird |Hirds,2014100811,6604,2,3.028467595396729E-4
hird |Hird |Hirds,2014100706,3398,2,5.885815185403178E-4
hird |Hird |Hirds,2014100812,5896,8,0.0013568521031207597
hird |Hird |Hirds,2014100817,6743,2,2.9660388551090017E-4
hird |Hird |Hirds,2014100600,15771,0,0.0
hird |Hird |Hirds,2014100703,5792,1,1.7265193370165745E-4
hird |Hird |Hirds,2014100818,7400,2,2.702702702702703E-4
hird |Hird |Hirds,2014100601,8669,0,0.0
hird |Hird |Hirds,2014100704,3010,0,0.0
hird |Hird |Hirds,2014100815,5628,4,7.107320540156361E-4
hird |Hird |Hirds,2014100701,13455,2,1.4864362690449647E-4
hird |Hird |Hirds,2014100816,7857,1,1.2727504136438844E-4
hird |Hird |Hirds,2014100702,8524,0,0.0
hird |Hird |Hirds,2014100509,9287,2,2.153547970281038E-4
hird |Hird |Hirds,2014100508,6498,0,0.0
hird |Hird |Hirds,2014100819,4300,1,2.3255813953488373E-4
hird |Hird |Hirds,2014100507,16911,4,2.365324345100822E-4
hird |Hird |Hirds,2014100403,6749,0,0.0
hird |Hird |Hirds,2014100506,11836,2,1.6897600540723216E-4
hird |Hird |Hirds,2014100402,6613,0,0.0
hird |Hird |Hirds,2014100505,6487,0,0.0
hird |Hird |Hirds,2014100401,4570,1,2.188183807439825E-4
hird |Hird |Hirds,2014100504,3861,0,0.0
hird |Hird |Hirds,2014100400,5285,1,1.892147587511826E-4
hird |Hird |Hirds,2014100503,4540,0,0.0
hird |Hird |Hirds,2014100709,5572,1,1.7946877243359656E-4
hird |Hird |Hirds,2014100407,7111,0,0.0
hird |Hird |Hirds,2014100406,10763,0,0.0
hird |Hird |Hirds,2014100501,6148,0,0.0
hird |Hird |Hirds,2014100405,10366,0,0.0
hird |Hird |Hirds,2014100500,11540,0,0.0
hird |Hird |Hirds,2014100404,3086,0,0.0
hird |Hird |Hirds,2014100409,9932,6,6.041079339508659E-4
hird |Hird |Hirds,2014100408,10458,1,9.562057754828839E-5
hird |Hird |Hirds,2014100903,4141,0,0.0
hird |Hird |Hirds,2014100613,12260,57,0.004649265905383361
hird |Hird |Hirds,2014100904,4854,1,2.0601565718994644E-4
hird |Hird |Hirds,2014100614,10247,46,0.004489118766468235
hird |Hird |Hirds,2014100905,7777,1,1.2858428700012858E-4
hird |Hird |Hirds,2014100615,8801,40,0.0045449380752187254
hird |Hird |Hirds,2014100710,7431,1,1.3457139012245997E-4
hird |Hird |Hirds,2014100906,3505,2,5.706134094151213E-4
hird |Hird |Hirds,2014100616,10833,268,0.024739222745315242
hird |Hird |Hirds,2014100711,13474,31,0.0023007273267032806
hird |Hird |Hirds,2014100617,11523,96,0.008331163759437647
hird |Hird |Hirds,2014100900,3864,1,2.587991718426501E-4
hird |Hird |Hirds,2014100618,10834,54,0.0049843086579287425
hird |Hird |Hirds,2014100901,3052,0,0.0
hird |Hird |Hirds,2014100619,10472,30,0.0028647822765469825
hird |Hird |Hirds,2014100902,4916,0,0.0
hird |Hird |Hirds,2014100716,9756,13,0.0013325133251332513
hird |Hird |Hirds,2014100800,3418,2,5.851375073142189E-4
hird |Hird |Hirds,2014100717,12018,12,9.98502246630055E-4
hird |Hird |Hirds,2014100801,4912,1,2.0358306188925082E-4
hird |Hird |Hirds,2014100718,9824,19,0.0019340390879478827
hird |Hird |Hirds,2014100802,4582,0,0.0
hird |Hird |Hirds,2014100719,8904,64,0.0071877807726864335
hird |Hird |Hirds,2014100803,4750,0,0.0
hird |Hird |Hirds,2014100712,10146,35,0.0034496353242657206
hird |Hird |Hirds,2014100804,8238,1,1.2138868657441127E-4
hird |Hird |Hirds,2014100610,8565,18,0.0021015761821366026
hird |Hird |Hirds,2014100713,7382,6,8.12787862367922E-4
hird |Hird |Hirds,2014100805,6904,0,0.0
hird |Hird |Hirds,2014100611,8676,36,0.004149377593360996
hird |Hird |Hirds,2014100714,9294,9,9.683666881859264E-4
hird |Hird |Hirds,2014100806,7696,0,0.0
hird |Hird |Hirds,2014100612,7761,42,0.005411673753382296
hird |Hird |Hirds,2014100715,8494,5,5.886508123381211E-4
hird |Hird |Hirds,2014100807,6298,1,1.5878056525881233E-4
hird |Hird |Hirds,2014100519,13547,7,5.167195689082454E-4
hird |Hird |Hirds,2014100809,5933,1,1.6854879487611664E-4
hird |Hird |Hirds,2014100518,12589,12,9.532131225673207E-4
hird |Hird |Hirds,2014100808,7916,0,0.0
hird |Hird |Hirds,2014100410,8297,14,0.0016873568759792697
hird |Hird |Hirds,2014100412,8252,6,7.270964614638875E-4
hird |Hird |Hirds,2014100515,6526,4,6.129328838492185E-4
hird |Hird |Hirds,2014100411,8736,4,4.578754578754579E-4
hird |Hird |Hirds,2014100514,7337,2,2.725909772386534E-4
hird |Hird |Hirds,2014100414,8029,1,1.2454851164528583E-4
hird |Hird |Hirds,2014100517,16635,2,1.2022843402464683E-4
hird |Hird |Hirds,2014100413,7649,7,9.151523074911753E-4
hird |Hird |Hirds,2014100516,7164,4,5.583472920156337E-4
hird |Hird |Hirds,2014100416,8535,5,5.858230814294083E-4
hird |Hird |Hirds,2014100511,8203,1,1.2190661952944045E-4
hird |Hird |Hirds,2014100415,9288,2,2.153316106804479E-4
hird |Hird |Hirds,2014100510,7389,8,0.0010826904858573555
hird |Hird |Hirds,2014100418,8794,6,6.822833750284285E-4
hird |Hird |Hirds,2014100513,8653,4,4.6226742170345545E-4
hird |Hird |Hirds,2014100417,9001,5,5.554938340184424E-4
hird |Hird |Hirds,2014100512,7658,4,5.223295899712719E-4
hird |Hird |Hirds,2014100908,14247,1,7.019021548396153E-5
hird |Hird |Hirds,2014100907,7751,0,0.0
hird |Hird |Hirds,2014100419,8630,3,3.476245654692932E-4
hird |Hird |Hirds,2014100909,1000,0,0.0
hird |Hird |Hirds,2014100721,11447,12,0.0010483096007687603
hird |Hird |Hirds,2014100722,8294,7,8.439836026042923E-4
hird |Hird |Hirds,2014100720,10198,28,0.002745636399293979
hird |Hird |Hirds,2014100723,5300,6,0.0011320754716981133
hird |Hird |Hirds,2014100520,14801,10,6.756300249983109E-4
hird |Hird |Hirds,2014100523,12605,2,1.5866719555731853E-4
hird |Hird |Hirds,2014100522,10915,0,0.0
hird |Hird |Hirds,2014100521,14363,11,7.658567151709253E-4
hird |Hird |Hirds,2014100623,8800,6,6.818181818181819E-4
hird |Hird |Hirds,2014100622,9000,19,0.002111111111111111
hird |Hird |Hirds,2014100621,9007,31,0.0034417675141556565
hird |Hird |Hirds,2014100620,8998,48,0.005334518781951545
hird |Hird |Hirds,2014093011,9741,0,0.0
hird |Hird |Hirds,2014093012,11191,2,1.7871503887052095E-4
hird |Hird |Hirds,2014093013,5267,0,0.0
hird |Hird |Hirds,2014093017,3899,3,7.694280584765325E-4
hird |Hird |Hirds,2014093018,99,0,0.0
hird |Hird |Hirds,2014093019,8564,1,1.1676786548341896E-4
