beam |Beams,2014100223,8580,5,5.827505827505828E-4
beam |Beams,2014100222,12009,5,4.1635440086601716E-4
beam |Beams,2014100221,14828,3,2.023199352576207E-4
beam |Beams,2014100220,15090,2,1.325381047051027E-4
beam |Beams,2014093023,7216,3,4.157427937915743E-4
beam |Beams,2014093020,2478,0,0.0
beam |Beams,2014093022,2524,5,0.0019809825673534074
beam |Beams,2014093021,2547,1,3.9261876717707107E-4
beam |Beams,2014100321,9080,6,6.607929515418502E-4
beam |Beams,2014100322,8671,7,8.072886633606274E-4
beam |Beams,2014100320,9381,9,9.593859929645027E-4
beam |Beams,2014100323,6929,4,5.772838793476692E-4
beam |Beams,2014100123,8836,0,0.0
beam |Beams,2014100122,10378,1,9.635767970707265E-5
beam |Beams,2014100121,12311,2,1.6245633985866297E-4
beam |Beams,2014100200,11724,1,8.5295121119072E-5
beam |Beams,2014100201,6861,1,1.4575134819997084E-4
beam |Beams,2014100309,9997,0,0.0
beam |Beams,2014100307,6926,0,0.0
beam |Beams,2014100204,8387,1,1.192321449862883E-4
beam |Beams,2014100308,8532,2,2.3441162681669012E-4
beam |Beams,2014100205,14882,0,0.0
beam |Beams,2014100305,3838,0,0.0
beam |Beams,2014100202,5853,0,0.0
beam |Beams,2014100306,5526,0,0.0
beam |Beams,2014100203,5613,1,1.7815784785319794E-4
beam |Beams,2014100303,5043,0,0.0
beam |Beams,2014100208,9640,1,1.037344398340249E-4
beam |Beams,2014100304,4725,0,0.0
beam |Beams,2014100209,12321,4,3.2464897329762194E-4
beam |Beams,2014100301,4480,0,0.0
beam |Beams,2014100206,9203,1,1.0866021949364337E-4
beam |Beams,2014100302,8095,0,0.0
beam |Beams,2014100207,9445,0,0.0
beam |Beams,2014100300,6707,0,0.0
beam |Beams,2014100106,45483,0,0.0
beam |Beams,2014100105,7742,0,0.0
beam |Beams,2014100104,8731,0,0.0
beam |Beams,2014100103,1127,0,0.0
beam |Beams,2014100102,2940,0,0.0
beam |Beams,2014100101,3598,0,0.0
beam |Beams,2014100100,1816,0,0.0
beam |Beams,2014100109,10999,2,1.8183471224656787E-4
beam |Beams,2014100108,14670,2,1.36332651670075E-4
beam |Beams,2014100107,32104,1,3.114876650884625E-5
beam |Beams,2014100210,10300,2,1.941747572815534E-4
beam |Beams,2014100211,11008,1,9.084302325581395E-5
beam |Beams,2014100212,11567,1,8.64528399757932E-5
beam |Beams,2014100316,10537,2,1.8980734554427256E-4
beam |Beams,2014100213,10976,6,5.466472303206997E-4
beam |Beams,2014100317,9832,4,4.068348250610252E-4
beam |Beams,2014100214,12210,0,0.0
beam |Beams,2014100318,9075,2,2.2038567493112948E-4
beam |Beams,2014100215,11832,0,0.0
beam |Beams,2014100319,8645,52,0.006015037593984963
beam |Beams,2014100216,10725,1,9.324009324009324E-5
beam |Beams,2014100312,10661,2,1.8759966232060783E-4
beam |Beams,2014100217,9835,3,3.050330452465684E-4
beam |Beams,2014100313,9887,1,1.0114291493880854E-4
beam |Beams,2014100218,9907,2,2.018774603815484E-4
beam |Beams,2014100314,9820,3,3.054989816700611E-4
beam |Beams,2014100219,11100,1,9.009009009009009E-5
beam |Beams,2014100420,8163,2,2.450079627587897E-4
beam |Beams,2014100315,10271,4,3.894460130464414E-4
beam |Beams,2014100120,12122,2,1.6498927569707968E-4
beam |Beams,2014100421,8099,2,2.469440671687863E-4
beam |Beams,2014100422,8432,2,2.3719165085388995E-4
beam |Beams,2014100423,6306,0,0.0
beam |Beams,2014100310,10343,2,1.9336749492410325E-4
beam |Beams,2014100311,11400,4,3.508771929824561E-4
beam |Beams,2014100115,14152,0,0.0
beam |Beams,2014100114,11535,0,0.0
beam |Beams,2014100117,11365,1,8.798944126704795E-5
beam |Beams,2014100116,10904,0,0.0
beam |Beams,2014100111,9571,0,0.0
beam |Beams,2014100110,9126,0,0.0
beam |Beams,2014100823,5727,18,0.003143006809848088
beam |Beams,2014100113,11543,1,8.663259118080222E-5
beam |Beams,2014100822,900,2,0.0022222222222222222
beam |Beams,2014100112,11651,1,8.582954252853832E-5
beam |Beams,2014100119,11403,1,8.769622029290537E-5
beam |Beams,2014100118,10294,5,4.857198367981348E-4
beam |Beams,2014100604,4638,0,0.0
beam |Beams,2014100605,8675,0,0.0
beam |Beams,2014100700,5207,2,3.840983291722681E-4
beam |Beams,2014100914,3191,15,0.004700720777185835
beam |Beams,2014100602,8176,0,0.0
beam |Beams,2014100915,1000,4,0.004
beam |Beams,2014100603,9384,0,0.0
beam |Beams,2014100912,2545,3,0.0011787819253438114
beam |Beams,2014100608,13680,0,0.0
beam |Beams,2014100913,6771,5,7.38443361394181E-4
beam |Beams,2014100609,13287,1,7.526153383005946E-5
beam |Beams,2014100810,6053,4,6.608293408227325E-4
beam |Beams,2014100606,4334,1,2.3073373327180433E-4
beam |Beams,2014100607,6194,0,0.0
beam |Beams,2014100707,4802,3,6.247396917950854E-4
beam |Beams,2014100813,7061,4,5.66491998300524E-4
beam |Beams,2014100708,5400,4,7.407407407407407E-4
beam |Beams,2014100814,6011,4,6.654466810846781E-4
beam |Beams,2014100705,2740,0,0.0
beam |Beams,2014100811,6604,3,4.542701393095094E-4
beam |Beams,2014100706,3398,1,2.942907592701589E-4
beam |Beams,2014100812,5896,15,0.002544097693351425
beam |Beams,2014100817,6743,3,4.449058282663503E-4
beam |Beams,2014100600,15771,0,0.0
beam |Beams,2014100703,5792,1,1.7265193370165745E-4
beam |Beams,2014100818,7400,8,0.001081081081081081
beam |Beams,2014100601,8669,1,1.1535355865728458E-4
beam |Beams,2014100704,3010,5,0.0016611295681063123
beam |Beams,2014100815,5628,1,1.7768301350390902E-4
beam |Beams,2014100701,13455,0,0.0
beam |Beams,2014100816,7857,3,3.8182512409316535E-4
beam |Beams,2014100702,8524,0,0.0
beam |Beams,2014100509,9287,2,2.153547970281038E-4
beam |Beams,2014100508,6498,1,1.538935056940597E-4
beam |Beams,2014100819,4300,5,0.0011627906976744186
beam |Beams,2014100507,16911,0,0.0
beam |Beams,2014100403,6749,0,0.0
beam |Beams,2014100506,11836,0,0.0
beam |Beams,2014100402,6613,1,1.5121729925903524E-4
beam |Beams,2014100505,6487,0,0.0
beam |Beams,2014100401,4570,1,2.188183807439825E-4
beam |Beams,2014100504,3861,0,0.0
beam |Beams,2014100400,5285,0,0.0
beam |Beams,2014100503,4540,0,0.0
beam |Beams,2014100709,5572,13,0.002333094041636755
beam |Beams,2014100407,7111,3,4.2188159189987344E-4
beam |Beams,2014100406,10763,0,0.0
beam |Beams,2014100501,6148,2,3.2530904359141186E-4
beam |Beams,2014100405,10366,0,0.0
beam |Beams,2014100500,11540,2,1.733102253032929E-4
beam |Beams,2014100404,3086,0,0.0
beam |Beams,2014100409,9932,4,4.027386226339106E-4
beam |Beams,2014100408,10458,3,2.8686173264486515E-4
beam |Beams,2014100903,4141,0,0.0
beam |Beams,2014100613,12260,3,2.4469820554649265E-4
beam |Beams,2014100904,4854,1,2.0601565718994644E-4
beam |Beams,2014100614,10247,3,2.927686152044501E-4
beam |Beams,2014100905,7777,2,2.5716857400025716E-4
beam |Beams,2014100615,8801,24,0.0027269628451312353
beam |Beams,2014100710,7431,10,0.0013457139012245996
beam |Beams,2014100906,3505,0,0.0
beam |Beams,2014100616,10833,7,6.46173728422413E-4
beam |Beams,2014100711,13474,14,0.0010390381475434169
beam |Beams,2014100617,11523,14,0.0012149613815846567
beam |Beams,2014100900,3864,1,2.587991718426501E-4
beam |Beams,2014100618,10834,6,5.538120731031936E-4
beam |Beams,2014100901,3052,1,3.27653997378768E-4
beam |Beams,2014100619,10472,10,9.549274255156608E-4
beam |Beams,2014100902,4916,0,0.0
beam |Beams,2014100716,9756,9,9.225092250922509E-4
beam |Beams,2014100800,3418,1,2.925687536571094E-4
beam |Beams,2014100717,12018,3,2.4962556165751375E-4
beam |Beams,2014100801,4912,0,0.0
beam |Beams,2014100718,9824,11,0.0011197068403908795
beam |Beams,2014100802,4582,0,0.0
beam |Beams,2014100719,8904,14,0.0015723270440251573
beam |Beams,2014100803,4750,0,0.0
beam |Beams,2014100712,10146,17,0.0016755371575004928
beam |Beams,2014100804,8238,0,0.0
beam |Beams,2014100610,8565,3,3.502626970227671E-4
beam |Beams,2014100713,7382,6,8.12787862367922E-4
beam |Beams,2014100805,6904,0,0.0
beam |Beams,2014100611,8676,6,6.915629322268327E-4
beam |Beams,2014100714,9294,12,0.0012911555842479018
beam |Beams,2014100806,7696,1,1.2993762993762994E-4
beam |Beams,2014100612,7761,2,2.5769875016106174E-4
beam |Beams,2014100715,8494,22,0.0025900635742877325
beam |Beams,2014100807,6298,2,3.1756113051762465E-4
beam |Beams,2014100519,13547,1,7.381708127260648E-5
beam |Beams,2014100809,5933,1,1.6854879487611664E-4
beam |Beams,2014100518,12589,1,7.943442688061006E-5
beam |Beams,2014100808,7916,0,0.0
beam |Beams,2014100410,8297,3,3.615764734241292E-4
beam |Beams,2014100412,8252,16,0.0019389238972370335
beam |Beams,2014100515,6526,4,6.129328838492185E-4
beam |Beams,2014100411,8736,7,8.012820512820513E-4
beam |Beams,2014100514,7337,1,1.362954886193267E-4
beam |Beams,2014100414,8029,8,9.963880931622867E-4
beam |Beams,2014100517,16635,0,0.0
beam |Beams,2014100413,7649,7,9.151523074911753E-4
beam |Beams,2014100516,7164,2,2.7917364600781687E-4
beam |Beams,2014100416,8535,2,2.3432923257176333E-4
beam |Beams,2014100511,8203,6,7.314397171766427E-4
beam |Beams,2014100415,9288,3,3.2299741602067185E-4
beam |Beams,2014100510,7389,1,1.3533631073216944E-4
beam |Beams,2014100418,8794,7,7.959972708664999E-4
beam |Beams,2014100513,8653,0,0.0
beam |Beams,2014100417,9001,8,8.887901344295079E-4
beam |Beams,2014100512,7658,0,0.0
beam |Beams,2014100908,14247,15,0.0010528532322594231
beam |Beams,2014100907,7751,6,7.740936653335053E-4
beam |Beams,2014100419,8630,5,5.793742757821553E-4
beam |Beams,2014100909,1000,4,0.004
beam |Beams,2014100721,11447,8,6.988730671791736E-4
beam |Beams,2014100722,8294,8,9.645526886906198E-4
beam |Beams,2014100720,10198,7,6.864090998234948E-4
beam |Beams,2014100723,5300,1,1.8867924528301886E-4
beam |Beams,2014100520,14801,1,6.756300249983109E-5
beam |Beams,2014100523,12605,1,7.933359777865926E-5
beam |Beams,2014100522,10915,0,0.0
beam |Beams,2014100521,14363,3,2.0887001322843416E-4
beam |Beams,2014100623,8800,4,4.5454545454545455E-4
beam |Beams,2014100622,9000,14,0.0015555555555555555
beam |Beams,2014100621,9007,6,6.661485511269013E-4
beam |Beams,2014100620,8998,1,1.1113580795732385E-4
beam |Beams,2014093011,9741,4,4.106354583718304E-4
beam |Beams,2014093012,11191,1,8.935751943526048E-5
beam |Beams,2014093013,5267,6,0.001139168407062844
beam |Beams,2014093017,3899,8,0.0020518081559374197
beam |Beams,2014093018,99,0,0.0
beam |Beams,2014093019,8564,4,4.6707146193367583E-4
