report |reports |report,2014100223,8580,99,0.011538461538461539
report |reports |report,2014100222,12009,41,0.0034141060871013405
report |reports |report,2014100221,14828,116,0.007823037496628
report |reports |report,2014100220,15090,24,0.0015904572564612327
report |reports |report,2014093023,7216,28,0.003880266075388027
report |reports |report,2014093020,2478,6,0.002421307506053269
report |reports |report,2014093022,2524,8,0.003169572107765452
report |reports |report,2014093021,2547,4,0.0015704750687082843
report |reports |report,2014100321,9080,40,0.004405286343612335
report |reports |report,2014100322,8671,62,0.007150271018336985
report |reports |report,2014100320,9381,32,0.003411150197207121
report |reports |report,2014100323,6929,26,0.00375234521575985
report |reports |report,2014100123,8836,40,0.004526935264825713
report |reports |report,2014100122,10378,6,5.781460782424359E-4
report |reports |report,2014100121,12311,20,0.00162456339858663
report |reports |report,2014100200,11724,12,0.0010235414534288639
report |reports |report,2014100201,6861,12,0.0017490161783996502
report |reports |report,2014100309,9997,106,0.010603180954286286
report |reports |report,2014100307,6926,33,0.004764654923476754
report |reports |report,2014100204,8387,0,0.0
report |reports |report,2014100308,8532,31,0.0036333802156586965
report |reports |report,2014100205,14882,2,1.3439053890606102E-4
report |reports |report,2014100305,3838,6,0.001563314226159458
report |reports |report,2014100202,5853,5,8.542627712284299E-4
report |reports |report,2014100306,5526,14,0.0025334781035106766
report |reports |report,2014100203,5613,2,3.563156957063959E-4
report |reports |report,2014100303,5043,2,3.96589331746976E-4
report |reports |report,2014100208,9640,45,0.00466804979253112
report |reports |report,2014100304,4725,2,4.232804232804233E-4
report |reports |report,2014100209,12321,36,0.0029218407596785976
report |reports |report,2014100301,4480,11,0.002455357142857143
report |reports |report,2014100206,9203,4,4.346408779745735E-4
report |reports |report,2014100302,8095,5,6.176652254478073E-4
report |reports |report,2014100207,9445,21,0.0022233986236103757
report |reports |report,2014100300,6707,21,0.003131057104517668
report |reports |report,2014100106,45483,13,2.8582107600642E-4
report |reports |report,2014100105,7742,0,0.0
report |reports |report,2014100104,8731,4,4.581376703699462E-4
report |reports |report,2014100103,1127,1,8.873114463176575E-4
report |reports |report,2014100102,2940,4,0.0013605442176870747
report |reports |report,2014100101,3598,67,0.018621456364647026
report |reports |report,2014100100,1816,97,0.05341409691629956
report |reports |report,2014100109,10999,30,0.002727520683698518
report |reports |report,2014100108,14670,26,0.0017723244717109748
report |reports |report,2014100107,32104,16,4.9838026414154E-4
report |reports |report,2014100210,10300,27,0.002621359223300971
report |reports |report,2014100211,11008,33,0.0029978197674418606
report |reports |report,2014100212,11567,101,0.008731736837555114
report |reports |report,2014100316,10537,26,0.002467495492075543
report |reports |report,2014100213,10976,49,0.004464285714285714
report |reports |report,2014100317,9832,79,0.008034987794955248
report |reports |report,2014100214,12210,21,0.0017199017199017199
report |reports |report,2014100318,9075,61,0.006721763085399449
report |reports |report,2014100215,11832,23,0.0019438810006761325
report |reports |report,2014100319,8645,41,0.004742625795257374
report |reports |report,2014100216,10725,12,0.0011188811188811189
report |reports |report,2014100312,10661,82,0.007691586155144921
report |reports |report,2014100217,9835,29,0.0029486527707168276
report |reports |report,2014100313,9887,27,0.0027308587033478306
report |reports |report,2014100218,9907,12,0.0012112647622892904
report |reports |report,2014100314,9820,45,0.004582484725050916
report |reports |report,2014100219,11100,12,0.001081081081081081
report |reports |report,2014100420,8163,28,0.0034301114786230553
report |reports |report,2014100315,10271,25,0.002434037581540259
report |reports |report,2014100120,12122,26,0.002144860584062036
report |reports |report,2014100421,8099,18,0.0022224966045190763
report |reports |report,2014100422,8432,9,0.0010673624288425048
report |reports |report,2014100423,6306,3,4.757373929590866E-4
report |reports |report,2014100310,10343,48,0.004640819878178478
report |reports |report,2014100311,11400,48,0.004210526315789474
report |reports |report,2014100115,14152,42,0.0029677784058790278
report |reports |report,2014100114,11535,13,0.0011270047680970957
report |reports |report,2014100117,11365,31,0.0027276726792784868
report |reports |report,2014100116,10904,29,0.0026595744680851063
report |reports |report,2014100111,9571,12,0.0012537874830216278
report |reports |report,2014100110,9126,31,0.0033968880122726276
report |reports |report,2014100823,5727,4,6.984459577440195E-4
report |reports |report,2014100113,11543,15,0.0012994888677120332
report |reports |report,2014100822,900,2,0.0022222222222222222
report |reports |report,2014100112,11651,46,0.003948158956312763
report |reports |report,2014100119,11403,16,0.001403139524686486
report |reports |report,2014100118,10294,22,0.002137167281911793
report |reports |report,2014100604,4638,6,0.00129366106080207
report |reports |report,2014100605,8675,4,4.610951008645533E-4
report |reports |report,2014100700,5207,8,0.0015363933166890724
report |reports |report,2014100914,3191,5,0.0015669069257286117
report |reports |report,2014100602,8176,3,3.669275929549902E-4
report |reports |report,2014100915,1000,3,0.003
report |reports |report,2014100603,9384,29,0.003090366581415175
report |reports |report,2014100912,2545,9,0.003536345776031434
report |reports |report,2014100608,13680,16,0.0011695906432748538
report |reports |report,2014100913,6771,10,0.001476886722788362
report |reports |report,2014100609,13287,12,9.031384059607134E-4
report |reports |report,2014100810,6053,14,0.002312902692879564
report |reports |report,2014100606,4334,3,6.922011998154131E-4
report |reports |report,2014100607,6194,11,0.0017759121730707135
report |reports |report,2014100707,4802,3,6.247396917950854E-4
report |reports |report,2014100813,7061,21,0.002974082991077751
report |reports |report,2014100708,5400,8,0.0014814814814814814
report |reports |report,2014100814,6011,9,0.0014972550324405256
report |reports |report,2014100705,2740,2,7.2992700729927E-4
report |reports |report,2014100811,6604,16,0.0024227740763173833
report |reports |report,2014100706,3398,3,8.828722778104767E-4
report |reports |report,2014100812,5896,11,0.0018656716417910447
report |reports |report,2014100817,6743,15,0.0022245291413317513
report |reports |report,2014100600,15771,6,3.8044512079132587E-4
report |reports |report,2014100703,5792,0,0.0
report |reports |report,2014100818,7400,12,0.0016216216216216215
report |reports |report,2014100601,8669,2,2.3070711731456916E-4
report |reports |report,2014100704,3010,2,6.64451827242525E-4
report |reports |report,2014100815,5628,6,0.0010660980810234541
report |reports |report,2014100701,13455,1,7.432181345224824E-5
report |reports |report,2014100816,7857,12,0.0015273004963726614
report |reports |report,2014100702,8524,2,2.346316283435007E-4
report |reports |report,2014100509,9287,13,0.0013998061806826747
report |reports |report,2014100508,6498,5,7.694675284702986E-4
report |reports |report,2014100819,4300,11,0.0025581395348837207
report |reports |report,2014100507,16911,2,1.182662172550411E-4
report |reports |report,2014100403,6749,8,0.001185360794191732
report |reports |report,2014100506,11836,1,8.448800270361608E-5
report |reports |report,2014100402,6613,4,6.048691970361409E-4
report |reports |report,2014100505,6487,2,3.083089255433945E-4
report |reports |report,2014100401,4570,6,0.001312910284463895
report |reports |report,2014100504,3861,7,0.001813001813001813
report |reports |report,2014100400,5285,7,0.0013245033112582781
report |reports |report,2014100503,4540,5,0.0011013215859030838
report |reports |report,2014100709,5572,5,8.973438621679827E-4
report |reports |report,2014100407,7111,24,0.0033750527351989875
report |reports |report,2014100406,10763,12,0.001114930781380656
report |reports |report,2014100501,6148,6,9.759271307742355E-4
report |reports |report,2014100405,10366,6,5.788153579008296E-4
report |reports |report,2014100500,11540,1,8.665511265164645E-5
report |reports |report,2014100404,3086,7,0.002268308489954634
report |reports |report,2014100409,9932,31,0.003121224325412807
report |reports |report,2014100408,10458,51,0.004876649454962708
report |reports |report,2014100903,4141,0,0.0
report |reports |report,2014100613,12260,9,7.34094616639478E-4
report |reports |report,2014100904,4854,0,0.0
report |reports |report,2014100614,10247,11,0.001073484922416317
report |reports |report,2014100905,7777,4,5.143371480005143E-4
report |reports |report,2014100615,8801,24,0.0027269628451312353
report |reports |report,2014100710,7431,12,0.0016148566814695195
report |reports |report,2014100906,3505,1,2.853067047075606E-4
report |reports |report,2014100616,10833,40,0.0036924213052709313
report |reports |report,2014100711,13474,20,0.0014843402107763098
report |reports |report,2014100617,11523,41,0.003558101188926495
report |reports |report,2014100900,3864,1,2.587991718426501E-4
report |reports |report,2014100618,10834,22,0.0020306442680450435
report |reports |report,2014100901,3052,1,3.27653997378768E-4
report |reports |report,2014100619,10472,19,0.0018143621084797555
report |reports |report,2014100902,4916,1,2.034174125305126E-4
report |reports |report,2014100716,9756,21,0.002152521525215252
report |reports |report,2014100800,3418,2,5.851375073142189E-4
report |reports |report,2014100717,12018,32,0.0026626726576801465
report |reports |report,2014100801,4912,8,0.0016286644951140066
report |reports |report,2014100718,9824,14,0.0014250814332247557
report |reports |report,2014100802,4582,5,0.0010912265386294195
report |reports |report,2014100719,8904,15,0.0016846361185983828
report |reports |report,2014100803,4750,1,2.105263157894737E-4
report |reports |report,2014100712,10146,38,0.003745318352059925
report |reports |report,2014100804,8238,2,2.4277737314882253E-4
report |reports |report,2014100610,8565,11,0.0012842965557501459
report |reports |report,2014100713,7382,14,0.001896505012191818
report |reports |report,2014100805,6904,3,4.3453070683661645E-4
report |reports |report,2014100611,8676,20,0.002305209774089442
report |reports |report,2014100714,9294,5,5.379814934366257E-4
report |reports |report,2014100806,7696,1,1.2993762993762994E-4
report |reports |report,2014100612,7761,10,0.0012884937508053087
report |reports |report,2014100715,8494,18,0.0021191429244172355
report |reports |report,2014100807,6298,23,0.0036519530009526836
report |reports |report,2014100519,13547,13,9.596220565438843E-4
report |reports |report,2014100809,5933,28,0.004719366256531266
