million |million |millions,2014100223,8580,18,0.002097902097902098
million |million |millions,2014100222,12009,13,0.0010825214422516445
million |million |millions,2014100221,14828,4,2.697599136768276E-4
million |million |millions,2014100220,15090,26,0.0017229953611663353
million |million |millions,2014093023,7216,11,0.001524390243902439
million |million |millions,2014093020,2478,1,4.035512510088781E-4
million |million |millions,2014093022,2524,0,0.0
million |million |millions,2014093021,2547,2,7.852375343541421E-4
million |million |millions,2014100321,9080,12,0.0013215859030837004
million |million |millions,2014100322,8671,18,0.0020758851343558988
million |million |millions,2014100320,9381,20,0.0021319688732544507
million |million |millions,2014100323,6929,20,0.002886419396738346
million |million |millions,2014100123,8836,3,3.395201448619285E-4
million |million |millions,2014100122,10378,12,0.0011562921564848719
million |million |millions,2014100121,12311,18,0.001462107058727967
million |million |millions,2014100200,11724,11,9.382463323097919E-4
million |million |millions,2014100201,6861,10,0.0014575134819997085
million |million |millions,2014100309,9997,19,0.0019005701710513153
million |million |millions,2014100307,6926,34,0.004909038406006353
million |million |millions,2014100204,8387,5,5.961607249314415E-4
million |million |millions,2014100308,8532,30,0.0035161744022503515
million |million |millions,2014100205,14882,5,3.3597634726515254E-4
million |million |millions,2014100305,3838,9,0.002344971339239187
million |million |millions,2014100202,5853,7,0.0011959678797198018
million |million |millions,2014100306,5526,4,7.238508867173362E-4
million |million |millions,2014100203,5613,3,5.344735435595938E-4
million |million |millions,2014100303,5043,7,0.001388062661114416
million |million |millions,2014100208,9640,25,0.0025933609958506223
million |million |millions,2014100304,4725,10,0.0021164021164021165
million |million |millions,2014100209,12321,18,0.0014609203798392988
million |million |millions,2014100301,4480,2,4.464285714285714E-4
million |million |millions,2014100206,9203,4,4.346408779745735E-4
million |million |millions,2014100302,8095,6,7.411982705373688E-4
million |million |millions,2014100207,9445,7,7.41132874536792E-4
million |million |millions,2014100300,6707,7,0.0010436857015058893
million |million |millions,2014100106,45483,7,1.5390365631114922E-4
million |million |millions,2014100105,7742,5,6.458279514337381E-4
million |million |millions,2014100104,8731,3,3.436032527774596E-4
million |million |millions,2014100103,1127,1,8.873114463176575E-4
million |million |millions,2014100102,2940,2,6.802721088435374E-4
million |million |millions,2014100101,3598,5,0.0013896609227348527
million |million |millions,2014100100,1816,3,0.0016519823788546256
million |million |millions,2014100109,10999,24,0.0021820165469588143
million |million |millions,2014100108,14670,15,0.0010224948875255625
million |million |millions,2014100107,32104,6,1.868925990530775E-4
million |million |millions,2014100210,10300,28,0.0027184466019417475
million |million |millions,2014100211,11008,18,0.0016351744186046512
million |million |millions,2014100212,11567,25,0.00216132099939483
million |million |millions,2014100316,10537,13,0.0012337477460377716
million |million |millions,2014100213,10976,10,9.110787172011661E-4
million |million |millions,2014100317,9832,12,0.0012205044751830757
million |million |millions,2014100214,12210,9,7.371007371007371E-4
million |million |millions,2014100318,9075,3,3.3057851239669424E-4
million |million |millions,2014100215,11832,23,0.0019438810006761325
million |million |millions,2014100319,8645,12,0.0013880855986119144
million |million |millions,2014100216,10725,19,0.0017715617715617716
million |million |millions,2014100312,10661,19,0.0017821967920457742
million |million |millions,2014100217,9835,14,0.0014234875444839859
million |million |millions,2014100313,9887,18,0.0018205724688985536
million |million |millions,2014100218,9907,30,0.003028161905723226
million |million |millions,2014100314,9820,19,0.001934826883910387
million |million |millions,2014100219,11100,15,0.0013513513513513514
million |million |millions,2014100420,8163,16,0.0019600637020703174
million |million |millions,2014100315,10271,15,0.0014604225489241553
million |million |millions,2014100120,12122,13,0.001072430292031018
million |million |millions,2014100421,8099,11,0.0013581923694283246
million |million |millions,2014100422,8432,9,0.0010673624288425048
million |million |millions,2014100423,6306,9,0.0014272121788772598
million |million |millions,2014100310,10343,22,0.0021270424441651357
million |million |millions,2014100311,11400,50,0.0043859649122807015
million |million |millions,2014100115,14152,16,0.0011305822498586771
million |million |millions,2014100114,11535,20,0.0017338534893801473
million |million |millions,2014100117,11365,9,7.919049714034316E-4
million |million |millions,2014100116,10904,18,0.0016507703595011005
million |million |millions,2014100111,9571,13,0.0013582697732734302
million |million |millions,2014100110,9126,14,0.0015340784571553803
million |million |millions,2014100823,5727,11,0.0019207263837960537
million |million |millions,2014100113,11543,5,4.3316295590401107E-4
million |million |millions,2014100822,900,5,0.005555555555555556
million |million |millions,2014100112,11651,4,3.433181701141533E-4
million |million |millions,2014100119,11403,18,0.0015785319652722968
million |million |millions,2014100118,10294,15,0.0014571595103944044
million |million |millions,2014100604,4638,3,6.46830530401035E-4
million |million |millions,2014100605,8675,0,0.0
million |million |millions,2014100700,5207,3,5.761474937584022E-4
million |million |millions,2014100914,3191,4,0.0012535255405828893
million |million |millions,2014100602,8176,1,1.223091976516634E-4
