town |towns |town,2014100223,8580,3,3.4965034965034965E-4
town |towns |town,2014100222,12009,9,7.494379215588309E-4
town |towns |town,2014100221,14828,9,6.069598057728622E-4
town |towns |town,2014100220,15090,5,3.313452617627568E-4
town |towns |town,2014093023,7216,3,4.157427937915743E-4
town |towns |town,2014093020,2478,1,4.035512510088781E-4
town |towns |town,2014093022,2524,1,3.961965134706815E-4
town |towns |town,2014093021,2547,3,0.001177856301531213
town |towns |town,2014100321,9080,11,0.001211453744493392
town |towns |town,2014100322,8671,14,0.0016145773267212547
town |towns |town,2014100320,9381,13,0.0013857797676153929
town |towns |town,2014100323,6929,6,8.659258190215039E-4
town |towns |town,2014100123,8836,4,4.526935264825713E-4
town |towns |town,2014100122,10378,18,0.0017344382347273077
town |towns |town,2014100121,12311,7,5.685971895053204E-4
town |towns |town,2014100200,11724,4,3.41180484476288E-4
town |towns |town,2014100201,6861,4,5.830053927998834E-4
town |towns |town,2014100309,9997,5,5.001500450135041E-4
town |towns |town,2014100307,6926,6,8.663008951775916E-4
town |towns |town,2014100204,8387,3,3.576964349588649E-4
town |towns |town,2014100308,8532,5,5.860290670417253E-4
town |towns |town,2014100205,14882,3,2.0158580835909153E-4
town |towns |town,2014100305,3838,0,0.0
town |towns |town,2014100202,5853,2,3.4170510849137196E-4
town |towns |town,2014100306,5526,2,3.619254433586681E-4
town |towns |town,2014100203,5613,6,0.0010689470871191875
town |towns |town,2014100303,5043,0,0.0
town |towns |town,2014100208,9640,9,9.336099585062241E-4
town |towns |town,2014100304,4725,1,2.1164021164021165E-4
town |towns |town,2014100209,12321,7,5.681357032708384E-4
town |towns |town,2014100301,4480,1,2.232142857142857E-4
town |towns |town,2014100206,9203,1,1.0866021949364337E-4
town |towns |town,2014100302,8095,0,0.0
town |towns |town,2014100207,9445,4,4.2350449973530967E-4
town |towns |town,2014100300,6707,4,5.963918294319368E-4
town |towns |town,2014100106,45483,1,2.198623661587846E-5
town |towns |town,2014100105,7742,0,0.0
town |towns |town,2014100104,8731,0,0.0
town |towns |town,2014100103,1127,0,0.0
town |towns |town,2014100102,2940,1,3.401360544217687E-4
town |towns |town,2014100101,3598,0,0.0
town |towns |town,2014100100,1816,0,0.0
town |towns |town,2014100109,10999,6,5.455041367397036E-4
town |towns |town,2014100108,14670,2,1.36332651670075E-4
town |towns |town,2014100107,32104,4,1.24595066035385E-4
town |towns |town,2014100210,10300,9,8.737864077669903E-4
town |towns |town,2014100211,11008,15,0.0013626453488372093
town |towns |town,2014100212,11567,12,0.0010374340797095186
town |towns |town,2014100316,10537,9,8.541330549492266E-4
town |towns |town,2014100213,10976,5,4.5553935860058307E-4
town |towns |town,2014100317,9832,12,0.0012205044751830757
town |towns |town,2014100214,12210,5,4.095004095004095E-4
town |towns |town,2014100318,9075,7,7.713498622589532E-4
town |towns |town,2014100215,11832,4,3.380662609871535E-4
town |towns |town,2014100319,8645,18,0.0020821283979178718
town |towns |town,2014100216,10725,2,1.8648018648018648E-4
town |towns |town,2014100312,10661,8,7.503986492824313E-4
town |towns |town,2014100217,9835,7,7.117437722419929E-4
town |towns |town,2014100313,9887,18,0.0018205724688985536
town |towns |town,2014100218,9907,4,4.037549207630968E-4
town |towns |town,2014100314,9820,13,0.0013238289205702647
town |towns |town,2014100219,11100,10,9.009009009009009E-4
town |towns |town,2014100420,8163,4,4.900159255175794E-4
town |towns |town,2014100315,10271,15,0.0014604225489241553
town |towns |town,2014100120,12122,12,9.89935654182478E-4
town |towns |town,2014100421,8099,10,0.0012347203358439314
town |towns |town,2014100422,8432,5,5.929791271347248E-4
town |towns |town,2014100423,6306,4,6.343165239454488E-4
town |towns |town,2014100310,10343,10,9.668374746205163E-4
town |towns |town,2014100311,11400,8,7.017543859649122E-4
town |towns |town,2014100115,14152,9,6.35952515545506E-4
town |towns |town,2014100114,11535,5,4.3346337234503684E-4
town |towns |town,2014100117,11365,9,7.919049714034316E-4
town |towns |town,2014100116,10904,4,3.6683785766691124E-4
town |towns |town,2014100111,9571,4,4.179291610072093E-4
town |towns |town,2014100110,9126,5,5.478851632697787E-4
town |towns |town,2014100823,5727,0,0.0
town |towns |town,2014100113,11543,7,6.064281382656155E-4
town |towns |town,2014100822,900,0,0.0
town |towns |town,2014100112,11651,17,0.0014591022229851515
town |towns |town,2014100119,11403,12,0.0010523546435148646
town |towns |town,2014100118,10294,9,8.742957062366427E-4
town |towns |town,2014100604,4638,0,0.0
town |towns |town,2014100605,8675,1,1.1527377521613833E-4
town |towns |town,2014100700,5207,1,1.9204916458613405E-4
town |towns |town,2014100914,3191,2,6.267627702914447E-4
town |towns |town,2014100602,8176,2,2.446183953033268E-4
town |towns |town,2014100915,1000,0,0.0
town |towns |town,2014100603,9384,0,0.0
town |towns |town,2014100912,2545,4,0.0015717092337917485
town |towns |town,2014100608,13680,9,6.578947368421052E-4
town |towns |town,2014100913,6771,2,2.953773445576724E-4
town |towns |town,2014100609,13287,8,6.020922706404757E-4
town |towns |town,2014100810,6053,17,0.002808524698496613
town |towns |town,2014100606,4334,0,0.0
town |towns |town,2014100607,6194,6,9.686793671294801E-4
town |towns |town,2014100707,4802,2,4.1649312786339027E-4
town |towns |town,2014100813,7061,10,0.00141622999575131
town |towns |town,2014100708,5400,5,9.25925925925926E-4
town |towns |town,2014100814,6011,5,8.318083513558476E-4
town |towns |town,2014100705,2740,1,3.64963503649635E-4
town |towns |town,2014100811,6604,8,0.0012113870381586917
town |towns |town,2014100706,3398,1,2.942907592701589E-4
town |towns |town,2014100812,5896,3,5.088195386702849E-4
town |towns |town,2014100817,6743,0,0.0
town |towns |town,2014100600,15771,2,1.268150402637753E-4
town |towns |town,2014100703,5792,2,3.453038674033149E-4
town |towns |town,2014100818,7400,3,4.054054054054054E-4
town |towns |town,2014100601,8669,0,0.0
town |towns |town,2014100704,3010,2,6.64451827242525E-4
town |towns |town,2014100815,5628,5,8.884150675195451E-4
town |towns |town,2014100701,13455,2,1.4864362690449647E-4
town |towns |town,2014100816,7857,7,8.909252895507191E-4
town |towns |town,2014100702,8524,1,1.1731581417175035E-4
town |towns |town,2014100509,9287,3,3.230321955421557E-4
town |towns |town,2014100508,6498,3,4.616805170821791E-4
town |towns |town,2014100819,4300,5,0.0011627906976744186
town |towns |town,2014100507,16911,4,2.365324345100822E-4
town |towns |town,2014100403,6749,2,2.96340198547933E-4
town |towns |town,2014100506,11836,0,0.0
town |towns |town,2014100402,6613,3,4.536518977771057E-4
town |towns |town,2014100505,6487,1,1.5415446277169725E-4
town |towns |town,2014100401,4570,1,2.188183807439825E-4
town |towns |town,2014100504,3861,3,7.77000777000777E-4
town |towns |town,2014100400,5285,3,5.676442762535478E-4
town |towns |town,2014100503,4540,4,8.81057268722467E-4
town |towns |town,2014100709,5572,4,7.178750897343862E-4
town |towns |town,2014100407,7111,4,5.625087891998312E-4
town |towns |town,2014100406,10763,6,5.57465390690328E-4
town |towns |town,2014100501,6148,10,0.0016265452179570592
town |towns |town,2014100405,10366,1,9.646922631680494E-5
town |towns |town,2014100500,11540,4,3.466204506065858E-4
town |towns |town,2014100404,3086,2,6.480881399870382E-4
town |towns |town,2014100409,9932,16,0.0016109544905356424
town |towns |town,2014100408,10458,13,0.0012430675081277491
town |towns |town,2014100903,4141,3,7.244626901714562E-4
town |towns |town,2014100613,12260,3,2.4469820554649265E-4
town |towns |town,2014100904,4854,1,2.0601565718994644E-4
town |towns |town,2014100614,10247,8,7.807163072118669E-4
town |towns |town,2014100905,7777,0,0.0
town |towns |town,2014100615,8801,5,5.681172594023407E-4
town |towns |town,2014100710,7431,7,9.419997308572198E-4
town |towns |town,2014100906,3505,2,5.706134094151213E-4
town |towns |town,2014100616,10833,5,4.615526631588664E-4
town |towns |town,2014100711,13474,3,2.226510316164465E-4
town |towns |town,2014100617,11523,4,3.4713182330990195E-4
town |towns |town,2014100900,3864,4,0.0010351966873706005
town |towns |town,2014100618,10834,2,1.8460402436773122E-4
town |towns |town,2014100901,3052,1,3.27653997378768E-4
town |towns |town,2014100619,10472,6,5.729564553093965E-4
town |towns |town,2014100902,4916,5,0.0010170870626525631
town |towns |town,2014100716,9756,8,8.200082000820008E-4
town |towns |town,2014100800,3418,2,5.851375073142189E-4
town |towns |town,2014100717,12018,4,3.328340822100183E-4
town |towns |town,2014100801,4912,0,0.0
town |towns |town,2014100718,9824,5,5.08957654723127E-4
town |towns |town,2014100802,4582,0,0.0
town |towns |town,2014100719,8904,5,5.615453728661276E-4
town |towns |town,2014100803,4750,3,6.315789473684211E-4
town |towns |town,2014100712,10146,6,5.913660555884093E-4
town |towns |town,2014100804,8238,1,1.2138868657441127E-4
town |towns |town,2014100610,8565,8,9.340338587273788E-4
town |towns |town,2014100713,7382,3,4.06393931183961E-4
town |towns |town,2014100805,6904,1,1.4484356894553882E-4
town |towns |town,2014100611,8676,4,4.610419548178884E-4
town |towns |town,2014100714,9294,4,4.3038519474930065E-4
town |towns |town,2014100806,7696,1,1.2993762993762994E-4
town |towns |town,2014100612,7761,7,9.01945625563716E-4
town |towns |town,2014100715,8494,6,7.063809748057452E-4
town |towns |town,2014100807,6298,1,1.5878056525881233E-4
town |towns |town,2014100519,13547,7,5.167195689082454E-4
town |towns |town,2014100809,5933,5,8.427439743805831E-4
town |towns |town,2014100518,12589,4,3.177377075224402E-4
town |towns |town,2014100808,7916,6,7.579585649317837E-4
town |towns |town,2014100410,8297,7,8.436784379896348E-4
town |towns |town,2014100412,8252,1,1.211827435773146E-4
town |towns |town,2014100515,6526,12,0.0018387986515476554
town |towns |town,2014100411,8736,8,9.157509157509158E-4
town |towns |town,2014100514,7337,4,5.451819544773068E-4
town |towns |town,2014100414,8029,6,7.47291069871715E-4
town |towns |town,2014100517,16635,2,1.2022843402464683E-4
town |towns |town,2014100413,7649,4,5.229441757092431E-4
town |towns |town,2014100516,7164,4,5.583472920156337E-4
town |towns |town,2014100416,8535,4,4.6865846514352667E-4
town |towns |town,2014100511,8203,3,3.6571985858832134E-4
town |towns |town,2014100415,9288,1,1.0766580534022394E-4
town |towns |town,2014100510,7389,5,6.766815536608473E-4
town |towns |town,2014100418,8794,4,4.5485558335228563E-4
town |towns |town,2014100513,8653,9,0.0010401016988327747
town |towns |town,2014100417,9001,4,4.4439506721475393E-4
town |towns |town,2014100512,7658,3,3.917471924784539E-4
town |towns |town,2014100908,14247,7,4.913315083877308E-4
town |towns |town,2014100907,7751,2,2.580312217778351E-4
town |towns |town,2014100419,8630,6,6.952491309385864E-4
town |towns |town,2014100909,1000,1,0.001
town |towns |town,2014100721,11447,7,6.115139337817769E-4
town |towns |town,2014100722,8294,18,0.0021702435495538942
town |towns |town,2014100720,10198,11,0.0010786428711512062
town |towns |town,2014100723,5300,7,0.0013207547169811322
town |towns |town,2014100520,14801,7,4.7294101749881766E-4
town |towns |town,2014100523,12605,3,2.380007933359778E-4
town |towns |town,2014100522,10915,0,0.0
town |towns |town,2014100521,14363,7,4.8736336419967973E-4
town |towns |town,2014100623,8800,2,2.2727272727272727E-4
town |towns |town,2014100622,9000,2,2.2222222222222223E-4
town |towns |town,2014100621,9007,2,2.2204951704230043E-4
town |towns |town,2014100620,8998,3,3.3340742387197157E-4
town |towns |town,2014093011,9741,2,2.053177291859152E-4
town |towns |town,2014093012,11191,4,3.574300777410419E-4
town |towns |town,2014093013,5267,2,3.7972280235428136E-4
town |towns |town,2014093017,3899,3,7.694280584765325E-4
town |towns |town,2014093018,99,0,0.0
town |towns |town,2014093019,8564,4,4.6707146193367583E-4
