price |price |Price |prices,2014100223,8580,8,9.324009324009324E-4
price |price |Price |prices,2014100222,12009,11,9.159796819052377E-4
price |price |Price |prices,2014100221,14828,5,3.371998920960345E-4
price |price |Price |prices,2014100220,15090,3,1.9880715705765408E-4
price |price |Price |prices,2014093023,7216,6,8.314855875831486E-4
price |price |Price |prices,2014093020,2478,3,0.0012106537530266344
price |price |Price |prices,2014093022,2524,1,3.961965134706815E-4
price |price |Price |prices,2014093021,2547,1,3.9261876717707107E-4
price |price |Price |prices,2014100321,9080,8,8.81057268722467E-4
price |price |Price |prices,2014100322,8671,3,3.4598085572598315E-4
price |price |Price |prices,2014100320,9381,10,0.0010659844366272253
price |price |Price |prices,2014100323,6929,5,7.216048491845865E-4
price |price |Price |prices,2014100123,8836,6,6.79040289723857E-4
price |price |Price |prices,2014100122,10378,6,5.781460782424359E-4
price |price |Price |prices,2014100121,12311,4,3.2491267971732594E-4
price |price |Price |prices,2014100200,11724,6,5.117707267144319E-4
price |price |Price |prices,2014100201,6861,5,7.287567409998542E-4
price |price |Price |prices,2014100309,9997,12,0.0012003601080324098
price |price |Price |prices,2014100307,6926,5,7.219174126479931E-4
price |price |Price |prices,2014100204,8387,3,3.576964349588649E-4
price |price |Price |prices,2014100308,8532,11,0.0012892639474917957
price |price |Price |prices,2014100205,14882,0,0.0
price |price |Price |prices,2014100305,3838,1,2.605523710265763E-4
price |price |Price |prices,2014100202,5853,1,1.7085255424568598E-4
price |price |Price |prices,2014100306,5526,6,0.0010857763300760044
price |price |Price |prices,2014100203,5613,9,0.0016034206306787815
price |price |Price |prices,2014100303,5043,3,5.94883997620464E-4
price |price |Price |prices,2014100208,9640,10,0.001037344398340249
price |price |Price |prices,2014100304,4725,3,6.349206349206349E-4
price |price |Price |prices,2014100209,12321,16,0.0012985958931904878
price |price |Price |prices,2014100301,4480,2,4.464285714285714E-4
price |price |Price |prices,2014100206,9203,4,4.346408779745735E-4
price |price |Price |prices,2014100302,8095,0,0.0
price |price |Price |prices,2014100207,9445,7,7.41132874536792E-4
price |price |Price |prices,2014100300,6707,5,7.45489786789921E-4
price |price |Price |prices,2014100106,45483,4,8.794494646351384E-5
price |price |Price |prices,2014100105,7742,2,2.583311805734952E-4
price |price |Price |prices,2014100104,8731,9,0.0010308097583323788
price |price |Price |prices,2014100103,1127,1,8.873114463176575E-4
price |price |Price |prices,2014100102,2940,1,3.401360544217687E-4
price |price |Price |prices,2014100101,3598,3,8.337965536409116E-4
price |price |Price |prices,2014100100,1816,1,5.506607929515419E-4
price |price |Price |prices,2014100109,10999,14,0.0012728429857259752
price |price |Price |prices,2014100108,14670,12,8.179959100204499E-4
price |price |Price |prices,2014100107,32104,7,2.1804136556192376E-4
price |price |Price |prices,2014100210,10300,22,0.0021359223300970874
price |price |Price |prices,2014100211,11008,10,9.084302325581395E-4
price |price |Price |prices,2014100212,11567,6,5.187170398547593E-4
price |price |Price |prices,2014100316,10537,11,0.0010439404004934992
price |price |Price |prices,2014100213,10976,16,0.0014577259475218659
price |price |Price |prices,2014100317,9832,4,4.068348250610252E-4
price |price |Price |prices,2014100214,12210,6,4.914004914004914E-4
price |price |Price |prices,2014100318,9075,3,3.3057851239669424E-4
price |price |Price |prices,2014100215,11832,10,8.451656524678837E-4
price |price |Price |prices,2014100319,8645,5,5.78368999421631E-4
price |price |Price |prices,2014100216,10725,11,0.0010256410256410256
price |price |Price |prices,2014100312,10661,12,0.001125597973923647
price |price |Price |prices,2014100217,9835,7,7.117437722419929E-4
price |price |Price |prices,2014100313,9887,7,7.080004045716598E-4
price |price |Price |prices,2014100218,9907,9,9.084485717169678E-4
price |price |Price |prices,2014100314,9820,7,7.128309572301426E-4
price |price |Price |prices,2014100219,11100,6,5.405405405405405E-4
price |price |Price |prices,2014100420,8163,5,6.125199068969741E-4
price |price |Price |prices,2014100315,10271,15,0.0014604225489241553
price |price |Price |prices,2014100120,12122,7,5.774624649397789E-4
price |price |Price |prices,2014100421,8099,4,4.938881343375726E-4
price |price |Price |prices,2014100422,8432,0,0.0
price |price |Price |prices,2014100423,6306,2,3.171582619727244E-4
price |price |Price |prices,2014100310,10343,11,0.0010635212220825678
price |price |Price |prices,2014100311,11400,14,0.0012280701754385965
price |price |Price |prices,2014100115,14152,11,7.772752967778406E-4
price |price |Price |prices,2014100114,11535,11,9.536194191590811E-4
price |price |Price |prices,2014100117,11365,6,5.279366476022878E-4
price |price |Price |prices,2014100116,10904,11,0.0010088041085840058
price |price |Price |prices,2014100111,9571,28,0.002925504127050465
price |price |Price |prices,2014100110,9126,14,0.0015340784571553803
price |price |Price |prices,2014100823,5727,3,5.238344683080147E-4
price |price |Price |prices,2014100113,11543,13,0.0011262236853504287
price |price |Price |prices,2014100822,900,3,0.0033333333333333335
price |price |Price |prices,2014100112,11651,32,0.0027465453609132264
price |price |Price |prices,2014100119,11403,11,9.646584232219592E-4
price |price |Price |prices,2014100118,10294,7,6.800077715173888E-4
price |price |Price |prices,2014100604,4638,0,0.0
price |price |Price |prices,2014100605,8675,2,2.3054755043227666E-4
price |price |Price |prices,2014100700,5207,4,7.681966583445362E-4
price |price |Price |prices,2014100914,3191,0,0.0
price |price |Price |prices,2014100602,8176,0,0.0
price |price |Price |prices,2014100915,1000,0,0.0
price |price |Price |prices,2014100603,9384,3,3.1969309462915604E-4
price |price |Price |prices,2014100912,2545,0,0.0
price |price |Price |prices,2014100608,13680,10,7.309941520467836E-4
price |price |Price |prices,2014100913,6771,8,0.0011815093782306897
price |price |Price |prices,2014100609,13287,10,7.526153383005946E-4
price |price |Price |prices,2014100810,6053,11,0.0018172806872625144
price |price |Price |prices,2014100606,4334,1,2.3073373327180433E-4
price |price |Price |prices,2014100607,6194,1,1.6144656118824668E-4
price |price |Price |prices,2014100707,4802,8,0.001665972511453561
price |price |Price |prices,2014100813,7061,4,5.66491998300524E-4
price |price |Price |prices,2014100708,5400,4,7.407407407407407E-4
price |price |Price |prices,2014100814,6011,3,4.990850108135085E-4
price |price |Price |prices,2014100705,2740,1,3.64963503649635E-4
price |price |Price |prices,2014100811,6604,8,0.0012113870381586917
price |price |Price |prices,2014100706,3398,3,8.828722778104767E-4
price |price |Price |prices,2014100812,5896,7,0.0011872455902306649
price |price |Price |prices,2014100817,6743,12,0.0017796233130654012
price |price |Price |prices,2014100600,15771,8,5.072601610551012E-4
price |price |Price |prices,2014100703,5792,2,3.453038674033149E-4
price |price |Price |prices,2014100818,7400,8,0.001081081081081081
price |price |Price |prices,2014100601,8669,2,2.3070711731456916E-4
price |price |Price |prices,2014100704,3010,0,0.0
price |price |Price |prices,2014100815,5628,10,0.0017768301350390902
price |price |Price |prices,2014100701,13455,3,2.229654403567447E-4
price |price |Price |prices,2014100816,7857,10,0.0012727504136438843
price |price |Price |prices,2014100702,8524,0,0.0
price |price |Price |prices,2014100509,9287,4,4.307095940562076E-4
