seat |seat |seats,2014100223,8580,3,3.4965034965034965E-4
seat |seat |seats,2014100222,12009,3,2.498126405196103E-4
seat |seat |seats,2014100221,14828,4,2.697599136768276E-4
seat |seat |seats,2014100220,15090,3,1.9880715705765408E-4
seat |seat |seats,2014093023,7216,3,4.157427937915743E-4
seat |seat |seats,2014093020,2478,3,0.0012106537530266344
seat |seat |seats,2014093022,2524,0,0.0
seat |seat |seats,2014093021,2547,1,3.9261876717707107E-4
seat |seat |seats,2014100321,9080,18,0.001982378854625551
seat |seat |seats,2014100322,8671,11,0.0012685964709952715
seat |seat |seats,2014100320,9381,4,4.263937746508901E-4
seat |seat |seats,2014100323,6929,2,2.886419396738346E-4
seat |seat |seats,2014100123,8836,2,2.2634676324128565E-4
seat |seat |seats,2014100122,10378,2,1.927153594141453E-4
seat |seat |seats,2014100121,12311,6,4.8736901957598897E-4
seat |seat |seats,2014100200,11724,0,0.0
seat |seat |seats,2014100201,6861,0,0.0
seat |seat |seats,2014100309,9997,8,8.002400720216065E-4
seat |seat |seats,2014100307,6926,2,2.8876696505919725E-4
seat |seat |seats,2014100204,8387,0,0.0
seat |seat |seats,2014100308,8532,4,4.6882325363338024E-4
seat |seat |seats,2014100205,14882,0,0.0
seat |seat |seats,2014100305,3838,1,2.605523710265763E-4
seat |seat |seats,2014100202,5853,2,3.4170510849137196E-4
seat |seat |seats,2014100306,5526,5,9.048136083966703E-4
seat |seat |seats,2014100203,5613,1,1.7815784785319794E-4
seat |seat |seats,2014100303,5043,1,1.98294665873488E-4
seat |seat |seats,2014100208,9640,4,4.149377593360996E-4
seat |seat |seats,2014100304,4725,0,0.0
seat |seat |seats,2014100209,12321,5,4.0581121662202745E-4
seat |seat |seats,2014100301,4480,0,0.0
seat |seat |seats,2014100206,9203,0,0.0
seat |seat |seats,2014100302,8095,1,1.2353304508956145E-4
seat |seat |seats,2014100207,9445,3,3.1762837480148225E-4
seat |seat |seats,2014100300,6707,0,0.0
seat |seat |seats,2014100106,45483,2,4.397247323175692E-5
seat |seat |seats,2014100105,7742,0,0.0
seat |seat |seats,2014100104,8731,0,0.0
seat |seat |seats,2014100103,1127,0,0.0
seat |seat |seats,2014100102,2940,0,0.0
seat |seat |seats,2014100101,3598,0,0.0
seat |seat |seats,2014100100,1816,0,0.0
seat |seat |seats,2014100109,10999,9,8.182562051095554E-4
