campaign |campaigns |campaign,2014100223,8580,2,2.331002331002331E-4
campaign |campaigns |campaign,2014100222,12009,11,9.159796819052377E-4
campaign |campaigns |campaign,2014100221,14828,22,0.001483679525222552
campaign |campaigns |campaign,2014100220,15090,12,7.952286282306163E-4
campaign |campaigns |campaign,2014093023,7216,5,6.929046563192905E-4
campaign |campaigns |campaign,2014093020,2478,6,0.002421307506053269
campaign |campaigns |campaign,2014093022,2524,4,0.001584786053882726
campaign |campaigns |campaign,2014093021,2547,3,0.001177856301531213
campaign |campaigns |campaign,2014100321,9080,10,0.0011013215859030838
campaign |campaigns |campaign,2014100322,8671,12,0.0013839234229039326
campaign |campaigns |campaign,2014100320,9381,13,0.0013857797676153929
campaign |campaigns |campaign,2014100323,6929,3,4.3296290951075193E-4
campaign |campaigns |campaign,2014100123,8836,2,2.2634676324128565E-4
campaign |campaigns |campaign,2014100122,10378,11,0.001059934476777799
campaign |campaigns |campaign,2014100121,12311,10,8.12281699293315E-4
campaign |campaigns |campaign,2014100200,11724,3,2.5588536335721597E-4
campaign |campaigns |campaign,2014100201,6861,1,1.4575134819997084E-4
campaign |campaigns |campaign,2014100309,9997,15,0.0015004501350405122
campaign |campaigns |campaign,2014100307,6926,6,8.663008951775916E-4
campaign |campaigns |campaign,2014100204,8387,1,1.192321449862883E-4
campaign |campaigns |campaign,2014100308,8532,26,0.0030473511486169714
campaign |campaigns |campaign,2014100205,14882,0,0.0
campaign |campaigns |campaign,2014100305,3838,0,0.0
campaign |campaigns |campaign,2014100202,5853,0,0.0
campaign |campaigns |campaign,2014100306,5526,2,3.619254433586681E-4
campaign |campaigns |campaign,2014100203,5613,0,0.0
campaign |campaigns |campaign,2014100303,5043,3,5.94883997620464E-4
campaign |campaigns |campaign,2014100208,9640,8,8.298755186721991E-4
campaign |campaigns |campaign,2014100304,4725,0,0.0
campaign |campaigns |campaign,2014100209,12321,20,0.0016232448664881098
campaign |campaigns |campaign,2014100301,4480,0,0.0
campaign |campaigns |campaign,2014100206,9203,1,1.0866021949364337E-4
campaign |campaigns |campaign,2014100302,8095,0,0.0
campaign |campaigns |campaign,2014100207,9445,3,3.1762837480148225E-4
campaign |campaigns |campaign,2014100300,6707,7,0.0010436857015058893
campaign |campaigns |campaign,2014100106,45483,4,8.794494646351384E-5
campaign |campaigns |campaign,2014100105,7742,2,2.583311805734952E-4
campaign |campaigns |campaign,2014100104,8731,0,0.0
campaign |campaigns |campaign,2014100103,1127,1,8.873114463176575E-4
campaign |campaigns |campaign,2014100102,2940,1,3.401360544217687E-4
campaign |campaigns |campaign,2014100101,3598,1,2.7793218454697053E-4
campaign |campaigns |campaign,2014100100,1816,2,0.0011013215859030838
campaign |campaigns |campaign,2014100109,10999,7,6.364214928629876E-4
campaign |campaigns |campaign,2014100108,14670,22,0.0014996591683708249
campaign |campaigns |campaign,2014100107,32104,4,1.24595066035385E-4
campaign |campaigns |campaign,2014100210,10300,3,2.912621359223301E-4
campaign |campaigns |campaign,2014100211,11008,18,0.0016351744186046512
campaign |campaigns |campaign,2014100212,11567,14,0.0012103397596611048
campaign |campaigns |campaign,2014100316,10537,16,0.0015184587643541805
campaign |campaigns |campaign,2014100213,10976,8,7.288629737609329E-4
campaign |campaigns |campaign,2014100317,9832,7,7.119609438567941E-4
campaign |campaigns |campaign,2014100214,12210,12,9.828009828009828E-4
campaign |campaigns |campaign,2014100318,9075,12,0.001322314049586777
campaign |campaigns |campaign,2014100215,11832,6,5.070993914807302E-4
campaign |campaigns |campaign,2014100319,8645,13,0.0015037593984962407
campaign |campaigns |campaign,2014100216,10725,11,0.0010256410256410256
campaign |campaigns |campaign,2014100312,10661,18,0.0016883969608854704
campaign |campaigns |campaign,2014100217,9835,16,0.001626842907981698
campaign |campaigns |campaign,2014100313,9887,19,0.0019217153838373621
campaign |campaigns |campaign,2014100218,9907,14,0.0014131422226708388
campaign |campaigns |campaign,2014100314,9820,8,8.14663951120163E-4
campaign |campaigns |campaign,2014100219,11100,28,0.0025225225225225223
campaign |campaigns |campaign,2014100420,8163,3,3.675119441381845E-4
campaign |campaigns |campaign,2014100315,10271,12,0.0011683380391393243
campaign |campaigns |campaign,2014100120,12122,10,8.249463784853984E-4
campaign |campaigns |campaign,2014100421,8099,4,4.938881343375726E-4
campaign |campaigns |campaign,2014100422,8432,4,4.743833017077799E-4
campaign |campaigns |campaign,2014100423,6306,1,1.585791309863622E-4
campaign |campaigns |campaign,2014100310,10343,14,0.0013535724644687227
campaign |campaigns |campaign,2014100311,11400,11,9.649122807017544E-4
campaign |campaigns |campaign,2014100115,14152,18,0.001271905031091012
campaign |campaigns |campaign,2014100114,11535,17,0.0014737754659731252
