crossing |crossing,2014100223,8580,0,0.0
crossing |crossing,2014100222,12009,2,1.6654176034640685E-4
crossing |crossing,2014100221,14828,1,6.74399784192069E-5
crossing |crossing,2014100220,15090,1,6.626905235255136E-5
crossing |crossing,2014093023,7216,2,2.771618625277162E-4
crossing |crossing,2014093020,2478,0,0.0
crossing |crossing,2014093022,2524,0,0.0
crossing |crossing,2014093021,2547,1,3.9261876717707107E-4
crossing |crossing,2014100321,9080,1,1.1013215859030837E-4
crossing |crossing,2014100322,8671,1,1.1532695190866105E-4
crossing |crossing,2014100320,9381,0,0.0
crossing |crossing,2014100323,6929,1,1.443209698369173E-4
crossing |crossing,2014100123,8836,3,3.395201448619285E-4
crossing |crossing,2014100122,10378,1,9.635767970707265E-5
crossing |crossing,2014100121,12311,0,0.0
crossing |crossing,2014100200,11724,1,8.5295121119072E-5
crossing |crossing,2014100201,6861,1,1.4575134819997084E-4
crossing |crossing,2014100309,9997,2,2.0006001800540162E-4
crossing |crossing,2014100307,6926,1,1.4438348252959862E-4
crossing |crossing,2014100204,8387,4,4.769285799451532E-4
crossing |crossing,2014100308,8532,2,2.3441162681669012E-4
crossing |crossing,2014100205,14882,1,6.719526945303051E-5
crossing |crossing,2014100305,3838,1,2.605523710265763E-4
crossing |crossing,2014100202,5853,0,0.0
crossing |crossing,2014100306,5526,2,3.619254433586681E-4
crossing |crossing,2014100203,5613,0,0.0
crossing |crossing,2014100303,5043,0,0.0
crossing |crossing,2014100208,9640,4,4.149377593360996E-4
crossing |crossing,2014100304,4725,0,0.0
crossing |crossing,2014100209,12321,4,3.2464897329762194E-4
crossing |crossing,2014100301,4480,1,2.232142857142857E-4
crossing |crossing,2014100206,9203,1,1.0866021949364337E-4
crossing |crossing,2014100302,8095,0,0.0
crossing |crossing,2014100207,9445,1,1.0587612493382742E-4
crossing |crossing,2014100300,6707,0,0.0
crossing |crossing,2014100106,45483,0,0.0
crossing |crossing,2014100105,7742,0,0.0
crossing |crossing,2014100104,8731,0,0.0
crossing |crossing,2014100103,1127,0,0.0
crossing |crossing,2014100102,2940,0,0.0
crossing |crossing,2014100101,3598,0,0.0
crossing |crossing,2014100100,1816,0,0.0
crossing |crossing,2014100109,10999,1,9.091735612328394E-5
crossing |crossing,2014100108,14670,0,0.0
crossing |crossing,2014100107,32104,3,9.344629952653874E-5
crossing |crossing,2014100210,10300,7,6.796116504854369E-4
crossing |crossing,2014100211,11008,5,4.5421511627906976E-4
crossing |crossing,2014100212,11567,2,1.729056799515864E-4
crossing |crossing,2014100316,10537,0,0.0
crossing |crossing,2014100213,10976,4,3.6443148688046647E-4
crossing |crossing,2014100317,9832,3,3.051261187957689E-4
crossing |crossing,2014100214,12210,2,1.638001638001638E-4
crossing |crossing,2014100318,9075,4,4.4077134986225897E-4
crossing |crossing,2014100215,11832,3,2.535496957403651E-4
crossing |crossing,2014100319,8645,2,2.313475997686524E-4
crossing |crossing,2014100216,10725,1,9.324009324009324E-5
