protest |protest |protests,2014100223,8580,4,4.662004662004662E-4
protest |protest |protests,2014100222,12009,10,8.327088017320343E-4
protest |protest |protests,2014100221,14828,3,2.023199352576207E-4
protest |protest |protests,2014100220,15090,7,4.6388336646785953E-4
protest |protest |protests,2014093023,7216,5,6.929046563192905E-4
protest |protest |protests,2014093020,2478,1,4.035512510088781E-4
protest |protest |protests,2014093022,2524,5,0.0019809825673534074
protest |protest |protests,2014093021,2547,5,0.0019630938358853552
protest |protest |protests,2014100321,9080,3,3.303964757709251E-4
protest |protest |protests,2014100322,8671,15,0.0017299042786299158
protest |protest |protests,2014100320,9381,2,2.1319688732544505E-4
protest |protest |protests,2014100323,6929,13,0.001876172607879925
protest |protest |protests,2014100123,8836,8,9.053870529651426E-4
protest |protest |protests,2014100122,10378,11,0.001059934476777799
protest |protest |protests,2014100121,12311,4,3.2491267971732594E-4
protest |protest |protests,2014100200,11724,2,1.70590242238144E-4
protest |protest |protests,2014100201,6861,0,0.0
protest |protest |protests,2014100309,9997,6,6.001800540162049E-4
protest |protest |protests,2014100307,6926,4,5.775339301183945E-4
protest |protest |protests,2014100204,8387,7,8.346250149040181E-4
protest |protest |protests,2014100308,8532,6,7.032348804500703E-4
protest |protest |protests,2014100205,14882,7,4.7036688617121356E-4
protest |protest |protests,2014100305,3838,1,2.605523710265763E-4
protest |protest |protests,2014100202,5853,0,0.0
protest |protest |protests,2014100306,5526,3,5.428881650380022E-4
protest |protest |protests,2014100203,5613,0,0.0
protest |protest |protests,2014100303,5043,6,0.001189767995240928
protest |protest |protests,2014100208,9640,17,0.0017634854771784233
protest |protest |protests,2014100304,4725,2,4.232804232804233E-4
protest |protest |protests,2014100209,12321,12,9.739469198928658E-4
protest |protest |protests,2014100301,4480,5,0.0011160714285714285
protest |protest |protests,2014100206,9203,0,0.0
protest |protest |protests,2014100302,8095,2,2.470660901791229E-4
protest |protest |protests,2014100207,9445,9,9.528851244044468E-4
protest |protest |protests,2014100300,6707,0,0.0
protest |protest |protests,2014100106,45483,6,1.3191741969527076E-4
protest |protest |protests,2014100105,7742,1,1.291655902867476E-4
protest |protest |protests,2014100104,8731,2,2.290688351849731E-4
protest |protest |protests,2014100103,1127,0,0.0
protest |protest |protests,2014100102,2940,0,0.0
protest |protest |protests,2014100101,3598,2,5.558643690939411E-4
protest |protest |protests,2014100100,1816,0,0.0
