life |life |Life,2014100223,8580,50,0.005827505827505828
life |life |Life,2014100222,12009,91,0.0075776500957615124
life |life |Life,2014100221,14828,92,0.006204478014567035
life |life |Life,2014100220,15090,85,0.005632869449966865
life |life |Life,2014093023,7216,74,0.0102549889135255
life |life |Life,2014093020,2478,22,0.00887812752219532
life |life |Life,2014093022,2524,29,0.011489698890649762
life |life |Life,2014093021,2547,15,0.005889281507656066
life |life |Life,2014100321,9080,51,0.005616740088105727
life |life |Life,2014100322,8671,44,0.005074385883981086
life |life |Life,2014100320,9381,57,0.006076111288775184
life |life |Life,2014100323,6929,46,0.006638764612498196
life |life |Life,2014100123,8836,51,0.005771842462652784
life |life |Life,2014100122,10378,74,0.0071304682983233765
life |life |Life,2014100121,12311,55,0.004467549346113232
life |life |Life,2014100200,11724,53,0.004520641419310816
life |life |Life,2014100201,6861,44,0.006413059320798717
life |life |Life,2014100309,9997,65,0.006501950585175552
life |life |Life,2014100307,6926,34,0.004909038406006353
life |life |Life,2014100204,8387,30,0.003576964349588649
life |life |Life,2014100308,8532,44,0.005157055789967183
life |life |Life,2014100205,14882,20,0.0013439053890606102
life |life |Life,2014100305,3838,20,0.005211047420531527
life |life |Life,2014100202,5853,43,0.007346659832564497
life |life |Life,2014100306,5526,67,0.012124502352515382
life |life |Life,2014100203,5613,17,0.0030286834135043648
life |life |Life,2014100303,5043,7,0.001388062661114416
life |life |Life,2014100208,9640,54,0.0056016597510373444
life |life |Life,2014100304,4725,19,0.004021164021164021
life |life |Life,2014100209,12321,57,0.004626247869491113
life |life |Life,2014100301,4480,26,0.005803571428571429
life |life |Life,2014100206,9203,34,0.003694447462783875
life |life |Life,2014100302,8095,28,0.0034589252625077207
life |life |Life,2014100207,9445,43,0.004552673372154579
life |life |Life,2014100300,6707,45,0.006709408081109289
life |life |Life,2014100106,45483,89,0.001956775058813183
life |life |Life,2014100105,7742,33,0.0042624644794626715
life |life |Life,2014100104,8731,24,0.002748826022219677
life |life |Life,2014100103,1127,5,0.0044365572315882874
life |life |Life,2014100102,2940,18,0.006122448979591836
life |life |Life,2014100101,3598,40,0.011117287381878822
life |life |Life,2014100100,1816,21,0.011563876651982379
life |life |Life,2014100109,10999,67,0.0060914628602600236
life |life |Life,2014100108,14670,49,0.003340149965916837
life |life |Life,2014100107,32104,95,0.002959132818340394
life |life |Life,2014100210,10300,46,0.004466019417475728
life |life |Life,2014100211,11008,58,0.005268895348837209
life |life |Life,2014100212,11567,58,0.005014264718596006
life |life |Life,2014100316,10537,69,0.006548353421277403
life |life |Life,2014100213,10976,48,0.004373177842565598
life |life |Life,2014100317,9832,53,0.0053905614320585845
life |life |Life,2014100214,12210,78,0.0063882063882063885
life |life |Life,2014100318,9075,81,0.008925619834710744
life |life |Life,2014100215,11832,64,0.005409060175794456
life |life |Life,2014100319,8645,53,0.006130711393869288
life |life |Life,2014100216,10725,35,0.0032634032634032634
life |life |Life,2014100312,10661,71,0.006659788012381577
life |life |Life,2014100217,9835,44,0.004473817996949669
life |life |Life,2014100313,9887,48,0.00485485991706281
life |life |Life,2014100218,9907,51,0.005147875239729484
life |life |Life,2014100314,9820,68,0.006924643584521385
life |life |Life,2014100219,11100,50,0.0045045045045045045
life |life |Life,2014100420,8163,52,0.006370207031728531
life |life |Life,2014100315,10271,39,0.003797098627202804
life |life |Life,2014100120,12122,55,0.004537205081669692
life |life |Life,2014100421,8099,49,0.006050129645635264
life |life |Life,2014100422,8432,52,0.006166982922201139
life |life |Life,2014100423,6306,51,0.008087535680304472
life |life |Life,2014100310,10343,50,0.004834187373102581
life |life |Life,2014100311,11400,64,0.005614035087719298
life |life |Life,2014100115,14152,56,0.00395703787450537
life |life |Life,2014100114,11535,99,0.008582574772431729
life |life |Life,2014100117,11365,52,0.004575450945886493
life |life |Life,2014100116,10904,53,0.004860601614086574
life |life |Life,2014100111,9571,65,0.006791348866367151
life |life |Life,2014100110,9126,67,0.007341661187815034
life |life |Life,2014100823,5727,32,0.005587567661952156
life |life |Life,2014100113,11543,67,0.005804383609113749
life |life |Life,2014100822,900,5,0.005555555555555556
life |life |Life,2014100112,11651,56,0.004806454381598146
life |life |Life,2014100119,11403,56,0.004910988336402701
life |life |Life,2014100118,10294,46,0.004468622498542841
life |life |Life,2014100604,4638,18,0.0038809831824062097
life |life |Life,2014100605,8675,17,0.0019596541786743517
life |life |Life,2014100700,5207,49,0.009410409064720569
life |life |Life,2014100914,3191,39,0.012221874020683171
life |life |Life,2014100602,8176,28,0.003424657534246575
life |life |Life,2014100915,1000,14,0.014
life |life |Life,2014100603,9384,20,0.002131287297527707
life |life |Life,2014100912,2545,25,0.009823182711198428
life |life |Life,2014100608,13680,45,0.003289473684210526
life |life |Life,2014100913,6771,57,0.008418254319893664
life |life |Life,2014100609,13287,38,0.0028599382855422593
life |life |Life,2014100810,6053,35,0.0057822567321989095
life |life |Life,2014100606,4334,20,0.0046146746654360865
life |life |Life,2014100607,6194,59,0.009525347110106554
life |life |Life,2014100707,4802,19,0.003956684714702207
life |life |Life,2014100813,7061,39,0.005523296983430109
life |life |Life,2014100708,5400,33,0.006111111111111111
life |life |Life,2014100814,6011,71,0.011811678589253036
life |life |Life,2014100705,2740,6,0.0021897810218978104
life |life |Life,2014100811,6604,31,0.00469412477286493
life |life |Life,2014100706,3398,13,0.0038257798705120657
life |life |Life,2014100812,5896,24,0.004070556309362279
life |life |Life,2014100817,6743,48,0.007118493252261605
life |life |Life,2014100600,15771,35,0.0022192632046160675
life |life |Life,2014100703,5792,31,0.005352209944751381
life |life |Life,2014100818,7400,38,0.005135135135135135
life |life |Life,2014100601,8669,49,0.005652324374206944
life |life |Life,2014100704,3010,7,0.002325581395348837
life |life |Life,2014100815,5628,48,0.008528784648187633
life |life |Life,2014100701,13455,29,0.0021553325901151987
