bishop |Bishop,2014100223,8580,4,4.662004662004662E-4
bishop |Bishop,2014100222,12009,1,8.327088017320343E-5
bishop |Bishop,2014100221,14828,5,3.371998920960345E-4
bishop |Bishop,2014100220,15090,3,1.9880715705765408E-4
bishop |Bishop,2014093023,7216,0,0.0
bishop |Bishop,2014093020,2478,0,0.0
bishop |Bishop,2014093022,2524,0,0.0
bishop |Bishop,2014093021,2547,0,0.0
bishop |Bishop,2014100321,9080,2,2.2026431718061675E-4
bishop |Bishop,2014100322,8671,1,1.1532695190866105E-4
bishop |Bishop,2014100320,9381,0,0.0
bishop |Bishop,2014100323,6929,2,2.886419396738346E-4
bishop |Bishop,2014100123,8836,2,2.2634676324128565E-4
bishop |Bishop,2014100122,10378,6,5.781460782424359E-4
bishop |Bishop,2014100121,12311,0,0.0
bishop |Bishop,2014100200,11724,0,0.0
bishop |Bishop,2014100201,6861,0,0.0
bishop |Bishop,2014100309,9997,10,0.0010003000900270082
bishop |Bishop,2014100307,6926,15,0.002165752237943979
bishop |Bishop,2014100204,8387,0,0.0
bishop |Bishop,2014100308,8532,11,0.0012892639474917957
bishop |Bishop,2014100205,14882,0,0.0
bishop |Bishop,2014100305,3838,1,2.605523710265763E-4
bishop |Bishop,2014100202,5853,0,0.0
bishop |Bishop,2014100306,5526,1,1.8096272167933406E-4
bishop |Bishop,2014100203,5613,0,0.0
bishop |Bishop,2014100303,5043,0,0.0
bishop |Bishop,2014100208,9640,4,4.149377593360996E-4
bishop |Bishop,2014100304,4725,0,0.0
bishop |Bishop,2014100209,12321,0,0.0
bishop |Bishop,2014100301,4480,0,0.0
bishop |Bishop,2014100206,9203,1,1.0866021949364337E-4
bishop |Bishop,2014100302,8095,0,0.0
bishop |Bishop,2014100207,9445,7,7.41132874536792E-4
bishop |Bishop,2014100300,6707,0,0.0
bishop |Bishop,2014100106,45483,0,0.0
bishop |Bishop,2014100105,7742,0,0.0
bishop |Bishop,2014100104,8731,0,0.0
bishop |Bishop,2014100103,1127,0,0.0
bishop |Bishop,2014100102,2940,0,0.0
bishop |Bishop,2014100101,3598,0,0.0
bishop |Bishop,2014100100,1816,0,0.0
bishop |Bishop,2014100109,10999,1,9.091735612328394E-5
bishop |Bishop,2014100108,14670,2,1.36332651670075E-4
bishop |Bishop,2014100107,32104,1,3.114876650884625E-5
bishop |Bishop,2014100210,10300,1,9.70873786407767E-5
bishop |Bishop,2014100211,11008,0,0.0
bishop |Bishop,2014100212,11567,2,1.729056799515864E-4
bishop |Bishop,2014100316,10537,0,0.0
bishop |Bishop,2014100213,10976,0,0.0
bishop |Bishop,2014100317,9832,3,3.051261187957689E-4
bishop |Bishop,2014100214,12210,3,2.457002457002457E-4
bishop |Bishop,2014100318,9075,1,1.1019283746556474E-4
bishop |Bishop,2014100215,11832,2,1.6903313049357674E-4
bishop |Bishop,2014100319,8645,0,0.0
bishop |Bishop,2014100216,10725,2,1.8648018648018648E-4
bishop |Bishop,2014100312,10661,0,0.0
bishop |Bishop,2014100217,9835,28,0.0028469750889679717
bishop |Bishop,2014100313,9887,2,2.0228582987761708E-4
bishop |Bishop,2014100218,9907,4,4.037549207630968E-4
bishop |Bishop,2014100314,9820,2,2.0366598778004074E-4
bishop |Bishop,2014100219,11100,12,0.001081081081081081
bishop |Bishop,2014100420,8163,0,0.0
bishop |Bishop,2014100315,10271,6,5.841690195696621E-4
bishop |Bishop,2014100120,12122,0,0.0
bishop |Bishop,2014100421,8099,0,0.0
bishop |Bishop,2014100422,8432,1,1.1859582542694497E-4
bishop |Bishop,2014100423,6306,1,1.585791309863622E-4
bishop |Bishop,2014100310,10343,8,7.73469979696413E-4
bishop |Bishop,2014100311,11400,0,0.0
bishop |Bishop,2014100115,14152,7,4.946297343131713E-4
bishop |Bishop,2014100114,11535,5,4.3346337234503684E-4
bishop |Bishop,2014100117,11365,1,8.798944126704795E-5
bishop |Bishop,2014100116,10904,0,0.0
bishop |Bishop,2014100111,9571,5,5.224114512590116E-4
bishop |Bishop,2014100110,9126,0,0.0
bishop |Bishop,2014100823,5727,0,0.0
bishop |Bishop,2014100113,11543,1,8.663259118080222E-5
bishop |Bishop,2014100822,900,0,0.0
bishop |Bishop,2014100112,11651,1,8.582954252853832E-5
bishop |Bishop,2014100119,11403,1,8.769622029290537E-5
bishop |Bishop,2014100118,10294,0,0.0
bishop |Bishop,2014100604,4638,0,0.0
bishop |Bishop,2014100605,8675,0,0.0
bishop |Bishop,2014100700,5207,0,0.0
bishop |Bishop,2014100914,3191,0,0.0
bishop |Bishop,2014100602,8176,0,0.0
bishop |Bishop,2014100915,1000,0,0.0
bishop |Bishop,2014100603,9384,1,1.0656436487638534E-4
bishop |Bishop,2014100912,2545,0,0.0
bishop |Bishop,2014100608,13680,0,0.0
bishop |Bishop,2014100913,6771,0,0.0
bishop |Bishop,2014100609,13287,1,7.526153383005946E-5
bishop |Bishop,2014100810,6053,0,0.0
bishop |Bishop,2014100606,4334,0,0.0
bishop |Bishop,2014100607,6194,0,0.0
bishop |Bishop,2014100707,4802,0,0.0
bishop |Bishop,2014100813,7061,0,0.0
bishop |Bishop,2014100708,5400,0,0.0
bishop |Bishop,2014100814,6011,0,0.0
bishop |Bishop,2014100705,2740,0,0.0
bishop |Bishop,2014100811,6604,0,0.0
bishop |Bishop,2014100706,3398,0,0.0
bishop |Bishop,2014100812,5896,0,0.0
bishop |Bishop,2014100817,6743,0,0.0
bishop |Bishop,2014100600,15771,1,6.340752013188764E-5
bishop |Bishop,2014100703,5792,0,0.0
bishop |Bishop,2014100818,7400,0,0.0
bishop |Bishop,2014100601,8669,0,0.0
bishop |Bishop,2014100704,3010,0,0.0
bishop |Bishop,2014100815,5628,0,0.0
bishop |Bishop,2014100701,13455,0,0.0
bishop |Bishop,2014100816,7857,0,0.0
bishop |Bishop,2014100702,8524,0,0.0
bishop |Bishop,2014100509,9287,1,1.076773985140519E-4
bishop |Bishop,2014100508,6498,2,3.077870113881194E-4
bishop |Bishop,2014100819,4300,0,0.0
bishop |Bishop,2014100507,16911,0,0.0
bishop |Bishop,2014100403,6749,1,1.481700992739665E-4
bishop |Bishop,2014100506,11836,0,0.0
bishop |Bishop,2014100402,6613,1,1.5121729925903524E-4
bishop |Bishop,2014100505,6487,1,1.5415446277169725E-4
bishop |Bishop,2014100401,4570,2,4.37636761487965E-4
bishop |Bishop,2014100504,3861,0,0.0
bishop |Bishop,2014100400,5285,0,0.0
bishop |Bishop,2014100503,4540,0,0.0
bishop |Bishop,2014100709,5572,0,0.0
bishop |Bishop,2014100407,7111,3,4.2188159189987344E-4
bishop |Bishop,2014100406,10763,1,9.2910898448388E-5
bishop |Bishop,2014100501,6148,0,0.0
bishop |Bishop,2014100405,10366,2,1.9293845263360988E-4
bishop |Bishop,2014100500,11540,0,0.0
bishop |Bishop,2014100404,3086,0,0.0
bishop |Bishop,2014100409,9932,6,6.041079339508659E-4
bishop |Bishop,2014100408,10458,3,2.8686173264486515E-4
bishop |Bishop,2014100903,4141,0,0.0
bishop |Bishop,2014100613,12260,0,0.0
bishop |Bishop,2014100904,4854,0,0.0
bishop |Bishop,2014100614,10247,0,0.0
bishop |Bishop,2014100905,7777,0,0.0
bishop |Bishop,2014100615,8801,1,1.1362345188046812E-4
bishop |Bishop,2014100710,7431,0,0.0
bishop |Bishop,2014100906,3505,0,0.0
bishop |Bishop,2014100616,10833,3,2.7693159789531985E-4
bishop |Bishop,2014100711,13474,0,0.0
bishop |Bishop,2014100617,11523,0,0.0
bishop |Bishop,2014100900,3864,0,0.0
bishop |Bishop,2014100618,10834,0,0.0
bishop |Bishop,2014100901,3052,0,0.0
bishop |Bishop,2014100619,10472,0,0.0
bishop |Bishop,2014100902,4916,0,0.0
bishop |Bishop,2014100716,9756,0,0.0
bishop |Bishop,2014100800,3418,2,5.851375073142189E-4
bishop |Bishop,2014100717,12018,0,0.0
bishop |Bishop,2014100801,4912,1,2.0358306188925082E-4
bishop |Bishop,2014100718,9824,0,0.0
bishop |Bishop,2014100802,4582,0,0.0
bishop |Bishop,2014100719,8904,0,0.0
bishop |Bishop,2014100803,4750,0,0.0
bishop |Bishop,2014100712,10146,0,0.0
bishop |Bishop,2014100804,8238,0,0.0
bishop |Bishop,2014100610,8565,1,1.1675423234092235E-4
bishop |Bishop,2014100713,7382,0,0.0
bishop |Bishop,2014100805,6904,0,0.0
bishop |Bishop,2014100611,8676,1,1.152604887044721E-4
bishop |Bishop,2014100714,9294,2,2.1519259737465033E-4
bishop |Bishop,2014100806,7696,0,0.0
bishop |Bishop,2014100612,7761,0,0.0
bishop |Bishop,2014100715,8494,0,0.0
bishop |Bishop,2014100807,6298,1,1.5878056525881233E-4
bishop |Bishop,2014100519,13547,2,1.4763416254521297E-4
bishop |Bishop,2014100809,5933,0,0.0
bishop |Bishop,2014100518,12589,3,2.3830328064183018E-4
bishop |Bishop,2014100808,7916,2,2.5265285497726126E-4
