wife |wife,2014100223,8580,12,0.0013986013986013986
wife |wife,2014100222,12009,11,9.159796819052377E-4
wife |wife,2014100221,14828,20,0.001348799568384138
wife |wife,2014100220,15090,9,5.964214711729623E-4
wife |wife,2014093023,7216,6,8.314855875831486E-4
wife |wife,2014093020,2478,4,0.0016142050040355124
wife |wife,2014093022,2524,2,7.92393026941363E-4
wife |wife,2014093021,2547,2,7.852375343541421E-4
wife |wife,2014100321,9080,3,3.303964757709251E-4
wife |wife,2014100322,8671,8,9.226156152692884E-4
wife |wife,2014100320,9381,5,5.329922183136127E-4
wife |wife,2014100323,6929,3,4.3296290951075193E-4
wife |wife,2014100123,8836,21,0.0023766410140334993
wife |wife,2014100122,10378,5,4.8178839853536327E-4
wife |wife,2014100121,12311,7,5.685971895053204E-4
wife |wife,2014100200,11724,7,5.97065847833504E-4
wife |wife,2014100201,6861,3,4.3725404459991256E-4
wife |wife,2014100309,9997,3,3.0009002700810244E-4
wife |wife,2014100307,6926,8,0.001155067860236789
wife |wife,2014100204,8387,1,1.192321449862883E-4
wife |wife,2014100308,8532,5,5.860290670417253E-4
wife |wife,2014100205,14882,1,6.719526945303051E-5
wife |wife,2014100305,3838,1,2.605523710265763E-4
wife |wife,2014100202,5853,3,5.125576627370579E-4
wife |wife,2014100306,5526,5,9.048136083966703E-4
wife |wife,2014100203,5613,0,0.0
wife |wife,2014100303,5043,3,5.94883997620464E-4
wife |wife,2014100208,9640,3,3.1120331950207467E-4
wife |wife,2014100304,4725,1,2.1164021164021165E-4
wife |wife,2014100209,12321,2,1.6232448664881097E-4
wife |wife,2014100301,4480,1,2.232142857142857E-4
wife |wife,2014100206,9203,4,4.346408779745735E-4
wife |wife,2014100302,8095,1,1.2353304508956145E-4
wife |wife,2014100207,9445,5,5.293806246691371E-4
wife |wife,2014100300,6707,12,0.0017891754882958103
wife |wife,2014100106,45483,4,8.794494646351384E-5
wife |wife,2014100105,7742,2,2.583311805734952E-4
wife |wife,2014100104,8731,1,1.1453441759248655E-4
wife |wife,2014100103,1127,2,0.001774622892635315
wife |wife,2014100102,2940,1,3.401360544217687E-4
wife |wife,2014100101,3598,7,0.0019455252918287938
wife |wife,2014100100,1816,2,0.0011013215859030838
wife |wife,2014100109,10999,4,3.6366942449313574E-4
wife |wife,2014100108,14670,8,5.453306066803E-4
wife |wife,2014100107,32104,1,3.114876650884625E-5
wife |wife,2014100210,10300,3,2.912621359223301E-4
wife |wife,2014100211,11008,4,3.633720930232558E-4
wife |wife,2014100212,11567,6,5.187170398547593E-4
wife |wife,2014100316,10537,5,4.745183638606814E-4
wife |wife,2014100213,10976,4,3.6443148688046647E-4
wife |wife,2014100317,9832,8,8.136696501220504E-4
wife |wife,2014100214,12210,3,2.457002457002457E-4
wife |wife,2014100318,9075,8,8.815426997245179E-4
wife |wife,2014100215,11832,5,4.2258282623394185E-4
wife |wife,2014100319,8645,3,3.470213996529786E-4
wife |wife,2014100216,10725,7,6.526806526806527E-4
wife |wife,2014100312,10661,7,6.565988181221273E-4
wife |wife,2014100217,9835,8,8.13421453990849E-4
wife |wife,2014100313,9887,18,0.0018205724688985536
wife |wife,2014100218,9907,5,5.04693650953871E-4
wife |wife,2014100314,9820,7,7.128309572301426E-4
wife |wife,2014100219,11100,4,3.6036036036036037E-4
wife |wife,2014100420,8163,7,8.575278696557638E-4
wife |wife,2014100315,10271,16,0.0015577840521857657
wife |wife,2014100120,12122,12,9.89935654182478E-4
wife |wife,2014100421,8099,9,0.0011112483022595382
wife |wife,2014100422,8432,2,2.3719165085388995E-4
wife |wife,2014100423,6306,3,4.757373929590866E-4
wife |wife,2014100310,10343,3,2.9005124238615487E-4
wife |wife,2014100311,11400,6,5.263157894736842E-4
wife |wife,2014100115,14152,2,1.4132278123233464E-4
wife |wife,2014100114,11535,1,8.669267446900737E-5
wife |wife,2014100117,11365,3,2.639683238011439E-4
wife |wife,2014100116,10904,5,4.58547322083639E-4
wife |wife,2014100111,9571,8,8.358583220144186E-4
wife |wife,2014100110,9126,7,7.670392285776902E-4
wife |wife,2014100823,5727,12,0.0020953378732320588
wife |wife,2014100113,11543,6,5.197955470848133E-4
wife |wife,2014100822,900,0,0.0
wife |wife,2014100112,11651,6,5.1497725517123E-4
wife |wife,2014100119,11403,9,7.892659826361484E-4
wife |wife,2014100118,10294,2,1.9428793471925395E-4
wife |wife,2014100604,4638,18,0.0038809831824062097
wife |wife,2014100605,8675,6,6.9164265129683E-4
wife |wife,2014100700,5207,2,3.840983291722681E-4
wife |wife,2014100914,3191,2,6.267627702914447E-4
wife |wife,2014100602,8176,31,0.0037915851272015653
wife |wife,2014100915,1000,0,0.0
wife |wife,2014100603,9384,18,0.0019181585677749361
wife |wife,2014100912,2545,2,7.858546168958742E-4
wife |wife,2014100608,13680,7,5.116959064327486E-4
wife |wife,2014100913,6771,1,1.476886722788362E-4
wife |wife,2014100609,13287,9,6.773538044705351E-4
wife |wife,2014100810,6053,2,3.3041467041136624E-4
wife |wife,2014100606,4334,7,0.0016151361329026304
wife |wife,2014100607,6194,3,4.8433968356474005E-4
wife |wife,2014100707,4802,5,0.0010412328196584756
wife |wife,2014100813,7061,19,0.002690836991927489
wife |wife,2014100708,5400,8,0.0014814814814814814
wife |wife,2014100814,6011,3,4.990850108135085E-4
wife |wife,2014100705,2740,1,3.64963503649635E-4
wife |wife,2014100811,6604,2,3.028467595396729E-4
wife |wife,2014100706,3398,0,0.0
wife |wife,2014100812,5896,2,3.3921302578018993E-4
wife |wife,2014100817,6743,5,7.415097137772505E-4
wife |wife,2014100600,15771,70,0.004438526409232135
wife |wife,2014100703,5792,0,0.0
wife |wife,2014100818,7400,3,4.054054054054054E-4
wife |wife,2014100601,8669,55,0.0063444457261506515
