super |super |Super,2014100223,8580,15,0.0017482517482517483
super |super |Super,2014100222,12009,31,0.0025813972853693063
super |super |Super,2014100221,14828,20,0.001348799568384138
super |super |Super,2014100220,15090,27,0.0017892644135188867
super |super |Super,2014093023,7216,15,0.0020787139689578712
super |super |Super,2014093020,2478,3,0.0012106537530266344
super |super |Super,2014093022,2524,4,0.001584786053882726
super |super |Super,2014093021,2547,4,0.0015704750687082843
super |super |Super,2014100321,9080,15,0.0016519823788546256
super |super |Super,2014100322,8671,11,0.0012685964709952715
super |super |Super,2014100320,9381,19,0.002025370429591728
super |super |Super,2014100323,6929,12,0.0017318516380430077
super |super |Super,2014100123,8836,9,0.0010185604345857855
super |super |Super,2014100122,10378,11,0.001059934476777799
super |super |Super,2014100121,12311,8,6.498253594346519E-4
super |super |Super,2014100200,11724,8,6.82360968952576E-4
super |super |Super,2014100201,6861,5,7.287567409998542E-4
super |super |Super,2014100309,9997,19,0.0019005701710513153
super |super |Super,2014100307,6926,11,0.0015882183078255846
super |super |Super,2014100204,8387,6,7.153928699177298E-4
super |super |Super,2014100308,8532,12,0.0014064697609001407
super |super |Super,2014100205,14882,3,2.0158580835909153E-4
super |super |Super,2014100305,3838,4,0.0010422094841063053
super |super |Super,2014100202,5853,12,0.0020502306509482316
super |super |Super,2014100306,5526,3,5.428881650380022E-4
super |super |Super,2014100203,5613,6,0.0010689470871191875
super |super |Super,2014100303,5043,1,1.98294665873488E-4
super |super |Super,2014100208,9640,15,0.0015560165975103733
super |super |Super,2014100304,4725,0,0.0
super |super |Super,2014100209,12321,9,7.304601899196494E-4
super |super |Super,2014100301,4480,4,8.928571428571428E-4
super |super |Super,2014100206,9203,6,6.519613169618602E-4
super |super |Super,2014100302,8095,3,3.705991352686844E-4
super |super |Super,2014100207,9445,9,9.528851244044468E-4
super |super |Super,2014100300,6707,8,0.0011927836588638736
super |super |Super,2014100106,45483,2,4.397247323175692E-5
super |super |Super,2014100105,7742,0,0.0
super |super |Super,2014100104,8731,3,3.436032527774596E-4
super |super |Super,2014100103,1127,0,0.0
super |super |Super,2014100102,2940,6,0.0020408163265306124
super |super |Super,2014100101,3598,3,8.337965536409116E-4
super |super |Super,2014100100,1816,3,0.0016519823788546256
super |super |Super,2014100109,10999,17,0.0015455950540958269
super |super |Super,2014100108,14670,14,9.543285616905249E-4
super |super |Super,2014100107,32104,9,2.8033889857961624E-4
