work |work |works,2014100223,8580,46,0.005361305361305362
work |work |works,2014100222,12009,69,0.005745690731951037
work |work |works,2014100221,14828,118,0.007957917453466416
work |work |works,2014100220,15090,99,0.0065606361829025845
work |work |works,2014093023,7216,54,0.007483370288248337
work |work |works,2014093020,2478,32,0.0129136400322841
work |work |works,2014093022,2524,11,0.004358161648177496
work |work |works,2014093021,2547,23,0.009030231645072634
work |work |works,2014100321,9080,70,0.007709251101321586
work |work |works,2014100322,8671,65,0.0074962518740629685
work |work |works,2014100320,9381,60,0.0063959066197633516
work |work |works,2014100323,6929,40,0.005772838793476692
work |work |works,2014100123,8836,40,0.004526935264825713
work |work |works,2014100122,10378,78,0.007515899017151667
work |work |works,2014100121,12311,90,0.007310535293639835
work |work |works,2014100200,11724,39,0.0033265097236438077
work |work |works,2014100201,6861,34,0.004955545838799009
work |work |works,2014100309,9997,95,0.009502850855256578
work |work |works,2014100307,6926,56,0.008085475021657523
work |work |works,2014100204,8387,19,0.0022654107547394778
work |work |works,2014100308,8532,100,0.011720581340834505
work |work |works,2014100205,14882,20,0.0013439053890606102
work |work |works,2014100305,3838,15,0.0039082855653986455
work |work |works,2014100202,5853,12,0.0020502306509482316
work |work |works,2014100306,5526,32,0.00579080709373869
work |work |works,2014100203,5613,12,0.002137894174238375
work |work |works,2014100303,5043,8,0.001586357326987904
work |work |works,2014100208,9640,93,0.009647302904564316
work |work |works,2014100304,4725,5,0.0010582010582010583
work |work |works,2014100209,12321,100,0.008116224332440549
work |work |works,2014100301,4480,22,0.004910714285714286
work |work |works,2014100206,9203,32,0.003477127023796588
work |work |works,2014100302,8095,19,0.0023471278567016676
work |work |works,2014100207,9445,56,0.005929062996294336
work |work |works,2014100300,6707,31,0.00462203667809751
work |work |works,2014100106,45483,31,6.815733350922323E-4
work |work |works,2014100105,7742,13,0.001679152673727719
work |work |works,2014100104,8731,5,5.726720879624327E-4
work |work |works,2014100103,1127,2,0.001774622892635315
work |work |works,2014100102,2940,7,0.002380952380952381
work |work |works,2014100101,3598,11,0.003057254030016676
work |work |works,2014100100,1816,8,0.004405286343612335
work |work |works,2014100109,10999,102,0.00927357032457496
work |work |works,2014100108,14670,83,0.005657805044308112
work |work |works,2014100107,32104,59,0.0018377772240219287
work |work |works,2014100210,10300,100,0.009708737864077669
work |work |works,2014100211,11008,83,0.0075399709302325585
work |work |works,2014100212,11567,183,0.015820869715570157
work |work |works,2014100316,10537,103,0.009775078295530037
work |work |works,2014100213,10976,123,0.011206268221574344
work |work |works,2014100317,9832,94,0.009560618388934093
work |work |works,2014100214,12210,117,0.009582309582309583
work |work |works,2014100318,9075,65,0.007162534435261708
work |work |works,2014100215,11832,79,0.006676808654496281
work |work |works,2014100319,8645,56,0.006477732793522267
work |work |works,2014100216,10725,100,0.009324009324009324
work |work |works,2014100312,10661,88,0.008254385142106744
work |work |works,2014100217,9835,86,0.008744280630401627
work |work |works,2014100313,9887,95,0.00960857691918681
work |work |works,2014100218,9907,95,0.009589179368123549
work |work |works,2014100314,9820,108,0.010997963340122199
work |work |works,2014100219,11100,107,0.00963963963963964
work |work |works,2014100420,8163,47,0.005757687124831557
work |work |works,2014100315,10271,87,0.008470450783760101
work |work |works,2014100120,12122,93,0.007672001319914206
work |work |works,2014100421,8099,66,0.008149154216569946
work |work |works,2014100422,8432,49,0.005811195445920303
work |work |works,2014100423,6306,39,0.006184586108468126
work |work |works,2014100310,10343,204,0.01972348448225853
work |work |works,2014100311,11400,116,0.010175438596491228
work |work |works,2014100115,14152,82,0.0057942340305257205
work |work |works,2014100114,11535,83,0.007195491980927612
work |work |works,2014100117,11365,104,0.009150901891772987
work |work |works,2014100116,10904,82,0.00752017608217168
work |work |works,2014100111,9571,90,0.009403406122662208
work |work |works,2014100110,9126,79,0.008656585579662503
work |work |works,2014100823,5727,41,0.0071590710668762
work |work |works,2014100113,11543,100,0.008663259118080222
work |work |works,2014100822,900,3,0.0033333333333333335
work |work |works,2014100112,11651,118,0.010127886018367522
work |work |works,2014100119,11403,77,0.006752608962553714
work |work |works,2014100118,10294,87,0.008451525160287547
work |work |works,2014100604,4638,17,0.0036653730056058647
work |work |works,2014100605,8675,8,9.221902017291067E-4
work |work |works,2014100700,5207,30,0.005761474937584022
work |work |works,2014100914,3191,32,0.010028204324663115
work |work |works,2014100602,8176,19,0.0023238747553816046
work |work |works,2014100915,1000,4,0.004
work |work |works,2014100603,9384,13,0.0013853367433930093
work |work |works,2014100912,2545,32,0.012573673870333988
work |work |works,2014100608,13680,91,0.006652046783625731
work |work |works,2014100913,6771,82,0.01211047112686457
work |work |works,2014100609,13287,124,0.009332430194927372
work |work |works,2014100810,6053,79,0.013051379481248968
work |work |works,2014100606,4334,18,0.004153207198892478
work |work |works,2014100607,6194,51,0.00823377462060058
work |work |works,2014100707,4802,31,0.006455643481882549
work |work |works,2014100813,7061,54,0.007647641977057074
work |work |works,2014100708,5400,51,0.009444444444444445
work |work |works,2014100814,6011,60,0.009981700216270172
work |work |works,2014100705,2740,7,0.0025547445255474453
work |work |works,2014100811,6604,73,0.011053906723198061
work |work |works,2014100706,3398,19,0.005591524426133019
work |work |works,2014100812,5896,75,0.012720488466757123
work |work |works,2014100817,6743,57,0.008453210737060655
work |work |works,2014100600,15771,46,0.0029167459260668314
work |work |works,2014100703,5792,9,0.001553867403314917
work |work |works,2014100818,7400,85,0.011486486486486487
work |work |works,2014100601,8669,41,0.0047294959049486674
work |work |works,2014100704,3010,12,0.003986710963455149
work |work |works,2014100815,5628,45,0.007995735607675906
work |work |works,2014100701,13455,16,0.0011891490152359718
work |work |works,2014100816,7857,49,0.006236477026855034
work |work |works,2014100702,8524,8,9.385265133740028E-4
work |work |works,2014100509,9287,31,0.003337999353935609
work |work |works,2014100508,6498,33,0.0050784856879039705
work |work |works,2014100819,4300,59,0.01372093023255814
work |work |works,2014100507,16911,18,0.0010643959552953698
work |work |works,2014100403,6749,14,0.002074381389835531
work |work |works,2014100506,11836,15,0.0012673200405542413
work |work |works,2014100402,6613,21,0.0031755632844397397
work |work |works,2014100505,6487,8,0.001233235702173578
work |work |works,2014100401,4570,26,0.0056892778993435445
work |work |works,2014100504,3861,39,0.010101010101010102
work |work |works,2014100400,5285,36,0.006811731315042573
work |work |works,2014100503,4540,15,0.003303964757709251
work |work |works,2014100709,5572,62,0.011127063890882987
work |work |works,2014100407,7111,38,0.005343833497398397
work |work |works,2014100406,10763,26,0.002415683359658088
work |work |works,2014100501,6148,32,0.00520494469746259
