bank |Bank |Banks |bank |banks,2014100223,8580,1,1.1655011655011655E-4
bank |Bank |Banks |bank |banks,2014100222,12009,0,0.0
bank |Bank |Banks |bank |banks,2014100221,14828,9,6.069598057728622E-4
bank |Bank |Banks |bank |banks,2014100220,15090,2,1.325381047051027E-4
bank |Bank |Banks |bank |banks,2014093023,7216,2,2.771618625277162E-4
bank |Bank |Banks |bank |banks,2014093020,2478,0,0.0
bank |Bank |Banks |bank |banks,2014093022,2524,3,0.0011885895404120444
bank |Bank |Banks |bank |banks,2014093021,2547,2,7.852375343541421E-4
bank |Bank |Banks |bank |banks,2014100321,9080,4,4.405286343612335E-4
bank |Bank |Banks |bank |banks,2014100322,8671,6,6.919617114519663E-4
bank |Bank |Banks |bank |banks,2014100320,9381,0,0.0
bank |Bank |Banks |bank |banks,2014100323,6929,4,5.772838793476692E-4
bank |Bank |Banks |bank |banks,2014100123,8836,1,1.1317338162064282E-4
bank |Bank |Banks |bank |banks,2014100122,10378,4,3.854307188282906E-4
bank |Bank |Banks |bank |banks,2014100121,12311,11,8.935098692226465E-4
bank |Bank |Banks |bank |banks,2014100200,11724,2,1.70590242238144E-4
bank |Bank |Banks |bank |banks,2014100201,6861,2,2.915026963999417E-4
bank |Bank |Banks |bank |banks,2014100309,9997,6,6.001800540162049E-4
bank |Bank |Banks |bank |banks,2014100307,6926,4,5.775339301183945E-4
bank |Bank |Banks |bank |banks,2014100204,8387,1,1.192321449862883E-4
bank |Bank |Banks |bank |banks,2014100308,8532,8,9.376465072667605E-4
bank |Bank |Banks |bank |banks,2014100205,14882,0,0.0
bank |Bank |Banks |bank |banks,2014100305,3838,1,2.605523710265763E-4
bank |Bank |Banks |bank |banks,2014100202,5853,0,0.0
bank |Bank |Banks |bank |banks,2014100306,5526,0,0.0
bank |Bank |Banks |bank |banks,2014100203,5613,0,0.0
bank |Bank |Banks |bank |banks,2014100303,5043,2,3.96589331746976E-4
bank |Bank |Banks |bank |banks,2014100208,9640,8,8.298755186721991E-4
bank |Bank |Banks |bank |banks,2014100304,4725,1,2.1164021164021165E-4
