strike |strike |strikes,2014100223,8580,8,9.324009324009324E-4
strike |strike |strikes,2014100222,12009,4,3.330835206928137E-4
strike |strike |strikes,2014100221,14828,19,0.0012813595899649312
strike |strike |strikes,2014100220,15090,14,9.277667329357191E-4
strike |strike |strikes,2014093023,7216,0,0.0
strike |strike |strikes,2014093020,2478,1,4.035512510088781E-4
strike |strike |strikes,2014093022,2524,1,3.961965134706815E-4
strike |strike |strikes,2014093021,2547,1,3.9261876717707107E-4
strike |strike |strikes,2014100321,9080,2,2.2026431718061675E-4
strike |strike |strikes,2014100322,8671,1,1.1532695190866105E-4
strike |strike |strikes,2014100320,9381,2,2.1319688732544505E-4
strike |strike |strikes,2014100323,6929,1,1.443209698369173E-4
strike |strike |strikes,2014100123,8836,5,5.658669081032141E-4
strike |strike |strikes,2014100122,10378,1,9.635767970707265E-5
strike |strike |strikes,2014100121,12311,1,8.122816992933149E-5
strike |strike |strikes,2014100200,11724,5,4.2647560559535994E-4
strike |strike |strikes,2014100201,6861,30,0.004372540445999125
strike |strike |strikes,2014100309,9997,5,5.001500450135041E-4
strike |strike |strikes,2014100307,6926,13,0.001876985272884782
strike |strike |strikes,2014100204,8387,0,0.0
strike |strike |strikes,2014100308,8532,5,5.860290670417253E-4
strike |strike |strikes,2014100205,14882,1,6.719526945303051E-5
strike |strike |strikes,2014100305,3838,4,0.0010422094841063053
strike |strike |strikes,2014100202,5853,5,8.542627712284299E-4
strike |strike |strikes,2014100306,5526,4,7.238508867173362E-4
strike |strike |strikes,2014100203,5613,3,5.344735435595938E-4
strike |strike |strikes,2014100303,5043,27,0.005353955978584176
strike |strike |strikes,2014100208,9640,3,3.1120331950207467E-4
strike |strike |strikes,2014100304,4725,11,0.002328042328042328
strike |strike |strikes,2014100209,12321,3,2.4348672997321646E-4
strike |strike |strikes,2014100301,4480,4,8.928571428571428E-4
strike |strike |strikes,2014100206,9203,0,0.0
strike |strike |strikes,2014100302,8095,2,2.470660901791229E-4
