state |State |state |states,2014100223,8580,8,9.324009324009324E-4
state |State |state |states,2014100222,12009,3,2.498126405196103E-4
state |State |state |states,2014100221,14828,14,9.441596978688966E-4
state |State |state |states,2014100220,15090,13,8.614976805831676E-4
state |State |state |states,2014093023,7216,13,0.0018015521064301552
state |State |state |states,2014093020,2478,2,8.071025020177562E-4
state |State |state |states,2014093022,2524,2,7.92393026941363E-4
state |State |state |states,2014093021,2547,3,0.001177856301531213
state |State |state |states,2014100321,9080,8,8.81057268722467E-4
state |State |state |states,2014100322,8671,8,9.226156152692884E-4
state |State |state |states,2014100320,9381,22,0.0023451657605798957
state |State |state |states,2014100323,6929,11,0.0015875306682060903
state |State |state |states,2014100123,8836,7,7.922136713444998E-4
state |State |state |states,2014100122,10378,11,0.001059934476777799
state |State |state |states,2014100121,12311,14,0.0011371943790106408
state |State |state |states,2014100200,11724,7,5.97065847833504E-4
state |State |state |states,2014100201,6861,2,2.915026963999417E-4
state |State |state |states,2014100309,9997,13,0.0013003901170351106
state |State |state |states,2014100307,6926,9,0.0012994513427663876
state |State |state |states,2014100204,8387,0,0.0
state |State |state |states,2014100308,8532,14,0.0016408813877168307
state |State |state |states,2014100205,14882,1,6.719526945303051E-5
state |State |state |states,2014100305,3838,0,0.0
state |State |state |states,2014100202,5853,2,3.4170510849137196E-4
state |State |state |states,2014100306,5526,1,1.8096272167933406E-4
state |State |state |states,2014100203,5613,2,3.563156957063959E-4
state |State |state |states,2014100303,5043,1,1.98294665873488E-4
state |State |state |states,2014100208,9640,17,0.0017634854771784233
state |State |state |states,2014100304,4725,0,0.0
state |State |state |states,2014100209,12321,16,0.0012985958931904878
state |State |state |states,2014100301,4480,1,2.232142857142857E-4
state |State |state |states,2014100206,9203,4,4.346408779745735E-4
state |State |state |states,2014100302,8095,0,0.0
state |State |state |states,2014100207,9445,9,9.528851244044468E-4
state |State |state |states,2014100300,6707,4,5.963918294319368E-4
state |State |state |states,2014100106,45483,6,1.3191741969527076E-4
state |State |state |states,2014100105,7742,0,0.0
state |State |state |states,2014100104,8731,0,0.0
state |State |state |states,2014100103,1127,0,0.0
state |State |state |states,2014100102,2940,1,3.401360544217687E-4
state |State |state |states,2014100101,3598,4,0.0011117287381878821
state |State |state |states,2014100100,1816,0,0.0
state |State |state |states,2014100109,10999,16,0.001454677697972543
state |State |state |states,2014100108,14670,29,0.0019768234492160875
state |State |state |states,2014100107,32104,19,5.918265636680787E-4
state |State |state |states,2014100210,10300,16,0.0015533980582524273
state |State |state |states,2014100211,11008,32,0.0029069767441860465
state |State |state |states,2014100212,11567,21,0.0018155096394916572
state |State |state |states,2014100316,10537,11,0.0010439404004934992
state |State |state |states,2014100213,10976,19,0.0017310495626822158
