season |season |seasons,2014100223,8580,16,0.0018648018648018648
season |season |seasons,2014100222,12009,41,0.0034141060871013405
season |season |seasons,2014100221,14828,37,0.0024952792015106554
season |season |seasons,2014100220,15090,34,0.0022531477799867462
season |season |seasons,2014093023,7216,21,0.00291019955654102
season |season |seasons,2014093020,2478,11,0.00443906376109766
season |season |seasons,2014093022,2524,7,0.0027733755942947703
season |season |seasons,2014093021,2547,9,0.0035335689045936395
season |season |seasons,2014100321,9080,32,0.003524229074889868
season |season |seasons,2014100322,8671,39,0.004497751124437781
season |season |seasons,2014100320,9381,36,0.003837543971858011
season |season |seasons,2014100323,6929,20,0.002886419396738346
season |season |seasons,2014100123,8836,13,0.0014712539610683567
season |season |seasons,2014100122,10378,23,0.002216226633262671
season |season |seasons,2014100121,12311,37,0.0030054422873852654
season |season |seasons,2014100200,11724,19,0.0016206073012623677
season |season |seasons,2014100201,6861,6,8.745080891998251E-4
season |season |seasons,2014100309,9997,26,0.002600780234070221
season |season |seasons,2014100307,6926,10,0.0014438348252959862
season |season |seasons,2014100204,8387,1,1.192321449862883E-4
season |season |seasons,2014100308,8532,22,0.0025785278949835913
season |season |seasons,2014100205,14882,4,2.6878107781212203E-4
season |season |seasons,2014100305,3838,2,5.211047420531526E-4
season |season |seasons,2014100202,5853,5,8.542627712284299E-4
season |season |seasons,2014100306,5526,1,1.8096272167933406E-4
season |season |seasons,2014100203,5613,4,7.126313914127917E-4
season |season |seasons,2014100303,5043,2,3.96589331746976E-4
season |season |seasons,2014100208,9640,15,0.0015560165975103733
season |season |seasons,2014100304,4725,5,0.0010582010582010583
season |season |seasons,2014100209,12321,31,0.00251602954305657
season |season |seasons,2014100301,4480,6,0.0013392857142857143
season |season |seasons,2014100206,9203,7,7.606215364555037E-4
season |season |seasons,2014100302,8095,2,2.470660901791229E-4
season |season |seasons,2014100207,9445,20,0.0021175224986765486
season |season |seasons,2014100300,6707,9,0.0013418816162218577
season |season |seasons,2014100106,45483,14,3.0780731262229844E-4
season |season |seasons,2014100105,7742,1,1.291655902867476E-4
season |season |seasons,2014100104,8731,2,2.290688351849731E-4
season |season |seasons,2014100103,1127,0,0.0
season |season |seasons,2014100102,2940,2,6.802721088435374E-4
season |season |seasons,2014100101,3598,4,0.0011117287381878821
season |season |seasons,2014100100,1816,3,0.0016519823788546256
season |season |seasons,2014100109,10999,32,0.002909355395945086
season |season |seasons,2014100108,14670,35,0.0023858214042263124
season |season |seasons,2014100107,32104,12,3.73785198106155E-4
season |season |seasons,2014100210,10300,23,0.002233009708737864
season |season |seasons,2014100211,11008,30,0.0027252906976744187
season |season |seasons,2014100212,11567,46,0.003976830638886488
season |season |seasons,2014100316,10537,44,0.004175761601973997
season |season |seasons,2014100213,10976,30,0.0027332361516034984
season |season |seasons,2014100317,9832,19,0.0019324654190398698
season |season |seasons,2014100214,12210,15,0.0012285012285012285
season |season |seasons,2014100318,9075,22,0.0024242424242424242
season |season |seasons,2014100215,11832,28,0.0023664638269100743
season |season |seasons,2014100319,8645,41,0.004742625795257374
season |season |seasons,2014100216,10725,21,0.001958041958041958
season |season |seasons,2014100312,10661,17,0.0015945971297251665
season |season |seasons,2014100217,9835,33,0.003355363497712252
season |season |seasons,2014100313,9887,19,0.0019217153838373621
season |season |seasons,2014100218,9907,28,0.0028262844453416777
season |season |seasons,2014100314,9820,24,0.002443991853360489
season |season |seasons,2014100219,11100,32,0.002882882882882883
season |season |seasons,2014100420,8163,28,0.0034301114786230553
season |season |seasons,2014100315,10271,32,0.0031155681043715314
season |season |seasons,2014100120,12122,30,0.0024748391354561953
season |season |seasons,2014100421,8099,26,0.0032102728731942215
season |season |seasons,2014100422,8432,21,0.0024905123339658444
season |season |seasons,2014100423,6306,14,0.0022201078338090706
season |season |seasons,2014100310,10343,29,0.002803828676399497
season |season |seasons,2014100311,11400,23,0.002017543859649123
season |season |seasons,2014100115,14152,34,0.002402487280949689
season |season |seasons,2014100114,11535,11,9.536194191590811E-4
season |season |seasons,2014100117,11365,26,0.0022877254729432466
season |season |seasons,2014100116,10904,19,0.0017424798239178284
season |season |seasons,2014100111,9571,18,0.0018806812245324418
season |season |seasons,2014100110,9126,28,0.0030681569143107606
season |season |seasons,2014100823,5727,17,0.002968395320412083
season |season |seasons,2014100113,11543,21,0.0018192844147968466
season |season |seasons,2014100822,900,0,0.0
season |season |seasons,2014100112,11651,24,0.00205990902068492
season |season |seasons,2014100119,11403,45,0.003946329913180742
season |season |seasons,2014100118,10294,32,0.003108606955508063
season |season |seasons,2014100604,4638,2,4.3122035360068997E-4
season |season |seasons,2014100605,8675,8,9.221902017291067E-4
season |season |seasons,2014100700,5207,4,7.681966583445362E-4
season |season |seasons,2014100914,3191,9,0.002820432466311501
season |season |seasons,2014100602,8176,10,0.001223091976516634
season |season |seasons,2014100915,1000,5,0.005
season |season |seasons,2014100603,9384,8,8.525149190110827E-4
season |season |seasons,2014100912,2545,15,0.005893909626719057
season |season |seasons,2014100608,13680,24,0.0017543859649122807
season |season |seasons,2014100913,6771,31,0.004578348840643923
season |season |seasons,2014100609,13287,12,9.031384059607134E-4
season |season |seasons,2014100810,6053,31,0.005121427391376177
season |season |seasons,2014100606,4334,8,0.0018458698661744347
season |season |seasons,2014100607,6194,9,0.0014530190506942201
season |season |seasons,2014100707,4802,7,0.0014577259475218659
season |season |seasons,2014100813,7061,19,0.002690836991927489
season |season |seasons,2014100708,5400,12,0.0022222222222222222
season |season |seasons,2014100814,6011,15,0.002495425054067543
season |season |seasons,2014100705,2740,1,3.64963503649635E-4
season |season |seasons,2014100811,6604,23,0.0034827377347062386
season |season |seasons,2014100706,3398,3,8.828722778104767E-4
season |season |seasons,2014100812,5896,25,0.004240162822252374
season |season |seasons,2014100817,6743,24,0.0035592466261308024
season |season |seasons,2014100600,15771,29,0.0018388180838247415
season |season |seasons,2014100703,5792,3,5.179558011049724E-4
season |season |seasons,2014100818,7400,16,0.002162162162162162
season |season |seasons,2014100601,8669,5,5.767677932864229E-4
season |season |seasons,2014100704,3010,3,9.966777408637873E-4
season |season |seasons,2014100815,5628,21,0.0037313432835820895
season |season |seasons,2014100701,13455,3,2.229654403567447E-4
season |season |seasons,2014100816,7857,23,0.0029273259513809343
season |season |seasons,2014100702,8524,1,1.1731581417175035E-4
season |season |seasons,2014100509,9287,16,0.0017228383762248303
season |season |seasons,2014100508,6498,6,9.233610341643582E-4
season |season |seasons,2014100819,4300,10,0.002325581395348837
season |season |seasons,2014100507,16911,10,5.913310862752055E-4
season |season |seasons,2014100403,6749,8,0.001185360794191732
season |season |seasons,2014100506,11836,2,1.6897600540723216E-4
season |season |seasons,2014100402,6613,14,0.0021170421896264933
season |season |seasons,2014100505,6487,2,3.083089255433945E-4
season |season |seasons,2014100401,4570,9,0.0019693654266958426
season |season |seasons,2014100504,3861,7,0.001813001813001813
season |season |seasons,2014100400,5285,17,0.003216650898770104
season |season |seasons,2014100503,4540,3,6.607929515418502E-4
season |season |seasons,2014100709,5572,24,0.004307250538406317
season |season |seasons,2014100407,7111,14,0.0019687807621994093
season |season |seasons,2014100406,10763,10,9.291089844838799E-4
season |season |seasons,2014100501,6148,20,0.0032530904359141183
season |season |seasons,2014100405,10366,5,4.823461315840247E-4
season |season |seasons,2014100500,11540,21,0.0018197573656845755
season |season |seasons,2014100404,3086,4,0.0012961762799740765
season |season |seasons,2014100409,9932,25,0.0025171163914619412
season |season |seasons,2014100408,10458,20,0.0019124115509657677
season |season |seasons,2014100903,4141,10,0.002414875633904854
season |season |seasons,2014100613,12260,27,0.002202283849918434
season |season |seasons,2014100904,4854,6,0.0012360939431396785
season |season |seasons,2014100614,10247,21,0.0020493803064311504
season |season |seasons,2014100905,7777,3,3.8575286100038574E-4
season |season |seasons,2014100615,8801,28,0.003181456652653108
season |season |seasons,2014100710,7431,19,0.0025568564123267393
season |season |seasons,2014100906,3505,8,0.002282453637660485
season |season |seasons,2014100616,10833,33,0.0030462475768485184
season |season |seasons,2014100711,13474,49,0.003636633516401959
season |season |seasons,2014100617,11523,32,0.0027770545864792156
season |season |seasons,2014100900,3864,10,0.002587991718426501
season |season |seasons,2014100618,10834,29,0.0026767583533321027
season |season |seasons,2014100901,3052,10,0.00327653997378768
season |season |seasons,2014100619,10472,21,0.002005347593582888
season |season |seasons,2014100902,4916,6,0.0012205044751830757
season |season |seasons,2014100716,9756,67,0.006867568675686757
season |season |seasons,2014100800,3418,11,0.0032182562902282035
season |season |seasons,2014100717,12018,42,0.003494757863205192
season |season |seasons,2014100801,4912,3,6.107491856677524E-4
season |season |seasons,2014100718,9824,34,0.0034609120521172636
season |season |seasons,2014100802,4582,4,8.729812309035355E-4
season |season |seasons,2014100719,8904,40,0.004492362982929021
season |season |seasons,2014100803,4750,2,4.210526315789474E-4
season |season |seasons,2014100712,10146,39,0.00384387936132466
season |season |seasons,2014100804,8238,2,2.4277737314882253E-4
season |season |seasons,2014100610,8565,23,0.0026853473438412144
season |season |seasons,2014100713,7382,32,0.004334868599295584
season |season |seasons,2014100805,6904,2,2.8968713789107763E-4
season |season |seasons,2014100611,8676,24,0.0027662517289073307
season |season |seasons,2014100714,9294,25,0.002689907467183129
season |season |seasons,2014100806,7696,10,0.0012993762993762994
season |season |seasons,2014100612,7761,11,0.0014173431258858395
season |season |seasons,2014100715,8494,39,0.004591476336237344
season |season |seasons,2014100807,6298,13,0.00206414734836456
season |season |seasons,2014100519,13547,18,0.0013287074629069167
season |season |seasons,2014100809,5933,13,0.0021911343333895165
season |season |seasons,2014100518,12589,28,0.0022241639526570816
season |season |seasons,2014100808,7916,37,0.004674077817079333
season |season |seasons,2014100410,8297,35,0.004218392189948174
season |season |seasons,2014100412,8252,25,0.0030295685894328648
season |season |seasons,2014100515,6526,25,0.003830830524057616
season |season |seasons,2014100411,8736,44,0.005036630036630037
season |season |seasons,2014100514,7337,17,0.002317023306528554
season |season |seasons,2014100414,8029,15,0.0018682276746792876
season |season |seasons,2014100517,16635,14,8.415990381725278E-4
season |season |seasons,2014100413,7649,32,0.0041835534056739445
season |season |seasons,2014100516,7164,29,0.004048017867113345
season |season |seasons,2014100416,8535,13,0.0015231400117164617
season |season |seasons,2014100511,8203,22,0.0026819456296476897
season |season |seasons,2014100415,9288,17,0.0018303186907838072
season |season |seasons,2014100510,7389,20,0.002706726214643389
season |season |seasons,2014100418,8794,29,0.003297702979304071
