friday |Friday,2014100223,8580,6,6.993006993006993E-4
friday |Friday,2014100222,12009,18,0.0014988758431176618
friday |Friday,2014100221,14828,20,0.001348799568384138
friday |Friday,2014100220,15090,8,5.301524188204108E-4
friday |Friday,2014093023,7216,4,5.543237250554324E-4
friday |Friday,2014093020,2478,1,4.035512510088781E-4
friday |Friday,2014093022,2524,3,0.0011885895404120444
friday |Friday,2014093021,2547,2,7.852375343541421E-4
friday |Friday,2014100321,9080,46,0.005066079295154185
friday |Friday,2014100322,8671,31,0.0035751355091684926
friday |Friday,2014100320,9381,59,0.006289308176100629
friday |Friday,2014100323,6929,25,0.0036080242459229327
friday |Friday,2014100123,8836,12,0.001358080579447714
friday |Friday,2014100122,10378,7,6.745037579495086E-4
friday |Friday,2014100121,12311,6,4.8736901957598897E-4
friday |Friday,2014100200,11724,5,4.2647560559535994E-4
friday |Friday,2014100201,6861,0,0.0
friday |Friday,2014100309,9997,42,0.004201260378113434
friday |Friday,2014100307,6926,36,0.0051978053710655505
friday |Friday,2014100204,8387,1,1.192321449862883E-4
friday |Friday,2014100308,8532,39,0.004571026722925457
friday |Friday,2014100205,14882,2,1.3439053890606102E-4
friday |Friday,2014100305,3838,5,0.0013027618551328818
friday |Friday,2014100202,5853,3,5.125576627370579E-4
friday |Friday,2014100306,5526,33,0.005971769815418024
friday |Friday,2014100203,5613,3,5.344735435595938E-4
friday |Friday,2014100303,5043,3,5.94883997620464E-4
friday |Friday,2014100208,9640,7,7.261410788381743E-4
friday |Friday,2014100304,4725,2,4.232804232804233E-4
friday |Friday,2014100209,12321,14,0.0011362714065416767
friday |Friday,2014100301,4480,2,4.464285714285714E-4
friday |Friday,2014100206,9203,5,5.433010974682169E-4
friday |Friday,2014100302,8095,3,3.705991352686844E-4
friday |Friday,2014100207,9445,7,7.41132874536792E-4
friday |Friday,2014100300,6707,8,0.0011927836588638736
friday |Friday,2014100106,45483,7,1.5390365631114922E-4
friday |Friday,2014100105,7742,2,2.583311805734952E-4
friday |Friday,2014100104,8731,0,0.0
friday |Friday,2014100103,1127,1,8.873114463176575E-4
friday |Friday,2014100102,2940,1,3.401360544217687E-4
friday |Friday,2014100101,3598,3,8.337965536409116E-4
friday |Friday,2014100100,1816,2,0.0011013215859030838
friday |Friday,2014100109,10999,12,0.0010910082734794072
friday |Friday,2014100108,14670,3,2.0449897750511248E-4
friday |Friday,2014100107,32104,9,2.8033889857961624E-4
friday |Friday,2014100210,10300,8,7.766990291262136E-4
friday |Friday,2014100211,11008,9,8.175872093023256E-4
friday |Friday,2014100212,11567,11,9.509812397337252E-4
friday |Friday,2014100316,10537,46,0.004365568947518269
friday |Friday,2014100213,10976,10,9.110787172011661E-4
friday |Friday,2014100317,9832,68,0.006916192026037429
friday |Friday,2014100214,12210,9,7.371007371007371E-4
friday |Friday,2014100318,9075,61,0.006721763085399449
friday |Friday,2014100215,11832,11,9.296822177146721E-4
friday |Friday,2014100319,8645,76,0.008791208791208791
friday |Friday,2014100216,10725,10,9.324009324009324E-4
friday |Friday,2014100312,10661,46,0.00431479223337398
friday |Friday,2014100217,9835,9,9.150991357397051E-4
friday |Friday,2014100313,9887,35,0.0035400020228582986
friday |Friday,2014100218,9907,12,0.0012112647622892904
friday |Friday,2014100314,9820,37,0.0037678207739307535
friday |Friday,2014100219,11100,11,9.90990990990991E-4
friday |Friday,2014100420,8163,4,4.900159255175794E-4
friday |Friday,2014100315,10271,51,0.004965436666342128
friday |Friday,2014100120,12122,11,9.074410163339383E-4
friday |Friday,2014100421,8099,5,6.173601679219657E-4
friday |Friday,2014100422,8432,3,3.557874762808349E-4
friday |Friday,2014100423,6306,3,4.757373929590866E-4
friday |Friday,2014100310,10343,37,0.0035772986560959103
friday |Friday,2014100311,11400,28,0.002456140350877193
friday |Friday,2014100115,14152,16,0.0011305822498586771
friday |Friday,2014100114,11535,9,7.802340702210664E-4
friday |Friday,2014100117,11365,16,0.0014078310602727673
friday |Friday,2014100116,10904,11,0.0010088041085840058
friday |Friday,2014100111,9571,12,0.0012537874830216278
friday |Friday,2014100110,9126,13,0.0014245014245014246
friday |Friday,2014100823,5727,4,6.984459577440195E-4
friday |Friday,2014100113,11543,11,9.529585029888244E-4
friday |Friday,2014100822,900,0,0.0
friday |Friday,2014100112,11651,21,0.0018024203930993047
friday |Friday,2014100119,11403,19,0.0016662281855652022
friday |Friday,2014100118,10294,14,0.0013600155430347775
friday |Friday,2014100604,4638,2,4.3122035360068997E-4
friday |Friday,2014100605,8675,0,0.0
friday |Friday,2014100700,5207,5,9.602458229306702E-4
friday |Friday,2014100914,3191,1,3.1338138514572234E-4
friday |Friday,2014100602,8176,3,3.669275929549902E-4
friday |Friday,2014100915,1000,1,0.001
friday |Friday,2014100603,9384,0,0.0
friday |Friday,2014100912,2545,4,0.0015717092337917485
friday |Friday,2014100608,13680,9,6.578947368421052E-4
friday |Friday,2014100913,6771,9,0.001329198050509526
