investigation |investigations |Investigation |investigation |Investigations,2014100223,8580,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100222,12009,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100221,14828,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100220,15090,2,1.325381047051027E-4
investigation |investigations |Investigation |investigation |Investigations,2014093023,7216,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014093020,2478,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014093022,2524,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014093021,2547,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100321,9080,2,2.2026431718061675E-4
investigation |investigations |Investigation |investigation |Investigations,2014100322,8671,2,2.306539038173221E-4
investigation |investigations |Investigation |investigation |Investigations,2014100320,9381,3,3.197953309881676E-4
investigation |investigations |Investigation |investigation |Investigations,2014100323,6929,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100123,8836,1,1.1317338162064282E-4
investigation |investigations |Investigation |investigation |Investigations,2014100122,10378,2,1.927153594141453E-4
investigation |investigations |Investigation |investigation |Investigations,2014100121,12311,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100200,11724,2,1.70590242238144E-4
investigation |investigations |Investigation |investigation |Investigations,2014100201,6861,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100309,9997,15,0.0015004501350405122
investigation |investigations |Investigation |investigation |Investigations,2014100307,6926,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100204,8387,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100308,8532,10,0.0011720581340834506
investigation |investigations |Investigation |investigation |Investigations,2014100205,14882,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100305,3838,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100202,5853,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100306,5526,1,1.8096272167933406E-4
investigation |investigations |Investigation |investigation |Investigations,2014100203,5613,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100303,5043,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100208,9640,6,6.224066390041493E-4
investigation |investigations |Investigation |investigation |Investigations,2014100304,4725,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100209,12321,4,3.2464897329762194E-4
investigation |investigations |Investigation |investigation |Investigations,2014100301,4480,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100206,9203,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100302,8095,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100207,9445,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100300,6707,1,1.490979573579842E-4
investigation |investigations |Investigation |investigation |Investigations,2014100106,45483,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100105,7742,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100104,8731,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100103,1127,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100102,2940,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100101,3598,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100100,1816,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100109,10999,1,9.091735612328394E-5
investigation |investigations |Investigation |investigation |Investigations,2014100108,14670,3,2.0449897750511248E-4
investigation |investigations |Investigation |investigation |Investigations,2014100107,32104,1,3.114876650884625E-5
investigation |investigations |Investigation |investigation |Investigations,2014100210,10300,18,0.0017475728155339806
investigation |investigations |Investigation |investigation |Investigations,2014100211,11008,5,4.5421511627906976E-4
investigation |investigations |Investigation |investigation |Investigations,2014100212,11567,4,3.458113599031728E-4
investigation |investigations |Investigation |investigation |Investigations,2014100316,10537,5,4.745183638606814E-4
investigation |investigations |Investigation |investigation |Investigations,2014100213,10976,7,6.377551020408163E-4
investigation |investigations |Investigation |investigation |Investigations,2014100317,9832,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100214,12210,5,4.095004095004095E-4
investigation |investigations |Investigation |investigation |Investigations,2014100318,9075,1,1.1019283746556474E-4
investigation |investigations |Investigation |investigation |Investigations,2014100215,11832,2,1.6903313049357674E-4
investigation |investigations |Investigation |investigation |Investigations,2014100319,8645,4,4.626951995373048E-4
investigation |investigations |Investigation |investigation |Investigations,2014100216,10725,3,2.797202797202797E-4
investigation |investigations |Investigation |investigation |Investigations,2014100312,10661,9,8.441984804427352E-4
investigation |investigations |Investigation |investigation |Investigations,2014100217,9835,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100313,9887,2,2.0228582987761708E-4
investigation |investigations |Investigation |investigation |Investigations,2014100218,9907,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100314,9820,3,3.054989816700611E-4
investigation |investigations |Investigation |investigation |Investigations,2014100219,11100,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100420,8163,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100315,10271,2,1.947230065232207E-4
investigation |investigations |Investigation |investigation |Investigations,2014100120,12122,7,5.774624649397789E-4
investigation |investigations |Investigation |investigation |Investigations,2014100421,8099,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100422,8432,2,2.3719165085388995E-4
investigation |investigations |Investigation |investigation |Investigations,2014100423,6306,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100310,10343,5,4.8341873731025815E-4
investigation |investigations |Investigation |investigation |Investigations,2014100311,11400,5,4.385964912280702E-4
investigation |investigations |Investigation |investigation |Investigations,2014100115,14152,5,3.5330695308083665E-4
investigation |investigations |Investigation |investigation |Investigations,2014100114,11535,2,1.7338534893801473E-4
investigation |investigations |Investigation |investigation |Investigations,2014100117,11365,4,3.519577650681918E-4
investigation |investigations |Investigation |investigation |Investigations,2014100116,10904,3,2.751283932501834E-4
investigation |investigations |Investigation |investigation |Investigations,2014100111,9571,1,1.0448229025180232E-4
investigation |investigations |Investigation |investigation |Investigations,2014100110,9126,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100823,5727,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100113,11543,15,0.0012994888677120332
investigation |investigations |Investigation |investigation |Investigations,2014100822,900,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100112,11651,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100119,11403,2,1.7539244058581075E-4
investigation |investigations |Investigation |investigation |Investigations,2014100118,10294,2,1.9428793471925395E-4
investigation |investigations |Investigation |investigation |Investigations,2014100604,4638,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100605,8675,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100700,5207,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100914,3191,2,6.267627702914447E-4
investigation |investigations |Investigation |investigation |Investigations,2014100602,8176,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100915,1000,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100603,9384,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100912,2545,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100608,13680,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100913,6771,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100609,13287,1,7.526153383005946E-5
investigation |investigations |Investigation |investigation |Investigations,2014100810,6053,2,3.3041467041136624E-4
investigation |investigations |Investigation |investigation |Investigations,2014100606,4334,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100607,6194,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100707,4802,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100813,7061,1,1.41622999575131E-4
investigation |investigations |Investigation |investigation |Investigations,2014100708,5400,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100814,6011,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100705,2740,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100811,6604,1,1.5142337976983646E-4
investigation |investigations |Investigation |investigation |Investigations,2014100706,3398,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100812,5896,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100817,6743,1,1.4830194275545008E-4
investigation |investigations |Investigation |investigation |Investigations,2014100600,15771,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100703,5792,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100818,7400,1,1.3513513513513514E-4
investigation |investigations |Investigation |investigation |Investigations,2014100601,8669,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100704,3010,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100815,5628,1,1.7768301350390902E-4
investigation |investigations |Investigation |investigation |Investigations,2014100701,13455,1,7.432181345224824E-5
investigation |investigations |Investigation |investigation |Investigations,2014100816,7857,1,1.2727504136438844E-4
investigation |investigations |Investigation |investigation |Investigations,2014100702,8524,1,1.1731581417175035E-4
investigation |investigations |Investigation |investigation |Investigations,2014100509,9287,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100508,6498,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100819,4300,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100507,16911,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100403,6749,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100506,11836,1,8.448800270361608E-5
investigation |investigations |Investigation |investigation |Investigations,2014100402,6613,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100505,6487,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100401,4570,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100504,3861,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100400,5285,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100503,4540,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100709,5572,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100407,7111,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100406,10763,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100501,6148,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100405,10366,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100500,11540,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100404,3086,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100409,9932,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100408,10458,1,9.562057754828839E-5
investigation |investigations |Investigation |investigation |Investigations,2014100903,4141,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100613,12260,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100904,4854,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100614,10247,2,1.9517907680296673E-4
investigation |investigations |Investigation |investigation |Investigations,2014100905,7777,2,2.5716857400025716E-4
investigation |investigations |Investigation |investigation |Investigations,2014100615,8801,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100710,7431,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100906,3505,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100616,10833,1,9.231053263177328E-5
investigation |investigations |Investigation |investigation |Investigations,2014100711,13474,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100617,11523,1,8.678295582747549E-5
investigation |investigations |Investigation |investigation |Investigations,2014100900,3864,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100618,10834,4,3.6920804873546244E-4
investigation |investigations |Investigation |investigation |Investigations,2014100901,3052,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100619,10472,3,2.8647822765469827E-4
investigation |investigations |Investigation |investigation |Investigations,2014100902,4916,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100716,9756,0,0.0
