wednesday |Wednesday,2014100223,8580,4,4.662004662004662E-4
wednesday |Wednesday,2014100222,12009,2,1.6654176034640685E-4
wednesday |Wednesday,2014100221,14828,16,0.0010790396547073105
wednesday |Wednesday,2014100220,15090,7,4.6388336646785953E-4
wednesday |Wednesday,2014093023,7216,5,6.929046563192905E-4
wednesday |Wednesday,2014093020,2478,1,4.035512510088781E-4
wednesday |Wednesday,2014093022,2524,1,3.961965134706815E-4
wednesday |Wednesday,2014093021,2547,0,0.0
wednesday |Wednesday,2014100321,9080,3,3.303964757709251E-4
wednesday |Wednesday,2014100322,8671,1,1.1532695190866105E-4
wednesday |Wednesday,2014100320,9381,2,2.1319688732544505E-4
wednesday |Wednesday,2014100323,6929,1,1.443209698369173E-4
wednesday |Wednesday,2014100123,8836,6,6.79040289723857E-4
wednesday |Wednesday,2014100122,10378,13,0.0012526498361919445
wednesday |Wednesday,2014100121,12311,10,8.12281699293315E-4
wednesday |Wednesday,2014100200,11724,5,4.2647560559535994E-4
wednesday |Wednesday,2014100201,6861,1,1.4575134819997084E-4
wednesday |Wednesday,2014100309,9997,3,3.0009002700810244E-4
wednesday |Wednesday,2014100307,6926,2,2.8876696505919725E-4
wednesday |Wednesday,2014100204,8387,0,0.0
wednesday |Wednesday,2014100308,8532,7,8.204406938584154E-4
wednesday |Wednesday,2014100205,14882,3,2.0158580835909153E-4
wednesday |Wednesday,2014100305,3838,2,5.211047420531526E-4
wednesday |Wednesday,2014100202,5853,0,0.0
wednesday |Wednesday,2014100306,5526,0,0.0
wednesday |Wednesday,2014100203,5613,1,1.7815784785319794E-4
wednesday |Wednesday,2014100303,5043,0,0.0
wednesday |Wednesday,2014100208,9640,5,5.186721991701245E-4
wednesday |Wednesday,2014100304,4725,0,0.0
wednesday |Wednesday,2014100209,12321,3,2.4348672997321646E-4
wednesday |Wednesday,2014100301,4480,1,2.232142857142857E-4
wednesday |Wednesday,2014100206,9203,2,2.1732043898728675E-4
wednesday |Wednesday,2014100302,8095,2,2.470660901791229E-4
wednesday |Wednesday,2014100207,9445,3,3.1762837480148225E-4
wednesday |Wednesday,2014100300,6707,2,2.981959147159684E-4
wednesday |Wednesday,2014100106,45483,13,2.8582107600642E-4
wednesday |Wednesday,2014100105,7742,2,2.583311805734952E-4
wednesday |Wednesday,2014100104,8731,0,0.0
wednesday |Wednesday,2014100103,1127,0,0.0
wednesday |Wednesday,2014100102,2940,1,3.401360544217687E-4
wednesday |Wednesday,2014100101,3598,0,0.0
wednesday |Wednesday,2014100100,1816,0,0.0
wednesday |Wednesday,2014100109,10999,9,8.182562051095554E-4
wednesday |Wednesday,2014100108,14670,9,6.134969325153375E-4
wednesday |Wednesday,2014100107,32104,13,4.0493396461500127E-4
wednesday |Wednesday,2014100210,10300,4,3.883495145631068E-4
wednesday |Wednesday,2014100211,11008,4,3.633720930232558E-4
wednesday |Wednesday,2014100212,11567,8,6.916227198063456E-4
wednesday |Wednesday,2014100316,10537,2,1.8980734554427256E-4
wednesday |Wednesday,2014100213,10976,3,2.7332361516034986E-4
wednesday |Wednesday,2014100317,9832,3,3.051261187957689E-4
wednesday |Wednesday,2014100214,12210,1,8.19000819000819E-5
wednesday |Wednesday,2014100318,9075,2,2.2038567493112948E-4
wednesday |Wednesday,2014100215,11832,3,2.535496957403651E-4
wednesday |Wednesday,2014100319,8645,1,1.156737998843262E-4
wednesday |Wednesday,2014100216,10725,0,0.0
wednesday |Wednesday,2014100312,10661,2,1.8759966232060783E-4
wednesday |Wednesday,2014100217,9835,14,0.0014234875444839859
