war |wars |war,2014100223,8580,8,9.324009324009324E-4
war |wars |war,2014100222,12009,14,0.001165792322424848
war |wars |war,2014100221,14828,7,4.720798489344483E-4
war |wars |war,2014100220,15090,8,5.301524188204108E-4
war |wars |war,2014093023,7216,10,0.001385809312638581
war |wars |war,2014093020,2478,2,8.071025020177562E-4
war |wars |war,2014093022,2524,1,3.961965134706815E-4
war |wars |war,2014093021,2547,3,0.001177856301531213
war |wars |war,2014100321,9080,15,0.0016519823788546256
war |wars |war,2014100322,8671,5,5.766347595433052E-4
war |wars |war,2014100320,9381,7,7.461891056390577E-4
war |wars |war,2014100323,6929,4,5.772838793476692E-4
war |wars |war,2014100123,8836,7,7.922136713444998E-4
war |wars |war,2014100122,10378,13,0.0012526498361919445
war |wars |war,2014100121,12311,13,0.0010559662090813093
war |wars |war,2014100200,11724,6,5.117707267144319E-4
war |wars |war,2014100201,6861,9,0.0013117621337997377
war |wars |war,2014100309,9997,11,0.001100330099029709
war |wars |war,2014100307,6926,8,0.001155067860236789
war |wars |war,2014100204,8387,0,0.0
war |wars |war,2014100308,8532,9,0.0010548523206751054
war |wars |war,2014100205,14882,2,1.3439053890606102E-4
war |wars |war,2014100305,3838,2,5.211047420531526E-4
war |wars |war,2014100202,5853,2,3.4170510849137196E-4
war |wars |war,2014100306,5526,4,7.238508867173362E-4
war |wars |war,2014100203,5613,4,7.126313914127917E-4
war |wars |war,2014100303,5043,1,1.98294665873488E-4
war |wars |war,2014100208,9640,26,0.0026970954356846473
war |wars |war,2014100304,4725,2,4.232804232804233E-4
war |wars |war,2014100209,12321,14,0.0011362714065416767
war |wars |war,2014100301,4480,5,0.0011160714285714285
war |wars |war,2014100206,9203,19,0.0020645441703792244
war |wars |war,2014100302,8095,4,4.941321803582458E-4
war |wars |war,2014100207,9445,27,0.0028586553732133403
war |wars |war,2014100300,6707,4,5.963918294319368E-4
war |wars |war,2014100106,45483,0,0.0
war |wars |war,2014100105,7742,0,0.0
war |wars |war,2014100104,8731,1,1.1453441759248655E-4
war |wars |war,2014100103,1127,0,0.0
war |wars |war,2014100102,2940,0,0.0
war |wars |war,2014100101,3598,2,5.558643690939411E-4
war |wars |war,2014100100,1816,0,0.0
war |wars |war,2014100109,10999,12,0.0010910082734794072
war |wars |war,2014100108,14670,13,8.861622358554874E-4
war |wars |war,2014100107,32104,12,3.73785198106155E-4
war |wars |war,2014100210,10300,36,0.003495145631067961
war |wars |war,2014100211,11008,17,0.0015443313953488371
war |wars |war,2014100212,11567,11,9.509812397337252E-4
war |wars |war,2014100316,10537,16,0.0015184587643541805
war |wars |war,2014100213,10976,34,0.003097667638483965
war |wars |war,2014100317,9832,23,0.002339300244100895
war |wars |war,2014100214,12210,28,0.002293202293202293
war |wars |war,2014100318,9075,12,0.001322314049586777
war |wars |war,2014100215,11832,12,0.0010141987829614604
war |wars |war,2014100319,8645,20,0.002313475997686524
war |wars |war,2014100216,10725,25,0.002331002331002331
war |wars |war,2014100312,10661,45,0.004220992402213676
war |wars |war,2014100217,9835,19,0.0019318759532282665
war |wars |war,2014100313,9887,44,0.004450288257307576
war |wars |war,2014100218,9907,17,0.0017159584132431613
war |wars |war,2014100314,9820,9,9.164969450101833E-4
war |wars |war,2014100219,11100,11,9.90990990990991E-4
war |wars |war,2014100420,8163,15,0.0018375597206909224
war |wars |war,2014100315,10271,38,0.0036997371239411935
war |wars |war,2014100120,12122,18,0.0014849034812737172
war |wars |war,2014100421,8099,14,0.001728608470181504
war |wars |war,2014100422,8432,4,4.743833017077799E-4
war |wars |war,2014100423,6306,2,3.171582619727244E-4
war |wars |war,2014100310,10343,8,7.73469979696413E-4
war |wars |war,2014100311,11400,4,3.508771929824561E-4
war |wars |war,2014100115,14152,13,9.185980780101752E-4
war |wars |war,2014100114,11535,9,7.802340702210664E-4
war |wars |war,2014100117,11365,19,0.0016717993840739112
war |wars |war,2014100116,10904,18,0.0016507703595011005
war |wars |war,2014100111,9571,15,0.0015672343537770348
war |wars |war,2014100110,9126,14,0.0015340784571553803
war |wars |war,2014100823,5727,6,0.0010476689366160294
war |wars |war,2014100113,11543,4,3.465303647232089E-4
war |wars |war,2014100822,900,3,0.0033333333333333335
war |wars |war,2014100112,11651,6,5.1497725517123E-4
war |wars |war,2014100119,11403,24,0.002104709287029729
war |wars |war,2014100118,10294,10,9.714396735962696E-4
war |wars |war,2014100604,4638,9,0.0019404915912031048
war |wars |war,2014100605,8675,7,8.069164265129683E-4
war |wars |war,2014100700,5207,3,5.761474937584022E-4
war |wars |war,2014100914,3191,13,0.00407395800689439
war |wars |war,2014100602,8176,5,6.11545988258317E-4
war |wars |war,2014100915,1000,5,0.005
war |wars |war,2014100603,9384,5,5.328218243819267E-4
war |wars |war,2014100912,2545,6,0.002357563850687623
war |wars |war,2014100608,13680,55,0.00402046783625731
war |wars |war,2014100913,6771,31,0.004578348840643923
war |wars |war,2014100609,13287,36,0.0027094152178821405
war |wars |war,2014100810,6053,10,0.0016520733520568314
war |wars |war,2014100606,4334,3,6.922011998154131E-4
war |wars |war,2014100607,6194,17,0.002744591540200194
war |wars |war,2014100707,4802,11,0.0022907122032486465
war |wars |war,2014100813,7061,11,0.001557852995326441
war |wars |war,2014100708,5400,12,0.0022222222222222222
war |wars |war,2014100814,6011,7,0.0011645316918981866
war |wars |war,2014100705,2740,0,0.0
war |wars |war,2014100811,6604,8,0.0012113870381586917
war |wars |war,2014100706,3398,4,0.0011771630370806356
war |wars |war,2014100812,5896,12,0.0020352781546811396
war |wars |war,2014100817,6743,15,0.0022245291413317513
war |wars |war,2014100600,15771,11,6.974827214507641E-4
war |wars |war,2014100703,5792,5,8.632596685082873E-4
war |wars |war,2014100818,7400,7,9.459459459459459E-4
war |wars |war,2014100601,8669,5,5.767677932864229E-4
war |wars |war,2014100704,3010,2,6.64451827242525E-4
war |wars |war,2014100815,5628,21,0.0037313432835820895
war |wars |war,2014100701,13455,5,3.716090672612412E-4
war |wars |war,2014100816,7857,7,8.909252895507191E-4
war |wars |war,2014100702,8524,1,1.1731581417175035E-4
war |wars |war,2014100509,9287,6,6.460643910843114E-4
war |wars |war,2014100508,6498,9,0.0013850415512465374
war |wars |war,2014100819,4300,7,0.0016279069767441861
war |wars |war,2014100507,16911,1,5.913310862752055E-5
war |wars |war,2014100403,6749,1,1.481700992739665E-4
war |wars |war,2014100506,11836,7,5.914160189253126E-4
war |wars |war,2014100402,6613,11,0.0016633902918493876
war |wars |war,2014100505,6487,0,0.0
war |wars |war,2014100401,4570,6,0.001312910284463895
war |wars |war,2014100504,3861,3,7.77000777000777E-4
war |wars |war,2014100400,5285,9,0.0017029328287606433
war |wars |war,2014100503,4540,3,6.607929515418502E-4
war |wars |war,2014100709,5572,21,0.0037688442211055275
war |wars |war,2014100407,7111,7,9.843903810997047E-4
war |wars |war,2014100406,10763,5,4.6455449224193997E-4
war |wars |war,2014100501,6148,1,1.6265452179570593E-4
war |wars |war,2014100405,10366,4,3.8587690526721975E-4
war |wars |war,2014100500,11540,2,1.733102253032929E-4
war |wars |war,2014100404,3086,0,0.0
war |wars |war,2014100409,9932,15,0.0015102698348771646
war |wars |war,2014100408,10458,16,0.0015299292407726143
war |wars |war,2014100903,4141,665,0.1605892296546728
war |wars |war,2014100613,12260,16,0.0013050570962479609
war |wars |war,2014100904,4854,977,0.20127729707457767
war |wars |war,2014100614,10247,7,6.831267688103836E-4
war |wars |war,2014100905,7777,217,0.0279027902790279
war |wars |war,2014100615,8801,8,9.08987615043745E-4
war |wars |war,2014100710,7431,21,0.002825999192571659
war |wars |war,2014100906,3505,142,0.04051355206847361
war |wars |war,2014100616,10833,24,0.002215452783162559
war |wars |war,2014100711,13474,19,0.0014101232002374944
war |wars |war,2014100617,11523,17,0.0014753102490670832
war |wars |war,2014100900,3864,3,7.763975155279503E-4
war |wars |war,2014100618,10834,18,0.001661436219309581
war |wars |war,2014100901,3052,3,9.82961992136304E-4
war |wars |war,2014100619,10472,15,0.0014323911382734913
war |wars |war,2014100902,4916,2,4.068348250610252E-4
war |wars |war,2014100716,9756,33,0.0033825338253382535
war |wars |war,2014100800,3418,10,0.002925687536571094
war |wars |war,2014100717,12018,29,0.0024130470960226327
war |wars |war,2014100801,4912,5,0.001017915309446254
war |wars |war,2014100718,9824,26,0.0026465798045602605
