force |force |forces,2014100223,8580,3,3.4965034965034965E-4
force |force |forces,2014100222,12009,7,5.82896161212424E-4
force |force |forces,2014100221,14828,6,4.046398705152414E-4
force |force |forces,2014100220,15090,4,2.650762094102054E-4
force |force |forces,2014093023,7216,6,8.314855875831486E-4
force |force |forces,2014093020,2478,0,0.0
force |force |forces,2014093022,2524,0,0.0
force |force |forces,2014093021,2547,1,3.9261876717707107E-4
force |force |forces,2014100321,9080,1,1.1013215859030837E-4
force |force |forces,2014100322,8671,11,0.0012685964709952715
force |force |forces,2014100320,9381,14,0.0014923782112781154
force |force |forces,2014100323,6929,1,1.443209698369173E-4
force |force |forces,2014100123,8836,4,4.526935264825713E-4
force |force |forces,2014100122,10378,0,0.0
force |force |forces,2014100121,12311,5,4.061408496466575E-4
force |force |forces,2014100200,11724,2,1.70590242238144E-4
force |force |forces,2014100201,6861,2,2.915026963999417E-4
force |force |forces,2014100309,9997,8,8.002400720216065E-4
force |force |forces,2014100307,6926,3,4.331504475887958E-4
force |force |forces,2014100204,8387,2,2.384642899725766E-4
force |force |forces,2014100308,8532,3,3.5161744022503517E-4
force |force |forces,2014100205,14882,2,1.3439053890606102E-4
force |force |forces,2014100305,3838,0,0.0
force |force |forces,2014100202,5853,2,3.4170510849137196E-4
force |force |forces,2014100306,5526,1,1.8096272167933406E-4
force |force |forces,2014100203,5613,1,1.7815784785319794E-4
force |force |forces,2014100303,5043,6,0.001189767995240928
force |force |forces,2014100208,9640,9,9.336099585062241E-4
force |force |forces,2014100304,4725,0,0.0
force |force |forces,2014100209,12321,2,1.6232448664881097E-4
force |force |forces,2014100301,4480,4,8.928571428571428E-4
force |force |forces,2014100206,9203,0,0.0
force |force |forces,2014100302,8095,3,3.705991352686844E-4
force |force |forces,2014100207,9445,4,4.2350449973530967E-4
force |force |forces,2014100300,6707,8,0.0011927836588638736
force |force |forces,2014100106,45483,4,8.794494646351384E-5
force |force |forces,2014100105,7742,17,0.0021958150348747093
force |force |forces,2014100104,8731,3,3.436032527774596E-4
force |force |forces,2014100103,1127,0,0.0
force |force |forces,2014100102,2940,0,0.0
force |force |forces,2014100101,3598,2,5.558643690939411E-4
force |force |forces,2014100100,1816,0,0.0
force |force |forces,2014100109,10999,5,4.545867806164197E-4
force |force |forces,2014100108,14670,6,4.0899795501022495E-4
force |force |forces,2014100107,32104,2,6.22975330176925E-5
force |force |forces,2014100210,10300,3,2.912621359223301E-4
force |force |forces,2014100211,11008,6,5.450581395348837E-4
force |force |forces,2014100212,11567,4,3.458113599031728E-4
force |force |forces,2014100316,10537,8,7.592293821770903E-4
force |force |forces,2014100213,10976,4,3.6443148688046647E-4
force |force |forces,2014100317,9832,11,0.0011187957689178193
force |force |forces,2014100214,12210,9,7.371007371007371E-4
force |force |forces,2014100318,9075,6,6.611570247933885E-4
force |force |forces,2014100215,11832,6,5.070993914807302E-4
force |force |forces,2014100319,8645,9,0.0010410641989589359
force |force |forces,2014100216,10725,5,4.662004662004662E-4
force |force |forces,2014100312,10661,15,0.0014069974674045587
force |force |forces,2014100217,9835,19,0.0019318759532282665
force |force |forces,2014100313,9887,3,3.034287448164256E-4
force |force |forces,2014100218,9907,12,0.0012112647622892904
force |force |forces,2014100314,9820,13,0.0013238289205702647
force |force |forces,2014100219,11100,7,6.306306306306306E-4
force |force |forces,2014100420,8163,7,8.575278696557638E-4
force |force |forces,2014100315,10271,9,8.762535293544932E-4
force |force |forces,2014100120,12122,4,3.2997855139415937E-4
force |force |forces,2014100421,8099,5,6.173601679219657E-4
force |force |forces,2014100422,8432,3,3.557874762808349E-4
force |force |forces,2014100423,6306,2,3.171582619727244E-4
force |force |forces,2014100310,10343,13,0.0012568887170066711
force |force |forces,2014100311,11400,13,0.0011403508771929824
force |force |forces,2014100115,14152,6,4.2396834369700395E-4
force |force |forces,2014100114,11535,8,6.935413957520589E-4
force |force |forces,2014100117,11365,5,4.399472063352398E-4
force |force |forces,2014100116,10904,3,2.751283932501834E-4
force |force |forces,2014100111,9571,3,3.1344687075540695E-4
force |force |forces,2014100110,9126,5,5.478851632697787E-4
force |force |forces,2014100823,5727,3,5.238344683080147E-4
force |force |forces,2014100113,11543,6,5.197955470848133E-4
force |force |forces,2014100822,900,1,0.0011111111111111111
force |force |forces,2014100112,11651,14,0.0012016135953995366
force |force |forces,2014100119,11403,6,5.261773217574323E-4
force |force |forces,2014100118,10294,3,2.914319020788809E-4
force |force |forces,2014100604,4638,1,2.1561017680034498E-4
force |force |forces,2014100605,8675,0,0.0
