court |courts |court,2014100223,8580,1,1.1655011655011655E-4
court |courts |court,2014100222,12009,10,8.327088017320343E-4
court |courts |court,2014100221,14828,4,2.697599136768276E-4
court |courts |court,2014100220,15090,26,0.0017229953611663353
court |courts |court,2014093023,7216,2,2.771618625277162E-4
court |courts |court,2014093020,2478,1,4.035512510088781E-4
court |courts |court,2014093022,2524,0,0.0
court |courts |court,2014093021,2547,2,7.852375343541421E-4
court |courts |court,2014100321,9080,9,9.911894273127754E-4
court |courts |court,2014100322,8671,11,0.0012685964709952715
court |courts |court,2014100320,9381,10,0.0010659844366272253
court |courts |court,2014100323,6929,2,2.886419396738346E-4
court |courts |court,2014100123,8836,9,0.0010185604345857855
court |courts |court,2014100122,10378,14,0.0013490075158990172
court |courts |court,2014100121,12311,19,0.0015433352286572985
court |courts |court,2014100200,11724,9,7.676560900716479E-4
court |courts |court,2014100201,6861,2,2.915026963999417E-4
court |courts |court,2014100309,9997,13,0.0013003901170351106
court |courts |court,2014100307,6926,17,0.0024545192030031764
court |courts |court,2014100204,8387,1,1.192321449862883E-4
court |courts |court,2014100308,8532,5,5.860290670417253E-4
court |courts |court,2014100205,14882,3,2.0158580835909153E-4
court |courts |court,2014100305,3838,2,5.211047420531526E-4
court |courts |court,2014100202,5853,0,0.0
court |courts |court,2014100306,5526,1,1.8096272167933406E-4
court |courts |court,2014100203,5613,0,0.0
court |courts |court,2014100303,5043,0,0.0
court |courts |court,2014100208,9640,10,0.001037344398340249
court |courts |court,2014100304,4725,0,0.0
court |courts |court,2014100209,12321,21,0.0017044071098125152
court |courts |court,2014100301,4480,1,2.232142857142857E-4
court |courts |court,2014100206,9203,5,5.433010974682169E-4
court |courts |court,2014100302,8095,0,0.0
court |courts |court,2014100207,9445,16,0.0016940179989412387
court |courts |court,2014100300,6707,2,2.981959147159684E-4
court |courts |court,2014100106,45483,6,1.3191741969527076E-4
court |courts |court,2014100105,7742,1,1.291655902867476E-4
court |courts |court,2014100104,8731,0,0.0
court |courts |court,2014100103,1127,0,0.0
court |courts |court,2014100102,2940,0,0.0
court |courts |court,2014100101,3598,1,2.7793218454697053E-4
court |courts |court,2014100100,1816,1,5.506607929515419E-4
court |courts |court,2014100109,10999,13,0.001181925629602691
court |courts |court,2014100108,14670,18,0.001226993865030675
court |courts |court,2014100107,32104,9,2.8033889857961624E-4
court |courts |court,2014100210,10300,91,0.008834951456310679
court |courts |court,2014100211,11008,31,0.0028161337209302324
court |courts |court,2014100212,11567,14,0.0012103397596611048
court |courts |court,2014100316,10537,4,3.7961469108854513E-4
court |courts |court,2014100213,10976,21,0.001913265306122449
court |courts |court,2014100317,9832,9,9.153783563873067E-4
court |courts |court,2014100214,12210,21,0.0017199017199017199
court |courts |court,2014100318,9075,9,9.917355371900827E-4
court |courts |court,2014100215,11832,10,8.451656524678837E-4
court |courts |court,2014100319,8645,9,0.0010410641989589359
court |courts |court,2014100216,10725,6,5.594405594405594E-4
court |courts |court,2014100312,10661,15,0.0014069974674045587
court |courts |court,2014100217,9835,7,7.117437722419929E-4
court |courts |court,2014100313,9887,6,6.068574896328512E-4
court |courts |court,2014100218,9907,13,0.0013122034924800646
court |courts |court,2014100314,9820,11,0.001120162932790224
court |courts |court,2014100219,11100,13,0.0011711711711711711
court |courts |court,2014100420,8163,6,7.35023888276369E-4
court |courts |court,2014100315,10271,2,1.947230065232207E-4
court |courts |court,2014100120,12122,38,0.003134796238244514
court |courts |court,2014100421,8099,6,7.408322015063588E-4
court |courts |court,2014100422,8432,13,0.0015417457305502847
court |courts |court,2014100423,6306,2,3.171582619727244E-4
court |courts |court,2014100310,10343,23,0.0022237261916271873
court |courts |court,2014100311,11400,23,0.002017543859649123
court |courts |court,2014100115,14152,49,0.003462408140192199
court |courts |court,2014100114,11535,4,3.4677069787602947E-4
court |courts |court,2014100117,11365,54,0.00475142982842059
