prime minister |Prime Minister |prime minister,2014100223,8580,0,0.0
prime minister |Prime Minister |prime minister,2014100222,12009,0,0.0
prime minister |Prime Minister |prime minister,2014100221,14828,1,6.74399784192069E-5
prime minister |Prime Minister |prime minister,2014100220,15090,5,3.313452617627568E-4
prime minister |Prime Minister |prime minister,2014093023,7216,0,0.0
prime minister |Prime Minister |prime minister,2014093020,2478,0,0.0
prime minister |Prime Minister |prime minister,2014093022,2524,0,0.0
prime minister |Prime Minister |prime minister,2014093021,2547,0,0.0
prime minister |Prime Minister |prime minister,2014100321,9080,3,3.303964757709251E-4
prime minister |Prime Minister |prime minister,2014100322,8671,2,2.306539038173221E-4
prime minister |Prime Minister |prime minister,2014100320,9381,2,2.1319688732544505E-4
prime minister |Prime Minister |prime minister,2014100323,6929,3,4.3296290951075193E-4
prime minister |Prime Minister |prime minister,2014100123,8836,0,0.0
prime minister |Prime Minister |prime minister,2014100122,10378,3,2.8907303912121797E-4
prime minister |Prime Minister |prime minister,2014100121,12311,1,8.122816992933149E-5
prime minister |Prime Minister |prime minister,2014100200,11724,1,8.5295121119072E-5
prime minister |Prime Minister |prime minister,2014100201,6861,0,0.0
prime minister |Prime Minister |prime minister,2014100309,9997,0,0.0
prime minister |Prime Minister |prime minister,2014100307,6926,1,1.4438348252959862E-4
prime minister |Prime Minister |prime minister,2014100204,8387,0,0.0
prime minister |Prime Minister |prime minister,2014100308,8532,3,3.5161744022503517E-4
prime minister |Prime Minister |prime minister,2014100205,14882,0,0.0
prime minister |Prime Minister |prime minister,2014100305,3838,0,0.0
prime minister |Prime Minister |prime minister,2014100202,5853,0,0.0
prime minister |Prime Minister |prime minister,2014100306,5526,0,0.0
prime minister |Prime Minister |prime minister,2014100203,5613,0,0.0
prime minister |Prime Minister |prime minister,2014100303,5043,0,0.0
prime minister |Prime Minister |prime minister,2014100208,9640,3,3.1120331950207467E-4
prime minister |Prime Minister |prime minister,2014100304,4725,0,0.0
prime minister |Prime Minister |prime minister,2014100209,12321,0,0.0
prime minister |Prime Minister |prime minister,2014100301,4480,0,0.0
prime minister |Prime Minister |prime minister,2014100206,9203,1,1.0866021949364337E-4
prime minister |Prime Minister |prime minister,2014100302,8095,0,0.0
prime minister |Prime Minister |prime minister,2014100207,9445,6,6.352567496029645E-4
prime minister |Prime Minister |prime minister,2014100300,6707,1,1.490979573579842E-4
prime minister |Prime Minister |prime minister,2014100106,45483,0,0.0
prime minister |Prime Minister |prime minister,2014100105,7742,0,0.0
prime minister |Prime Minister |prime minister,2014100104,8731,0,0.0
prime minister |Prime Minister |prime minister,2014100103,1127,0,0.0
prime minister |Prime Minister |prime minister,2014100102,2940,0,0.0
prime minister |Prime Minister |prime minister,2014100101,3598,0,0.0
prime minister |Prime Minister |prime minister,2014100100,1816,0,0.0
prime minister |Prime Minister |prime minister,2014100109,10999,2,1.8183471224656787E-4
prime minister |Prime Minister |prime minister,2014100108,14670,0,0.0
prime minister |Prime Minister |prime minister,2014100107,32104,1,3.114876650884625E-5
prime minister |Prime Minister |prime minister,2014100210,10300,5,4.854368932038835E-4
prime minister |Prime Minister |prime minister,2014100211,11008,0,0.0
prime minister |Prime Minister |prime minister,2014100212,11567,5,4.3226419987896605E-4
prime minister |Prime Minister |prime minister,2014100316,10537,0,0.0
prime minister |Prime Minister |prime minister,2014100213,10976,0,0.0
prime minister |Prime Minister |prime minister,2014100317,9832,1,1.017087062652563E-4
prime minister |Prime Minister |prime minister,2014100214,12210,9,7.371007371007371E-4
prime minister |Prime Minister |prime minister,2014100318,9075,1,1.1019283746556474E-4
prime minister |Prime Minister |prime minister,2014100215,11832,11,9.296822177146721E-4
prime minister |Prime Minister |prime minister,2014100319,8645,2,2.313475997686524E-4
prime minister |Prime Minister |prime minister,2014100216,10725,1,9.324009324009324E-5
prime minister |Prime Minister |prime minister,2014100312,10661,13,0.0012193978050839508
prime minister |Prime Minister |prime minister,2014100217,9835,0,0.0
prime minister |Prime Minister |prime minister,2014100313,9887,11,0.001112572064326894
prime minister |Prime Minister |prime minister,2014100218,9907,3,3.028161905723226E-4
prime minister |Prime Minister |prime minister,2014100314,9820,1,1.0183299389002037E-4
prime minister |Prime Minister |prime minister,2014100219,11100,2,1.8018018018018018E-4
prime minister |Prime Minister |prime minister,2014100420,8163,0,0.0
prime minister |Prime Minister |prime minister,2014100315,10271,23,0.0022393145750170384
prime minister |Prime Minister |prime minister,2014100120,12122,1,8.249463784853984E-5
prime minister |Prime Minister |prime minister,2014100421,8099,0,0.0
prime minister |Prime Minister |prime minister,2014100422,8432,0,0.0
prime minister |Prime Minister |prime minister,2014100423,6306,0,0.0
prime minister |Prime Minister |prime minister,2014100310,10343,3,2.9005124238615487E-4
prime minister |Prime Minister |prime minister,2014100311,11400,5,4.385964912280702E-4
prime minister |Prime Minister |prime minister,2014100115,14152,3,2.1198417184850198E-4
prime minister |Prime Minister |prime minister,2014100114,11535,1,8.669267446900737E-5
prime minister |Prime Minister |prime minister,2014100117,11365,2,1.759788825340959E-4
prime minister |Prime Minister |prime minister,2014100116,10904,0,0.0
prime minister |Prime Minister |prime minister,2014100111,9571,16,0.0016717166440288372
prime minister |Prime Minister |prime minister,2014100110,9126,2,2.1915406530791147E-4
prime minister |Prime Minister |prime minister,2014100823,5727,0,0.0
prime minister |Prime Minister |prime minister,2014100113,11543,6,5.197955470848133E-4
prime minister |Prime Minister |prime minister,2014100822,900,0,0.0
prime minister |Prime Minister |prime minister,2014100112,11651,1,8.582954252853832E-5
prime minister |Prime Minister |prime minister,2014100119,11403,1,8.769622029290537E-5
prime minister |Prime Minister |prime minister,2014100118,10294,7,6.800077715173888E-4
