asada |ASADA,2014100223,8580,2,2.331002331002331E-4
asada |ASADA,2014100222,12009,2,1.6654176034640685E-4
asada |ASADA,2014100221,14828,1,6.74399784192069E-5
asada |ASADA,2014100220,15090,0,0.0
asada |ASADA,2014093023,7216,0,0.0
asada |ASADA,2014093020,2478,0,0.0
asada |ASADA,2014093022,2524,0,0.0
asada |ASADA,2014093021,2547,1,3.9261876717707107E-4
asada |ASADA,2014100321,9080,1,1.1013215859030837E-4
asada |ASADA,2014100322,8671,0,0.0
asada |ASADA,2014100320,9381,1,1.0659844366272253E-4
asada |ASADA,2014100323,6929,4,5.772838793476692E-4
asada |ASADA,2014100123,8836,3,3.395201448619285E-4
asada |ASADA,2014100122,10378,8,7.708614376565812E-4
asada |ASADA,2014100121,12311,9,7.310535293639835E-4
asada |ASADA,2014100200,11724,0,0.0
asada |ASADA,2014100201,6861,0,0.0
asada |ASADA,2014100309,9997,0,0.0
asada |ASADA,2014100307,6926,0,0.0
asada |ASADA,2014100204,8387,1,1.192321449862883E-4
asada |ASADA,2014100308,8532,0,0.0
asada |ASADA,2014100205,14882,0,0.0
asada |ASADA,2014100305,3838,0,0.0
asada |ASADA,2014100202,5853,0,0.0
asada |ASADA,2014100306,5526,0,0.0
asada |ASADA,2014100203,5613,0,0.0
asada |ASADA,2014100303,5043,0,0.0
asada |ASADA,2014100208,9640,2,2.074688796680498E-4
asada |ASADA,2014100304,4725,0,0.0
asada |ASADA,2014100209,12321,4,3.2464897329762194E-4
asada |ASADA,2014100301,4480,0,0.0
asada |ASADA,2014100206,9203,0,0.0
asada |ASADA,2014100302,8095,0,0.0
asada |ASADA,2014100207,9445,3,3.1762837480148225E-4
asada |ASADA,2014100300,6707,0,0.0
asada |ASADA,2014100106,45483,0,0.0
asada |ASADA,2014100105,7742,0,0.0
asada |ASADA,2014100104,8731,0,0.0
asada |ASADA,2014100103,1127,0,0.0
asada |ASADA,2014100102,2940,0,0.0
asada |ASADA,2014100101,3598,0,0.0
