driver |drivers |driver |Drivers,2014100223,8580,2,2.331002331002331E-4
driver |drivers |driver |Drivers,2014100222,12009,5,4.1635440086601716E-4
driver |drivers |driver |Drivers,2014100221,14828,9,6.069598057728622E-4
driver |drivers |driver |Drivers,2014100220,15090,4,2.650762094102054E-4
driver |drivers |driver |Drivers,2014093023,7216,6,8.314855875831486E-4
driver |drivers |driver |Drivers,2014093020,2478,1,4.035512510088781E-4
driver |drivers |driver |Drivers,2014093022,2524,1,3.961965134706815E-4
driver |drivers |driver |Drivers,2014093021,2547,2,7.852375343541421E-4
driver |drivers |driver |Drivers,2014100321,9080,12,0.0013215859030837004
driver |drivers |driver |Drivers,2014100322,8671,4,4.613078076346442E-4
driver |drivers |driver |Drivers,2014100320,9381,12,0.0012791813239526704
driver |drivers |driver |Drivers,2014100323,6929,0,0.0
driver |drivers |driver |Drivers,2014100123,8836,2,2.2634676324128565E-4
driver |drivers |driver |Drivers,2014100122,10378,2,1.927153594141453E-4
driver |drivers |driver |Drivers,2014100121,12311,3,2.4368450978799449E-4
driver |drivers |driver |Drivers,2014100200,11724,1,8.5295121119072E-5
driver |drivers |driver |Drivers,2014100201,6861,2,2.915026963999417E-4
driver |drivers |driver |Drivers,2014100309,9997,3,3.0009002700810244E-4
driver |drivers |driver |Drivers,2014100307,6926,4,5.775339301183945E-4
driver |drivers |driver |Drivers,2014100204,8387,1,1.192321449862883E-4
driver |drivers |driver |Drivers,2014100308,8532,8,9.376465072667605E-4
driver |drivers |driver |Drivers,2014100205,14882,1,6.719526945303051E-5
driver |drivers |driver |Drivers,2014100305,3838,3,7.81657113079729E-4
driver |drivers |driver |Drivers,2014100202,5853,1,1.7085255424568598E-4
driver |drivers |driver |Drivers,2014100306,5526,1,1.8096272167933406E-4
driver |drivers |driver |Drivers,2014100203,5613,0,0.0
driver |drivers |driver |Drivers,2014100303,5043,0,0.0
driver |drivers |driver |Drivers,2014100208,9640,6,6.224066390041493E-4
driver |drivers |driver |Drivers,2014100304,4725,1,2.1164021164021165E-4
driver |drivers |driver |Drivers,2014100209,12321,7,5.681357032708384E-4
driver |drivers |driver |Drivers,2014100301,4480,1,2.232142857142857E-4
driver |drivers |driver |Drivers,2014100206,9203,2,2.1732043898728675E-4
driver |drivers |driver |Drivers,2014100302,8095,1,1.2353304508956145E-4
driver |drivers |driver |Drivers,2014100207,9445,6,6.352567496029645E-4
driver |drivers |driver |Drivers,2014100300,6707,2,2.981959147159684E-4
driver |drivers |driver |Drivers,2014100106,45483,1,2.198623661587846E-5
driver |drivers |driver |Drivers,2014100105,7742,0,0.0
driver |drivers |driver |Drivers,2014100104,8731,0,0.0
driver |drivers |driver |Drivers,2014100103,1127,0,0.0
driver |drivers |driver |Drivers,2014100102,2940,1,3.401360544217687E-4
driver |drivers |driver |Drivers,2014100101,3598,0,0.0
driver |drivers |driver |Drivers,2014100100,1816,0,0.0
driver |drivers |driver |Drivers,2014100109,10999,9,8.182562051095554E-4
driver |drivers |driver |Drivers,2014100108,14670,8,5.453306066803E-4
driver |drivers |driver |Drivers,2014100107,32104,11,3.4263643159730873E-4
driver |drivers |driver |Drivers,2014100210,10300,8,7.766990291262136E-4
driver |drivers |driver |Drivers,2014100211,11008,5,4.5421511627906976E-4
driver |drivers |driver |Drivers,2014100212,11567,7,6.051698798305524E-4
driver |drivers |driver |Drivers,2014100316,10537,7,6.64325709404954E-4
driver |drivers |driver |Drivers,2014100213,10976,8,7.288629737609329E-4
driver |drivers |driver |Drivers,2014100317,9832,10,0.0010170870626525631
driver |drivers |driver |Drivers,2014100214,12210,5,4.095004095004095E-4
driver |drivers |driver |Drivers,2014100318,9075,8,8.815426997245179E-4
driver |drivers |driver |Drivers,2014100215,11832,4,3.380662609871535E-4
driver |drivers |driver |Drivers,2014100319,8645,19,0.002197802197802198
driver |drivers |driver |Drivers,2014100216,10725,8,7.459207459207459E-4
driver |drivers |driver |Drivers,2014100312,10661,4,3.7519932464121565E-4
driver |drivers |driver |Drivers,2014100217,9835,9,9.150991357397051E-4
driver |drivers |driver |Drivers,2014100313,9887,2,2.0228582987761708E-4
driver |drivers |driver |Drivers,2014100218,9907,7,7.065711113354194E-4
driver |drivers |driver |Drivers,2014100314,9820,5,5.091649694501018E-4
driver |drivers |driver |Drivers,2014100219,11100,2,1.8018018018018018E-4
driver |drivers |driver |Drivers,2014100420,8163,10,0.0012250398137939483
driver |drivers |driver |Drivers,2014100315,10271,10,9.736150326161036E-4
driver |drivers |driver |Drivers,2014100120,12122,8,6.599571027883187E-4
driver |drivers |driver |Drivers,2014100421,8099,4,4.938881343375726E-4
driver |drivers |driver |Drivers,2014100422,8432,2,2.3719165085388995E-4
driver |drivers |driver |Drivers,2014100423,6306,2,3.171582619727244E-4
driver |drivers |driver |Drivers,2014100310,10343,2,1.9336749492410325E-4
driver |drivers |driver |Drivers,2014100311,11400,1,8.771929824561403E-5
driver |drivers |driver |Drivers,2014100115,14152,6,4.2396834369700395E-4
driver |drivers |driver |Drivers,2014100114,11535,4,3.4677069787602947E-4
driver |drivers |driver |Drivers,2014100117,11365,14,0.0012318521777386713
driver |drivers |driver |Drivers,2014100116,10904,8,7.336757153338225E-4
driver |drivers |driver |Drivers,2014100111,9571,7,7.313760317626162E-4
driver |drivers |driver |Drivers,2014100110,9126,6,6.574621959237344E-4
driver |drivers |driver |Drivers,2014100823,5727,1,1.7461148943600488E-4
driver |drivers |driver |Drivers,2014100113,11543,10,8.663259118080221E-4
driver |drivers |driver |Drivers,2014100822,900,1,0.0011111111111111111
driver |drivers |driver |Drivers,2014100112,11651,3,2.57488627585615E-4
driver |drivers |driver |Drivers,2014100119,11403,7,6.138735420503376E-4
driver |drivers |driver |Drivers,2014100118,10294,9,8.742957062366427E-4
driver |drivers |driver |Drivers,2014100604,4638,0,0.0
driver |drivers |driver |Drivers,2014100605,8675,0,0.0
driver |drivers |driver |Drivers,2014100700,5207,0,0.0
driver |drivers |driver |Drivers,2014100914,3191,3,9.40144155437167E-4
driver |drivers |driver |Drivers,2014100602,8176,2,2.446183953033268E-4
driver |drivers |driver |Drivers,2014100915,1000,0,0.0
driver |drivers |driver |Drivers,2014100603,9384,0,0.0
driver |drivers |driver |Drivers,2014100912,2545,1,3.929273084479371E-4
driver |drivers |driver |Drivers,2014100608,13680,6,4.385964912280702E-4
driver |drivers |driver |Drivers,2014100913,6771,6,8.861320336730173E-4
driver |drivers |driver |Drivers,2014100609,13287,7,5.268307368104162E-4
driver |drivers |driver |Drivers,2014100810,6053,8,0.001321658681645465
driver |drivers |driver |Drivers,2014100606,4334,1,2.3073373327180433E-4
driver |drivers |driver |Drivers,2014100607,6194,1,1.6144656118824668E-4
driver |drivers |driver |Drivers,2014100707,4802,3,6.247396917950854E-4
driver |drivers |driver |Drivers,2014100813,7061,1,1.41622999575131E-4
driver |drivers |driver |Drivers,2014100708,5400,4,7.407407407407407E-4
driver |drivers |driver |Drivers,2014100814,6011,4,6.654466810846781E-4
driver |drivers |driver |Drivers,2014100705,2740,1,3.64963503649635E-4
driver |drivers |driver |Drivers,2014100811,6604,5,7.571168988491823E-4
driver |drivers |driver |Drivers,2014100706,3398,4,0.0011771630370806356
driver |drivers |driver |Drivers,2014100812,5896,6,0.0010176390773405698
driver |drivers |driver |Drivers,2014100817,6743,4,5.932077710218003E-4
driver |drivers |driver |Drivers,2014100600,15771,1,6.340752013188764E-5
driver |drivers |driver |Drivers,2014100703,5792,2,3.453038674033149E-4
driver |drivers |driver |Drivers,2014100818,7400,5,6.756756756756757E-4
driver |drivers |driver |Drivers,2014100601,8669,1,1.1535355865728458E-4
driver |drivers |driver |Drivers,2014100704,3010,0,0.0
driver |drivers |driver |Drivers,2014100815,5628,1,1.7768301350390902E-4
driver |drivers |driver |Drivers,2014100701,13455,0,0.0
driver |drivers |driver |Drivers,2014100816,7857,5,6.363752068219422E-4
driver |drivers |driver |Drivers,2014100702,8524,1,1.1731581417175035E-4
driver |drivers |driver |Drivers,2014100509,9287,4,4.307095940562076E-4
driver |drivers |driver |Drivers,2014100508,6498,0,0.0
driver |drivers |driver |Drivers,2014100819,4300,2,4.6511627906976747E-4
driver |drivers |driver |Drivers,2014100507,16911,1,5.913310862752055E-5
driver |drivers |driver |Drivers,2014100403,6749,0,0.0
driver |drivers |driver |Drivers,2014100506,11836,1,8.448800270361608E-5
driver |drivers |driver |Drivers,2014100402,6613,2,3.0243459851807047E-4
driver |drivers |driver |Drivers,2014100505,6487,4,6.16617851086789E-4
driver |drivers |driver |Drivers,2014100401,4570,4,8.7527352297593E-4
driver |drivers |driver |Drivers,2014100504,3861,2,5.18000518000518E-4
driver |drivers |driver |Drivers,2014100400,5285,0,0.0
driver |drivers |driver |Drivers,2014100503,4540,1,2.2026431718061675E-4
driver |drivers |driver |Drivers,2014100709,5572,9,0.001615218951902369
driver |drivers |driver |Drivers,2014100407,7111,4,5.625087891998312E-4
driver |drivers |driver |Drivers,2014100406,10763,4,3.71643593793552E-4
driver |drivers |driver |Drivers,2014100501,6148,5,8.132726089785296E-4
driver |drivers |driver |Drivers,2014100405,10366,2,1.9293845263360988E-4
driver |drivers |driver |Drivers,2014100500,11540,2,1.733102253032929E-4
driver |drivers |driver |Drivers,2014100404,3086,0,0.0
driver |drivers |driver |Drivers,2014100409,9932,4,4.027386226339106E-4
driver |drivers |driver |Drivers,2014100408,10458,6,5.737234652897303E-4
driver |drivers |driver |Drivers,2014100903,4141,1,2.414875633904854E-4
driver |drivers |driver |Drivers,2014100613,12260,6,4.893964110929853E-4
driver |drivers |driver |Drivers,2014100904,4854,0,0.0
driver |drivers |driver |Drivers,2014100614,10247,4,3.9035815360593347E-4
driver |drivers |driver |Drivers,2014100905,7777,0,0.0
driver |drivers |driver |Drivers,2014100615,8801,7,7.95364163163277E-4
driver |drivers |driver |Drivers,2014100710,7431,1,1.3457139012245997E-4
driver |drivers |driver |Drivers,2014100906,3505,0,0.0
driver |drivers |driver |Drivers,2014100616,10833,5,4.615526631588664E-4
driver |drivers |driver |Drivers,2014100711,13474,5,3.7108505269407746E-4
driver |drivers |driver |Drivers,2014100617,11523,5,4.339147791373774E-4
driver |drivers |driver |Drivers,2014100900,3864,1,2.587991718426501E-4
driver |drivers |driver |Drivers,2014100618,10834,7,6.461140852870592E-4
driver |drivers |driver |Drivers,2014100901,3052,2,6.55307994757536E-4
driver |drivers |driver |Drivers,2014100619,10472,6,5.729564553093965E-4
driver |drivers |driver |Drivers,2014100902,4916,0,0.0
driver |drivers |driver |Drivers,2014100716,9756,5,5.125051250512505E-4
driver |drivers |driver |Drivers,2014100800,3418,2,5.851375073142189E-4
driver |drivers |driver |Drivers,2014100717,12018,12,9.98502246630055E-4
driver |drivers |driver |Drivers,2014100801,4912,1,2.0358306188925082E-4
driver |drivers |driver |Drivers,2014100718,9824,8,8.143322475570033E-4
driver |drivers |driver |Drivers,2014100802,4582,2,4.3649061545176777E-4
driver |drivers |driver |Drivers,2014100719,8904,5,5.615453728661276E-4
driver |drivers |driver |Drivers,2014100803,4750,2,4.210526315789474E-4
driver |drivers |driver |Drivers,2014100712,10146,3,2.9568302779420464E-4
driver |drivers |driver |Drivers,2014100804,8238,0,0.0
driver |drivers |driver |Drivers,2014100610,8565,6,7.005253940455342E-4
driver |drivers |driver |Drivers,2014100713,7382,9,0.001219181793551883
driver |drivers |driver |Drivers,2014100805,6904,0,0.0
driver |drivers |driver |Drivers,2014100611,8676,14,0.0016136468418626094
driver |drivers |driver |Drivers,2014100714,9294,7,7.53174090811276E-4
driver |drivers |driver |Drivers,2014100806,7696,1,1.2993762993762994E-4
driver |drivers |driver |Drivers,2014100612,7761,6,7.730962504831851E-4
driver |drivers |driver |Drivers,2014100715,8494,9,0.0010595714622086178
driver |drivers |driver |Drivers,2014100807,6298,5,7.939028262940616E-4
driver |drivers |driver |Drivers,2014100519,13547,31,0.002288329519450801
driver |drivers |driver |Drivers,2014100809,5933,7,0.0011798415641328165
driver |drivers |driver |Drivers,2014100518,12589,11,8.737786956867106E-4
driver |drivers |driver |Drivers,2014100808,7916,2,2.5265285497726126E-4
driver |drivers |driver |Drivers,2014100410,8297,5,6.02627455706882E-4
driver |drivers |driver |Drivers,2014100412,8252,8,9.694619486185168E-4
driver |drivers |driver |Drivers,2014100515,6526,2,3.0646644192460924E-4
driver |drivers |driver |Drivers,2014100411,8736,21,0.002403846153846154
driver |drivers |driver |Drivers,2014100514,7337,4,5.451819544773068E-4
driver |drivers |driver |Drivers,2014100414,8029,10,0.0012454851164528584
driver |drivers |driver |Drivers,2014100517,16635,41,0.00246468289750526
driver |drivers |driver |Drivers,2014100413,7649,11,0.0014380964832004183
driver |drivers |driver |Drivers,2014100516,7164,4,5.583472920156337E-4
driver |drivers |driver |Drivers,2014100416,8535,17,0.0019917984768599885
driver |drivers |driver |Drivers,2014100511,8203,3,3.6571985858832134E-4
driver |drivers |driver |Drivers,2014100415,9288,7,7.536606373815676E-4
driver |drivers |driver |Drivers,2014100510,7389,4,5.413452429286778E-4
driver |drivers |driver |Drivers,2014100418,8794,8,9.097111667045713E-4
driver |drivers |driver |Drivers,2014100513,8653,3,3.467005662775916E-4
driver |drivers |driver |Drivers,2014100417,9001,8,8.887901344295079E-4
driver |drivers |driver |Drivers,2014100512,7658,4,5.223295899712719E-4
driver |drivers |driver |Drivers,2014100908,14247,5,3.5095107741980766E-4
driver |drivers |driver |Drivers,2014100907,7751,6,7.740936653335053E-4
driver |drivers |driver |Drivers,2014100419,8630,4,4.634994206257242E-4
driver |drivers |driver |Drivers,2014100909,1000,1,0.001
driver |drivers |driver |Drivers,2014100721,11447,4,3.494365335895868E-4
driver |drivers |driver |Drivers,2014100722,8294,3,3.617072582589824E-4
driver |drivers |driver |Drivers,2014100720,10198,2,1.9611688566385565E-4
driver |drivers |driver |Drivers,2014100723,5300,1,1.8867924528301886E-4
driver |drivers |driver |Drivers,2014100520,14801,10,6.756300249983109E-4
driver |drivers |driver |Drivers,2014100523,12605,5,3.966679888932963E-4
driver |drivers |driver |Drivers,2014100522,10915,9,8.245533669262483E-4
driver |drivers |driver |Drivers,2014100521,14363,8,5.569867019424911E-4
driver |drivers |driver |Drivers,2014100623,8800,0,0.0
driver |drivers |driver |Drivers,2014100622,9000,2,2.2222222222222223E-4
driver |drivers |driver |Drivers,2014100621,9007,2,2.2204951704230043E-4
driver |drivers |driver |Drivers,2014100620,8998,6,6.668148477439431E-4
driver |drivers |driver |Drivers,2014093011,9741,4,4.106354583718304E-4
driver |drivers |driver |Drivers,2014093012,11191,2,1.7871503887052095E-4
driver |drivers |driver |Drivers,2014093013,5267,4,7.594456047085627E-4
driver |drivers |driver |Drivers,2014093017,3899,1,2.5647601949217746E-4
driver |drivers |driver |Drivers,2014093018,99,1,0.010101010101010102
driver |drivers |driver |Drivers,2014093019,8564,6,7.006071929005138E-4
