fighting |fighting,2014100223,8580,3,3.4965034965034965E-4
fighting |fighting,2014100222,12009,10,8.327088017320343E-4
fighting |fighting,2014100221,14828,5,3.371998920960345E-4
fighting |fighting,2014100220,15090,11,7.289595758780649E-4
fighting |fighting,2014093023,7216,2,2.771618625277162E-4
fighting |fighting,2014093020,2478,0,0.0
fighting |fighting,2014093022,2524,1,3.961965134706815E-4
fighting |fighting,2014093021,2547,2,7.852375343541421E-4
fighting |fighting,2014100321,9080,5,5.506607929515419E-4
fighting |fighting,2014100322,8671,7,8.072886633606274E-4
fighting |fighting,2014100320,9381,9,9.593859929645027E-4
fighting |fighting,2014100323,6929,1,1.443209698369173E-4
fighting |fighting,2014100123,8836,3,3.395201448619285E-4
fighting |fighting,2014100122,10378,2,1.927153594141453E-4
fighting |fighting,2014100121,12311,9,7.310535293639835E-4
fighting |fighting,2014100200,11724,4,3.41180484476288E-4
fighting |fighting,2014100201,6861,2,2.915026963999417E-4
fighting |fighting,2014100309,9997,2,2.0006001800540162E-4
fighting |fighting,2014100307,6926,7,0.0010106843777071904
fighting |fighting,2014100204,8387,0,0.0
fighting |fighting,2014100308,8532,3,3.5161744022503517E-4
fighting |fighting,2014100205,14882,1,6.719526945303051E-5
fighting |fighting,2014100305,3838,0,0.0
fighting |fighting,2014100202,5853,0,0.0
fighting |fighting,2014100306,5526,4,7.238508867173362E-4
fighting |fighting,2014100203,5613,2,3.563156957063959E-4
fighting |fighting,2014100303,5043,0,0.0
fighting |fighting,2014100208,9640,6,6.224066390041493E-4
fighting |fighting,2014100304,4725,1,2.1164021164021165E-4
fighting |fighting,2014100209,12321,10,8.116224332440549E-4
fighting |fighting,2014100301,4480,2,4.464285714285714E-4
fighting |fighting,2014100206,9203,2,2.1732043898728675E-4
fighting |fighting,2014100302,8095,0,0.0
fighting |fighting,2014100207,9445,1,1.0587612493382742E-4
fighting |fighting,2014100300,6707,3,4.472938720739526E-4
fighting |fighting,2014100106,45483,0,0.0
fighting |fighting,2014100105,7742,0,0.0
fighting |fighting,2014100104,8731,0,0.0
fighting |fighting,2014100103,1127,0,0.0
fighting |fighting,2014100102,2940,1,3.401360544217687E-4
fighting |fighting,2014100101,3598,3,8.337965536409116E-4
fighting |fighting,2014100100,1816,0,0.0
fighting |fighting,2014100109,10999,5,4.545867806164197E-4
fighting |fighting,2014100108,14670,4,2.7266530334015E-4
fighting |fighting,2014100107,32104,6,1.868925990530775E-4
fighting |fighting,2014100210,10300,32,0.0031067961165048546
fighting |fighting,2014100211,11008,11,9.992732558139535E-4
fighting |fighting,2014100212,11567,7,6.051698798305524E-4
fighting |fighting,2014100316,10537,0,0.0
fighting |fighting,2014100213,10976,7,6.377551020408163E-4
fighting |fighting,2014100317,9832,3,3.051261187957689E-4
fighting |fighting,2014100214,12210,7,5.733005733005733E-4
fighting |fighting,2014100318,9075,14,0.0015426997245179064
fighting |fighting,2014100215,11832,1,8.451656524678837E-5
fighting |fighting,2014100319,8645,6,6.940427993059572E-4
fighting |fighting,2014100216,10725,8,7.459207459207459E-4
fighting |fighting,2014100312,10661,10,9.379983116030392E-4
fighting |fighting,2014100217,9835,1,1.0167768174885612E-4
fighting |fighting,2014100313,9887,15,0.0015171437240821281
fighting |fighting,2014100218,9907,5,5.04693650953871E-4
fighting |fighting,2014100314,9820,5,5.091649694501018E-4
fighting |fighting,2014100219,11100,3,2.702702702702703E-4
fighting |fighting,2014100420,8163,4,4.900159255175794E-4
fighting |fighting,2014100315,10271,3,2.9208450978483107E-4
fighting |fighting,2014100120,12122,3,2.474839135456195E-4
fighting |fighting,2014100421,8099,2,2.469440671687863E-4
fighting |fighting,2014100422,8432,1,1.1859582542694497E-4
fighting |fighting,2014100423,6306,9,0.0014272121788772598
fighting |fighting,2014100310,10343,2,1.9336749492410325E-4
fighting |fighting,2014100311,11400,1,8.771929824561403E-5
fighting |fighting,2014100115,14152,6,4.2396834369700395E-4
fighting |fighting,2014100114,11535,5,4.3346337234503684E-4
fighting |fighting,2014100117,11365,4,3.519577650681918E-4
fighting |fighting,2014100116,10904,10,9.17094644167278E-4
fighting |fighting,2014100111,9571,3,3.1344687075540695E-4
fighting |fighting,2014100110,9126,4,4.3830813061582295E-4
fighting |fighting,2014100823,5727,1,1.7461148943600488E-4
fighting |fighting,2014100113,11543,4,3.465303647232089E-4
fighting |fighting,2014100822,900,3,0.0033333333333333335
fighting |fighting,2014100112,11651,6,5.1497725517123E-4
