james hird |James Hird,2014100223,8580,1,1.1655011655011655E-4
james hird |James Hird,2014100222,12009,5,4.1635440086601716E-4
james hird |James Hird,2014100221,14828,14,9.441596978688966E-4
james hird |James Hird,2014100220,15090,17,0.0011265738899933731
james hird |James Hird,2014093023,7216,0,0.0
james hird |James Hird,2014093020,2478,2,8.071025020177562E-4
james hird |James Hird,2014093022,2524,1,3.961965134706815E-4
james hird |James Hird,2014093021,2547,0,0.0
james hird |James Hird,2014100321,9080,3,3.303964757709251E-4
james hird |James Hird,2014100322,8671,2,2.306539038173221E-4
james hird |James Hird,2014100320,9381,8,8.527875493017802E-4
james hird |James Hird,2014100323,6929,2,2.886419396738346E-4
james hird |James Hird,2014100123,8836,6,6.79040289723857E-4
james hird |James Hird,2014100122,10378,23,0.002216226633262671
james hird |James Hird,2014100121,12311,47,0.0038177239866785803
james hird |James Hird,2014100200,11724,8,6.82360968952576E-4
james hird |James Hird,2014100201,6861,1,1.4575134819997084E-4
james hird |James Hird,2014100309,9997,5,5.001500450135041E-4
james hird |James Hird,2014100307,6926,3,4.331504475887958E-4
james hird |James Hird,2014100204,8387,1,1.192321449862883E-4
james hird |James Hird,2014100308,8532,10,0.0011720581340834506
james hird |James Hird,2014100205,14882,6,4.0317161671818305E-4
james hird |James Hird,2014100305,3838,0,0.0
james hird |James Hird,2014100202,5853,0,0.0
james hird |James Hird,2014100306,5526,3,5.428881650380022E-4
james hird |James Hird,2014100203,5613,0,0.0
james hird |James Hird,2014100303,5043,0,0.0
james hird |James Hird,2014100208,9640,29,0.003008298755186722
james hird |James Hird,2014100304,4725,0,0.0
james hird |James Hird,2014100209,12321,17,0.0013797581365148932
james hird |James Hird,2014100301,4480,0,0.0
james hird |James Hird,2014100206,9203,8,8.69281755949147E-4
james hird |James Hird,2014100302,8095,0,0.0
james hird |James Hird,2014100207,9445,22,0.0023292747485442033
james hird |James Hird,2014100300,6707,0,0.0
james hird |James Hird,2014100106,45483,0,0.0
james hird |James Hird,2014100105,7742,0,0.0
james hird |James Hird,2014100104,8731,0,0.0
james hird |James Hird,2014100103,1127,0,0.0
james hird |James Hird,2014100102,2940,0,0.0
james hird |James Hird,2014100101,3598,0,0.0
james hird |James Hird,2014100100,1816,0,0.0
james hird |James Hird,2014100109,10999,0,0.0
james hird |James Hird,2014100108,14670,1,6.81663258350375E-5
james hird |James Hird,2014100107,32104,0,0.0
james hird |James Hird,2014100210,10300,193,0.0187378640776699
james hird |James Hird,2014100211,11008,209,0.018986191860465115
james hird |James Hird,2014100212,11567,369,0.03190109795106769
james hird |James Hird,2014100316,10537,1,9.490367277213628E-5
james hird |James Hird,2014100213,10976,187,0.017037172011661807
james hird |James Hird,2014100317,9832,3,3.051261187957689E-4
james hird |James Hird,2014100214,12210,49,0.0040131040131040135
james hird |James Hird,2014100318,9075,0,0.0
james hird |James Hird,2014100215,11832,29,0.0024509803921568627
james hird |James Hird,2014100319,8645,4,4.626951995373048E-4
james hird |James Hird,2014100216,10725,13,0.0012121212121212121
james hird |James Hird,2014100312,10661,6,5.627989869618235E-4
james hird |James Hird,2014100217,9835,15,0.001525165226232842
james hird |James Hird,2014100313,9887,15,0.0015171437240821281
james hird |James Hird,2014100218,9907,22,0.0022206520641970323
james hird |James Hird,2014100314,9820,9,9.164969450101833E-4
james hird |James Hird,2014100219,11100,23,0.002072072072072072
james hird |James Hird,2014100420,8163,1,1.2250398137939484E-4
james hird |James Hird,2014100315,10271,4,3.894460130464414E-4
james hird |James Hird,2014100120,12122,48,0.003959742616729912
james hird |James Hird,2014100421,8099,1,1.2347203358439315E-4
james hird |James Hird,2014100422,8432,0,0.0
james hird |James Hird,2014100423,6306,1,1.585791309863622E-4
james hird |James Hird,2014100310,10343,2,1.9336749492410325E-4
james hird |James Hird,2014100311,11400,2,1.7543859649122806E-4
james hird |James Hird,2014100115,14152,1,7.066139061616732E-5
james hird |James Hird,2014100114,11535,1,8.669267446900737E-5
james hird |James Hird,2014100117,11365,114,0.010030796304443467
james hird |James Hird,2014100116,10904,68,0.0062362435803374906
james hird |James Hird,2014100111,9571,2,2.0896458050360465E-4
james hird |James Hird,2014100110,9126,0,0.0
james hird |James Hird,2014100823,5727,0,0.0
james hird |James Hird,2014100113,11543,0,0.0
james hird |James Hird,2014100822,900,0,0.0
james hird |James Hird,2014100112,11651,1,8.582954252853832E-5
james hird |James Hird,2014100119,11403,122,0.010698938875734455
james hird |James Hird,2014100118,10294,148,0.014377307169224791
james hird |James Hird,2014100604,4638,0,0.0
james hird |James Hird,2014100605,8675,0,0.0
james hird |James Hird,2014100700,5207,0,0.0
james hird |James Hird,2014100914,3191,0,0.0
james hird |James Hird,2014100602,8176,0,0.0
james hird |James Hird,2014100915,1000,0,0.0
james hird |James Hird,2014100603,9384,0,0.0
james hird |James Hird,2014100912,2545,0,0.0
james hird |James Hird,2014100608,13680,2,1.4619883040935673E-4
james hird |James Hird,2014100913,6771,1,1.476886722788362E-4
