hunt |Hunt,2014100223,8580,0,0.0
hunt |Hunt,2014100222,12009,0,0.0
hunt |Hunt,2014100221,14828,4,2.697599136768276E-4
hunt |Hunt,2014100220,15090,7,4.6388336646785953E-4
hunt |Hunt,2014093023,7216,2,2.771618625277162E-4
hunt |Hunt,2014093020,2478,0,0.0
hunt |Hunt,2014093022,2524,3,0.0011885895404120444
hunt |Hunt,2014093021,2547,0,0.0
hunt |Hunt,2014100321,9080,2,2.2026431718061675E-4
hunt |Hunt,2014100322,8671,2,2.306539038173221E-4
hunt |Hunt,2014100320,9381,0,0.0
hunt |Hunt,2014100323,6929,2,2.886419396738346E-4
hunt |Hunt,2014100123,8836,0,0.0
hunt |Hunt,2014100122,10378,3,2.8907303912121797E-4
hunt |Hunt,2014100121,12311,2,1.6245633985866297E-4
hunt |Hunt,2014100200,11724,0,0.0
hunt |Hunt,2014100201,6861,1,1.4575134819997084E-4
hunt |Hunt,2014100309,9997,3,3.0009002700810244E-4
hunt |Hunt,2014100307,6926,0,0.0
hunt |Hunt,2014100204,8387,0,0.0
hunt |Hunt,2014100308,8532,0,0.0
hunt |Hunt,2014100205,14882,1,6.719526945303051E-5
hunt |Hunt,2014100305,3838,1,2.605523710265763E-4
hunt |Hunt,2014100202,5853,1,1.7085255424568598E-4
hunt |Hunt,2014100306,5526,1,1.8096272167933406E-4
hunt |Hunt,2014100203,5613,1,1.7815784785319794E-4
hunt |Hunt,2014100303,5043,0,0.0
hunt |Hunt,2014100208,9640,3,3.1120331950207467E-4
hunt |Hunt,2014100304,4725,0,0.0
hunt |Hunt,2014100209,12321,1,8.116224332440549E-5
hunt |Hunt,2014100301,4480,0,0.0
hunt |Hunt,2014100206,9203,0,0.0
hunt |Hunt,2014100302,8095,0,0.0
hunt |Hunt,2014100207,9445,2,2.1175224986765483E-4
hunt |Hunt,2014100300,6707,2,2.981959147159684E-4
hunt |Hunt,2014100106,45483,2,4.397247323175692E-5
hunt |Hunt,2014100105,7742,1,1.291655902867476E-4
hunt |Hunt,2014100104,8731,1,1.1453441759248655E-4
hunt |Hunt,2014100103,1127,0,0.0
hunt |Hunt,2014100102,2940,0,0.0
hunt |Hunt,2014100101,3598,0,0.0
hunt |Hunt,2014100100,1816,1,5.506607929515419E-4
hunt |Hunt,2014100109,10999,3,2.727520683698518E-4
hunt |Hunt,2014100108,14670,2,1.36332651670075E-4
hunt |Hunt,2014100107,32104,1,3.114876650884625E-5
hunt |Hunt,2014100210,10300,1,9.70873786407767E-5
hunt |Hunt,2014100211,11008,1,9.084302325581395E-5
hunt |Hunt,2014100212,11567,5,4.3226419987896605E-4
hunt |Hunt,2014100316,10537,1,9.490367277213628E-5
hunt |Hunt,2014100213,10976,1,9.110787172011662E-5
hunt |Hunt,2014100317,9832,1,1.017087062652563E-4
hunt |Hunt,2014100214,12210,8,6.552006552006552E-4
hunt |Hunt,2014100318,9075,1,1.1019283746556474E-4
hunt |Hunt,2014100215,11832,4,3.380662609871535E-4
hunt |Hunt,2014100319,8645,3,3.470213996529786E-4
hunt |Hunt,2014100216,10725,1,9.324009324009324E-5
hunt |Hunt,2014100312,10661,1,9.379983116030391E-5
hunt |Hunt,2014100217,9835,6,6.100660904931368E-4
hunt |Hunt,2014100313,9887,0,0.0
hunt |Hunt,2014100218,9907,0,0.0
hunt |Hunt,2014100314,9820,1,1.0183299389002037E-4
hunt |Hunt,2014100219,11100,2,1.8018018018018018E-4
hunt |Hunt,2014100420,8163,1,1.2250398137939484E-4
