investor |investors |investor,2014100223,8580,0,0.0
investor |investors |investor,2014100222,12009,3,2.498126405196103E-4
investor |investors |investor,2014100221,14828,1,6.74399784192069E-5
investor |investors |investor,2014100220,15090,1,6.626905235255136E-5
investor |investors |investor,2014093023,7216,1,1.385809312638581E-4
investor |investors |investor,2014093020,2478,1,4.035512510088781E-4
investor |investors |investor,2014093022,2524,0,0.0
investor |investors |investor,2014093021,2547,1,3.9261876717707107E-4
investor |investors |investor,2014100321,9080,0,0.0
investor |investors |investor,2014100322,8671,0,0.0
investor |investors |investor,2014100320,9381,0,0.0
investor |investors |investor,2014100323,6929,2,2.886419396738346E-4
investor |investors |investor,2014100123,8836,0,0.0
investor |investors |investor,2014100122,10378,0,0.0
investor |investors |investor,2014100121,12311,2,1.6245633985866297E-4
investor |investors |investor,2014100200,11724,0,0.0
investor |investors |investor,2014100201,6861,0,0.0
investor |investors |investor,2014100309,9997,5,5.001500450135041E-4
investor |investors |investor,2014100307,6926,2,2.8876696505919725E-4
investor |investors |investor,2014100204,8387,0,0.0
investor |investors |investor,2014100308,8532,1,1.1720581340834506E-4
investor |investors |investor,2014100205,14882,2,1.3439053890606102E-4
investor |investors |investor,2014100305,3838,0,0.0
investor |investors |investor,2014100202,5853,2,3.4170510849137196E-4
investor |investors |investor,2014100306,5526,0,0.0
investor |investors |investor,2014100203,5613,3,5.344735435595938E-4
investor |investors |investor,2014100303,5043,2,3.96589331746976E-4
investor |investors |investor,2014100208,9640,5,5.186721991701245E-4
investor |investors |investor,2014100304,4725,2,4.232804232804233E-4
investor |investors |investor,2014100209,12321,4,3.2464897329762194E-4
investor |investors |investor,2014100301,4480,0,0.0
investor |investors |investor,2014100206,9203,3,3.259806584809301E-4
investor |investors |investor,2014100302,8095,0,0.0
investor |investors |investor,2014100207,9445,0,0.0
investor |investors |investor,2014100300,6707,0,0.0
investor |investors |investor,2014100106,45483,0,0.0
investor |investors |investor,2014100105,7742,0,0.0
investor |investors |investor,2014100104,8731,0,0.0
investor |investors |investor,2014100103,1127,0,0.0
investor |investors |investor,2014100102,2940,0,0.0
investor |investors |investor,2014100101,3598,1,2.7793218454697053E-4
investor |investors |investor,2014100100,1816,0,0.0
investor |investors |investor,2014100109,10999,2,1.8183471224656787E-4
investor |investors |investor,2014100108,14670,6,4.0899795501022495E-4
investor |investors |investor,2014100107,32104,3,9.344629952653874E-5
investor |investors |investor,2014100210,10300,4,3.883495145631068E-4
investor |investors |investor,2014100211,11008,3,2.7252906976744186E-4
investor |investors |investor,2014100212,11567,1,8.64528399757932E-5
investor |investors |investor,2014100316,10537,0,0.0
investor |investors |investor,2014100213,10976,0,0.0
investor |investors |investor,2014100317,9832,5,5.085435313262816E-4
investor |investors |investor,2014100214,12210,2,1.638001638001638E-4
investor |investors |investor,2014100318,9075,0,0.0
investor |investors |investor,2014100215,11832,3,2.535496957403651E-4
investor |investors |investor,2014100319,8645,0,0.0
investor |investors |investor,2014100216,10725,2,1.8648018648018648E-4
investor |investors |investor,2014100312,10661,1,9.379983116030391E-5
investor |investors |investor,2014100217,9835,2,2.0335536349771224E-4
investor |investors |investor,2014100313,9887,0,0.0
investor |investors |investor,2014100218,9907,0,0.0
investor |investors |investor,2014100314,9820,1,1.0183299389002037E-4
investor |investors |investor,2014100219,11100,1,9.009009009009009E-5
investor |investors |investor,2014100420,8163,1,1.2250398137939484E-4
investor |investors |investor,2014100315,10271,0,0.0
investor |investors |investor,2014100120,12122,0,0.0
investor |investors |investor,2014100421,8099,1,1.2347203358439315E-4
investor |investors |investor,2014100422,8432,0,0.0
investor |investors |investor,2014100423,6306,0,0.0
investor |investors |investor,2014100310,10343,3,2.9005124238615487E-4
investor |investors |investor,2014100311,11400,1,8.771929824561403E-5
investor |investors |investor,2014100115,14152,2,1.4132278123233464E-4
investor |investors |investor,2014100114,11535,3,2.600780234070221E-4
investor |investors |investor,2014100117,11365,2,1.759788825340959E-4
investor |investors |investor,2014100116,10904,3,2.751283932501834E-4
investor |investors |investor,2014100111,9571,4,4.179291610072093E-4
investor |investors |investor,2014100110,9126,3,3.287310979618672E-4
investor |investors |investor,2014100823,5727,0,0.0
investor |investors |investor,2014100113,11543,1,8.663259118080222E-5
investor |investors |investor,2014100822,900,0,0.0
investor |investors |investor,2014100112,11651,0,0.0
investor |investors |investor,2014100119,11403,1,8.769622029290537E-5
investor |investors |investor,2014100118,10294,1,9.714396735962697E-5
investor |investors |investor,2014100604,4638,0,0.0
investor |investors |investor,2014100605,8675,0,0.0
investor |investors |investor,2014100700,5207,1,1.9204916458613405E-4
investor |investors |investor,2014100914,3191,2,6.267627702914447E-4
investor |investors |investor,2014100602,8176,0,0.0
investor |investors |investor,2014100915,1000,1,0.001
investor |investors |investor,2014100603,9384,0,0.0
investor |investors |investor,2014100912,2545,2,7.858546168958742E-4
investor |investors |investor,2014100608,13680,1,7.309941520467836E-5
investor |investors |investor,2014100913,6771,0,0.0
investor |investors |investor,2014100609,13287,4,3.0104613532023783E-4
investor |investors |investor,2014100810,6053,4,6.608293408227325E-4
investor |investors |investor,2014100606,4334,1,2.3073373327180433E-4
investor |investors |investor,2014100607,6194,1,1.6144656118824668E-4
investor |investors |investor,2014100707,4802,1,2.0824656393169514E-4
investor |investors |investor,2014100813,7061,2,2.83245999150262E-4
investor |investors |investor,2014100708,5400,0,0.0
