lion |Lions,2014100223,8580,3,3.4965034965034965E-4
lion |Lions,2014100222,12009,8,6.661670413856274E-4
lion |Lions,2014100221,14828,18,0.0012139196115457244
lion |Lions,2014100220,15090,14,9.277667329357191E-4
lion |Lions,2014093023,7216,3,4.157427937915743E-4
lion |Lions,2014093020,2478,1,4.035512510088781E-4
lion |Lions,2014093022,2524,2,7.92393026941363E-4
lion |Lions,2014093021,2547,0,0.0
lion |Lions,2014100321,9080,2,2.2026431718061675E-4
lion |Lions,2014100322,8671,3,3.4598085572598315E-4
lion |Lions,2014100320,9381,1,1.0659844366272253E-4
lion |Lions,2014100323,6929,2,2.886419396738346E-4
lion |Lions,2014100123,8836,0,0.0
lion |Lions,2014100122,10378,1,9.635767970707265E-5
lion |Lions,2014100121,12311,4,3.2491267971732594E-4
lion |Lions,2014100200,11724,2,1.70590242238144E-4
lion |Lions,2014100201,6861,4,5.830053927998834E-4
lion |Lions,2014100309,9997,1,1.0003000900270081E-4
lion |Lions,2014100307,6926,1,1.4438348252959862E-4
lion |Lions,2014100204,8387,0,0.0
lion |Lions,2014100308,8532,2,2.3441162681669012E-4
lion |Lions,2014100205,14882,0,0.0
lion |Lions,2014100305,3838,1,2.605523710265763E-4
lion |Lions,2014100202,5853,1,1.7085255424568598E-4
lion |Lions,2014100306,5526,0,0.0
lion |Lions,2014100203,5613,0,0.0
lion |Lions,2014100303,5043,0,0.0
lion |Lions,2014100208,9640,4,4.149377593360996E-4
lion |Lions,2014100304,4725,0,0.0
lion |Lions,2014100209,12321,0,0.0
lion |Lions,2014100301,4480,0,0.0
lion |Lions,2014100206,9203,0,0.0
lion |Lions,2014100302,8095,0,0.0
lion |Lions,2014100207,9445,2,2.1175224986765483E-4
lion |Lions,2014100300,6707,0,0.0
lion |Lions,2014100106,45483,2,4.397247323175692E-5
lion |Lions,2014100105,7742,0,0.0
lion |Lions,2014100104,8731,0,0.0
lion |Lions,2014100103,1127,0,0.0
lion |Lions,2014100102,2940,0,0.0
lion |Lions,2014100101,3598,0,0.0
lion |Lions,2014100100,1816,0,0.0
lion |Lions,2014100109,10999,1,9.091735612328394E-5
lion |Lions,2014100108,14670,3,2.0449897750511248E-4
lion |Lions,2014100107,32104,4,1.24595066035385E-4
lion |Lions,2014100210,10300,1,9.70873786407767E-5
lion |Lions,2014100211,11008,3,2.7252906976744186E-4
lion |Lions,2014100212,11567,2,1.729056799515864E-4
lion |Lions,2014100316,10537,1,9.490367277213628E-5
lion |Lions,2014100213,10976,0,0.0
lion |Lions,2014100317,9832,4,4.068348250610252E-4
lion |Lions,2014100214,12210,1,8.19000819000819E-5
lion |Lions,2014100318,9075,2,2.2038567493112948E-4
lion |Lions,2014100215,11832,3,2.535496957403651E-4
lion |Lions,2014100319,8645,0,0.0
lion |Lions,2014100216,10725,0,0.0
lion |Lions,2014100312,10661,4,3.7519932464121565E-4
lion |Lions,2014100217,9835,2,2.0335536349771224E-4
lion |Lions,2014100313,9887,3,3.034287448164256E-4
lion |Lions,2014100218,9907,2,2.018774603815484E-4
lion |Lions,2014100314,9820,3,3.054989816700611E-4
lion |Lions,2014100219,11100,6,5.405405405405405E-4
lion |Lions,2014100420,8163,4,4.900159255175794E-4
lion |Lions,2014100315,10271,1,9.736150326161036E-5
lion |Lions,2014100120,12122,1,8.249463784853984E-5
lion |Lions,2014100421,8099,1,1.2347203358439315E-4
lion |Lions,2014100422,8432,3,3.557874762808349E-4
lion |Lions,2014100423,6306,1,1.585791309863622E-4
lion |Lions,2014100310,10343,2,1.9336749492410325E-4
lion |Lions,2014100311,11400,1,8.771929824561403E-5
lion |Lions,2014100115,14152,3,2.1198417184850198E-4
lion |Lions,2014100114,11535,3,2.600780234070221E-4
lion |Lions,2014100117,11365,2,1.759788825340959E-4
lion |Lions,2014100116,10904,2,1.8341892883345562E-4
lion |Lions,2014100111,9571,2,2.0896458050360465E-4
lion |Lions,2014100110,9126,2,2.1915406530791147E-4
lion |Lions,2014100823,5727,9,0.001571503404924044
lion |Lions,2014100113,11543,2,1.7326518236160444E-4
lion |Lions,2014100822,900,1,0.0011111111111111111
lion |Lions,2014100112,11651,0,0.0
lion |Lions,2014100119,11403,2,1.7539244058581075E-4
lion |Lions,2014100118,10294,4,3.885758694385079E-4
lion |Lions,2014100604,4638,0,0.0
lion |Lions,2014100605,8675,0,0.0
lion |Lions,2014100700,5207,0,0.0
lion |Lions,2014100914,3191,1,3.1338138514572234E-4
lion |Lions,2014100602,8176,1,1.223091976516634E-4
lion |Lions,2014100915,1000,1,0.001
lion |Lions,2014100603,9384,0,0.0
lion |Lions,2014100912,2545,1,3.929273084479371E-4
lion |Lions,2014100608,13680,0,0.0
lion |Lions,2014100913,6771,2,2.953773445576724E-4
lion |Lions,2014100609,13287,2,1.5052306766011892E-4
lion |Lions,2014100810,6053,9,0.0014868660168511482
lion |Lions,2014100606,4334,0,0.0
lion |Lions,2014100607,6194,3,4.8433968356474005E-4
lion |Lions,2014100707,4802,0,0.0
lion |Lions,2014100813,7061,4,5.66491998300524E-4
lion |Lions,2014100708,5400,1,1.8518518518518518E-4
lion |Lions,2014100814,6011,1,1.6636167027116953E-4
lion |Lions,2014100705,2740,0,0.0
lion |Lions,2014100811,6604,7,0.0010599636583888553
lion |Lions,2014100706,3398,0,0.0
lion |Lions,2014100812,5896,9,0.0015264586160108548
lion |Lions,2014100817,6743,3,4.449058282663503E-4
lion |Lions,2014100600,15771,1,6.340752013188764E-5
lion |Lions,2014100703,5792,0,0.0
lion |Lions,2014100818,7400,1,1.3513513513513514E-4
lion |Lions,2014100601,8669,2,2.3070711731456916E-4
lion |Lions,2014100704,3010,0,0.0
lion |Lions,2014100815,5628,2,3.5536602700781805E-4
lion |Lions,2014100701,13455,0,0.0
lion |Lions,2014100816,7857,2,2.545500827287769E-4
lion |Lions,2014100702,8524,0,0.0
lion |Lions,2014100509,9287,0,0.0
lion |Lions,2014100508,6498,2,3.077870113881194E-4
lion |Lions,2014100819,4300,4,9.302325581395349E-4
lion |Lions,2014100507,16911,1,5.913310862752055E-5
lion |Lions,2014100403,6749,0,0.0
lion |Lions,2014100506,11836,0,0.0
lion |Lions,2014100402,6613,0,0.0
lion |Lions,2014100505,6487,0,0.0
lion |Lions,2014100401,4570,0,0.0
lion |Lions,2014100504,3861,1,2.59000259000259E-4
lion |Lions,2014100400,5285,2,3.784295175023652E-4
lion |Lions,2014100503,4540,0,0.0
lion |Lions,2014100709,5572,3,5.384063173007897E-4
lion |Lions,2014100407,7111,1,1.406271972999578E-4
lion |Lions,2014100406,10763,0,0.0
lion |Lions,2014100501,6148,0,0.0
lion |Lions,2014100405,10366,1,9.646922631680494E-5
lion |Lions,2014100500,11540,0,0.0
lion |Lions,2014100404,3086,0,0.0
lion |Lions,2014100409,9932,4,4.027386226339106E-4
lion |Lions,2014100408,10458,3,2.8686173264486515E-4
lion |Lions,2014100903,4141,0,0.0
lion |Lions,2014100613,12260,0,0.0
lion |Lions,2014100904,4854,1,2.0601565718994644E-4
lion |Lions,2014100614,10247,1,9.758953840148337E-5
lion |Lions,2014100905,7777,0,0.0
lion |Lions,2014100615,8801,6,6.817407112828088E-4
lion |Lions,2014100710,7431,5,6.728569506122998E-4
lion |Lions,2014100906,3505,1,2.853067047075606E-4
lion |Lions,2014100616,10833,4,3.6924213052709313E-4
lion |Lions,2014100711,13474,1,7.421701053881549E-5
lion |Lions,2014100617,11523,4,3.4713182330990195E-4
lion |Lions,2014100900,3864,0,0.0
lion |Lions,2014100618,10834,11,0.0010153221340225217
lion |Lions,2014100901,3052,0,0.0
lion |Lions,2014100619,10472,2,1.9098548510313216E-4
lion |Lions,2014100902,4916,0,0.0
lion |Lions,2014100716,9756,3,3.075030750307503E-4
lion |Lions,2014100800,3418,0,0.0
lion |Lions,2014100717,12018,3,2.4962556165751375E-4
lion |Lions,2014100801,4912,0,0.0
lion |Lions,2014100718,9824,5,5.08957654723127E-4
lion |Lions,2014100802,4582,0,0.0
lion |Lions,2014100719,8904,7,7.861635220125787E-4
lion |Lions,2014100803,4750,0,0.0
lion |Lions,2014100712,10146,11,0.0010841711019120837
lion |Lions,2014100804,8238,2,2.4277737314882253E-4
lion |Lions,2014100610,8565,5,5.837711617046118E-4
lion |Lions,2014100713,7382,3,4.06393931183961E-4
lion |Lions,2014100805,6904,0,0.0
lion |Lions,2014100611,8676,1,1.152604887044721E-4
lion |Lions,2014100714,9294,2,2.1519259737465033E-4
lion |Lions,2014100806,7696,1,1.2993762993762994E-4
lion |Lions,2014100612,7761,0,0.0
lion |Lions,2014100715,8494,6,7.063809748057452E-4
lion |Lions,2014100807,6298,1,1.5878056525881233E-4
lion |Lions,2014100519,13547,1,7.381708127260648E-5
lion |Lions,2014100809,5933,0,0.0
lion |Lions,2014100518,12589,1,7.943442688061006E-5
lion |Lions,2014100808,7916,0,0.0
lion |Lions,2014100410,8297,6,7.231529468482585E-4
lion |Lions,2014100412,8252,4,4.847309743092584E-4
lion |Lions,2014100515,6526,4,6.129328838492185E-4
lion |Lions,2014100411,8736,1,1.1446886446886447E-4
lion |Lions,2014100514,7337,3,4.088864658579801E-4
lion |Lions,2014100414,8029,6,7.47291069871715E-4
lion |Lions,2014100517,16635,2,1.2022843402464683E-4
lion |Lions,2014100413,7649,2,2.6147208785462153E-4
lion |Lions,2014100516,7164,2,2.7917364600781687E-4
lion |Lions,2014100416,8535,1,1.1716461628588167E-4
lion |Lions,2014100511,8203,1,1.2190661952944045E-4
lion |Lions,2014100415,9288,1,1.0766580534022394E-4
lion |Lions,2014100510,7389,3,4.060089321965083E-4
lion |Lions,2014100418,8794,1,1.1371389583807141E-4
lion |Lions,2014100513,8653,4,4.6226742170345545E-4
lion |Lions,2014100417,9001,1,1.1109876680368848E-4
lion |Lions,2014100512,7658,5,6.529119874640898E-4
lion |Lions,2014100908,14247,3,2.105706464518846E-4
lion |Lions,2014100907,7751,2,2.580312217778351E-4
lion |Lions,2014100419,8630,0,0.0
lion |Lions,2014100909,1000,0,0.0
lion |Lions,2014100721,11447,2,1.747182667947934E-4
lion |Lions,2014100722,8294,1,1.2056908608632747E-4
lion |Lions,2014100720,10198,2,1.9611688566385565E-4
lion |Lions,2014100723,5300,0,0.0
