sex |sex,2014100223,8580,3,3.4965034965034965E-4
sex |sex,2014100222,12009,6,4.996252810392206E-4
sex |sex,2014100221,14828,13,8.767197194496898E-4
sex |sex,2014100220,15090,14,9.277667329357191E-4
sex |sex,2014093023,7216,16,0.0022172949002217295
sex |sex,2014093020,2478,2,8.071025020177562E-4
sex |sex,2014093022,2524,4,0.001584786053882726
sex |sex,2014093021,2547,1,3.9261876717707107E-4
sex |sex,2014100321,9080,10,0.0011013215859030838
sex |sex,2014100322,8671,6,6.919617114519663E-4
sex |sex,2014100320,9381,2,2.1319688732544505E-4
sex |sex,2014100323,6929,8,0.0011545677586953383
sex |sex,2014100123,8836,12,0.001358080579447714
sex |sex,2014100122,10378,11,0.001059934476777799
sex |sex,2014100121,12311,14,0.0011371943790106408
sex |sex,2014100200,11724,5,4.2647560559535994E-4
sex |sex,2014100201,6861,12,0.0017490161783996502
sex |sex,2014100309,9997,23,0.0023006902070621185
sex |sex,2014100307,6926,2,2.8876696505919725E-4
sex |sex,2014100204,8387,3,3.576964349588649E-4
sex |sex,2014100308,8532,3,3.5161744022503517E-4
sex |sex,2014100205,14882,7,4.7036688617121356E-4
sex |sex,2014100305,3838,6,0.001563314226159458
sex |sex,2014100202,5853,4,6.834102169827439E-4
sex |sex,2014100306,5526,3,5.428881650380022E-4
sex |sex,2014100203,5613,2,3.563156957063959E-4
sex |sex,2014100303,5043,2,3.96589331746976E-4
sex |sex,2014100208,9640,6,6.224066390041493E-4
sex |sex,2014100304,4725,10,0.0021164021164021165
sex |sex,2014100209,12321,5,4.0581121662202745E-4
sex |sex,2014100301,4480,5,0.0011160714285714285
sex |sex,2014100206,9203,6,6.519613169618602E-4
sex |sex,2014100302,8095,4,4.941321803582458E-4
sex |sex,2014100207,9445,2,2.1175224986765483E-4
sex |sex,2014100300,6707,13,0.0019382734456537946
sex |sex,2014100106,45483,11,2.4184860277466305E-4
sex |sex,2014100105,7742,3,3.8749677086024286E-4
sex |sex,2014100104,8731,5,5.726720879624327E-4
sex |sex,2014100103,1127,0,0.0
sex |sex,2014100102,2940,4,0.0013605442176870747
sex |sex,2014100101,3598,3,8.337965536409116E-4
sex |sex,2014100100,1816,1,5.506607929515419E-4
sex |sex,2014100109,10999,28,0.0025456859714519504
sex |sex,2014100108,14670,39,0.0026584867075664623
sex |sex,2014100107,32104,7,2.1804136556192376E-4
sex |sex,2014100210,10300,4,3.883495145631068E-4
sex |sex,2014100211,11008,6,5.450581395348837E-4
sex |sex,2014100212,11567,13,0.0011238869196853116
sex |sex,2014100316,10537,7,6.64325709404954E-4
sex |sex,2014100213,10976,3,2.7332361516034986E-4
sex |sex,2014100317,9832,4,4.068348250610252E-4
sex |sex,2014100214,12210,4,3.276003276003276E-4
sex |sex,2014100318,9075,10,0.0011019283746556473
sex |sex,2014100215,11832,3,2.535496957403651E-4
sex |sex,2014100319,8645,6,6.940427993059572E-4
sex |sex,2014100216,10725,12,0.0011188811188811189
sex |sex,2014100312,10661,6,5.627989869618235E-4
sex |sex,2014100217,9835,5,5.083884087442806E-4
sex |sex,2014100313,9887,7,7.080004045716598E-4
sex |sex,2014100218,9907,13,0.0013122034924800646
sex |sex,2014100314,9820,5,5.091649694501018E-4
sex |sex,2014100219,11100,17,0.0015315315315315315
sex |sex,2014100420,8163,9,0.0011025358324145535
sex |sex,2014100315,10271,6,5.841690195696621E-4
sex |sex,2014100120,12122,11,9.074410163339383E-4
sex |sex,2014100421,8099,3,3.704161007531794E-4
sex |sex,2014100422,8432,9,0.0010673624288425048
sex |sex,2014100423,6306,2,3.171582619727244E-4
sex |sex,2014100310,10343,11,0.0010635212220825678
sex |sex,2014100311,11400,19,0.0016666666666666668
sex |sex,2014100115,14152,22,0.0015545505935556812
sex |sex,2014100114,11535,4,3.4677069787602947E-4
sex |sex,2014100117,11365,22,0.001935767707875055
sex |sex,2014100116,10904,12,0.0011005135730007337
sex |sex,2014100111,9571,7,7.313760317626162E-4
sex |sex,2014100110,9126,15,0.001643655489809336
sex |sex,2014100823,5727,6,0.0010476689366160294
sex |sex,2014100113,11543,9,7.7969332062722E-4
sex |sex,2014100822,900,0,0.0
sex |sex,2014100112,11651,8,6.866363402283066E-4
sex |sex,2014100119,11403,9,7.892659826361484E-4
sex |sex,2014100118,10294,18,0.0017485914124732854
sex |sex,2014100604,4638,2,4.3122035360068997E-4
sex |sex,2014100605,8675,3,3.45821325648415E-4
sex |sex,2014100700,5207,2,3.840983291722681E-4
sex |sex,2014100914,3191,4,0.0012535255405828893
sex |sex,2014100602,8176,5,6.11545988258317E-4
sex |sex,2014100915,1000,1,0.001
sex |sex,2014100603,9384,3,3.1969309462915604E-4
sex |sex,2014100912,2545,9,0.003536345776031434
sex |sex,2014100608,13680,4,2.9239766081871346E-4
sex |sex,2014100913,6771,12,0.0017722640673460345
sex |sex,2014100609,13287,6,4.515692029803567E-4
sex |sex,2014100810,6053,6,9.912440112340988E-4
sex |sex,2014100606,4334,1,2.3073373327180433E-4
sex |sex,2014100607,6194,5,8.072328059412334E-4
sex |sex,2014100707,4802,1,2.0824656393169514E-4
sex |sex,2014100813,7061,4,5.66491998300524E-4
sex |sex,2014100708,5400,1,1.8518518518518518E-4
sex |sex,2014100814,6011,8,0.0013308933621693562
sex |sex,2014100705,2740,2,7.2992700729927E-4
sex |sex,2014100811,6604,9,0.0013628104179285283
sex |sex,2014100706,3398,4,0.0011771630370806356
sex |sex,2014100812,5896,4,6.784260515603799E-4
sex |sex,2014100817,6743,2,2.9660388551090017E-4
sex |sex,2014100600,15771,4,2.536300805275506E-4
sex |sex,2014100703,5792,7,0.0012085635359116022
sex |sex,2014100818,7400,8,0.001081081081081081
sex |sex,2014100601,8669,5,5.767677932864229E-4
sex |sex,2014100704,3010,3,9.966777408637873E-4
sex |sex,2014100815,5628,3,5.330490405117271E-4
sex |sex,2014100701,13455,3,2.229654403567447E-4
sex |sex,2014100816,7857,9,0.001145475372279496
sex |sex,2014100702,8524,13,0.0015251055842327545
sex |sex,2014100509,9287,7,7.537417895983633E-4
sex |sex,2014100508,6498,2,3.077870113881194E-4
sex |sex,2014100819,4300,4,9.302325581395349E-4
sex |sex,2014100507,16911,5,2.9566554313760273E-4
sex |sex,2014100403,6749,12,0.0017780411912875981
sex |sex,2014100506,11836,2,1.6897600540723216E-4
sex |sex,2014100402,6613,20,0.0030243459851807047
sex |sex,2014100505,6487,0,0.0
sex |sex,2014100401,4570,1,2.188183807439825E-4
sex |sex,2014100504,3861,1,2.59000259000259E-4
sex |sex,2014100400,5285,16,0.0030274361400189215
sex |sex,2014100503,4540,1,2.2026431718061675E-4
sex |sex,2014100709,5572,3,5.384063173007897E-4
sex |sex,2014100407,7111,2,2.812543945999156E-4
sex |sex,2014100406,10763,1,9.2910898448388E-5
sex |sex,2014100501,6148,4,6.506180871828237E-4
sex |sex,2014100405,10366,1,9.646922631680494E-5
sex |sex,2014100500,11540,4,3.466204506065858E-4
sex |sex,2014100404,3086,1,3.240440699935191E-4
sex |sex,2014100409,9932,7,7.047925896093435E-4
sex |sex,2014100408,10458,11,0.0010518263530311723
sex |sex,2014100903,4141,1,2.414875633904854E-4
sex |sex,2014100613,12260,6,4.893964110929853E-4
sex |sex,2014100904,4854,3,6.180469715698393E-4
sex |sex,2014100614,10247,11,0.001073484922416317
sex |sex,2014100905,7777,1,1.2858428700012858E-4
sex |sex,2014100615,8801,23,0.002613339393250767
sex |sex,2014100710,7431,21,0.002825999192571659
