money |Money |money,2014100223,8580,25,0.002913752913752914
money |Money |money,2014100222,12009,36,0.0029977516862353237
money |Money |money,2014100221,14828,37,0.0024952792015106554
money |Money |money,2014100220,15090,31,0.002054340622929092
money |Money |money,2014093023,7216,19,0.002633037694013304
money |Money |money,2014093020,2478,6,0.002421307506053269
money |Money |money,2014093022,2524,13,0.005150554675118859
money |Money |money,2014093021,2547,12,0.004711425206124852
money |Money |money,2014100321,9080,43,0.00473568281938326
money |Money |money,2014100322,8671,43,0.004959058932072425
money |Money |money,2014100320,9381,84,0.008954269267668692
money |Money |money,2014100323,6929,21,0.0030307403665752633
money |Money |money,2014100123,8836,20,0.0022634676324128564
money |Money |money,2014100122,10378,18,0.0017344382347273077
money |Money |money,2014100121,12311,37,0.0030054422873852654
money |Money |money,2014100200,11724,17,0.0014500170590242237
money |Money |money,2014100201,6861,8,0.0011660107855997668
money |Money |money,2014100309,9997,27,0.0027008102430729217
money |Money |money,2014100307,6926,13,0.001876985272884782
money |Money |money,2014100204,8387,4,4.769285799451532E-4
money |Money |money,2014100308,8532,31,0.0036333802156586965
money |Money |money,2014100205,14882,4,2.6878107781212203E-4
money |Money |money,2014100305,3838,19,0.0049504950495049506
money |Money |money,2014100202,5853,7,0.0011959678797198018
money |Money |money,2014100306,5526,15,0.0027144408251900108
money |Money |money,2014100203,5613,4,7.126313914127917E-4
money |Money |money,2014100303,5043,23,0.004560777315090224
money |Money |money,2014100208,9640,118,0.012240663900414938
money |Money |money,2014100304,4725,15,0.0031746031746031746
money |Money |money,2014100209,12321,78,0.006330654979303628
money |Money |money,2014100301,4480,22,0.004910714285714286
money |Money |money,2014100206,9203,894,0.09714223622731719
money |Money |money,2014100302,8095,21,0.0025941939468807906
money |Money |money,2014100207,9445,239,0.025304393859184753
money |Money |money,2014100300,6707,29,0.004323840763381542
money |Money |money,2014100106,45483,2,4.397247323175692E-5
money |Money |money,2014100105,7742,3,3.8749677086024286E-4
money |Money |money,2014100104,8731,0,0.0
money |Money |money,2014100103,1127,1,8.873114463176575E-4
money |Money |money,2014100102,2940,4,0.0013605442176870747
money |Money |money,2014100101,3598,3,8.337965536409116E-4
money |Money |money,2014100100,1816,1,5.506607929515419E-4
money |Money |money,2014100109,10999,16,0.001454677697972543
money |Money |money,2014100108,14670,22,0.0014996591683708249
money |Money |money,2014100107,32104,18,5.606777971592325E-4
money |Money |money,2014100210,10300,57,0.005533980582524272
money |Money |money,2014100211,11008,41,0.003724563953488372
money |Money |money,2014100212,11567,39,0.003371660759055935
money |Money |money,2014100316,10537,21,0.001992977128214862
money |Money |money,2014100213,10976,55,0.005010932944606414
money |Money |money,2014100317,9832,27,0.0027461350691619204
money |Money |money,2014100214,12210,91,0.007452907452907453
money |Money |money,2014100318,9075,18,0.0019834710743801653
money |Money |money,2014100215,11832,70,0.005916159567275186
money |Money |money,2014100319,8645,30,0.003470213996529786
money |Money |money,2014100216,10725,58,0.005407925407925408
money |Money |money,2014100312,10661,27,0.0025325954413282056
money |Money |money,2014100217,9835,34,0.0034570411794611084
money |Money |money,2014100313,9887,18,0.0018205724688985536
money |Money |money,2014100218,9907,38,0.0038356717472494196
money |Money |money,2014100314,9820,22,0.002240325865580448
money |Money |money,2014100219,11100,33,0.002972972972972973
money |Money |money,2014100420,8163,19,0.0023275756462085018
money |Money |money,2014100315,10271,18,0.0017525070587089864
money |Money |money,2014100120,12122,33,0.0027223230490018148
money |Money |money,2014100421,8099,20,0.0024694406716878627
money |Money |money,2014100422,8432,12,0.0014231499051233396
money |Money |money,2014100423,6306,17,0.0026958452267681573
money |Money |money,2014100310,10343,37,0.0035772986560959103
money |Money |money,2014100311,11400,29,0.002543859649122807
money |Money |money,2014100115,14152,17,0.0012012436404748444
money |Money |money,2014100114,11535,28,0.0024273948851322065
money |Money |money,2014100117,11365,19,0.0016717993840739112
money |Money |money,2014100116,10904,17,0.0015590608950843726
money |Money |money,2014100111,9571,22,0.002298610385539651
money |Money |money,2014100110,9126,13,0.0014245014245014246
money |Money |money,2014100823,5727,10,0.001746114894360049
money |Money |money,2014100113,11543,24,0.002079182188339253
money |Money |money,2014100822,900,2,0.0022222222222222222
money |Money |money,2014100112,11651,21,0.0018024203930993047
money |Money |money,2014100119,11403,21,0.001841620626151013
money |Money |money,2014100118,10294,18,0.0017485914124732854
money |Money |money,2014100604,4638,8,0.0017248814144027599
money |Money |money,2014100605,8675,3,3.45821325648415E-4
money |Money |money,2014100700,5207,11,0.0021125408104474747
money |Money |money,2014100914,3191,56,0.01754935756816045
money |Money |money,2014100602,8176,22,0.0026908023483365948
money |Money |money,2014100915,1000,9,0.009
money |Money |money,2014100603,9384,5,5.328218243819267E-4
money |Money |money,2014100912,2545,7,0.00275049115913556
money |Money |money,2014100608,13680,18,0.0013157894736842105
money |Money |money,2014100913,6771,88,0.012996603160537587
money |Money |money,2014100609,13287,22,0.001655753744261308
money |Money |money,2014100810,6053,11,0.0018172806872625144
money |Money |money,2014100606,4334,6,0.0013844023996308261
money |Money |money,2014100607,6194,12,0.0019373587342589602
money |Money |money,2014100707,4802,6,0.0012494793835901709
money |Money |money,2014100813,7061,174,0.024642401926072793
money |Money |money,2014100708,5400,108,0.02
money |Money |money,2014100814,6011,18,0.002994510064881051
money |Money |money,2014100705,2740,2,7.2992700729927E-4
money |Money |money,2014100811,6604,21,0.003179890975166566
money |Money |money,2014100706,3398,6,0.0017657445556209534
money |Money |money,2014100812,5896,64,0.010854816824966078
money |Money |money,2014100817,6743,26,0.0038558505116417026
money |Money |money,2014100600,15771,10,6.340752013188764E-4
money |Money |money,2014100703,5792,24,0.004143646408839779
money |Money |money,2014100818,7400,33,0.00445945945945946
money |Money |money,2014100601,8669,6,6.921213519437074E-4
money |Money |money,2014100704,3010,13,0.004318936877076412
money |Money |money,2014100815,5628,23,0.004086709310589908
money |Money |money,2014100701,13455,1,7.432181345224824E-5
money |Money |money,2014100816,7857,29,0.003690976199567265
money |Money |money,2014100702,8524,94,0.011027686532144533
money |Money |money,2014100509,9287,15,0.0016151609777107785
money |Money |money,2014100508,6498,8,0.0012311480455524776
money |Money |money,2014100819,4300,15,0.0034883720930232558
money |Money |money,2014100507,16911,6,3.547986517651233E-4
money |Money |money,2014100403,6749,11,0.0016298710920136317
money |Money |money,2014100506,11836,6,5.069280162216965E-4
money |Money |money,2014100402,6613,10,0.0015121729925903524
money |Money |money,2014100505,6487,1,1.5415446277169725E-4
money |Money |money,2014100401,4570,8,0.00175054704595186
money |Money |money,2014100504,3861,6,0.001554001554001554
money |Money |money,2014100400,5285,12,0.002270577105014191
money |Money |money,2014100503,4540,8,0.001762114537444934
money |Money |money,2014100709,5572,21,0.0037688442211055275
money |Money |money,2014100407,7111,11,0.001546899170299536
money |Money |money,2014100406,10763,16,0.001486574375174208
money |Money |money,2014100501,6148,11,0.0017891997397527651
money |Money |money,2014100405,10366,10,9.646922631680494E-4
money |Money |money,2014100500,11540,11,9.532062391681109E-4
money |Money |money,2014100404,3086,7,0.002268308489954634
money |Money |money,2014100409,9932,22,0.0022150624244865083
money |Money |money,2014100408,10458,12,0.0011474469305794606
money |Money |money,2014100903,4141,2,4.829751267809708E-4
money |Money |money,2014100613,12260,16,0.0013050570962479609
money |Money |money,2014100904,4854,1,2.0601565718994644E-4
money |Money |money,2014100614,10247,20,0.0019517907680296671
money |Money |money,2014100905,7777,4,5.143371480005143E-4
money |Money |money,2014100615,8801,14,0.001590728326326554
money |Money |money,2014100710,7431,14,0.0018839994617144396
money |Money |money,2014100906,3505,3,8.559201141226819E-4
money |Money |money,2014100616,10833,24,0.002215452783162559
money |Money |money,2014100711,13474,18,0.0013359061896986788
money |Money |money,2014100617,11523,28,0.0024299227631693135
money |Money |money,2014100900,3864,6,0.0015527950310559005
money |Money |money,2014100618,10834,28,0.002584456341148237
money |Money |money,2014100901,3052,5,0.00163826998689384
money |Money |money,2014100619,10472,20,0.0019098548510313217
money |Money |money,2014100902,4916,3,6.102522375915378E-4
money |Money |money,2014100716,9756,28,0.002870028700287003
money |Money |money,2014100800,3418,4,0.0011702750146284377
money |Money |money,2014100717,12018,27,0.0022466300549176237
money |Money |money,2014100801,4912,12,0.0024429967426710096
money |Money |money,2014100718,9824,24,0.0024429967426710096
money |Money |money,2014100802,4582,5,0.0010912265386294195
money |Money |money,2014100719,8904,15,0.0016846361185983828
money |Money |money,2014100803,4750,0,0.0
money |Money |money,2014100712,10146,21,0.0020697811945594325
money |Money |money,2014100804,8238,2,2.4277737314882253E-4
money |Money |money,2014100610,8565,11,0.0012842965557501459
money |Money |money,2014100713,7382,25,0.003386616093199675
money |Money |money,2014100805,6904,5,7.242178447276941E-4
money |Money |money,2014100611,8676,18,0.002074688796680498
money |Money |money,2014100714,9294,23,0.0024747148698084785
money |Money |money,2014100806,7696,4,5.197505197505198E-4
money |Money |money,2014100612,7761,7,9.01945625563716E-4
money |Money |money,2014100715,8494,24,0.0028255238992229807
money |Money |money,2014100807,6298,12,0.001905366783105748
money |Money |money,2014100519,13547,31,0.002288329519450801
money |Money |money,2014100809,5933,6,0.0010112927692566998
money |Money |money,2014100518,12589,18,0.001429819683850981
money |Money |money,2014100808,7916,9,0.0011369378473976757
money |Money |money,2014100410,8297,23,0.0027720862962516573
money |Money |money,2014100412,8252,18,0.0021812893843916625
money |Money |money,2014100515,6526,12,0.0018387986515476554
money |Money |money,2014100411,8736,19,0.002174908424908425
money |Money |money,2014100514,7337,29,0.003952569169960474
money |Money |money,2014100414,8029,19,0.002366421721260431
money |Money |money,2014100517,16635,22,0.0013225127742711152
money |Money |money,2014100413,7649,17,0.002222512746764283
money |Money |money,2014100516,7164,13,0.0018146286990508096
money |Money |money,2014100416,8535,8,9.373169302870533E-4
money |Money |money,2014100511,8203,20,0.002438132390588809
money |Money |money,2014100415,9288,16,0.0017226528854435831
money |Money |money,2014100510,7389,15,0.0020300446609825416
money |Money |money,2014100418,8794,19,0.002160564020923357
money |Money |money,2014100513,8653,23,0.0026580376747948687
money |Money |money,2014100417,9001,30,0.0033329630041106545
money |Money |money,2014100512,7658,13,0.0016975711674066336
money |Money |money,2014100908,14247,20,0.0014038043096792306
money |Money |money,2014100907,7751,11,0.0014191717197780931
money |Money |money,2014100419,8630,11,0.0012746234067207416
money |Money |money,2014100909,1000,3,0.003
money |Money |money,2014100721,11447,21,0.0018345418013453307
money |Money |money,2014100722,8294,21,0.0025319508078128767
money |Money |money,2014100720,10198,21,0.0020592272994704843
money |Money |money,2014100723,5300,12,0.0022641509433962265
money |Money |money,2014100520,14801,25,0.0016890750624957774
money |Money |money,2014100523,12605,15,0.001190003966679889
money |Money |money,2014100522,10915,23,0.002107191937700412
money |Money |money,2014100521,14363,26,0.0018102067813130962
money |Money |money,2014100623,8800,20,0.0022727272727272726
money |Money |money,2014100622,9000,30,0.0033333333333333335
money |Money |money,2014100621,9007,21,0.0023315199289441545
money |Money |money,2014100620,8998,17,0.0018893087352745055
money |Money |money,2014093011,9741,18,0.0018478595626732369
money |Money |money,2014093012,11191,16,0.0014297203109641676
money |Money |money,2014093013,5267,11,0.0020884754129485475
money |Money |money,2014093017,3899,12,0.00307771223390613
money |Money |money,2014093018,99,0,0.0
money |Money |money,2014093019,8564,16,0.0018682858477347033
