punch |punch |punches,2014100223,8580,2,2.331002331002331E-4
punch |punch |punches,2014100222,12009,4,3.330835206928137E-4
punch |punch |punches,2014100221,14828,7,4.720798489344483E-4
punch |punch |punches,2014100220,15090,3,1.9880715705765408E-4
punch |punch |punches,2014093023,7216,1,1.385809312638581E-4
punch |punch |punches,2014093020,2478,0,0.0
punch |punch |punches,2014093022,2524,3,0.0011885895404120444
punch |punch |punches,2014093021,2547,2,7.852375343541421E-4
punch |punch |punches,2014100321,9080,3,3.303964757709251E-4
punch |punch |punches,2014100322,8671,5,5.766347595433052E-4
punch |punch |punches,2014100320,9381,0,0.0
punch |punch |punches,2014100323,6929,0,0.0
punch |punch |punches,2014100123,8836,5,5.658669081032141E-4
punch |punch |punches,2014100122,10378,0,0.0
punch |punch |punches,2014100121,12311,2,1.6245633985866297E-4
punch |punch |punches,2014100200,11724,4,3.41180484476288E-4
punch |punch |punches,2014100201,6861,1,1.4575134819997084E-4
punch |punch |punches,2014100309,9997,2,2.0006001800540162E-4
punch |punch |punches,2014100307,6926,8,0.001155067860236789
punch |punch |punches,2014100204,8387,1,1.192321449862883E-4
punch |punch |punches,2014100308,8532,5,5.860290670417253E-4
punch |punch |punches,2014100205,14882,0,0.0
punch |punch |punches,2014100305,3838,1,2.605523710265763E-4
punch |punch |punches,2014100202,5853,0,0.0
punch |punch |punches,2014100306,5526,1,1.8096272167933406E-4
punch |punch |punches,2014100203,5613,1,1.7815784785319794E-4
punch |punch |punches,2014100303,5043,0,0.0
punch |punch |punches,2014100208,9640,0,0.0
punch |punch |punches,2014100304,4725,0,0.0
punch |punch |punches,2014100209,12321,6,4.869734599464329E-4
punch |punch |punches,2014100301,4480,0,0.0
punch |punch |punches,2014100206,9203,0,0.0
punch |punch |punches,2014100302,8095,0,0.0
punch |punch |punches,2014100207,9445,3,3.1762837480148225E-4
punch |punch |punches,2014100300,6707,1,1.490979573579842E-4
punch |punch |punches,2014100106,45483,5,1.099311830793923E-4
punch |punch |punches,2014100105,7742,1,1.291655902867476E-4
punch |punch |punches,2014100104,8731,0,0.0
punch |punch |punches,2014100103,1127,0,0.0
punch |punch |punches,2014100102,2940,0,0.0
punch |punch |punches,2014100101,3598,1,2.7793218454697053E-4
punch |punch |punches,2014100100,1816,0,0.0
punch |punch |punches,2014100109,10999,5,4.545867806164197E-4
punch |punch |punches,2014100108,14670,4,2.7266530334015E-4
