problem |problems |problem,2014100223,8580,46,0.005361305361305362
problem |problems |problem,2014100222,12009,35,0.00291448080606212
problem |problems |problem,2014100221,14828,33,0.002225519287833828
problem |problems |problem,2014100220,15090,28,0.0018555334658714381
problem |problems |problem,2014093023,7216,8,0.0011086474501108647
problem |problems |problem,2014093020,2478,9,0.0036319612590799033
problem |problems |problem,2014093022,2524,2,7.92393026941363E-4
problem |problems |problem,2014093021,2547,4,0.0015704750687082843
problem |problems |problem,2014100321,9080,6,6.607929515418502E-4
problem |problems |problem,2014100322,8671,15,0.0017299042786299158
problem |problems |problem,2014100320,9381,22,0.0023451657605798957
problem |problems |problem,2014100323,6929,7,0.001010246788858421
problem |problems |problem,2014100123,8836,10,0.0011317338162064282
problem |problems |problem,2014100122,10378,9,8.672191173636539E-4
problem |problems |problem,2014100121,12311,16,0.0012996507188693038
problem |problems |problem,2014100200,11724,10,8.529512111907199E-4
problem |problems |problem,2014100201,6861,4,5.830053927998834E-4
problem |problems |problem,2014100309,9997,29,0.0029008702610783233
problem |problems |problem,2014100307,6926,19,0.0027432861680623736
problem |problems |problem,2014100204,8387,7,8.346250149040181E-4
problem |problems |problem,2014100308,8532,45,0.005274261603375527
problem |problems |problem,2014100205,14882,5,3.3597634726515254E-4
problem |problems |problem,2014100305,3838,9,0.002344971339239187
problem |problems |problem,2014100202,5853,3,5.125576627370579E-4
problem |problems |problem,2014100306,5526,11,0.0019905899384726746
problem |problems |problem,2014100203,5613,0,0.0
problem |problems |problem,2014100303,5043,21,0.004164187983343248
problem |problems |problem,2014100208,9640,99,0.010269709543568465
problem |problems |problem,2014100304,4725,14,0.002962962962962963
problem |problems |problem,2014100209,12321,79,0.006411817222628033
problem |problems |problem,2014100301,4480,18,0.0040178571428571425
problem |problems |problem,2014100206,9203,889,0.09659893512984896
problem |problems |problem,2014100302,8095,19,0.0023471278567016676
problem |problems |problem,2014100207,9445,239,0.025304393859184753
problem |problems |problem,2014100300,6707,32,0.0047711346354554944
problem |problems |problem,2014100106,45483,7,1.5390365631114922E-4
problem |problems |problem,2014100105,7742,1,1.291655902867476E-4
problem |problems |problem,2014100104,8731,1,1.1453441759248655E-4
problem |problems |problem,2014100103,1127,0,0.0
problem |problems |problem,2014100102,2940,1,3.401360544217687E-4
problem |problems |problem,2014100101,3598,3,8.337965536409116E-4
problem |problems |problem,2014100100,1816,2,0.0011013215859030838
problem |problems |problem,2014100109,10999,17,0.0015455950540958269
problem |problems |problem,2014100108,14670,10,6.816632583503749E-4
problem |problems |problem,2014100107,32104,10,3.114876650884625E-4
problem |problems |problem,2014100210,10300,35,0.0033980582524271844
problem |problems |problem,2014100211,11008,40,0.003633720930232558
problem |problems |problem,2014100212,11567,23,0.001988415319443244
problem |problems |problem,2014100316,10537,12,0.0011388440732656353
problem |problems |problem,2014100213,10976,45,0.004099854227405247
problem |problems |problem,2014100317,9832,21,0.0021358828315703824
problem |problems |problem,2014100214,12210,74,0.006060606060606061
problem |problems |problem,2014100318,9075,14,0.0015426997245179064
problem |problems |problem,2014100215,11832,67,0.005662609871534821
problem |problems |problem,2014100319,8645,7,8.097165991902834E-4
problem |problems |problem,2014100216,10725,57,0.005314685314685315
problem |problems |problem,2014100312,10661,27,0.0025325954413282056
problem |problems |problem,2014100217,9835,37,0.0037620742247076767
problem |problems |problem,2014100313,9887,9,9.102862344492768E-4
problem |problems |problem,2014100218,9907,38,0.0038356717472494196
problem |problems |problem,2014100314,9820,17,0.0017311608961303462
problem |problems |problem,2014100219,11100,23,0.002072072072072072
problem |problems |problem,2014100420,8163,12,0.001470047776552738
problem |problems |problem,2014100315,10271,23,0.0022393145750170384
problem |problems |problem,2014100120,12122,23,0.0018973766705164164
problem |problems |problem,2014100421,8099,15,0.001852080503765897
problem |problems |problem,2014100422,8432,14,0.0016603415559772296
problem |problems |problem,2014100423,6306,8,0.0012686330478908975
problem |problems |problem,2014100310,10343,24,0.002320409939089239
problem |problems |problem,2014100311,11400,34,0.0029824561403508773
problem |problems |problem,2014100115,14152,16,0.0011305822498586771
problem |problems |problem,2014100114,11535,15,0.0013003901170351106
problem |problems |problem,2014100117,11365,23,0.002023757149142103
problem |problems |problem,2014100116,10904,18,0.0016507703595011005
problem |problems |problem,2014100111,9571,36,0.0037613624490648837
problem |problems |problem,2014100110,9126,12,0.0013149243918474688
problem |problems |problem,2014100823,5727,7,0.0012222804260520342
problem |problems |problem,2014100113,11543,27,0.00233907996188166
problem |problems |problem,2014100822,900,1,0.0011111111111111111
problem |problems |problem,2014100112,11651,18,0.0015449317655136898
problem |problems |problem,2014100119,11403,42,0.003683241252302026
problem |problems |problem,2014100118,10294,24,0.0023314552166310474
problem |problems |problem,2014100604,4638,4,8.624407072013799E-4
problem |problems |problem,2014100605,8675,3,3.45821325648415E-4
problem |problems |problem,2014100700,5207,13,0.0024966391396197426
problem |problems |problem,2014100914,3191,3,9.40144155437167E-4
problem |problems |problem,2014100602,8176,9,0.0011007827788649706
problem |problems |problem,2014100915,1000,2,0.002
problem |problems |problem,2014100603,9384,1,1.0656436487638534E-4
problem |problems |problem,2014100912,2545,7,0.00275049115913556
problem |problems |problem,2014100608,13680,9,6.578947368421052E-4
problem |problems |problem,2014100913,6771,5,7.38443361394181E-4
problem |problems |problem,2014100609,13287,11,8.27876872130654E-4
problem |problems |problem,2014100810,6053,9,0.0014868660168511482
problem |problems |problem,2014100606,4334,4,9.229349330872173E-4
problem |problems |problem,2014100607,6194,3,4.8433968356474005E-4
problem |problems |problem,2014100707,4802,10,0.0020824656393169513
problem |problems |problem,2014100813,7061,13,0.001841098994476703
problem |problems |problem,2014100708,5400,10,0.001851851851851852
problem |problems |problem,2014100814,6011,12,0.001996340043254034
