mission |mission |missions,2014100223,8580,3,3.4965034965034965E-4
mission |mission |missions,2014100222,12009,2,1.6654176034640685E-4
mission |mission |missions,2014100221,14828,5,3.371998920960345E-4
mission |mission |missions,2014100220,15090,2,1.325381047051027E-4
mission |mission |missions,2014093023,7216,1,1.385809312638581E-4
mission |mission |missions,2014093020,2478,1,4.035512510088781E-4
mission |mission |missions,2014093022,2524,3,0.0011885895404120444
mission |mission |missions,2014093021,2547,3,0.001177856301531213
mission |mission |missions,2014100321,9080,1,1.1013215859030837E-4
mission |mission |missions,2014100322,8671,4,4.613078076346442E-4
mission |mission |missions,2014100320,9381,2,2.1319688732544505E-4
mission |mission |missions,2014100323,6929,1,1.443209698369173E-4
mission |mission |missions,2014100123,8836,3,3.395201448619285E-4
mission |mission |missions,2014100122,10378,5,4.8178839853536327E-4
mission |mission |missions,2014100121,12311,10,8.12281699293315E-4
mission |mission |missions,2014100200,11724,1,8.5295121119072E-5
mission |mission |missions,2014100201,6861,0,0.0
mission |mission |missions,2014100309,9997,0,0.0
mission |mission |missions,2014100307,6926,2,2.8876696505919725E-4
mission |mission |missions,2014100204,8387,0,0.0
mission |mission |missions,2014100308,8532,1,1.1720581340834506E-4
mission |mission |missions,2014100205,14882,0,0.0
mission |mission |missions,2014100305,3838,0,0.0
mission |mission |missions,2014100202,5853,3,5.125576627370579E-4
mission |mission |missions,2014100306,5526,0,0.0
mission |mission |missions,2014100203,5613,0,0.0
mission |mission |missions,2014100303,5043,1,1.98294665873488E-4
mission |mission |missions,2014100208,9640,1,1.037344398340249E-4
mission |mission |missions,2014100304,4725,0,0.0
mission |mission |missions,2014100209,12321,1,8.116224332440549E-5
mission |mission |missions,2014100301,4480,1,2.232142857142857E-4
mission |mission |missions,2014100206,9203,1,1.0866021949364337E-4
mission |mission |missions,2014100302,8095,0,0.0
mission |mission |missions,2014100207,9445,3,3.1762837480148225E-4
mission |mission |missions,2014100300,6707,0,0.0
mission |mission |missions,2014100106,45483,1,2.198623661587846E-5
mission |mission |missions,2014100105,7742,0,0.0
mission |mission |missions,2014100104,8731,0,0.0
mission |mission |missions,2014100103,1127,0,0.0
mission |mission |missions,2014100102,2940,1,3.401360544217687E-4
mission |mission |missions,2014100101,3598,1,2.7793218454697053E-4
mission |mission |missions,2014100100,1816,0,0.0
mission |mission |missions,2014100109,10999,3,2.727520683698518E-4
mission |mission |missions,2014100108,14670,0,0.0
mission |mission |missions,2014100107,32104,0,0.0
mission |mission |missions,2014100210,10300,1,9.70873786407767E-5
mission |mission |missions,2014100211,11008,1,9.084302325581395E-5
mission |mission |missions,2014100212,11567,2,1.729056799515864E-4
mission |mission |missions,2014100316,10537,7,6.64325709404954E-4
mission |mission |missions,2014100213,10976,2,1.8221574344023323E-4
mission |mission |missions,2014100317,9832,4,4.068348250610252E-4
mission |mission |missions,2014100214,12210,0,0.0
mission |mission |missions,2014100318,9075,5,5.509641873278236E-4
mission |mission |missions,2014100215,11832,3,2.535496957403651E-4
mission |mission |missions,2014100319,8645,5,5.78368999421631E-4
mission |mission |missions,2014100216,10725,8,7.459207459207459E-4
mission |mission |missions,2014100312,10661,16,0.0015007972985648626
mission |mission |missions,2014100217,9835,0,0.0
mission |mission |missions,2014100313,9887,6,6.068574896328512E-4
mission |mission |missions,2014100218,9907,2,2.018774603815484E-4
mission |mission |missions,2014100314,9820,0,0.0
mission |mission |missions,2014100219,11100,2,1.8018018018018018E-4
mission |mission |missions,2014100420,8163,0,0.0
mission |mission |missions,2014100315,10271,13,0.0012656995424009346
mission |mission |missions,2014100120,12122,1,8.249463784853984E-5
mission |mission |missions,2014100421,8099,1,1.2347203358439315E-4
mission |mission |missions,2014100422,8432,1,1.1859582542694497E-4
mission |mission |missions,2014100423,6306,3,4.757373929590866E-4
mission |mission |missions,2014100310,10343,1,9.668374746205163E-5
mission |mission |missions,2014100311,11400,4,3.508771929824561E-4
mission |mission |missions,2014100115,14152,12,8.479366873940079E-4
mission |mission |missions,2014100114,11535,11,9.536194191590811E-4
mission |mission |missions,2014100117,11365,3,2.639683238011439E-4
mission |mission |missions,2014100116,10904,3,2.751283932501834E-4
mission |mission |missions,2014100111,9571,1,1.0448229025180232E-4
mission |mission |missions,2014100110,9126,3,3.287310979618672E-4
mission |mission |missions,2014100823,5727,2,3.4922297887200976E-4
mission |mission |missions,2014100113,11543,2,1.7326518236160444E-4
mission |mission |missions,2014100822,900,0,0.0
mission |mission |missions,2014100112,11651,1,8.582954252853832E-5
mission |mission |missions,2014100119,11403,3,2.6308866087871614E-4
mission |mission |missions,2014100118,10294,1,9.714396735962697E-5
mission |mission |missions,2014100604,4638,0,0.0
mission |mission |missions,2014100605,8675,0,0.0
mission |mission |missions,2014100700,5207,15,0.002880737468792011
mission |mission |missions,2014100914,3191,2,6.267627702914447E-4
mission |mission |missions,2014100602,8176,0,0.0
mission |mission |missions,2014100915,1000,0,0.0
mission |mission |missions,2014100603,9384,0,0.0
mission |mission |missions,2014100912,2545,0,0.0
mission |mission |missions,2014100608,13680,11,8.04093567251462E-4
mission |mission |missions,2014100913,6771,5,7.38443361394181E-4
mission |mission |missions,2014100609,13287,16,0.0012041845412809513
mission |mission |missions,2014100810,6053,5,8.260366760284157E-4
mission |mission |missions,2014100606,4334,7,0.0016151361329026304
mission |mission |missions,2014100607,6194,15,0.0024216984178237005
mission |mission |missions,2014100707,4802,6,0.0012494793835901709
mission |mission |missions,2014100813,7061,1,1.41622999575131E-4
mission |mission |missions,2014100708,5400,11,0.002037037037037037
mission |mission |missions,2014100814,6011,4,6.654466810846781E-4
mission |mission |missions,2014100705,2740,1,3.64963503649635E-4
mission |mission |missions,2014100811,6604,4,6.056935190793458E-4
mission |mission |missions,2014100706,3398,0,0.0
mission |mission |missions,2014100812,5896,3,5.088195386702849E-4
mission |mission |missions,2014100817,6743,4,5.932077710218003E-4
mission |mission |missions,2014100600,15771,5,3.170376006594382E-4
mission |mission |missions,2014100703,5792,2,3.453038674033149E-4
mission |mission |missions,2014100818,7400,5,6.756756756756757E-4
mission |mission |missions,2014100601,8669,0,0.0
mission |mission |missions,2014100704,3010,1,3.322259136212625E-4
mission |mission |missions,2014100815,5628,0,0.0
mission |mission |missions,2014100701,13455,9,6.688963210702341E-4
mission |mission |missions,2014100816,7857,3,3.8182512409316535E-4
mission |mission |missions,2014100702,8524,1,1.1731581417175035E-4
mission |mission |missions,2014100509,9287,2,2.153547970281038E-4
mission |mission |missions,2014100508,6498,2,3.077870113881194E-4
mission |mission |missions,2014100819,4300,2,4.6511627906976747E-4
mission |mission |missions,2014100507,16911,0,0.0
mission |mission |missions,2014100403,6749,0,0.0
mission |mission |missions,2014100506,11836,0,0.0
mission |mission |missions,2014100402,6613,1,1.5121729925903524E-4
mission |mission |missions,2014100505,6487,0,0.0
mission |mission |missions,2014100401,4570,2,4.37636761487965E-4
mission |mission |missions,2014100504,3861,0,0.0
mission |mission |missions,2014100400,5285,1,1.892147587511826E-4
mission |mission |missions,2014100503,4540,1,2.2026431718061675E-4
mission |mission |missions,2014100709,5572,11,0.001974156496769562
mission |mission |missions,2014100407,7111,0,0.0
mission |mission |missions,2014100406,10763,3,2.78732695345164E-4
mission |mission |missions,2014100501,6148,0,0.0
mission |mission |missions,2014100405,10366,0,0.0
mission |mission |missions,2014100500,11540,3,2.5996533795493934E-4
mission |mission |missions,2014100404,3086,1,3.240440699935191E-4
mission |mission |missions,2014100409,9932,2,2.013693113169553E-4
mission |mission |missions,2014100408,10458,0,0.0
mission |mission |missions,2014100903,4141,0,0.0
mission |mission |missions,2014100613,12260,11,8.972267536704731E-4
mission |mission |missions,2014100904,4854,0,0.0
mission |mission |missions,2014100614,10247,3,2.927686152044501E-4
mission |mission |missions,2014100905,7777,2,2.5716857400025716E-4
mission |mission |missions,2014100615,8801,4,4.544938075218725E-4
mission |mission |missions,2014100710,7431,4,5.382855604898399E-4
mission |mission |missions,2014100906,3505,0,0.0
mission |mission |missions,2014100616,10833,4,3.6924213052709313E-4
mission |mission |missions,2014100711,13474,3,2.226510316164465E-4
mission |mission |missions,2014100617,11523,1,8.678295582747549E-5
mission |mission |missions,2014100900,3864,5,0.0012939958592132505
mission |mission |missions,2014100618,10834,7,6.461140852870592E-4
mission |mission |missions,2014100901,3052,1,3.27653997378768E-4
mission |mission |missions,2014100619,10472,4,3.819709702062643E-4
mission |mission |missions,2014100902,4916,1,2.034174125305126E-4
mission |mission |missions,2014100716,9756,2,2.050020500205002E-4
mission |mission |missions,2014100800,3418,0,0.0
mission |mission |missions,2014100717,12018,3,2.4962556165751375E-4
mission |mission |missions,2014100801,4912,3,6.107491856677524E-4
mission |mission |missions,2014100718,9824,4,4.0716612377850165E-4
mission |mission |missions,2014100802,4582,0,0.0
mission |mission |missions,2014100719,8904,8,8.984725965858042E-4
mission |mission |missions,2014100803,4750,0,0.0
mission |mission |missions,2014100712,10146,1,9.856100926473487E-5
mission |mission |missions,2014100804,8238,1,1.2138868657441127E-4
mission |mission |missions,2014100610,8565,8,9.340338587273788E-4
mission |mission |missions,2014100713,7382,11,0.001490111081007857
mission |mission |missions,2014100805,6904,0,0.0
mission |mission |missions,2014100611,8676,2,2.305209774089442E-4
mission |mission |missions,2014100714,9294,5,5.379814934366257E-4
mission |mission |missions,2014100806,7696,4,5.197505197505198E-4
mission |mission |missions,2014100612,7761,3,3.8654812524159255E-4
mission |mission |missions,2014100715,8494,2,2.354603249352484E-4
mission |mission |missions,2014100807,6298,5,7.939028262940616E-4
mission |mission |missions,2014100519,13547,6,4.429024876356389E-4
mission |mission |missions,2014100809,5933,2,3.370975897522333E-4
mission |mission |missions,2014100518,12589,19,0.001509254110731591
mission |mission |missions,2014100808,7916,4,5.053057099545225E-4
mission |mission |missions,2014100410,8297,4,4.821019645655056E-4
mission |mission |missions,2014100412,8252,1,1.211827435773146E-4
mission |mission |missions,2014100515,6526,3,4.5969966288691386E-4
mission |mission |missions,2014100411,8736,1,1.1446886446886447E-4
mission |mission |missions,2014100514,7337,1,1.362954886193267E-4
mission |mission |missions,2014100414,8029,0,0.0
mission |mission |missions,2014100517,16635,18,0.0010820559062218215
mission |mission |missions,2014100413,7649,1,1.3073604392731077E-4
mission |mission |missions,2014100516,7164,18,0.002512562814070352
mission |mission |missions,2014100416,8535,2,2.3432923257176333E-4
mission |mission |missions,2014100511,8203,2,2.438132390588809E-4
mission |mission |missions,2014100415,9288,2,2.153316106804479E-4
mission |mission |missions,2014100510,7389,3,4.060089321965083E-4
mission |mission |missions,2014100418,8794,2,2.2742779167614282E-4
mission |mission |missions,2014100513,8653,2,2.3113371085172773E-4
mission |mission |missions,2014100417,9001,1,1.1109876680368848E-4
mission |mission |missions,2014100512,7658,1,1.3058239749281798E-4
mission |mission |missions,2014100908,14247,6,4.211412929037692E-4
mission |mission |missions,2014100907,7751,2,2.580312217778351E-4
mission |mission |missions,2014100419,8630,0,0.0
mission |mission |missions,2014100909,1000,0,0.0
mission |mission |missions,2014100721,11447,5,4.367956669869835E-4
mission |mission |missions,2014100722,8294,3,3.617072582589824E-4
mission |mission |missions,2014100720,10198,2,1.9611688566385565E-4
mission |mission |missions,2014100723,5300,3,5.660377358490566E-4
mission |mission |missions,2014100520,14801,8,5.405040199986487E-4
mission |mission |missions,2014100523,12605,8,6.346687822292741E-4
mission |mission |missions,2014100522,10915,13,0.0011910215300045808
mission |mission |missions,2014100521,14363,7,4.8736336419967973E-4
mission |mission |missions,2014100623,8800,1,1.1363636363636364E-4
mission |mission |missions,2014100622,9000,4,4.4444444444444447E-4
mission |mission |missions,2014100621,9007,2,2.2204951704230043E-4
mission |mission |missions,2014100620,8998,7,7.77950655701267E-4
mission |mission |missions,2014093011,9741,1,1.026588645929576E-4
mission |mission |missions,2014093012,11191,2,1.7871503887052095E-4
mission |mission |missions,2014093013,5267,0,0.0
mission |mission |missions,2014093017,3899,0,0.0
mission |mission |missions,2014093018,99,0,0.0
mission |mission |missions,2014093019,8564,0,0.0
