murdoch |Murdoch,2014100223,8580,0,0.0
murdoch |Murdoch,2014100222,12009,1,8.327088017320343E-5
murdoch |Murdoch,2014100221,14828,2,1.348799568384138E-4
murdoch |Murdoch,2014100220,15090,4,2.650762094102054E-4
murdoch |Murdoch,2014093023,7216,3,4.157427937915743E-4
murdoch |Murdoch,2014093020,2478,0,0.0
murdoch |Murdoch,2014093022,2524,0,0.0
murdoch |Murdoch,2014093021,2547,1,3.9261876717707107E-4
murdoch |Murdoch,2014100321,9080,1,1.1013215859030837E-4
murdoch |Murdoch,2014100322,8671,0,0.0
murdoch |Murdoch,2014100320,9381,0,0.0
murdoch |Murdoch,2014100323,6929,1,1.443209698369173E-4
murdoch |Murdoch,2014100123,8836,1,1.1317338162064282E-4
murdoch |Murdoch,2014100122,10378,1,9.635767970707265E-5
murdoch |Murdoch,2014100121,12311,0,0.0
murdoch |Murdoch,2014100200,11724,0,0.0
murdoch |Murdoch,2014100201,6861,0,0.0
murdoch |Murdoch,2014100309,9997,0,0.0
murdoch |Murdoch,2014100307,6926,1,1.4438348252959862E-4
murdoch |Murdoch,2014100204,8387,0,0.0
murdoch |Murdoch,2014100308,8532,0,0.0
murdoch |Murdoch,2014100205,14882,0,0.0
murdoch |Murdoch,2014100305,3838,0,0.0
murdoch |Murdoch,2014100202,5853,1,1.7085255424568598E-4
murdoch |Murdoch,2014100306,5526,0,0.0
murdoch |Murdoch,2014100203,5613,0,0.0
murdoch |Murdoch,2014100303,5043,0,0.0
murdoch |Murdoch,2014100208,9640,1,1.037344398340249E-4
murdoch |Murdoch,2014100304,4725,0,0.0
murdoch |Murdoch,2014100209,12321,6,4.869734599464329E-4
murdoch |Murdoch,2014100301,4480,1,2.232142857142857E-4
murdoch |Murdoch,2014100206,9203,3,3.259806584809301E-4
murdoch |Murdoch,2014100302,8095,1,1.2353304508956145E-4
murdoch |Murdoch,2014100207,9445,1,1.0587612493382742E-4
murdoch |Murdoch,2014100300,6707,1,1.490979573579842E-4
murdoch |Murdoch,2014100106,45483,5,1.099311830793923E-4
murdoch |Murdoch,2014100105,7742,3,3.8749677086024286E-4
murdoch |Murdoch,2014100104,8731,0,0.0
murdoch |Murdoch,2014100103,1127,0,0.0
murdoch |Murdoch,2014100102,2940,0,0.0
murdoch |Murdoch,2014100101,3598,3,8.337965536409116E-4
murdoch |Murdoch,2014100100,1816,0,0.0
murdoch |Murdoch,2014100109,10999,0,0.0
murdoch |Murdoch,2014100108,14670,1,6.81663258350375E-5
murdoch |Murdoch,2014100107,32104,1,3.114876650884625E-5
murdoch |Murdoch,2014100210,10300,0,0.0
murdoch |Murdoch,2014100211,11008,1,9.084302325581395E-5
murdoch |Murdoch,2014100212,11567,0,0.0
murdoch |Murdoch,2014100316,10537,0,0.0
murdoch |Murdoch,2014100213,10976,2,1.8221574344023323E-4
murdoch |Murdoch,2014100317,9832,0,0.0
murdoch |Murdoch,2014100214,12210,3,2.457002457002457E-4
murdoch |Murdoch,2014100318,9075,3,3.3057851239669424E-4
murdoch |Murdoch,2014100215,11832,1,8.451656524678837E-5
murdoch |Murdoch,2014100319,8645,1,1.156737998843262E-4
murdoch |Murdoch,2014100216,10725,0,0.0
murdoch |Murdoch,2014100312,10661,0,0.0
murdoch |Murdoch,2014100217,9835,0,0.0
murdoch |Murdoch,2014100313,9887,0,0.0
murdoch |Murdoch,2014100218,9907,0,0.0
murdoch |Murdoch,2014100314,9820,2,2.0366598778004074E-4
murdoch |Murdoch,2014100219,11100,0,0.0
murdoch |Murdoch,2014100420,8163,2,2.450079627587897E-4
murdoch |Murdoch,2014100315,10271,0,0.0
murdoch |Murdoch,2014100120,12122,5,4.124731892426992E-4
murdoch |Murdoch,2014100421,8099,8,9.877762686751452E-4
murdoch |Murdoch,2014100422,8432,9,0.0010673624288425048
murdoch |Murdoch,2014100423,6306,3,4.757373929590866E-4
murdoch |Murdoch,2014100310,10343,0,0.0
murdoch |Murdoch,2014100311,11400,1,8.771929824561403E-5
murdoch |Murdoch,2014100115,14152,22,0.0015545505935556812
murdoch |Murdoch,2014100114,11535,2,1.7338534893801473E-4
murdoch |Murdoch,2014100117,11365,6,5.279366476022878E-4
murdoch |Murdoch,2014100116,10904,8,7.336757153338225E-4
murdoch |Murdoch,2014100111,9571,0,0.0
murdoch |Murdoch,2014100110,9126,3,3.287310979618672E-4
murdoch |Murdoch,2014100823,5727,6,0.0010476689366160294
murdoch |Murdoch,2014100113,11543,4,3.465303647232089E-4
murdoch |Murdoch,2014100822,900,1,0.0011111111111111111
murdoch |Murdoch,2014100112,11651,1,8.582954252853832E-5
murdoch |Murdoch,2014100119,11403,2,1.7539244058581075E-4
murdoch |Murdoch,2014100118,10294,1,9.714396735962697E-5
murdoch |Murdoch,2014100604,4638,0,0.0
murdoch |Murdoch,2014100605,8675,0,0.0
murdoch |Murdoch,2014100700,5207,0,0.0
murdoch |Murdoch,2014100914,3191,0,0.0
murdoch |Murdoch,2014100602,8176,1,1.223091976516634E-4
murdoch |Murdoch,2014100915,1000,0,0.0
murdoch |Murdoch,2014100603,9384,0,0.0
murdoch |Murdoch,2014100912,2545,0,0.0
murdoch |Murdoch,2014100608,13680,0,0.0
murdoch |Murdoch,2014100913,6771,0,0.0
murdoch |Murdoch,2014100609,13287,0,0.0
murdoch |Murdoch,2014100810,6053,16,0.00264331736329093
murdoch |Murdoch,2014100606,4334,0,0.0
murdoch |Murdoch,2014100607,6194,1,1.6144656118824668E-4
murdoch |Murdoch,2014100707,4802,0,0.0
murdoch |Murdoch,2014100813,7061,2,2.83245999150262E-4
murdoch |Murdoch,2014100708,5400,1,1.8518518518518518E-4
murdoch |Murdoch,2014100814,6011,3,4.990850108135085E-4
murdoch |Murdoch,2014100705,2740,0,0.0
murdoch |Murdoch,2014100811,6604,7,0.0010599636583888553
murdoch |Murdoch,2014100706,3398,0,0.0
murdoch |Murdoch,2014100812,5896,2,3.3921302578018993E-4
murdoch |Murdoch,2014100817,6743,8,0.0011864155420436007
murdoch |Murdoch,2014100600,15771,2,1.268150402637753E-4
murdoch |Murdoch,2014100703,5792,0,0.0
murdoch |Murdoch,2014100818,7400,0,0.0
murdoch |Murdoch,2014100601,8669,5,5.767677932864229E-4
murdoch |Murdoch,2014100704,3010,0,0.0
murdoch |Murdoch,2014100815,5628,1,1.7768301350390902E-4
murdoch |Murdoch,2014100701,13455,0,0.0
murdoch |Murdoch,2014100816,7857,0,0.0
murdoch |Murdoch,2014100702,8524,0,0.0
murdoch |Murdoch,2014100509,9287,8,8.614191881124152E-4
murdoch |Murdoch,2014100508,6498,1,1.538935056940597E-4
murdoch |Murdoch,2014100819,4300,11,0.0025581395348837207
murdoch |Murdoch,2014100507,16911,0,0.0
murdoch |Murdoch,2014100403,6749,0,0.0
murdoch |Murdoch,2014100506,11836,0,0.0
murdoch |Murdoch,2014100402,6613,0,0.0
murdoch |Murdoch,2014100505,6487,0,0.0
murdoch |Murdoch,2014100401,4570,0,0.0
murdoch |Murdoch,2014100504,3861,0,0.0
murdoch |Murdoch,2014100400,5285,1,1.892147587511826E-4
murdoch |Murdoch,2014100503,4540,0,0.0
murdoch |Murdoch,2014100709,5572,4,7.178750897343862E-4
murdoch |Murdoch,2014100407,7111,1,1.406271972999578E-4
murdoch |Murdoch,2014100406,10763,0,0.0
murdoch |Murdoch,2014100501,6148,1,1.6265452179570593E-4
murdoch |Murdoch,2014100405,10366,0,0.0
murdoch |Murdoch,2014100500,11540,2,1.733102253032929E-4
murdoch |Murdoch,2014100404,3086,0,0.0
murdoch |Murdoch,2014100409,9932,1,1.0068465565847765E-4
murdoch |Murdoch,2014100408,10458,1,9.562057754828839E-5
murdoch |Murdoch,2014100903,4141,0,0.0
murdoch |Murdoch,2014100613,12260,11,8.972267536704731E-4
murdoch |Murdoch,2014100904,4854,1,2.0601565718994644E-4
murdoch |Murdoch,2014100614,10247,21,0.0020493803064311504
murdoch |Murdoch,2014100905,7777,0,0.0
murdoch |Murdoch,2014100615,8801,7,7.95364163163277E-4
murdoch |Murdoch,2014100710,7431,5,6.728569506122998E-4
murdoch |Murdoch,2014100906,3505,0,0.0
murdoch |Murdoch,2014100616,10833,21,0.001938521185267239
murdoch |Murdoch,2014100711,13474,1,7.421701053881549E-5
murdoch |Murdoch,2014100617,11523,3,2.603488674824265E-4
murdoch |Murdoch,2014100900,3864,3,7.763975155279503E-4
murdoch |Murdoch,2014100618,10834,0,0.0
murdoch |Murdoch,2014100901,3052,0,0.0
murdoch |Murdoch,2014100619,10472,3,2.8647822765469827E-4
murdoch |Murdoch,2014100902,4916,0,0.0
murdoch |Murdoch,2014100716,9756,4,4.100041000410004E-4
murdoch |Murdoch,2014100800,3418,0,0.0
murdoch |Murdoch,2014100717,12018,0,0.0
murdoch |Murdoch,2014100801,4912,0,0.0
murdoch |Murdoch,2014100718,9824,1,1.0179153094462541E-4
murdoch |Murdoch,2014100802,4582,0,0.0
murdoch |Murdoch,2014100719,8904,3,3.3692722371967657E-4
murdoch |Murdoch,2014100803,4750,0,0.0
murdoch |Murdoch,2014100712,10146,0,0.0
murdoch |Murdoch,2014100804,8238,0,0.0
murdoch |Murdoch,2014100610,8565,0,0.0
murdoch |Murdoch,2014100713,7382,5,6.77323218639935E-4
murdoch |Murdoch,2014100805,6904,0,0.0
murdoch |Murdoch,2014100611,8676,11,0.0012678653757491932
