bet |bets |bet,2014100223,8580,5,5.827505827505828E-4
bet |bets |bet,2014100222,12009,12,9.992505620784412E-4
bet |bets |bet,2014100221,14828,21,0.001416239546803345
bet |bets |bet,2014100220,15090,11,7.289595758780649E-4
bet |bets |bet,2014093023,7216,4,5.543237250554324E-4
bet |bets |bet,2014093020,2478,2,8.071025020177562E-4
bet |bets |bet,2014093022,2524,4,0.001584786053882726
bet |bets |bet,2014093021,2547,4,0.0015704750687082843
bet |bets |bet,2014100321,9080,9,9.911894273127754E-4
bet |bets |bet,2014100322,8671,7,8.072886633606274E-4
bet |bets |bet,2014100320,9381,7,7.461891056390577E-4
bet |bets |bet,2014100323,6929,7,0.001010246788858421
bet |bets |bet,2014100123,8836,1,1.1317338162064282E-4
bet |bets |bet,2014100122,10378,4,3.854307188282906E-4
bet |bets |bet,2014100121,12311,10,8.12281699293315E-4
bet |bets |bet,2014100200,11724,1,8.5295121119072E-5
bet |bets |bet,2014100201,6861,3,4.3725404459991256E-4
bet |bets |bet,2014100309,9997,9,9.002700810243073E-4
bet |bets |bet,2014100307,6926,10,0.0014438348252959862
bet |bets |bet,2014100204,8387,0,0.0
bet |bets |bet,2014100308,8532,5,5.860290670417253E-4
bet |bets |bet,2014100205,14882,3,2.0158580835909153E-4
bet |bets |bet,2014100305,3838,0,0.0
bet |bets |bet,2014100202,5853,3,5.125576627370579E-4
bet |bets |bet,2014100306,5526,3,5.428881650380022E-4
bet |bets |bet,2014100203,5613,2,3.563156957063959E-4
bet |bets |bet,2014100303,5043,0,0.0
bet |bets |bet,2014100208,9640,3,3.1120331950207467E-4
bet |bets |bet,2014100304,4725,0,0.0
bet |bets |bet,2014100209,12321,10,8.116224332440549E-4
bet |bets |bet,2014100301,4480,4,8.928571428571428E-4
bet |bets |bet,2014100206,9203,3,3.259806584809301E-4
bet |bets |bet,2014100302,8095,1,1.2353304508956145E-4
bet |bets |bet,2014100207,9445,2,2.1175224986765483E-4
bet |bets |bet,2014100300,6707,10,0.001490979573579842
bet |bets |bet,2014100106,45483,1,2.198623661587846E-5
bet |bets |bet,2014100105,7742,0,0.0
bet |bets |bet,2014100104,8731,1,1.1453441759248655E-4
bet |bets |bet,2014100103,1127,0,0.0
bet |bets |bet,2014100102,2940,0,0.0
bet |bets |bet,2014100101,3598,0,0.0
bet |bets |bet,2014100100,1816,0,0.0
bet |bets |bet,2014100109,10999,10,9.091735612328394E-4
bet |bets |bet,2014100108,14670,3,2.0449897750511248E-4
bet |bets |bet,2014100107,32104,16,4.9838026414154E-4
bet |bets |bet,2014100210,10300,3,2.912621359223301E-4
bet |bets |bet,2014100211,11008,11,9.992732558139535E-4
bet |bets |bet,2014100212,11567,15,0.001296792599636898
bet |bets |bet,2014100316,10537,10,9.490367277213628E-4
bet |bets |bet,2014100213,10976,7,6.377551020408163E-4
bet |bets |bet,2014100317,9832,5,5.085435313262816E-4
bet |bets |bet,2014100214,12210,5,4.095004095004095E-4
bet |bets |bet,2014100318,9075,13,0.0014325068870523416
bet |bets |bet,2014100215,11832,8,6.76132521974307E-4
bet |bets |bet,2014100319,8645,13,0.0015037593984962407
bet |bets |bet,2014100216,10725,7,6.526806526806527E-4
bet |bets |bet,2014100312,10661,9,8.441984804427352E-4
bet |bets |bet,2014100217,9835,14,0.0014234875444839859
bet |bets |bet,2014100313,9887,6,6.068574896328512E-4
bet |bets |bet,2014100218,9907,13,0.0013122034924800646
bet |bets |bet,2014100314,9820,13,0.0013238289205702647
bet |bets |bet,2014100219,11100,6,5.405405405405405E-4
bet |bets |bet,2014100420,8163,6,7.35023888276369E-4
bet |bets |bet,2014100315,10271,18,0.0017525070587089864
bet |bets |bet,2014100120,12122,13,0.001072430292031018
bet |bets |bet,2014100421,8099,9,0.0011112483022595382
bet |bets |bet,2014100422,8432,4,4.743833017077799E-4
bet |bets |bet,2014100423,6306,5,7.92895654931811E-4
bet |bets |bet,2014100310,10343,15,0.0014502562119307744
bet |bets |bet,2014100311,11400,5,4.385964912280702E-4
bet |bets |bet,2014100115,14152,1,7.066139061616732E-5
bet |bets |bet,2014100114,11535,9,7.802340702210664E-4
bet |bets |bet,2014100117,11365,5,4.399472063352398E-4
bet |bets |bet,2014100116,10904,3,2.751283932501834E-4
bet |bets |bet,2014100111,9571,7,7.313760317626162E-4
