information |Information |information,2014100223,8580,4,4.662004662004662E-4
information |Information |information,2014100222,12009,9,7.494379215588309E-4
information |Information |information,2014100221,14828,10,6.74399784192069E-4
information |Information |information,2014100220,15090,2,1.325381047051027E-4
information |Information |information,2014093023,7216,1,1.385809312638581E-4
information |Information |information,2014093020,2478,0,0.0
information |Information |information,2014093022,2524,0,0.0
information |Information |information,2014093021,2547,0,0.0
information |Information |information,2014100321,9080,3,3.303964757709251E-4
information |Information |information,2014100322,8671,4,4.613078076346442E-4
information |Information |information,2014100320,9381,2,2.1319688732544505E-4
information |Information |information,2014100323,6929,3,4.3296290951075193E-4
information |Information |information,2014100123,8836,6,6.79040289723857E-4
information |Information |information,2014100122,10378,4,3.854307188282906E-4
information |Information |information,2014100121,12311,3,2.4368450978799449E-4
information |Information |information,2014100200,11724,3,2.5588536335721597E-4
information |Information |information,2014100201,6861,1,1.4575134819997084E-4
information |Information |information,2014100309,9997,3,3.0009002700810244E-4
information |Information |information,2014100307,6926,2,2.8876696505919725E-4
information |Information |information,2014100204,8387,0,0.0
information |Information |information,2014100308,8532,3,3.5161744022503517E-4
information |Information |information,2014100205,14882,0,0.0
information |Information |information,2014100305,3838,1,2.605523710265763E-4
information |Information |information,2014100202,5853,3,5.125576627370579E-4
information |Information |information,2014100306,5526,0,0.0
information |Information |information,2014100203,5613,1,1.7815784785319794E-4
information |Information |information,2014100303,5043,1,1.98294665873488E-4
information |Information |information,2014100208,9640,15,0.0015560165975103733
information |Information |information,2014100304,4725,0,0.0
information |Information |information,2014100209,12321,9,7.304601899196494E-4
information |Information |information,2014100301,4480,0,0.0
information |Information |information,2014100206,9203,3,3.259806584809301E-4
information |Information |information,2014100302,8095,1,1.2353304508956145E-4
information |Information |information,2014100207,9445,2,2.1175224986765483E-4
information |Information |information,2014100300,6707,0,0.0
information |Information |information,2014100106,45483,3,6.595870984763538E-5
information |Information |information,2014100105,7742,0,0.0
information |Information |information,2014100104,8731,0,0.0
information |Information |information,2014100103,1127,0,0.0
information |Information |information,2014100102,2940,0,0.0
information |Information |information,2014100101,3598,1,2.7793218454697053E-4
information |Information |information,2014100100,1816,2,0.0011013215859030838
information |Information |information,2014100109,10999,4,3.6366942449313574E-4
information |Information |information,2014100108,14670,7,4.7716428084526244E-4
information |Information |information,2014100107,32104,1,3.114876650884625E-5
information |Information |information,2014100210,10300,4,3.883495145631068E-4
information |Information |information,2014100211,11008,6,5.450581395348837E-4
information |Information |information,2014100212,11567,9,7.780755597821389E-4
information |Information |information,2014100316,10537,8,7.592293821770903E-4
information |Information |information,2014100213,10976,6,5.466472303206997E-4
information |Information |information,2014100317,9832,13,0.0013222131814483319
information |Information |information,2014100214,12210,14,0.0011466011466011465
information |Information |information,2014100318,9075,1,1.1019283746556474E-4
information |Information |information,2014100215,11832,13,0.0010987153482082488
information |Information |information,2014100319,8645,3,3.470213996529786E-4
information |Information |information,2014100216,10725,8,7.459207459207459E-4
information |Information |information,2014100312,10661,7,6.565988181221273E-4
information |Information |information,2014100217,9835,4,4.067107269954245E-4
information |Information |information,2014100313,9887,8,8.091433195104683E-4
information |Information |information,2014100218,9907,3,3.028161905723226E-4
information |Information |information,2014100314,9820,10,0.0010183299389002036
information |Information |information,2014100219,11100,2,1.8018018018018018E-4
information |Information |information,2014100420,8163,4,4.900159255175794E-4
information |Information |information,2014100315,10271,18,0.0017525070587089864
information |Information |information,2014100120,12122,9,7.424517406368586E-4
information |Information |information,2014100421,8099,4,4.938881343375726E-4
information |Information |information,2014100422,8432,2,2.3719165085388995E-4
information |Information |information,2014100423,6306,2,3.171582619727244E-4
information |Information |information,2014100310,10343,5,4.8341873731025815E-4
information |Information |information,2014100311,11400,11,9.649122807017544E-4
information |Information |information,2014100115,14152,6,4.2396834369700395E-4
information |Information |information,2014100114,11535,6,5.201560468140442E-4
information |Information |information,2014100117,11365,11,9.678838539375275E-4
information |Information |information,2014100116,10904,6,5.502567865003668E-4
