part |parts |part,2014100223,8580,58,0.00675990675990676
part |parts |part,2014100222,12009,40,0.0033308352069281373
part |parts |part,2014100221,14828,43,0.002899919072025897
part |parts |part,2014100220,15090,52,0.0034459907223326706
part |parts |part,2014093023,7216,26,0.0036031042128603103
part |parts |part,2014093020,2478,6,0.002421307506053269
part |parts |part,2014093022,2524,25,0.009904912836767036
part |parts |part,2014093021,2547,39,0.015312131919905771
part |parts |part,2014100321,9080,15,0.0016519823788546256
part |parts |part,2014100322,8671,31,0.0035751355091684926
part |parts |part,2014100320,9381,26,0.0027715595352307857
part |parts |part,2014100323,6929,15,0.0021648145475537594
part |parts |part,2014100123,8836,49,0.0055454956994114984
part |parts |part,2014100122,10378,64,0.0061668915012526495
part |parts |part,2014100121,12311,58,0.004711233855901226
part |parts |part,2014100200,11724,52,0.004435346298191744
part |parts |part,2014100201,6861,34,0.004955545838799009
part |parts |part,2014100309,9997,32,0.003200960288086426
part |parts |part,2014100307,6926,21,0.003032053133121571
part |parts |part,2014100204,8387,28,0.0033385000596160724
part |parts |part,2014100308,8532,33,0.003867791842475387
part |parts |part,2014100205,14882,37,0.0024862249697621287
part |parts |part,2014100305,3838,6,0.001563314226159458
part |parts |part,2014100202,5853,34,0.005808986844353323
part |parts |part,2014100306,5526,8,0.0014477017734346724
part |parts |part,2014100203,5613,18,0.003206841261357563
part |parts |part,2014100303,5043,8,0.001586357326987904
part |parts |part,2014100208,9640,42,0.004356846473029046
part |parts |part,2014100304,4725,10,0.0021164021164021165
part |parts |part,2014100209,12321,37,0.003003003003003003
part |parts |part,2014100301,4480,18,0.0040178571428571425
part |parts |part,2014100206,9203,36,0.003911767901771161
part |parts |part,2014100302,8095,10,0.0012353304508956147
part |parts |part,2014100207,9445,29,0.003070407623080995
part |parts |part,2014100300,6707,15,0.0022364693603697627
part |parts |part,2014100106,45483,2315,0.05089813776575863
part |parts |part,2014100105,7742,12,0.0015499870834409714
part |parts |part,2014100104,8731,8,9.162753407398924E-4
part |parts |part,2014100103,1127,0,0.0
part |parts |part,2014100102,2940,9,0.003061224489795918
part |parts |part,2014100101,3598,12,0.0033351862145636463
part |parts |part,2014100100,1816,7,0.003854625550660793
part |parts |part,2014100109,10999,76,0.0069097190653695795
part |parts |part,2014100108,14670,146,0.009952283571915474
part |parts |part,2014100107,32104,663,0.020651632195365064
part |parts |part,2014100210,10300,22,0.0021359223300970874
