woolworth |Woolworths,2014100223,8580,1,1.1655011655011655E-4
woolworth |Woolworths,2014100222,12009,1,8.327088017320343E-5
woolworth |Woolworths,2014100221,14828,0,0.0
woolworth |Woolworths,2014100220,15090,1,6.626905235255136E-5
woolworth |Woolworths,2014093023,7216,0,0.0
woolworth |Woolworths,2014093020,2478,0,0.0
woolworth |Woolworths,2014093022,2524,1,3.961965134706815E-4
woolworth |Woolworths,2014093021,2547,1,3.9261876717707107E-4
woolworth |Woolworths,2014100321,9080,1,1.1013215859030837E-4
woolworth |Woolworths,2014100322,8671,0,0.0
woolworth |Woolworths,2014100320,9381,0,0.0
woolworth |Woolworths,2014100323,6929,0,0.0
woolworth |Woolworths,2014100123,8836,0,0.0
woolworth |Woolworths,2014100122,10378,2,1.927153594141453E-4
woolworth |Woolworths,2014100121,12311,1,8.122816992933149E-5
woolworth |Woolworths,2014100200,11724,0,0.0
woolworth |Woolworths,2014100201,6861,0,0.0
woolworth |Woolworths,2014100309,9997,0,0.0
woolworth |Woolworths,2014100307,6926,0,0.0
woolworth |Woolworths,2014100204,8387,0,0.0
woolworth |Woolworths,2014100308,8532,0,0.0
woolworth |Woolworths,2014100205,14882,0,0.0
woolworth |Woolworths,2014100305,3838,0,0.0
woolworth |Woolworths,2014100202,5853,0,0.0
woolworth |Woolworths,2014100306,5526,0,0.0
woolworth |Woolworths,2014100203,5613,0,0.0
woolworth |Woolworths,2014100303,5043,0,0.0
woolworth |Woolworths,2014100208,9640,0,0.0
woolworth |Woolworths,2014100304,4725,0,0.0
woolworth |Woolworths,2014100209,12321,1,8.116224332440549E-5
woolworth |Woolworths,2014100301,4480,0,0.0
woolworth |Woolworths,2014100206,9203,0,0.0
woolworth |Woolworths,2014100302,8095,0,0.0
woolworth |Woolworths,2014100207,9445,0,0.0
woolworth |Woolworths,2014100300,6707,0,0.0
woolworth |Woolworths,2014100106,45483,0,0.0
woolworth |Woolworths,2014100105,7742,0,0.0
woolworth |Woolworths,2014100104,8731,0,0.0
woolworth |Woolworths,2014100103,1127,0,0.0
woolworth |Woolworths,2014100102,2940,0,0.0
woolworth |Woolworths,2014100101,3598,0,0.0
woolworth |Woolworths,2014100100,1816,0,0.0
woolworth |Woolworths,2014100109,10999,1,9.091735612328394E-5
woolworth |Woolworths,2014100108,14670,0,0.0
woolworth |Woolworths,2014100107,32104,0,0.0
woolworth |Woolworths,2014100210,10300,0,0.0
woolworth |Woolworths,2014100211,11008,0,0.0
woolworth |Woolworths,2014100212,11567,1,8.64528399757932E-5
woolworth |Woolworths,2014100316,10537,0,0.0
woolworth |Woolworths,2014100213,10976,0,0.0
woolworth |Woolworths,2014100317,9832,0,0.0
woolworth |Woolworths,2014100214,12210,1,8.19000819000819E-5
woolworth |Woolworths,2014100318,9075,1,1.1019283746556474E-4
woolworth |Woolworths,2014100215,11832,0,0.0
woolworth |Woolworths,2014100319,8645,0,0.0
woolworth |Woolworths,2014100216,10725,0,0.0
woolworth |Woolworths,2014100312,10661,0,0.0
woolworth |Woolworths,2014100217,9835,0,0.0
woolworth |Woolworths,2014100313,9887,0,0.0
woolworth |Woolworths,2014100218,9907,1,1.009387301907742E-4
woolworth |Woolworths,2014100314,9820,0,0.0
woolworth |Woolworths,2014100219,11100,2,1.8018018018018018E-4
woolworth |Woolworths,2014100420,8163,0,0.0
woolworth |Woolworths,2014100315,10271,0,0.0
woolworth |Woolworths,2014100120,12122,0,0.0
woolworth |Woolworths,2014100421,8099,0,0.0
woolworth |Woolworths,2014100422,8432,0,0.0
woolworth |Woolworths,2014100423,6306,1,1.585791309863622E-4
woolworth |Woolworths,2014100310,10343,0,0.0
woolworth |Woolworths,2014100311,11400,1,8.771929824561403E-5
woolworth |Woolworths,2014100115,14152,0,0.0
woolworth |Woolworths,2014100114,11535,1,8.669267446900737E-5
woolworth |Woolworths,2014100117,11365,0,0.0
woolworth |Woolworths,2014100116,10904,0,0.0
woolworth |Woolworths,2014100111,9571,2,2.0896458050360465E-4
woolworth |Woolworths,2014100110,9126,0,0.0
woolworth |Woolworths,2014100823,5727,0,0.0
woolworth |Woolworths,2014100113,11543,1,8.663259118080222E-5
woolworth |Woolworths,2014100822,900,0,0.0
woolworth |Woolworths,2014100112,11651,0,0.0
woolworth |Woolworths,2014100119,11403,2,1.7539244058581075E-4
woolworth |Woolworths,2014100118,10294,1,9.714396735962697E-5
woolworth |Woolworths,2014100604,4638,0,0.0
woolworth |Woolworths,2014100605,8675,0,0.0
woolworth |Woolworths,2014100700,5207,0,0.0
woolworth |Woolworths,2014100914,3191,0,0.0
woolworth |Woolworths,2014100602,8176,0,0.0
woolworth |Woolworths,2014100915,1000,0,0.0
woolworth |Woolworths,2014100603,9384,0,0.0
woolworth |Woolworths,2014100912,2545,1,3.929273084479371E-4
woolworth |Woolworths,2014100608,13680,0,0.0
woolworth |Woolworths,2014100913,6771,0,0.0
woolworth |Woolworths,2014100609,13287,1,7.526153383005946E-5
woolworth |Woolworths,2014100810,6053,4,6.608293408227325E-4
woolworth |Woolworths,2014100606,4334,0,0.0
woolworth |Woolworths,2014100607,6194,0,0.0
woolworth |Woolworths,2014100707,4802,0,0.0
woolworth |Woolworths,2014100813,7061,1,1.41622999575131E-4
woolworth |Woolworths,2014100708,5400,0,0.0
woolworth |Woolworths,2014100814,6011,0,0.0
woolworth |Woolworths,2014100705,2740,0,0.0
woolworth |Woolworths,2014100811,6604,2,3.028467595396729E-4
woolworth |Woolworths,2014100706,3398,0,0.0
woolworth |Woolworths,2014100812,5896,1,1.6960651289009497E-4
woolworth |Woolworths,2014100817,6743,1,1.4830194275545008E-4
woolworth |Woolworths,2014100600,15771,0,0.0
woolworth |Woolworths,2014100703,5792,0,0.0
woolworth |Woolworths,2014100818,7400,4,5.405405405405405E-4
woolworth |Woolworths,2014100601,8669,0,0.0
woolworth |Woolworths,2014100704,3010,0,0.0
woolworth |Woolworths,2014100815,5628,1,1.7768301350390902E-4
woolworth |Woolworths,2014100701,13455,0,0.0
woolworth |Woolworths,2014100816,7857,1,1.2727504136438844E-4
woolworth |Woolworths,2014100702,8524,0,0.0
woolworth |Woolworths,2014100509,9287,0,0.0
woolworth |Woolworths,2014100508,6498,0,0.0
woolworth |Woolworths,2014100819,4300,0,0.0
woolworth |Woolworths,2014100507,16911,0,0.0
woolworth |Woolworths,2014100403,6749,0,0.0
woolworth |Woolworths,2014100506,11836,0,0.0
woolworth |Woolworths,2014100402,6613,0,0.0
woolworth |Woolworths,2014100505,6487,0,0.0
woolworth |Woolworths,2014100401,4570,0,0.0
woolworth |Woolworths,2014100504,3861,0,0.0
woolworth |Woolworths,2014100400,5285,2,3.784295175023652E-4
woolworth |Woolworths,2014100503,4540,0,0.0
woolworth |Woolworths,2014100709,5572,0,0.0
woolworth |Woolworths,2014100407,7111,0,0.0
woolworth |Woolworths,2014100406,10763,0,0.0
woolworth |Woolworths,2014100501,6148,0,0.0
woolworth |Woolworths,2014100405,10366,0,0.0
woolworth |Woolworths,2014100500,11540,0,0.0
woolworth |Woolworths,2014100404,3086,0,0.0
woolworth |Woolworths,2014100409,9932,0,0.0
woolworth |Woolworths,2014100408,10458,1,9.562057754828839E-5
woolworth |Woolworths,2014100903,4141,0,0.0
woolworth |Woolworths,2014100613,12260,2,1.631321370309951E-4
woolworth |Woolworths,2014100904,4854,0,0.0
woolworth |Woolworths,2014100614,10247,1,9.758953840148337E-5
woolworth |Woolworths,2014100905,7777,0,0.0
woolworth |Woolworths,2014100615,8801,0,0.0
woolworth |Woolworths,2014100710,7431,0,0.0
woolworth |Woolworths,2014100906,3505,0,0.0
woolworth |Woolworths,2014100616,10833,1,9.231053263177328E-5
woolworth |Woolworths,2014100711,13474,1,7.421701053881549E-5
woolworth |Woolworths,2014100617,11523,0,0.0
woolworth |Woolworths,2014100900,3864,0,0.0
woolworth |Woolworths,2014100618,10834,1,9.230201218386561E-5
woolworth |Woolworths,2014100901,3052,0,0.0
woolworth |Woolworths,2014100619,10472,3,2.8647822765469827E-4
woolworth |Woolworths,2014100902,4916,0,0.0
woolworth |Woolworths,2014100716,9756,0,0.0
woolworth |Woolworths,2014100800,3418,0,0.0
woolworth |Woolworths,2014100717,12018,0,0.0
woolworth |Woolworths,2014100801,4912,0,0.0
woolworth |Woolworths,2014100718,9824,1,1.0179153094462541E-4
woolworth |Woolworths,2014100802,4582,0,0.0
woolworth |Woolworths,2014100719,8904,3,3.3692722371967657E-4
woolworth |Woolworths,2014100803,4750,0,0.0
woolworth |Woolworths,2014100712,10146,0,0.0
woolworth |Woolworths,2014100804,8238,0,0.0
woolworth |Woolworths,2014100610,8565,0,0.0
woolworth |Woolworths,2014100713,7382,0,0.0
woolworth |Woolworths,2014100805,6904,0,0.0
woolworth |Woolworths,2014100611,8676,0,0.0
woolworth |Woolworths,2014100714,9294,1,1.0759629868732516E-4
woolworth |Woolworths,2014100806,7696,1,1.2993762993762994E-4
woolworth |Woolworths,2014100612,7761,0,0.0
woolworth |Woolworths,2014100715,8494,0,0.0
woolworth |Woolworths,2014100807,6298,0,0.0
woolworth |Woolworths,2014100519,13547,0,0.0
woolworth |Woolworths,2014100809,5933,7,0.0011798415641328165
woolworth |Woolworths,2014100518,12589,0,0.0
woolworth |Woolworths,2014100808,7916,4,5.053057099545225E-4
woolworth |Woolworths,2014100410,8297,0,0.0
woolworth |Woolworths,2014100412,8252,0,0.0
woolworth |Woolworths,2014100515,6526,0,0.0
woolworth |Woolworths,2014100411,8736,0,0.0
woolworth |Woolworths,2014100514,7337,0,0.0
woolworth |Woolworths,2014100414,8029,0,0.0
woolworth |Woolworths,2014100517,16635,0,0.0
woolworth |Woolworths,2014100413,7649,2,2.6147208785462153E-4
woolworth |Woolworths,2014100516,7164,0,0.0
woolworth |Woolworths,2014100416,8535,0,0.0
woolworth |Woolworths,2014100511,8203,0,0.0
woolworth |Woolworths,2014100415,9288,0,0.0
woolworth |Woolworths,2014100510,7389,0,0.0
woolworth |Woolworths,2014100418,8794,2,2.2742779167614282E-4
woolworth |Woolworths,2014100513,8653,0,0.0
woolworth |Woolworths,2014100417,9001,1,1.1109876680368848E-4
woolworth |Woolworths,2014100512,7658,1,1.3058239749281798E-4
woolworth |Woolworths,2014100908,14247,0,0.0
woolworth |Woolworths,2014100907,7751,0,0.0
woolworth |Woolworths,2014100419,8630,0,0.0
woolworth |Woolworths,2014100909,1000,0,0.0
woolworth |Woolworths,2014100721,11447,1,8.73591333973967E-5
woolworth |Woolworths,2014100722,8294,0,0.0
woolworth |Woolworths,2014100720,10198,0,0.0
woolworth |Woolworths,2014100723,5300,0,0.0
woolworth |Woolworths,2014100520,14801,0,0.0
woolworth |Woolworths,2014100523,12605,1,7.933359777865926E-5
woolworth |Woolworths,2014100522,10915,0,0.0
woolworth |Woolworths,2014100521,14363,0,0.0
woolworth |Woolworths,2014100623,8800,0,0.0
woolworth |Woolworths,2014100622,9000,1,1.1111111111111112E-4
woolworth |Woolworths,2014100621,9007,1,1.1102475852115021E-4
woolworth |Woolworths,2014100620,8998,1,1.1113580795732385E-4
woolworth |Woolworths,2014093011,9741,0,0.0
woolworth |Woolworths,2014093012,11191,0,0.0
woolworth |Woolworths,2014093013,5267,0,0.0
woolworth |Woolworths,2014093017,3899,0,0.0
woolworth |Woolworths,2014093018,99,0,0.0
woolworth |Woolworths,2014093019,8564,0,0.0
