australia |Australia,2014100223,8580,125,0.014568764568764568
australia |Australia,2014100222,12009,89,0.007411108335415105
australia |Australia,2014100221,14828,83,0.005597518208794173
australia |Australia,2014100220,15090,74,0.0049039098740888
australia |Australia,2014093023,7216,32,0.004434589800443459
australia |Australia,2014093020,2478,18,0.007263922518159807
australia |Australia,2014093022,2524,33,0.013074484944532488
australia |Australia,2014093021,2547,19,0.00745975657636435
australia |Australia,2014100321,9080,61,0.006718061674008811
australia |Australia,2014100322,8671,40,0.004613078076346442
australia |Australia,2014100320,9381,45,0.004796929964822514
australia |Australia,2014100323,6929,28,0.004040987155433684
australia |Australia,2014100123,8836,46,0.00520597555454957
australia |Australia,2014100122,10378,78,0.007515899017151667
australia |Australia,2014100121,12311,69,0.005604743725123873
australia |Australia,2014100200,11724,27,0.0023029682702149436
australia |Australia,2014100201,6861,11,0.0016032648301996793
australia |Australia,2014100309,9997,57,0.005701710513153946
australia |Australia,2014100307,6926,36,0.0051978053710655505
australia |Australia,2014100204,8387,12,0.0014307857398354596
australia |Australia,2014100308,8532,58,0.006797937177684013
australia |Australia,2014100205,14882,8,5.375621556242441E-4
australia |Australia,2014100305,3838,31,0.008077123501823866
australia |Australia,2014100202,5853,10,0.0017085255424568598
australia |Australia,2014100306,5526,44,0.007962359753890699
australia |Australia,2014100203,5613,23,0.004097630500623553
australia |Australia,2014100303,5043,10,0.00198294665873488
australia |Australia,2014100208,9640,72,0.007468879668049793
australia |Australia,2014100304,4725,11,0.002328042328042328
australia |Australia,2014100209,12321,57,0.004626247869491113
australia |Australia,2014100301,4480,28,0.00625
australia |Australia,2014100206,9203,26,0.0028251657068347276
australia |Australia,2014100302,8095,17,0.002100061766522545
australia |Australia,2014100207,9445,48,0.005082053996823716
australia |Australia,2014100300,6707,72,0.010735052929774861
australia |Australia,2014100106,45483,26,5.7164215201284E-4
australia |Australia,2014100105,7742,27,0.0034874709377421854
australia |Australia,2014100104,8731,5,5.726720879624327E-4
australia |Australia,2014100103,1127,20,0.01774622892635315
australia |Australia,2014100102,2940,38,0.01292517006802721
australia |Australia,2014100101,3598,31,0.008615897720956087
australia |Australia,2014100100,1816,4,0.0022026431718061676
australia |Australia,2014100109,10999,62,0.005636876079643604
australia |Australia,2014100108,14670,39,0.0026584867075664623
australia |Australia,2014100107,32104,76,0.002367306254672315
australia |Australia,2014100210,10300,75,0.007281553398058253
australia |Australia,2014100211,11008,96,0.00872093023255814
australia |Australia,2014100212,11567,60,0.005187170398547592
australia |Australia,2014100316,10537,60,0.005694220366328177
australia |Australia,2014100213,10976,68,0.00619533527696793
australia |Australia,2014100317,9832,84,0.00854353132628153
australia |Australia,2014100214,12210,47,0.003849303849303849
australia |Australia,2014100318,9075,57,0.00628099173553719
australia |Australia,2014100215,11832,102,0.008620689655172414
australia |Australia,2014100319,8645,59,0.0068247541931752455
australia |Australia,2014100216,10725,86,0.008018648018648019
australia |Australia,2014100312,10661,78,0.007316386830503705
australia |Australia,2014100217,9835,125,0.012709710218607015
australia |Australia,2014100313,9887,86,0.008698290684737535
australia |Australia,2014100218,9907,84,0.008478853336025032
australia |Australia,2014100314,9820,58,0.005906313645621181
australia |Australia,2014100219,11100,98,0.008828828828828829
australia |Australia,2014100420,8163,29,0.00355261546000245
australia |Australia,2014100315,10271,116,0.011293934378346802
australia |Australia,2014100120,12122,63,0.0051971621844580105
australia |Australia,2014100421,8099,105,0.01296456352636128
australia |Australia,2014100422,8432,91,0.010792220113851992
australia |Australia,2014100423,6306,52,0.008246114811290834
australia |Australia,2014100310,10343,61,0.005897708595185149
australia |Australia,2014100311,11400,42,0.0036842105263157894
australia |Australia,2014100115,14152,51,0.0036037309214245338
australia |Australia,2014100114,11535,46,0.003987863025574339
australia |Australia,2014100117,11365,52,0.004575450945886493
australia |Australia,2014100116,10904,62,0.005685986793837124
australia |Australia,2014100111,9571,91,0.009507888412914011
australia |Australia,2014100110,9126,110,0.01205347359193513
australia |Australia,2014100823,5727,46,0.008032128514056224
australia |Australia,2014100113,11543,124,0.010742441306419475
australia |Australia,2014100822,900,4,0.0044444444444444444
australia |Australia,2014100112,11651,66,0.005664749806883529
australia |Australia,2014100119,11403,70,0.006138735420503376
australia |Australia,2014100118,10294,64,0.006217213911016126
australia |Australia,2014100604,4638,2,4.3122035360068997E-4
australia |Australia,2014100605,8675,6,6.9164265129683E-4
australia |Australia,2014100700,5207,23,0.004417130785481083
australia |Australia,2014100914,3191,14,0.004387339392040113
australia |Australia,2014100602,8176,13,0.0015900195694716242
australia |Australia,2014100915,1000,18,0.018
australia |Australia,2014100603,9384,3,3.1969309462915604E-4
