target |target |targets,2014100223,8580,7,8.158508158508159E-4
target |target |targets,2014100222,12009,3,2.498126405196103E-4
target |target |targets,2014100221,14828,5,3.371998920960345E-4
target |target |targets,2014100220,15090,3,1.9880715705765408E-4
target |target |targets,2014093023,7216,3,4.157427937915743E-4
target |target |targets,2014093020,2478,0,0.0
target |target |targets,2014093022,2524,0,0.0
target |target |targets,2014093021,2547,3,0.001177856301531213
target |target |targets,2014100321,9080,1,1.1013215859030837E-4
target |target |targets,2014100322,8671,5,5.766347595433052E-4
target |target |targets,2014100320,9381,6,6.395906619763352E-4
target |target |targets,2014100323,6929,3,4.3296290951075193E-4
target |target |targets,2014100123,8836,5,5.658669081032141E-4
target |target |targets,2014100122,10378,12,0.0011562921564848719
target |target |targets,2014100121,12311,7,5.685971895053204E-4
target |target |targets,2014100200,11724,2,1.70590242238144E-4
target |target |targets,2014100201,6861,1,1.4575134819997084E-4
target |target |targets,2014100309,9997,12,0.0012003601080324098
target |target |targets,2014100307,6926,4,5.775339301183945E-4
target |target |targets,2014100204,8387,1,1.192321449862883E-4
target |target |targets,2014100308,8532,8,9.376465072667605E-4
target |target |targets,2014100205,14882,0,0.0
target |target |targets,2014100305,3838,1,2.605523710265763E-4
target |target |targets,2014100202,5853,5,8.542627712284299E-4
target |target |targets,2014100306,5526,2,3.619254433586681E-4
target |target |targets,2014100203,5613,0,0.0
target |target |targets,2014100303,5043,1,1.98294665873488E-4
target |target |targets,2014100208,9640,16,0.0016597510373443983
target |target |targets,2014100304,4725,0,0.0
target |target |targets,2014100209,12321,14,0.0011362714065416767
target |target |targets,2014100301,4480,4,8.928571428571428E-4
target |target |targets,2014100206,9203,4,4.346408779745735E-4
target |target |targets,2014100302,8095,0,0.0
target |target |targets,2014100207,9445,10,0.0010587612493382743
target |target |targets,2014100300,6707,5,7.45489786789921E-4
target |target |targets,2014100106,45483,3,6.595870984763538E-5
target |target |targets,2014100105,7742,0,0.0
target |target |targets,2014100104,8731,0,0.0
target |target |targets,2014100103,1127,0,0.0
target |target |targets,2014100102,2940,0,0.0
target |target |targets,2014100101,3598,2,5.558643690939411E-4
target |target |targets,2014100100,1816,1,5.506607929515419E-4
target |target |targets,2014100109,10999,4,3.6366942449313574E-4
target |target |targets,2014100108,14670,5,3.4083162917518747E-4
target |target |targets,2014100107,32104,0,0.0
target |target |targets,2014100210,10300,18,0.0017475728155339806
target |target |targets,2014100211,11008,15,0.0013626453488372093
target |target |targets,2014100212,11567,14,0.0012103397596611048
target |target |targets,2014100316,10537,8,7.592293821770903E-4
target |target |targets,2014100213,10976,7,6.377551020408163E-4
target |target |targets,2014100317,9832,2,2.034174125305126E-4
target |target |targets,2014100214,12210,10,8.19000819000819E-4
target |target |targets,2014100318,9075,11,0.0012121212121212121
target |target |targets,2014100215,11832,6,5.070993914807302E-4
target |target |targets,2014100319,8645,8,9.253903990746096E-4
target |target |targets,2014100216,10725,3,2.797202797202797E-4
target |target |targets,2014100312,10661,16,0.0015007972985648626
target |target |targets,2014100217,9835,4,4.067107269954245E-4
target |target |targets,2014100313,9887,11,0.001112572064326894
target |target |targets,2014100218,9907,6,6.056323811446452E-4
target |target |targets,2014100314,9820,6,6.109979633401223E-4
target |target |targets,2014100219,11100,3,2.702702702702703E-4
target |target |targets,2014100420,8163,4,4.900159255175794E-4
target |target |targets,2014100315,10271,10,9.736150326161036E-4
target |target |targets,2014100120,12122,7,5.774624649397789E-4
target |target |targets,2014100421,8099,2,2.469440671687863E-4
target |target |targets,2014100422,8432,0,0.0
target |target |targets,2014100423,6306,3,4.757373929590866E-4
target |target |targets,2014100310,10343,11,0.0010635212220825678
target |target |targets,2014100311,11400,5,4.385964912280702E-4
target |target |targets,2014100115,14152,21,0.0014838892029395139
target |target |targets,2014100114,11535,8,6.935413957520589E-4
target |target |targets,2014100117,11365,12,0.0010558732952045756
target |target |targets,2014100116,10904,18,0.0016507703595011005
target |target |targets,2014100111,9571,5,5.224114512590116E-4
target |target |targets,2014100110,9126,2,2.1915406530791147E-4
target |target |targets,2014100823,5727,7,0.0012222804260520342
target |target |targets,2014100113,11543,8,6.930607294464178E-4
target |target |targets,2014100822,900,0,0.0
target |target |targets,2014100112,11651,7,6.008067976997683E-4
target |target |targets,2014100119,11403,6,5.261773217574323E-4
target |target |targets,2014100118,10294,8,7.771517388770158E-4
target |target |targets,2014100604,4638,1,2.1561017680034498E-4
target |target |targets,2014100605,8675,1,1.1527377521613833E-4
target |target |targets,2014100700,5207,3,5.761474937584022E-4
target |target |targets,2014100914,3191,4,0.0012535255405828893
target |target |targets,2014100602,8176,5,6.11545988258317E-4
target |target |targets,2014100915,1000,0,0.0
target |target |targets,2014100603,9384,0,0.0
target |target |targets,2014100912,2545,1,3.929273084479371E-4
target |target |targets,2014100608,13680,2,1.4619883040935673E-4
target |target |targets,2014100913,6771,4,5.907546891153448E-4
target |target |targets,2014100609,13287,6,4.515692029803567E-4
target |target |targets,2014100810,6053,8,0.001321658681645465
target |target |targets,2014100606,4334,1,2.3073373327180433E-4
target |target |targets,2014100607,6194,5,8.072328059412334E-4
target |target |targets,2014100707,4802,3,6.247396917950854E-4
target |target |targets,2014100813,7061,5,7.08114997875655E-4
target |target |targets,2014100708,5400,4,7.407407407407407E-4
target |target |targets,2014100814,6011,8,0.0013308933621693562
target |target |targets,2014100705,2740,2,7.2992700729927E-4
target |target |targets,2014100811,6604,2,3.028467595396729E-4
target |target |targets,2014100706,3398,0,0.0
target |target |targets,2014100812,5896,7,0.0011872455902306649
target |target |targets,2014100817,6743,17,0.002521133026842652
target |target |targets,2014100600,15771,1,6.340752013188764E-5
target |target |targets,2014100703,5792,1,1.7265193370165745E-4
target |target |targets,2014100818,7400,8,0.001081081081081081
target |target |targets,2014100601,8669,3,3.460606759718537E-4
target |target |targets,2014100704,3010,0,0.0
target |target |targets,2014100815,5628,6,0.0010660980810234541
target |target |targets,2014100701,13455,1,7.432181345224824E-5
target |target |targets,2014100816,7857,9,0.001145475372279496
target |target |targets,2014100702,8524,0,0.0
target |target |targets,2014100509,9287,5,5.383869925702595E-4
target |target |targets,2014100508,6498,2,3.077870113881194E-4
target |target |targets,2014100819,4300,2,4.6511627906976747E-4
target |target |targets,2014100507,16911,0,0.0
target |target |targets,2014100403,6749,0,0.0
target |target |targets,2014100506,11836,1,8.448800270361608E-5
target |target |targets,2014100402,6613,5,7.560864962951762E-4
target |target |targets,2014100505,6487,3,4.624633883150917E-4
target |target |targets,2014100401,4570,1,2.188183807439825E-4
target |target |targets,2014100504,3861,47,0.012173012173012173
target |target |targets,2014100400,5285,3,5.676442762535478E-4
target |target |targets,2014100503,4540,2,4.405286343612335E-4
target |target |targets,2014100709,5572,4,7.178750897343862E-4
target |target |targets,2014100407,7111,2,2.812543945999156E-4
target |target |targets,2014100406,10763,0,0.0
target |target |targets,2014100501,6148,3,4.8796356538711777E-4
target |target |targets,2014100405,10366,0,0.0
target |target |targets,2014100500,11540,5,4.332755632582322E-4
target |target |targets,2014100404,3086,1,3.240440699935191E-4
target |target |targets,2014100409,9932,6,6.041079339508659E-4
target |target |targets,2014100408,10458,1,9.562057754828839E-5
target |target |targets,2014100903,4141,0,0.0
target |target |targets,2014100613,12260,6,4.893964110929853E-4
target |target |targets,2014100904,4854,2,4.1203131437989287E-4
target |target |targets,2014100614,10247,7,6.831267688103836E-4
target |target |targets,2014100905,7777,3,3.8575286100038574E-4
target |target |targets,2014100615,8801,8,9.08987615043745E-4
target |target |targets,2014100710,7431,10,0.0013457139012245996
target |target |targets,2014100906,3505,5,0.0014265335235378032
target |target |targets,2014100616,10833,7,6.46173728422413E-4
target |target |targets,2014100711,13474,8,5.937360843105239E-4
target |target |targets,2014100617,11523,6,5.20697734964853E-4
target |target |targets,2014100900,3864,4,0.0010351966873706005
target |target |targets,2014100618,10834,3,2.769060365515968E-4
target |target |targets,2014100901,3052,2,6.55307994757536E-4
target |target |targets,2014100619,10472,12,0.001145912910618793
target |target |targets,2014100902,4916,3,6.102522375915378E-4
target |target |targets,2014100716,9756,16,0.0016400164001640015
target |target |targets,2014100800,3418,1,2.925687536571094E-4
target |target |targets,2014100717,12018,11,9.152937260775504E-4
target |target |targets,2014100801,4912,1,2.0358306188925082E-4
target |target |targets,2014100718,9824,4,4.0716612377850165E-4
target |target |targets,2014100802,4582,1,2.1824530772588389E-4
target |target |targets,2014100719,8904,5,5.615453728661276E-4
target |target |targets,2014100803,4750,1,2.105263157894737E-4
target |target |targets,2014100712,10146,30,0.0029568302779420462
target |target |targets,2014100804,8238,1,1.2138868657441127E-4
target |target |targets,2014100610,8565,4,4.670169293636894E-4
target |target |targets,2014100713,7382,7,9.48252506095909E-4
target |target |targets,2014100805,6904,0,0.0
target |target |targets,2014100611,8676,9,0.001037344398340249
target |target |targets,2014100714,9294,6,6.455777921239509E-4
target |target |targets,2014100806,7696,4,5.197505197505198E-4
target |target |targets,2014100612,7761,3,3.8654812524159255E-4
target |target |targets,2014100715,8494,18,0.0021191429244172355
target |target |targets,2014100807,6298,1,1.5878056525881233E-4
target |target |targets,2014100519,13547,2,1.4763416254521297E-4
target |target |targets,2014100809,5933,6,0.0010112927692566998
target |target |targets,2014100518,12589,1,7.943442688061006E-5
