aha |AHA,2014100223,8580,0,0.0
aha |AHA,2014100222,12009,1,8.327088017320343E-5
aha |AHA,2014100221,14828,4,2.697599136768276E-4
aha |AHA,2014100220,15090,1,6.626905235255136E-5
aha |AHA,2014093023,7216,1,1.385809312638581E-4
aha |AHA,2014093020,2478,0,0.0
aha |AHA,2014093022,2524,2,7.92393026941363E-4
aha |AHA,2014093021,2547,0,0.0
aha |AHA,2014100321,9080,2,2.2026431718061675E-4
aha |AHA,2014100322,8671,0,0.0
aha |AHA,2014100320,9381,0,0.0
aha |AHA,2014100323,6929,0,0.0
aha |AHA,2014100123,8836,2,2.2634676324128565E-4
aha |AHA,2014100122,10378,3,2.8907303912121797E-4
aha |AHA,2014100121,12311,0,0.0
aha |AHA,2014100200,11724,1,8.5295121119072E-5
aha |AHA,2014100201,6861,3,4.3725404459991256E-4
aha |AHA,2014100309,9997,0,0.0
aha |AHA,2014100307,6926,0,0.0
aha |AHA,2014100204,8387,1,1.192321449862883E-4
aha |AHA,2014100308,8532,0,0.0
aha |AHA,2014100205,14882,0,0.0
aha |AHA,2014100305,3838,0,0.0
aha |AHA,2014100202,5853,0,0.0
aha |AHA,2014100306,5526,0,0.0
aha |AHA,2014100203,5613,1,1.7815784785319794E-4
aha |AHA,2014100303,5043,0,0.0
aha |AHA,2014100208,9640,0,0.0
aha |AHA,2014100304,4725,0,0.0
aha |AHA,2014100209,12321,3,2.4348672997321646E-4
aha |AHA,2014100301,4480,1,2.232142857142857E-4
aha |AHA,2014100206,9203,0,0.0
aha |AHA,2014100302,8095,0,0.0
aha |AHA,2014100207,9445,0,0.0
aha |AHA,2014100300,6707,3,4.472938720739526E-4
aha |AHA,2014100106,45483,0,0.0
aha |AHA,2014100105,7742,0,0.0
aha |AHA,2014100104,8731,0,0.0
aha |AHA,2014100103,1127,0,0.0
aha |AHA,2014100102,2940,0,0.0
aha |AHA,2014100101,3598,0,0.0
aha |AHA,2014100100,1816,0,0.0
aha |AHA,2014100109,10999,0,0.0
aha |AHA,2014100108,14670,1,6.81663258350375E-5
aha |AHA,2014100107,32104,2,6.22975330176925E-5
aha |AHA,2014100210,10300,2,1.941747572815534E-4
aha |AHA,2014100211,11008,2,1.816860465116279E-4
aha |AHA,2014100212,11567,1,8.64528399757932E-5
aha |AHA,2014100316,10537,1,9.490367277213628E-5
aha |AHA,2014100213,10976,0,0.0
aha |AHA,2014100317,9832,1,1.017087062652563E-4
aha |AHA,2014100214,12210,0,0.0
aha |AHA,2014100318,9075,0,0.0
aha |AHA,2014100215,11832,0,0.0
aha |AHA,2014100319,8645,0,0.0
aha |AHA,2014100216,10725,1,9.324009324009324E-5
aha |AHA,2014100312,10661,0,0.0
aha |AHA,2014100217,9835,0,0.0
aha |AHA,2014100313,9887,0,0.0
aha |AHA,2014100218,9907,3,3.028161905723226E-4
aha |AHA,2014100314,9820,1,1.0183299389002037E-4
aha |AHA,2014100219,11100,0,0.0
aha |AHA,2014100420,8163,4,4.900159255175794E-4
aha |AHA,2014100315,10271,2,1.947230065232207E-4
aha |AHA,2014100120,12122,1,8.249463784853984E-5
aha |AHA,2014100421,8099,0,0.0
aha |AHA,2014100422,8432,1,1.1859582542694497E-4
aha |AHA,2014100423,6306,0,0.0
aha |AHA,2014100310,10343,0,0.0
aha |AHA,2014100311,11400,2,1.7543859649122806E-4
aha |AHA,2014100115,14152,1,7.066139061616732E-5
aha |AHA,2014100114,11535,1,8.669267446900737E-5
aha |AHA,2014100117,11365,2,1.759788825340959E-4
aha |AHA,2014100116,10904,0,0.0
aha |AHA,2014100111,9571,0,0.0
aha |AHA,2014100110,9126,0,0.0
aha |AHA,2014100823,5727,1,1.7461148943600488E-4
aha |AHA,2014100113,11543,0,0.0
aha |AHA,2014100822,900,0,0.0
aha |AHA,2014100112,11651,2,1.7165908505707665E-4
aha |AHA,2014100119,11403,4,3.507848811716215E-4
aha |AHA,2014100118,10294,0,0.0
aha |AHA,2014100604,4638,0,0.0
aha |AHA,2014100605,8675,0,0.0
aha |AHA,2014100700,5207,1,1.9204916458613405E-4
aha |AHA,2014100914,3191,1,3.1338138514572234E-4
aha |AHA,2014100602,8176,0,0.0
aha |AHA,2014100915,1000,0,0.0
aha |AHA,2014100603,9384,0,0.0
aha |AHA,2014100912,2545,0,0.0
aha |AHA,2014100608,13680,2,1.4619883040935673E-4
aha |AHA,2014100913,6771,0,0.0
aha |AHA,2014100609,13287,0,0.0
aha |AHA,2014100810,6053,0,0.0
aha |AHA,2014100606,4334,0,0.0
aha |AHA,2014100607,6194,0,0.0
aha |AHA,2014100707,4802,0,0.0
aha |AHA,2014100813,7061,1,1.41622999575131E-4
aha |AHA,2014100708,5400,0,0.0
aha |AHA,2014100814,6011,0,0.0
aha |AHA,2014100705,2740,0,0.0
aha |AHA,2014100811,6604,0,0.0
aha |AHA,2014100706,3398,0,0.0
aha |AHA,2014100812,5896,0,0.0
aha |AHA,2014100817,6743,0,0.0
aha |AHA,2014100600,15771,2,1.268150402637753E-4
aha |AHA,2014100703,5792,0,0.0
aha |AHA,2014100818,7400,1,1.3513513513513514E-4
aha |AHA,2014100601,8669,2,2.3070711731456916E-4
aha |AHA,2014100704,3010,0,0.0
aha |AHA,2014100815,5628,0,0.0
aha |AHA,2014100701,13455,1,7.432181345224824E-5
aha |AHA,2014100816,7857,0,0.0
aha |AHA,2014100702,8524,0,0.0
aha |AHA,2014100509,9287,0,0.0
aha |AHA,2014100508,6498,0,0.0
aha |AHA,2014100819,4300,0,0.0
aha |AHA,2014100507,16911,1,5.913310862752055E-5
aha |AHA,2014100403,6749,0,0.0
aha |AHA,2014100506,11836,0,0.0
aha |AHA,2014100402,6613,0,0.0
aha |AHA,2014100505,6487,0,0.0
aha |AHA,2014100401,4570,1,2.188183807439825E-4
aha |AHA,2014100504,3861,0,0.0
aha |AHA,2014100400,5285,0,0.0
aha |AHA,2014100503,4540,0,0.0
aha |AHA,2014100709,5572,1,1.7946877243359656E-4
aha |AHA,2014100407,7111,0,0.0
aha |AHA,2014100406,10763,0,0.0
aha |AHA,2014100501,6148,0,0.0
aha |AHA,2014100405,10366,0,0.0
aha |AHA,2014100500,11540,0,0.0
aha |AHA,2014100404,3086,0,0.0
aha |AHA,2014100409,9932,1,1.0068465565847765E-4
aha |AHA,2014100408,10458,0,0.0
aha |AHA,2014100903,4141,0,0.0
aha |AHA,2014100613,12260,0,0.0
aha |AHA,2014100904,4854,0,0.0
aha |AHA,2014100614,10247,0,0.0
aha |AHA,2014100905,7777,0,0.0
aha |AHA,2014100615,8801,1,1.1362345188046812E-4
aha |AHA,2014100710,7431,0,0.0
aha |AHA,2014100906,3505,0,0.0
aha |AHA,2014100616,10833,1,9.231053263177328E-5
aha |AHA,2014100711,13474,0,0.0
aha |AHA,2014100617,11523,0,0.0
aha |AHA,2014100900,3864,1,2.587991718426501E-4
aha |AHA,2014100618,10834,2,1.8460402436773122E-4
aha |AHA,2014100901,3052,0,0.0
aha |AHA,2014100619,10472,1,9.549274255156608E-5
aha |AHA,2014100902,4916,0,0.0
aha |AHA,2014100716,9756,2,2.050020500205002E-4
aha |AHA,2014100800,3418,0,0.0
aha |AHA,2014100717,12018,0,0.0
