thompson |Thompson,2014100223,8580,0,0.0
thompson |Thompson,2014100222,12009,7,5.82896161212424E-4
thompson |Thompson,2014100221,14828,5,3.371998920960345E-4
thompson |Thompson,2014100220,15090,5,3.313452617627568E-4
thompson |Thompson,2014093023,7216,0,0.0
thompson |Thompson,2014093020,2478,0,0.0
thompson |Thompson,2014093022,2524,0,0.0
thompson |Thompson,2014093021,2547,0,0.0
thompson |Thompson,2014100321,9080,2,2.2026431718061675E-4
thompson |Thompson,2014100322,8671,1,1.1532695190866105E-4
thompson |Thompson,2014100320,9381,5,5.329922183136127E-4
thompson |Thompson,2014100323,6929,1,1.443209698369173E-4
thompson |Thompson,2014100123,8836,14,0.0015844273426889996
thompson |Thompson,2014100122,10378,38,0.003661591828868761
thompson |Thompson,2014100121,12311,123,0.009991064901307774
thompson |Thompson,2014100200,11724,0,0.0
thompson |Thompson,2014100201,6861,2,2.915026963999417E-4
thompson |Thompson,2014100309,9997,1,1.0003000900270081E-4
thompson |Thompson,2014100307,6926,0,0.0
thompson |Thompson,2014100204,8387,2,2.384642899725766E-4
thompson |Thompson,2014100308,8532,0,0.0
thompson |Thompson,2014100205,14882,1,6.719526945303051E-5
thompson |Thompson,2014100305,3838,0,0.0
thompson |Thompson,2014100202,5853,0,0.0
thompson |Thompson,2014100306,5526,0,0.0
thompson |Thompson,2014100203,5613,0,0.0
thompson |Thompson,2014100303,5043,0,0.0
thompson |Thompson,2014100208,9640,13,0.0013485477178423236
thompson |Thompson,2014100304,4725,0,0.0
thompson |Thompson,2014100209,12321,11,8.927846765684603E-4
thompson |Thompson,2014100301,4480,0,0.0
thompson |Thompson,2014100206,9203,8,8.69281755949147E-4
thompson |Thompson,2014100302,8095,0,0.0
thompson |Thompson,2014100207,9445,32,0.0033880359978824773
thompson |Thompson,2014100300,6707,2,2.981959147159684E-4
thompson |Thompson,2014100106,45483,0,0.0
thompson |Thompson,2014100105,7742,0,0.0
thompson |Thompson,2014100104,8731,0,0.0
thompson |Thompson,2014100103,1127,0,0.0
thompson |Thompson,2014100102,2940,0,0.0
thompson |Thompson,2014100101,3598,0,0.0
thompson |Thompson,2014100100,1816,1,5.506607929515419E-4
thompson |Thompson,2014100109,10999,2,1.8183471224656787E-4
thompson |Thompson,2014100108,14670,3,2.0449897750511248E-4
thompson |Thompson,2014100107,32104,0,0.0
thompson |Thompson,2014100210,10300,11,0.0010679611650485437
thompson |Thompson,2014100211,11008,6,5.450581395348837E-4
thompson |Thompson,2014100212,11567,13,0.0011238869196853116
thompson |Thompson,2014100316,10537,1,9.490367277213628E-5
thompson |Thompson,2014100213,10976,12,0.0010932944606413995
thompson |Thompson,2014100317,9832,5,5.085435313262816E-4
thompson |Thompson,2014100214,12210,9,7.371007371007371E-4
thompson |Thompson,2014100318,9075,4,4.4077134986225897E-4
thompson |Thompson,2014100215,11832,3,2.535496957403651E-4
thompson |Thompson,2014100319,8645,0,0.0
thompson |Thompson,2014100216,10725,4,3.7296037296037296E-4
thompson |Thompson,2014100312,10661,0,0.0
thompson |Thompson,2014100217,9835,1,1.0167768174885612E-4
thompson |Thompson,2014100313,9887,2,2.0228582987761708E-4
thompson |Thompson,2014100218,9907,18,0.0018168971434339356
thompson |Thompson,2014100314,9820,2,2.0366598778004074E-4
thompson |Thompson,2014100219,11100,12,0.001081081081081081
thompson |Thompson,2014100420,8163,0,0.0
thompson |Thompson,2014100315,10271,1,9.736150326161036E-5
thompson |Thompson,2014100120,12122,16,0.0013199142055766375
thompson |Thompson,2014100421,8099,2,2.469440671687863E-4
thompson |Thompson,2014100422,8432,0,0.0
thompson |Thompson,2014100423,6306,0,0.0
thompson |Thompson,2014100310,10343,1,9.668374746205163E-5
thompson |Thompson,2014100311,11400,0,0.0
thompson |Thompson,2014100115,14152,24,0.0016958733747880158
thompson |Thompson,2014100114,11535,41,0.003554399653229302
thompson |Thompson,2014100117,11365,19,0.0016717993840739112
thompson |Thompson,2014100116,10904,44,0.004035216434336023
thompson |Thompson,2014100111,9571,1,1.0448229025180232E-4
thompson |Thompson,2014100110,9126,5,5.478851632697787E-4
thompson |Thompson,2014100823,5727,0,0.0
thompson |Thompson,2014100113,11543,109,0.009442952438707441
thompson |Thompson,2014100822,900,0,0.0
thompson |Thompson,2014100112,11651,24,0.00205990902068492
thompson |Thompson,2014100119,11403,40,0.003507848811716215
thompson |Thompson,2014100118,10294,32,0.003108606955508063
thompson |Thompson,2014100604,4638,0,0.0
thompson |Thompson,2014100605,8675,0,0.0
thompson |Thompson,2014100700,5207,1,1.9204916458613405E-4
thompson |Thompson,2014100914,3191,0,0.0
thompson |Thompson,2014100602,8176,0,0.0
thompson |Thompson,2014100915,1000,0,0.0
thompson |Thompson,2014100603,9384,0,0.0
thompson |Thompson,2014100912,2545,0,0.0
thompson |Thompson,2014100608,13680,0,0.0
thompson |Thompson,2014100913,6771,0,0.0
thompson |Thompson,2014100609,13287,1,7.526153383005946E-5
thompson |Thompson,2014100810,6053,4,6.608293408227325E-4
thompson |Thompson,2014100606,4334,0,0.0
thompson |Thompson,2014100607,6194,0,0.0
thompson |Thompson,2014100707,4802,0,0.0
thompson |Thompson,2014100813,7061,0,0.0
thompson |Thompson,2014100708,5400,3,5.555555555555556E-4
thompson |Thompson,2014100814,6011,0,0.0
thompson |Thompson,2014100705,2740,0,0.0
thompson |Thompson,2014100811,6604,0,0.0
thompson |Thompson,2014100706,3398,2,5.885815185403178E-4
thompson |Thompson,2014100812,5896,0,0.0
thompson |Thompson,2014100817,6743,0,0.0
thompson |Thompson,2014100600,15771,1,6.340752013188764E-5
thompson |Thompson,2014100703,5792,0,0.0
thompson |Thompson,2014100818,7400,4,5.405405405405405E-4
thompson |Thompson,2014100601,8669,1,1.1535355865728458E-4
thompson |Thompson,2014100704,3010,0,0.0
thompson |Thompson,2014100815,5628,3,5.330490405117271E-4
thompson |Thompson,2014100701,13455,0,0.0
thompson |Thompson,2014100816,7857,0,0.0
thompson |Thompson,2014100702,8524,0,0.0
thompson |Thompson,2014100509,9287,4,4.307095940562076E-4
thompson |Thompson,2014100508,6498,0,0.0
thompson |Thompson,2014100819,4300,2,4.6511627906976747E-4
thompson |Thompson,2014100507,16911,0,0.0
thompson |Thompson,2014100403,6749,0,0.0
thompson |Thompson,2014100506,11836,0,0.0
thompson |Thompson,2014100402,6613,0,0.0
thompson |Thompson,2014100505,6487,0,0.0
thompson |Thompson,2014100401,4570,0,0.0
thompson |Thompson,2014100504,3861,0,0.0
thompson |Thompson,2014100400,5285,0,0.0
thompson |Thompson,2014100503,4540,0,0.0
thompson |Thompson,2014100709,5572,0,0.0
thompson |Thompson,2014100407,7111,1,1.406271972999578E-4
thompson |Thompson,2014100406,10763,0,0.0
thompson |Thompson,2014100501,6148,0,0.0
thompson |Thompson,2014100405,10366,0,0.0
thompson |Thompson,2014100500,11540,0,0.0
thompson |Thompson,2014100404,3086,0,0.0
thompson |Thompson,2014100409,9932,2,2.013693113169553E-4
thompson |Thompson,2014100408,10458,0,0.0
thompson |Thompson,2014100903,4141,0,0.0
thompson |Thompson,2014100613,12260,7,5.709624796084829E-4
thompson |Thompson,2014100904,4854,0,0.0
thompson |Thompson,2014100614,10247,2,1.9517907680296673E-4
thompson |Thompson,2014100905,7777,0,0.0
thompson |Thompson,2014100615,8801,0,0.0
thompson |Thompson,2014100710,7431,3,4.037141703673799E-4
thompson |Thompson,2014100906,3505,1,2.853067047075606E-4
thompson |Thompson,2014100616,10833,13,0.0012000369242130527
thompson |Thompson,2014100711,13474,1,7.421701053881549E-5
thompson |Thompson,2014100617,11523,2,1.7356591165495098E-4
thompson |Thompson,2014100900,3864,0,0.0
thompson |Thompson,2014100618,10834,4,3.6920804873546244E-4
thompson |Thompson,2014100901,3052,0,0.0
thompson |Thompson,2014100619,10472,0,0.0
thompson |Thompson,2014100902,4916,0,0.0
thompson |Thompson,2014100716,9756,6,6.150061500615006E-4
thompson |Thompson,2014100800,3418,0,0.0
thompson |Thompson,2014100717,12018,4,3.328340822100183E-4
thompson |Thompson,2014100801,4912,0,0.0
thompson |Thompson,2014100718,9824,1,1.0179153094462541E-4
thompson |Thompson,2014100802,4582,0,0.0
thompson |Thompson,2014100719,8904,1,1.1230907457322552E-4
thompson |Thompson,2014100803,4750,0,0.0
thompson |Thompson,2014100712,10146,2,1.9712201852946975E-4
thompson |Thompson,2014100804,8238,0,0.0
thompson |Thompson,2014100610,8565,0,0.0
thompson |Thompson,2014100713,7382,3,4.06393931183961E-4
thompson |Thompson,2014100805,6904,0,0.0
thompson |Thompson,2014100611,8676,1,1.152604887044721E-4
thompson |Thompson,2014100714,9294,1,1.0759629868732516E-4
thompson |Thompson,2014100806,7696,0,0.0
thompson |Thompson,2014100612,7761,9,0.0011596443757247777
thompson |Thompson,2014100715,8494,0,0.0
thompson |Thompson,2014100807,6298,0,0.0
thompson |Thompson,2014100519,13547,0,0.0
thompson |Thompson,2014100809,5933,0,0.0
thompson |Thompson,2014100518,12589,1,7.943442688061006E-5
thompson |Thompson,2014100808,7916,0,0.0
thompson |Thompson,2014100410,8297,9,0.0010847294202723876
thompson |Thompson,2014100412,8252,0,0.0
thompson |Thompson,2014100515,6526,0,0.0
thompson |Thompson,2014100411,8736,1,1.1446886446886447E-4
thompson |Thompson,2014100514,7337,0,0.0
thompson |Thompson,2014100414,8029,0,0.0
thompson |Thompson,2014100517,16635,3,1.8034265103697024E-4
thompson |Thompson,2014100413,7649,0,0.0
thompson |Thompson,2014100516,7164,1,1.3958682300390843E-4
thompson |Thompson,2014100416,8535,4,4.6865846514352667E-4
thompson |Thompson,2014100511,8203,3,3.6571985858832134E-4
thompson |Thompson,2014100415,9288,1,1.0766580534022394E-4
thompson |Thompson,2014100510,7389,2,2.706726214643389E-4
thompson |Thompson,2014100418,8794,0,0.0
thompson |Thompson,2014100513,8653,3,3.467005662775916E-4
thompson |Thompson,2014100417,9001,2,2.2219753360737697E-4
thompson |Thompson,2014100512,7658,1,1.3058239749281798E-4
thompson |Thompson,2014100908,14247,0,0.0
thompson |Thompson,2014100907,7751,0,0.0
thompson |Thompson,2014100419,8630,0,0.0
