woman |woman,2014100223,8580,9,0.001048951048951049
woman |woman,2014100222,12009,36,0.0029977516862353237
woman |woman,2014100221,14828,26,0.0017534394388993796
woman |woman,2014100220,15090,19,0.0012591119946984758
woman |woman,2014093023,7216,9,0.0012472283813747228
woman |woman,2014093020,2478,6,0.002421307506053269
woman |woman,2014093022,2524,6,0.002377179080824089
woman |woman,2014093021,2547,2,7.852375343541421E-4
woman |woman,2014100321,9080,14,0.0015418502202643172
woman |woman,2014100322,8671,9,0.0010379425671779494
woman |woman,2014100320,9381,21,0.002238567316917173
woman |woman,2014100323,6929,9,0.0012988887285322558
woman |woman,2014100123,8836,12,0.001358080579447714
woman |woman,2014100122,10378,15,0.0014453651956060898
woman |woman,2014100121,12311,15,0.0012184225489399723
woman |woman,2014100200,11724,7,5.97065847833504E-4
woman |woman,2014100201,6861,7,0.001020259437399796
woman |woman,2014100309,9997,31,0.0031009302790837253
woman |woman,2014100307,6926,8,0.001155067860236789
woman |woman,2014100204,8387,3,3.576964349588649E-4
woman |woman,2014100308,8532,15,0.0017580872011251757
woman |woman,2014100205,14882,3,2.0158580835909153E-4
woman |woman,2014100305,3838,1,2.605523710265763E-4
woman |woman,2014100202,5853,10,0.0017085255424568598
woman |woman,2014100306,5526,7,0.0012667390517553383
woman |woman,2014100203,5613,2,3.563156957063959E-4
woman |woman,2014100303,5043,3,5.94883997620464E-4
woman |woman,2014100208,9640,29,0.003008298755186722
woman |woman,2014100304,4725,1,2.1164021164021165E-4
woman |woman,2014100209,12321,21,0.0017044071098125152
woman |woman,2014100301,4480,7,0.0015625
woman |woman,2014100206,9203,11,0.0011952624144300772
woman |woman,2014100302,8095,3,3.705991352686844E-4
woman |woman,2014100207,9445,22,0.0023292747485442033
woman |woman,2014100300,6707,4,5.963918294319368E-4
woman |woman,2014100106,45483,8,1.7588989292702768E-4
woman |woman,2014100105,7742,0,0.0
woman |woman,2014100104,8731,2,2.290688351849731E-4
woman |woman,2014100103,1127,0,0.0
woman |woman,2014100102,2940,1,3.401360544217687E-4
woman |woman,2014100101,3598,11,0.003057254030016676
woman |woman,2014100100,1816,2,0.0011013215859030838
woman |woman,2014100109,10999,20,0.0018183471224656788
woman |woman,2014100108,14670,14,9.543285616905249E-4
woman |woman,2014100107,32104,16,4.9838026414154E-4
woman |woman,2014100210,10300,19,0.0018446601941747574
woman |woman,2014100211,11008,28,0.002543604651162791
woman |woman,2014100212,11567,36,0.0031123022391285554
woman |woman,2014100316,10537,21,0.001992977128214862
woman |woman,2014100213,10976,30,0.0027332361516034984
woman |woman,2014100317,9832,16,0.0016273393002441008
woman |woman,2014100214,12210,13,0.0010647010647010647
woman |woman,2014100318,9075,8,8.815426997245179E-4
woman |woman,2014100215,11832,15,0.0012677484787018255
woman |woman,2014100319,8645,7,8.097165991902834E-4
woman |woman,2014100216,10725,18,0.0016783216783216783
woman |woman,2014100312,10661,15,0.0014069974674045587
woman |woman,2014100217,9835,39,0.003965429588205389
woman |woman,2014100313,9887,24,0.002427429958531405
woman |woman,2014100218,9907,23,0.0023215907943878065
woman |woman,2014100314,9820,13,0.0013238289205702647
woman |woman,2014100219,11100,13,0.0011711711711711711
woman |woman,2014100420,8163,9,0.0011025358324145535
woman |woman,2014100315,10271,20,0.001947230065232207
woman |woman,2014100120,12122,32,0.002639828411153275
woman |woman,2014100421,8099,6,7.408322015063588E-4
woman |woman,2014100422,8432,2,2.3719165085388995E-4
woman |woman,2014100423,6306,7,0.0011100539169045353
woman |woman,2014100310,10343,9,8.701537271584647E-4
woman |woman,2014100311,11400,9,7.894736842105263E-4
woman |woman,2014100115,14152,17,0.0012012436404748444
woman |woman,2014100114,11535,18,0.0015604681404421327
woman |woman,2014100117,11365,54,0.00475142982842059
woman |woman,2014100116,10904,27,0.0024761555392516506
