turkish |Turkish,2014100223,8580,1,1.1655011655011655E-4
turkish |Turkish,2014100222,12009,3,2.498126405196103E-4
turkish |Turkish,2014100221,14828,2,1.348799568384138E-4
turkish |Turkish,2014100220,15090,1,6.626905235255136E-5
turkish |Turkish,2014093023,7216,1,1.385809312638581E-4
turkish |Turkish,2014093020,2478,0,0.0
turkish |Turkish,2014093022,2524,0,0.0
turkish |Turkish,2014093021,2547,0,0.0
turkish |Turkish,2014100321,9080,2,2.2026431718061675E-4
turkish |Turkish,2014100322,8671,6,6.919617114519663E-4
turkish |Turkish,2014100320,9381,0,0.0
turkish |Turkish,2014100323,6929,5,7.216048491845865E-4
turkish |Turkish,2014100123,8836,2,2.2634676324128565E-4
turkish |Turkish,2014100122,10378,5,4.8178839853536327E-4
turkish |Turkish,2014100121,12311,0,0.0
turkish |Turkish,2014100200,11724,0,0.0
turkish |Turkish,2014100201,6861,0,0.0
turkish |Turkish,2014100309,9997,0,0.0
turkish |Turkish,2014100307,6926,0,0.0
turkish |Turkish,2014100204,8387,0,0.0
turkish |Turkish,2014100308,8532,0,0.0
turkish |Turkish,2014100205,14882,5,3.3597634726515254E-4
turkish |Turkish,2014100305,3838,1,2.605523710265763E-4
turkish |Turkish,2014100202,5853,0,0.0
turkish |Turkish,2014100306,5526,0,0.0
turkish |Turkish,2014100203,5613,0,0.0
turkish |Turkish,2014100303,5043,2,3.96589331746976E-4
turkish |Turkish,2014100208,9640,4,4.149377593360996E-4
turkish |Turkish,2014100304,4725,0,0.0
turkish |Turkish,2014100209,12321,1,8.116224332440549E-5
turkish |Turkish,2014100301,4480,0,0.0
turkish |Turkish,2014100206,9203,0,0.0
turkish |Turkish,2014100302,8095,0,0.0
turkish |Turkish,2014100207,9445,0,0.0
turkish |Turkish,2014100300,6707,0,0.0
turkish |Turkish,2014100106,45483,0,0.0
turkish |Turkish,2014100105,7742,0,0.0
turkish |Turkish,2014100104,8731,0,0.0
turkish |Turkish,2014100103,1127,0,0.0
turkish |Turkish,2014100102,2940,0,0.0
turkish |Turkish,2014100101,3598,1,2.7793218454697053E-4
turkish |Turkish,2014100100,1816,1,5.506607929515419E-4
turkish |Turkish,2014100109,10999,0,0.0
turkish |Turkish,2014100108,14670,0,0.0
turkish |Turkish,2014100107,32104,0,0.0
turkish |Turkish,2014100210,10300,1,9.70873786407767E-5
turkish |Turkish,2014100211,11008,0,0.0
turkish |Turkish,2014100212,11567,4,3.458113599031728E-4
turkish |Turkish,2014100316,10537,4,3.7961469108854513E-4
turkish |Turkish,2014100213,10976,1,9.110787172011662E-5
turkish |Turkish,2014100317,9832,4,4.068348250610252E-4
turkish |Turkish,2014100214,12210,2,1.638001638001638E-4
turkish |Turkish,2014100318,9075,1,1.1019283746556474E-4
turkish |Turkish,2014100215,11832,3,2.535496957403651E-4
turkish |Turkish,2014100319,8645,0,0.0
turkish |Turkish,2014100216,10725,2,1.8648018648018648E-4
turkish |Turkish,2014100312,10661,2,1.8759966232060783E-4
turkish |Turkish,2014100217,9835,1,1.0167768174885612E-4
turkish |Turkish,2014100313,9887,2,2.0228582987761708E-4
turkish |Turkish,2014100218,9907,2,2.018774603815484E-4
turkish |Turkish,2014100314,9820,3,3.054989816700611E-4
turkish |Turkish,2014100219,11100,5,4.5045045045045046E-4
turkish |Turkish,2014100420,8163,6,7.35023888276369E-4
turkish |Turkish,2014100315,10271,0,0.0
turkish |Turkish,2014100120,12122,0,0.0
turkish |Turkish,2014100421,8099,3,3.704161007531794E-4
turkish |Turkish,2014100422,8432,1,1.1859582542694497E-4
turkish |Turkish,2014100423,6306,1,1.585791309863622E-4
turkish |Turkish,2014100310,10343,0,0.0
turkish |Turkish,2014100311,11400,4,3.508771929824561E-4
turkish |Turkish,2014100115,14152,0,0.0
turkish |Turkish,2014100114,11535,0,0.0
turkish |Turkish,2014100117,11365,0,0.0
turkish |Turkish,2014100116,10904,0,0.0
turkish |Turkish,2014100111,9571,0,0.0
turkish |Turkish,2014100110,9126,0,0.0
turkish |Turkish,2014100823,5727,1,1.7461148943600488E-4
turkish |Turkish,2014100113,11543,2,1.7326518236160444E-4
turkish |Turkish,2014100822,900,0,0.0
turkish |Turkish,2014100112,11651,0,0.0
turkish |Turkish,2014100119,11403,1,8.769622029290537E-5
turkish |Turkish,2014100118,10294,0,0.0
turkish |Turkish,2014100604,4638,0,0.0
turkish |Turkish,2014100605,8675,0,0.0
turkish |Turkish,2014100700,5207,0,0.0
turkish |Turkish,2014100914,3191,0,0.0
turkish |Turkish,2014100602,8176,1,1.223091976516634E-4
turkish |Turkish,2014100915,1000,0,0.0
turkish |Turkish,2014100603,9384,2,2.1312872975277067E-4
turkish |Turkish,2014100912,2545,0,0.0
turkish |Turkish,2014100608,13680,0,0.0
turkish |Turkish,2014100913,6771,2,2.953773445576724E-4
turkish |Turkish,2014100609,13287,1,7.526153383005946E-5
turkish |Turkish,2014100810,6053,1,1.6520733520568312E-4
turkish |Turkish,2014100606,4334,0,0.0
turkish |Turkish,2014100607,6194,0,0.0
turkish |Turkish,2014100707,4802,0,0.0
