protester |protesters |protester |Protesters,2014100223,8580,0,0.0
protester |protesters |protester |Protesters,2014100222,12009,3,2.498126405196103E-4
protester |protesters |protester |Protesters,2014100221,14828,7,4.720798489344483E-4
protester |protesters |protester |Protesters,2014100220,15090,4,2.650762094102054E-4
protester |protesters |protester |Protesters,2014093023,7216,2,2.771618625277162E-4
protester |protesters |protester |Protesters,2014093020,2478,0,0.0
protester |protesters |protester |Protesters,2014093022,2524,0,0.0
protester |protesters |protester |Protesters,2014093021,2547,1,3.9261876717707107E-4
protester |protesters |protester |Protesters,2014100321,9080,1,1.1013215859030837E-4
protester |protesters |protester |Protesters,2014100322,8671,1,1.1532695190866105E-4
protester |protesters |protester |Protesters,2014100320,9381,1,1.0659844366272253E-4
protester |protesters |protester |Protesters,2014100323,6929,0,0.0
protester |protesters |protester |Protesters,2014100123,8836,3,3.395201448619285E-4
protester |protesters |protester |Protesters,2014100122,10378,9,8.672191173636539E-4
protester |protesters |protester |Protesters,2014100121,12311,1,8.122816992933149E-5
protester |protesters |protester |Protesters,2014100200,11724,1,8.5295121119072E-5
protester |protesters |protester |Protesters,2014100201,6861,2,2.915026963999417E-4
protester |protesters |protester |Protesters,2014100309,9997,3,3.0009002700810244E-4
protester |protesters |protester |Protesters,2014100307,6926,1,1.4438348252959862E-4
protester |protesters |protester |Protesters,2014100204,8387,12,0.0014307857398354596
protester |protesters |protester |Protesters,2014100308,8532,1,1.1720581340834506E-4
protester |protesters |protester |Protesters,2014100205,14882,1,6.719526945303051E-5
protester |protesters |protester |Protesters,2014100305,3838,0,0.0
protester |protesters |protester |Protesters,2014100202,5853,2,3.4170510849137196E-4
protester |protesters |protester |Protesters,2014100306,5526,1,1.8096272167933406E-4
protester |protesters |protester |Protesters,2014100203,5613,0,0.0
protester |protesters |protester |Protesters,2014100303,5043,0,0.0
protester |protesters |protester |Protesters,2014100208,9640,3,3.1120331950207467E-4
protester |protesters |protester |Protesters,2014100304,4725,0,0.0
protester |protesters |protester |Protesters,2014100209,12321,5,4.0581121662202745E-4
protester |protesters |protester |Protesters,2014100301,4480,0,0.0
protester |protesters |protester |Protesters,2014100206,9203,2,2.1732043898728675E-4
protester |protesters |protester |Protesters,2014100302,8095,0,0.0
