border |Borders |border |borders,2014100223,8580,1,1.1655011655011655E-4
border |Borders |border |borders,2014100222,12009,3,2.498126405196103E-4
border |Borders |border |borders,2014100221,14828,0,0.0
border |Borders |border |borders,2014100220,15090,1,6.626905235255136E-5
border |Borders |border |borders,2014093023,7216,1,1.385809312638581E-4
border |Borders |border |borders,2014093020,2478,0,0.0
border |Borders |border |borders,2014093022,2524,2,7.92393026941363E-4
border |Borders |border |borders,2014093021,2547,1,3.9261876717707107E-4
border |Borders |border |borders,2014100321,9080,0,0.0
border |Borders |border |borders,2014100322,8671,2,2.306539038173221E-4
border |Borders |border |borders,2014100320,9381,0,0.0
border |Borders |border |borders,2014100323,6929,0,0.0
border |Borders |border |borders,2014100123,8836,1,1.1317338162064282E-4
border |Borders |border |borders,2014100122,10378,1,9.635767970707265E-5
border |Borders |border |borders,2014100121,12311,3,2.4368450978799449E-4
border |Borders |border |borders,2014100200,11724,0,0.0
border |Borders |border |borders,2014100201,6861,0,0.0
border |Borders |border |borders,2014100309,9997,5,5.001500450135041E-4
border |Borders |border |borders,2014100307,6926,1,1.4438348252959862E-4
border |Borders |border |borders,2014100204,8387,0,0.0
border |Borders |border |borders,2014100308,8532,0,0.0
border |Borders |border |borders,2014100205,14882,1,6.719526945303051E-5
border |Borders |border |borders,2014100305,3838,0,0.0
border |Borders |border |borders,2014100202,5853,1,1.7085255424568598E-4
border |Borders |border |borders,2014100306,5526,1,1.8096272167933406E-4
border |Borders |border |borders,2014100203,5613,0,0.0
border |Borders |border |borders,2014100303,5043,0,0.0
border |Borders |border |borders,2014100208,9640,0,0.0
border |Borders |border |borders,2014100304,4725,0,0.0
border |Borders |border |borders,2014100209,12321,0,0.0
border |Borders |border |borders,2014100301,4480,0,0.0
border |Borders |border |borders,2014100206,9203,0,0.0
border |Borders |border |borders,2014100302,8095,0,0.0
border |Borders |border |borders,2014100207,9445,1,1.0587612493382742E-4
border |Borders |border |borders,2014100300,6707,0,0.0
border |Borders |border |borders,2014100106,45483,0,0.0
border |Borders |border |borders,2014100105,7742,0,0.0
border |Borders |border |borders,2014100104,8731,0,0.0
border |Borders |border |borders,2014100103,1127,0,0.0
border |Borders |border |borders,2014100102,2940,0,0.0
border |Borders |border |borders,2014100101,3598,0,0.0
border |Borders |border |borders,2014100100,1816,0,0.0
border |Borders |border |borders,2014100109,10999,2,1.8183471224656787E-4
border |Borders |border |borders,2014100108,14670,1,6.81663258350375E-5
border |Borders |border |borders,2014100107,32104,1,3.114876650884625E-5
border |Borders |border |borders,2014100210,10300,1,9.70873786407767E-5
border |Borders |border |borders,2014100211,11008,1,9.084302325581395E-5
border |Borders |border |borders,2014100212,11567,0,0.0
border |Borders |border |borders,2014100316,10537,4,3.7961469108854513E-4
border |Borders |border |borders,2014100213,10976,2,1.8221574344023323E-4
border |Borders |border |borders,2014100317,9832,6,6.102522375915378E-4
border |Borders |border |borders,2014100214,12210,0,0.0
border |Borders |border |borders,2014100318,9075,3,3.3057851239669424E-4
border |Borders |border |borders,2014100215,11832,0,0.0
border |Borders |border |borders,2014100319,8645,0,0.0
border |Borders |border |borders,2014100216,10725,0,0.0
border |Borders |border |borders,2014100312,10661,0,0.0
border |Borders |border |borders,2014100217,9835,0,0.0
border |Borders |border |borders,2014100313,9887,1,1.0114291493880854E-4
border |Borders |border |borders,2014100218,9907,5,5.04693650953871E-4
border |Borders |border |borders,2014100314,9820,3,3.054989816700611E-4
border |Borders |border |borders,2014100219,11100,1,9.009009009009009E-5
border |Borders |border |borders,2014100420,8163,2,2.450079627587897E-4
border |Borders |border |borders,2014100315,10271,1,9.736150326161036E-5
border |Borders |border |borders,2014100120,12122,10,8.249463784853984E-4
border |Borders |border |borders,2014100421,8099,3,3.704161007531794E-4
border |Borders |border |borders,2014100422,8432,1,1.1859582542694497E-4
border |Borders |border |borders,2014100423,6306,0,0.0
border |Borders |border |borders,2014100310,10343,0,0.0
border |Borders |border |borders,2014100311,11400,1,8.771929824561403E-5
border |Borders |border |borders,2014100115,14152,2,1.4132278123233464E-4
border |Borders |border |borders,2014100114,11535,1,8.669267446900737E-5
border |Borders |border |borders,2014100117,11365,1,8.798944126704795E-5
border |Borders |border |borders,2014100116,10904,1,9.170946441672781E-5
border |Borders |border |borders,2014100111,9571,1,1.0448229025180232E-4
border |Borders |border |borders,2014100110,9126,4,4.3830813061582295E-4
border |Borders |border |borders,2014100823,5727,0,0.0
border |Borders |border |borders,2014100113,11543,2,1.7326518236160444E-4
border |Borders |border |borders,2014100822,900,0,0.0
border |Borders |border |borders,2014100112,11651,0,0.0
border |Borders |border |borders,2014100119,11403,2,1.7539244058581075E-4
border |Borders |border |borders,2014100118,10294,0,0.0
border |Borders |border |borders,2014100604,4638,0,0.0
border |Borders |border |borders,2014100605,8675,0,0.0
border |Borders |border |borders,2014100700,5207,0,0.0
border |Borders |border |borders,2014100914,3191,0,0.0
border |Borders |border |borders,2014100602,8176,1,1.223091976516634E-4
border |Borders |border |borders,2014100915,1000,0,0.0
border |Borders |border |borders,2014100603,9384,0,0.0
border |Borders |border |borders,2014100912,2545,0,0.0
border |Borders |border |borders,2014100608,13680,2,1.4619883040935673E-4
border |Borders |border |borders,2014100913,6771,0,0.0
border |Borders |border |borders,2014100609,13287,7,5.268307368104162E-4
border |Borders |border |borders,2014100810,6053,1,1.6520733520568312E-4
border |Borders |border |borders,2014100606,4334,0,0.0
border |Borders |border |borders,2014100607,6194,0,0.0
border |Borders |border |borders,2014100707,4802,1,2.0824656393169514E-4
border |Borders |border |borders,2014100813,7061,1,1.41622999575131E-4
border |Borders |border |borders,2014100708,5400,2,3.7037037037037035E-4
border |Borders |border |borders,2014100814,6011,3,4.990850108135085E-4
border |Borders |border |borders,2014100705,2740,1,3.64963503649635E-4
border |Borders |border |borders,2014100811,6604,1,1.5142337976983646E-4
border |Borders |border |borders,2014100706,3398,0,0.0
border |Borders |border |borders,2014100812,5896,1,1.6960651289009497E-4
