project |Projects |project |projects |Project,2014100223,8580,8,9.324009324009324E-4
project |Projects |project |projects |Project,2014100222,12009,8,6.661670413856274E-4
project |Projects |project |projects |Project,2014100221,14828,11,7.41839762611276E-4
project |Projects |project |projects |Project,2014100220,15090,31,0.002054340622929092
project |Projects |project |projects |Project,2014093023,7216,5,6.929046563192905E-4
project |Projects |project |projects |Project,2014093020,2478,3,0.0012106537530266344
project |Projects |project |projects |Project,2014093022,2524,0,0.0
project |Projects |project |projects |Project,2014093021,2547,8,0.0031409501374165686
project |Projects |project |projects |Project,2014100321,9080,11,0.001211453744493392
project |Projects |project |projects |Project,2014100322,8671,9,0.0010379425671779494
project |Projects |project |projects |Project,2014100320,9381,8,8.527875493017802E-4
project |Projects |project |projects |Project,2014100323,6929,6,8.659258190215039E-4
project |Projects |project |projects |Project,2014100123,8836,6,6.79040289723857E-4
project |Projects |project |projects |Project,2014100122,10378,9,8.672191173636539E-4
project |Projects |project |projects |Project,2014100121,12311,20,0.00162456339858663
project |Projects |project |projects |Project,2014100200,11724,4,3.41180484476288E-4
project |Projects |project |projects |Project,2014100201,6861,3,4.3725404459991256E-4
project |Projects |project |projects |Project,2014100309,9997,24,0.0024007202160648195
project |Projects |project |projects |Project,2014100307,6926,10,0.0014438348252959862
project |Projects |project |projects |Project,2014100204,8387,4,4.769285799451532E-4
project |Projects |project |projects |Project,2014100308,8532,18,0.002109704641350211
project |Projects |project |projects |Project,2014100205,14882,0,0.0
project |Projects |project |projects |Project,2014100305,3838,2,5.211047420531526E-4
project |Projects |project |projects |Project,2014100202,5853,3,5.125576627370579E-4
project |Projects |project |projects |Project,2014100306,5526,0,0.0
project |Projects |project |projects |Project,2014100203,5613,2,3.563156957063959E-4
project |Projects |project |projects |Project,2014100303,5043,2,3.96589331746976E-4
project |Projects |project |projects |Project,2014100208,9640,35,0.0036307053941908715
project |Projects |project |projects |Project,2014100304,4725,3,6.349206349206349E-4
project |Projects |project |projects |Project,2014100209,12321,25,0.0020290560831101373
project |Projects |project |projects |Project,2014100301,4480,2,4.464285714285714E-4
project |Projects |project |projects |Project,2014100206,9203,2,2.1732043898728675E-4
project |Projects |project |projects |Project,2014100302,8095,3,3.705991352686844E-4
project |Projects |project |projects |Project,2014100207,9445,15,0.0015881418740074113
project |Projects |project |projects |Project,2014100300,6707,15,0.0022364693603697627
project |Projects |project |projects |Project,2014100106,45483,2,4.397247323175692E-5
project |Projects |project |projects |Project,2014100105,7742,1,1.291655902867476E-4
project |Projects |project |projects |Project,2014100104,8731,1,1.1453441759248655E-4
project |Projects |project |projects |Project,2014100103,1127,0,0.0
project |Projects |project |projects |Project,2014100102,2940,1,3.401360544217687E-4
project |Projects |project |projects |Project,2014100101,3598,2,5.558643690939411E-4
project |Projects |project |projects |Project,2014100100,1816,0,0.0
project |Projects |project |projects |Project,2014100109,10999,21,0.0019092644785889627
project |Projects |project |projects |Project,2014100108,14670,11,7.498295841854124E-4
project |Projects |project |projects |Project,2014100107,32104,6,1.868925990530775E-4
project |Projects |project |projects |Project,2014100210,10300,21,0.0020388349514563107
project |Projects |project |projects |Project,2014100211,11008,29,0.0026344476744186046
project |Projects |project |projects |Project,2014100212,11567,38,0.003285207919080142
project |Projects |project |projects |Project,2014100316,10537,16,0.0015184587643541805
project |Projects |project |projects |Project,2014100213,10976,16,0.0014577259475218659
project |Projects |project |projects |Project,2014100317,9832,10,0.0010170870626525631
project |Projects |project |projects |Project,2014100214,12210,13,0.0010647010647010647
project |Projects |project |projects |Project,2014100318,9075,11,0.0012121212121212121
project |Projects |project |projects |Project,2014100215,11832,13,0.0010987153482082488
project |Projects |project |projects |Project,2014100319,8645,18,0.0020821283979178718
project |Projects |project |projects |Project,2014100216,10725,17,0.001585081585081585
project |Projects |project |projects |Project,2014100312,10661,18,0.0016883969608854704
project |Projects |project |projects |Project,2014100217,9835,11,0.0011184544992374173
project |Projects |project |projects |Project,2014100313,9887,15,0.0015171437240821281
project |Projects |project |projects |Project,2014100218,9907,26,0.0026244069849601292
project |Projects |project |projects |Project,2014100314,9820,16,0.001629327902240326
project |Projects |project |projects |Project,2014100219,11100,21,0.0018918918918918919
project |Projects |project |projects |Project,2014100420,8163,10,0.0012250398137939483
project |Projects |project |projects |Project,2014100315,10271,20,0.001947230065232207
project |Projects |project |projects |Project,2014100120,12122,16,0.0013199142055766375
project |Projects |project |projects |Project,2014100421,8099,7,8.64304235090752E-4
project |Projects |project |projects |Project,2014100422,8432,7,8.301707779886148E-4
project |Projects |project |projects |Project,2014100423,6306,5,7.92895654931811E-4
project |Projects |project |projects |Project,2014100310,10343,14,0.0013535724644687227
project |Projects |project |projects |Project,2014100311,11400,27,0.002368421052631579
project |Projects |project |projects |Project,2014100115,14152,10,7.066139061616733E-4
project |Projects |project |projects |Project,2014100114,11535,9,7.802340702210664E-4
project |Projects |project |projects |Project,2014100117,11365,22,0.001935767707875055
project |Projects |project |projects |Project,2014100116,10904,17,0.0015590608950843726
project |Projects |project |projects |Project,2014100111,9571,20,0.0020896458050360463
project |Projects |project |projects |Project,2014100110,9126,21,0.0023011176857330702
project |Projects |project |projects |Project,2014100823,5727,6,0.0010476689366160294
project |Projects |project |projects |Project,2014100113,11543,24,0.002079182188339253
project |Projects |project |projects |Project,2014100822,900,1,0.0011111111111111111
project |Projects |project |projects |Project,2014100112,11651,23,0.0019740794781563814
project |Projects |project |projects |Project,2014100119,11403,24,0.002104709287029729
project |Projects |project |projects |Project,2014100118,10294,16,0.0015543034777540316
project |Projects |project |projects |Project,2014100604,4638,0,0.0
project |Projects |project |projects |Project,2014100605,8675,1,1.1527377521613833E-4
project |Projects |project |projects |Project,2014100700,5207,1,1.9204916458613405E-4
project |Projects |project |projects |Project,2014100914,3191,4,0.0012535255405828893
project |Projects |project |projects |Project,2014100602,8176,0,0.0
project |Projects |project |projects |Project,2014100915,1000,0,0.0
project |Projects |project |projects |Project,2014100603,9384,0,0.0
project |Projects |project |projects |Project,2014100912,2545,2,7.858546168958742E-4
project |Projects |project |projects |Project,2014100608,13680,19,0.001388888888888889
project |Projects |project |projects |Project,2014100913,6771,7,0.0010338207059518536
project |Projects |project |projects |Project,2014100609,13287,21,0.0015804922104312486
project |Projects |project |projects |Project,2014100810,6053,12,0.0019824880224681976
project |Projects |project |projects |Project,2014100606,4334,0,0.0
project |Projects |project |projects |Project,2014100607,6194,5,8.072328059412334E-4
project |Projects |project |projects |Project,2014100707,4802,5,0.0010412328196584756
project |Projects |project |projects |Project,2014100813,7061,11,0.001557852995326441
project |Projects |project |projects |Project,2014100708,5400,2,3.7037037037037035E-4
project |Projects |project |projects |Project,2014100814,6011,11,0.0018299783729828648
project |Projects |project |projects |Project,2014100705,2740,1,3.64963503649635E-4
project |Projects |project |projects |Project,2014100811,6604,9,0.0013628104179285283
project |Projects |project |projects |Project,2014100706,3398,3,8.828722778104767E-4
project |Projects |project |projects |Project,2014100812,5896,8,0.0013568521031207597
project |Projects |project |projects |Project,2014100817,6743,17,0.002521133026842652
project |Projects |project |projects |Project,2014100600,15771,1,6.340752013188764E-5
project |Projects |project |projects |Project,2014100703,5792,1,1.7265193370165745E-4
project |Projects |project |projects |Project,2014100818,7400,8,0.001081081081081081
project |Projects |project |projects |Project,2014100601,8669,3,3.460606759718537E-4
project |Projects |project |projects |Project,2014100704,3010,3,9.966777408637873E-4
project |Projects |project |projects |Project,2014100815,5628,11,0.0019545131485429993
project |Projects |project |projects |Project,2014100701,13455,5,3.716090672612412E-4
project |Projects |project |projects |Project,2014100816,7857,7,8.909252895507191E-4
project |Projects |project |projects |Project,2014100702,8524,0,0.0
project |Projects |project |projects |Project,2014100509,9287,2,2.153547970281038E-4
project |Projects |project |projects |Project,2014100508,6498,1,1.538935056940597E-4
project |Projects |project |projects |Project,2014100819,4300,7,0.0016279069767441861
project |Projects |project |projects |Project,2014100507,16911,3,1.7739932588256165E-4
project |Projects |project |projects |Project,2014100403,6749,1,1.481700992739665E-4
project |Projects |project |projects |Project,2014100506,11836,0,0.0
project |Projects |project |projects |Project,2014100402,6613,2,3.0243459851807047E-4
project |Projects |project |projects |Project,2014100505,6487,2,3.083089255433945E-4
project |Projects |project |projects |Project,2014100401,4570,4,8.7527352297593E-4
project |Projects |project |projects |Project,2014100504,3861,3,7.77000777000777E-4
project |Projects |project |projects |Project,2014100400,5285,4,7.568590350047304E-4
project |Projects |project |projects |Project,2014100503,4540,2,4.405286343612335E-4
project |Projects |project |projects |Project,2014100709,5572,16,0.002871500358937545
project |Projects |project |projects |Project,2014100407,7111,5,7.031359864997891E-4
project |Projects |project |projects |Project,2014100406,10763,1,9.2910898448388E-5
project |Projects |project |projects |Project,2014100501,6148,2,3.2530904359141186E-4
project |Projects |project |projects |Project,2014100405,10366,3,2.894076789504148E-4
project |Projects |project |projects |Project,2014100500,11540,2,1.733102253032929E-4
project |Projects |project |projects |Project,2014100404,3086,4,0.0012961762799740765
project |Projects |project |projects |Project,2014100409,9932,14,0.001409585179218687
project |Projects |project |projects |Project,2014100408,10458,4,3.8248231019315357E-4
project |Projects |project |projects |Project,2014100903,4141,0,0.0
project |Projects |project |projects |Project,2014100613,12260,22,0.0017944535073409463
project |Projects |project |projects |Project,2014100904,4854,2,4.1203131437989287E-4
project |Projects |project |projects |Project,2014100614,10247,14,0.0013662535376207671
project |Projects |project |projects |Project,2014100905,7777,2,2.5716857400025716E-4
project |Projects |project |projects |Project,2014100615,8801,19,0.0021588455857288946
project |Projects |project |projects |Project,2014100710,7431,10,0.0013457139012245996
project |Projects |project |projects |Project,2014100906,3505,0,0.0
project |Projects |project |projects |Project,2014100616,10833,16,0.0014769685221083725
project |Projects |project |projects |Project,2014100711,13474,22,0.001632774231853941
project |Projects |project |projects |Project,2014100617,11523,19,0.0016488761607220343
project |Projects |project |projects |Project,2014100900,3864,5,0.0012939958592132505
project |Projects |project |projects |Project,2014100618,10834,9,8.307181096547905E-4
project |Projects |project |projects |Project,2014100901,3052,2,6.55307994757536E-4
project |Projects |project |projects |Project,2014100619,10472,21,0.002005347593582888
project |Projects |project |projects |Project,2014100902,4916,3,6.102522375915378E-4
project |Projects |project |projects |Project,2014100716,9756,20,0.002050020500205002
project |Projects |project |projects |Project,2014100800,3418,6,0.0017554125219426564
project |Projects |project |projects |Project,2014100717,12018,16,0.0013313363288400732
project |Projects |project |projects |Project,2014100801,4912,6,0.0012214983713355048
project |Projects |project |projects |Project,2014100718,9824,18,0.0018322475570032573
project |Projects |project |projects |Project,2014100802,4582,2,4.3649061545176777E-4
