coach |Coach |coach,2014100223,8580,3,3.4965034965034965E-4
coach |Coach |coach,2014100222,12009,10,8.327088017320343E-4
coach |Coach |coach,2014100221,14828,17,0.0011464796331265173
coach |Coach |coach,2014100220,15090,26,0.0017229953611663353
coach |Coach |coach,2014093023,7216,2,2.771618625277162E-4
coach |Coach |coach,2014093020,2478,3,0.0012106537530266344
coach |Coach |coach,2014093022,2524,0,0.0
coach |Coach |coach,2014093021,2547,2,7.852375343541421E-4
coach |Coach |coach,2014100321,9080,37,0.00407488986784141
coach |Coach |coach,2014100322,8671,11,0.0012685964709952715
coach |Coach |coach,2014100320,9381,15,0.0015989766549408379
coach |Coach |coach,2014100323,6929,5,7.216048491845865E-4
coach |Coach |coach,2014100123,8836,17,0.001923947487550928
coach |Coach |coach,2014100122,10378,77,0.007419541337444594
coach |Coach |coach,2014100121,12311,288,0.02339371293964747
coach |Coach |coach,2014100200,11724,4,3.41180484476288E-4
coach |Coach |coach,2014100201,6861,4,5.830053927998834E-4
coach |Coach |coach,2014100309,9997,10,0.0010003000900270082
coach |Coach |coach,2014100307,6926,7,0.0010106843777071904
coach |Coach |coach,2014100204,8387,0,0.0
coach |Coach |coach,2014100308,8532,5,5.860290670417253E-4
coach |Coach |coach,2014100205,14882,8,5.375621556242441E-4
coach |Coach |coach,2014100305,3838,0,0.0
coach |Coach |coach,2014100202,5853,0,0.0
coach |Coach |coach,2014100306,5526,3,5.428881650380022E-4
coach |Coach |coach,2014100203,5613,1,1.7815784785319794E-4
coach |Coach |coach,2014100303,5043,1,1.98294665873488E-4
coach |Coach |coach,2014100208,9640,46,0.004771784232365146
coach |Coach |coach,2014100304,4725,0,0.0
coach |Coach |coach,2014100209,12321,25,0.0020290560831101373
coach |Coach |coach,2014100301,4480,0,0.0
coach |Coach |coach,2014100206,9203,9,9.779419754427903E-4
coach |Coach |coach,2014100302,8095,1,1.2353304508956145E-4
coach |Coach |coach,2014100207,9445,23,0.002435150873478031
coach |Coach |coach,2014100300,6707,3,4.472938720739526E-4
coach |Coach |coach,2014100106,45483,6,1.3191741969527076E-4
coach |Coach |coach,2014100105,7742,0,0.0
coach |Coach |coach,2014100104,8731,0,0.0
coach |Coach |coach,2014100103,1127,0,0.0
coach |Coach |coach,2014100102,2940,0,0.0
coach |Coach |coach,2014100101,3598,0,0.0
coach |Coach |coach,2014100100,1816,0,0.0
coach |Coach |coach,2014100109,10999,4,3.6366942449313574E-4
coach |Coach |coach,2014100108,14670,5,3.4083162917518747E-4
coach |Coach |coach,2014100107,32104,8,2.4919013207077E-4
coach |Coach |coach,2014100210,10300,32,0.0031067961165048546
coach |Coach |coach,2014100211,11008,142,0.012899709302325582
coach |Coach |coach,2014100212,11567,223,0.019278983314601886
coach |Coach |coach,2014100316,10537,4,3.7961469108854513E-4
coach |Coach |coach,2014100213,10976,158,0.014395043731778426
coach |Coach |coach,2014100317,9832,8,8.136696501220504E-4
coach |Coach |coach,2014100214,12210,38,0.0031122031122031123
coach |Coach |coach,2014100318,9075,5,5.509641873278236E-4
coach |Coach |coach,2014100215,11832,15,0.0012677484787018255
coach |Coach |coach,2014100319,8645,4,4.626951995373048E-4
coach |Coach |coach,2014100216,10725,22,0.0020512820512820513
coach |Coach |coach,2014100312,10661,17,0.0015945971297251665
coach |Coach |coach,2014100217,9835,14,0.0014234875444839859
coach |Coach |coach,2014100313,9887,9,9.102862344492768E-4
coach |Coach |coach,2014100218,9907,15,0.001514080952861613
coach |Coach |coach,2014100314,9820,8,8.14663951120163E-4
coach |Coach |coach,2014100219,11100,18,0.0016216216216216215
coach |Coach |coach,2014100420,8163,6,7.35023888276369E-4
coach |Coach |coach,2014100315,10271,5,4.868075163080518E-4
coach |Coach |coach,2014100120,12122,33,0.0027223230490018148
coach |Coach |coach,2014100421,8099,8,9.877762686751452E-4
coach |Coach |coach,2014100422,8432,1,1.1859582542694497E-4
coach |Coach |coach,2014100423,6306,4,6.343165239454488E-4
coach |Coach |coach,2014100310,10343,4,3.867349898482065E-4
coach |Coach |coach,2014100311,11400,9,7.894736842105263E-4
coach |Coach |coach,2014100115,14152,41,0.0028971170152628603
coach |Coach |coach,2014100114,11535,60,0.005201560468140442
coach |Coach |coach,2014100117,11365,37,0.003255609326880774
coach |Coach |coach,2014100116,10904,48,0.004402054292002935
coach |Coach |coach,2014100111,9571,16,0.0016717166440288372
coach |Coach |coach,2014100110,9126,8,8.766162612316459E-4
coach |Coach |coach,2014100823,5727,3,5.238344683080147E-4
coach |Coach |coach,2014100113,11543,132,0.011435502035865892
coach |Coach |coach,2014100822,900,3,0.0033333333333333335
coach |Coach |coach,2014100112,11651,95,0.008153806540211141
coach |Coach |coach,2014100119,11403,69,0.006051039200210471
coach |Coach |coach,2014100118,10294,72,0.006994365649893142
coach |Coach |coach,2014100604,4638,0,0.0
coach |Coach |coach,2014100605,8675,4,4.610951008645533E-4
coach |Coach |coach,2014100700,5207,5,9.602458229306702E-4
coach |Coach |coach,2014100914,3191,11,0.0034471952366029457
coach |Coach |coach,2014100602,8176,1,1.223091976516634E-4
coach |Coach |coach,2014100915,1000,2,0.002
coach |Coach |coach,2014100603,9384,0,0.0
coach |Coach |coach,2014100912,2545,0,0.0
coach |Coach |coach,2014100608,13680,5,3.654970760233918E-4
coach |Coach |coach,2014100913,6771,2,2.953773445576724E-4
coach |Coach |coach,2014100609,13287,7,5.268307368104162E-4
coach |Coach |coach,2014100810,6053,4,6.608293408227325E-4
coach |Coach |coach,2014100606,4334,5,0.0011536686663590216
coach |Coach |coach,2014100607,6194,4,6.457862447529867E-4
coach |Coach |coach,2014100707,4802,5,0.0010412328196584756
coach |Coach |coach,2014100813,7061,13,0.001841098994476703
coach |Coach |coach,2014100708,5400,5,9.25925925925926E-4
coach |Coach |coach,2014100814,6011,1,1.6636167027116953E-4
coach |Coach |coach,2014100705,2740,0,0.0
coach |Coach |coach,2014100811,6604,5,7.571168988491823E-4
coach |Coach |coach,2014100706,3398,0,0.0
coach |Coach |coach,2014100812,5896,4,6.784260515603799E-4
coach |Coach |coach,2014100817,6743,5,7.415097137772505E-4
coach |Coach |coach,2014100600,15771,2,1.268150402637753E-4
coach |Coach |coach,2014100703,5792,1,1.7265193370165745E-4
coach |Coach |coach,2014100818,7400,6,8.108108108108108E-4
coach |Coach |coach,2014100601,8669,1,1.1535355865728458E-4
coach |Coach |coach,2014100704,3010,0,0.0
coach |Coach |coach,2014100815,5628,5,8.884150675195451E-4
coach |Coach |coach,2014100701,13455,0,0.0
coach |Coach |coach,2014100816,7857,6,7.636502481863307E-4
coach |Coach |coach,2014100702,8524,0,0.0
coach |Coach |coach,2014100509,9287,0,0.0
coach |Coach |coach,2014100508,6498,1,1.538935056940597E-4
coach |Coach |coach,2014100819,4300,7,0.0016279069767441861
coach |Coach |coach,2014100507,16911,1,5.913310862752055E-5
coach |Coach |coach,2014100403,6749,1,1.481700992739665E-4
coach |Coach |coach,2014100506,11836,1,8.448800270361608E-5
coach |Coach |coach,2014100402,6613,0,0.0
coach |Coach |coach,2014100505,6487,1,1.5415446277169725E-4
coach |Coach |coach,2014100401,4570,0,0.0
coach |Coach |coach,2014100504,3861,0,0.0
coach |Coach |coach,2014100400,5285,5,9.46073793755913E-4
coach |Coach |coach,2014100503,4540,2,4.405286343612335E-4
coach |Coach |coach,2014100709,5572,8,0.0014357501794687725
coach |Coach |coach,2014100407,7111,5,7.031359864997891E-4
coach |Coach |coach,2014100406,10763,3,2.78732695345164E-4
coach |Coach |coach,2014100501,6148,1,1.6265452179570593E-4
coach |Coach |coach,2014100405,10366,0,0.0
coach |Coach |coach,2014100500,11540,0,0.0
coach |Coach |coach,2014100404,3086,2,6.480881399870382E-4
coach |Coach |coach,2014100409,9932,5,5.034232782923883E-4
coach |Coach |coach,2014100408,10458,5,4.7810288774144193E-4
coach |Coach |coach,2014100903,4141,0,0.0
coach |Coach |coach,2014100613,12260,18,0.001468189233278956
coach |Coach |coach,2014100904,4854,0,0.0
coach |Coach |coach,2014100614,10247,14,0.0013662535376207671
coach |Coach |coach,2014100905,7777,1,1.2858428700012858E-4
coach |Coach |coach,2014100615,8801,9,0.0010226110669242132
coach |Coach |coach,2014100710,7431,4,5.382855604898399E-4
coach |Coach |coach,2014100906,3505,2,5.706134094151213E-4
coach |Coach |coach,2014100616,10833,92,0.008492569002123142
coach |Coach |coach,2014100711,13474,17,0.0012616891791598635
coach |Coach |coach,2014100617,11523,23,0.001996007984031936
coach |Coach |coach,2014100900,3864,0,0.0
coach |Coach |coach,2014100618,10834,13,0.001199926158390253
coach |Coach |coach,2014100901,3052,0,0.0
coach |Coach |coach,2014100619,10472,18,0.0017188693659281895
coach |Coach |coach,2014100902,4916,1,2.034174125305126E-4
coach |Coach |coach,2014100716,9756,12,0.0012300123001230013
coach |Coach |coach,2014100800,3418,2,5.851375073142189E-4
coach |Coach |coach,2014100717,12018,15,0.0012481278082875687
coach |Coach |coach,2014100801,4912,0,0.0
coach |Coach |coach,2014100718,9824,28,0.0028501628664495114
coach |Coach |coach,2014100802,4582,0,0.0
coach |Coach |coach,2014100719,8904,14,0.0015723270440251573
coach |Coach |coach,2014100803,4750,0,0.0
coach |Coach |coach,2014100712,10146,11,0.0010841711019120837
coach |Coach |coach,2014100804,8238,0,0.0
coach |Coach |coach,2014100610,8565,11,0.0012842965557501459
coach |Coach |coach,2014100713,7382,39,0.005283121105391492
coach |Coach |coach,2014100805,6904,0,0.0
coach |Coach |coach,2014100611,8676,18,0.002074688796680498
coach |Coach |coach,2014100714,9294,27,0.002905100064557779
coach |Coach |coach,2014100806,7696,1,1.2993762993762994E-4
coach |Coach |coach,2014100612,7761,12,0.0015461925009663702
coach |Coach |coach,2014100715,8494,19,0.00223687308688486
coach |Coach |coach,2014100807,6298,1,1.5878056525881233E-4
coach |Coach |coach,2014100519,13547,3,2.2145124381781945E-4
coach |Coach |coach,2014100809,5933,3,5.056463846283499E-4
coach |Coach |coach,2014100518,12589,3,2.3830328064183018E-4
coach |Coach |coach,2014100808,7916,5,6.316321374431531E-4
coach |Coach |coach,2014100410,8297,5,6.02627455706882E-4
coach |Coach |coach,2014100412,8252,5,6.059137178865729E-4
coach |Coach |coach,2014100515,6526,2,3.0646644192460924E-4
coach |Coach |coach,2014100411,8736,9,0.0010302197802197802
coach |Coach |coach,2014100514,7337,2,2.725909772386534E-4
coach |Coach |coach,2014100414,8029,4,4.981940465811433E-4
coach |Coach |coach,2014100517,16635,2,1.2022843402464683E-4
coach |Coach |coach,2014100413,7649,2,2.6147208785462153E-4
coach |Coach |coach,2014100516,7164,5,6.979341150195422E-4
coach |Coach |coach,2014100416,8535,3,3.51493848857645E-4
coach |Coach |coach,2014100511,8203,13,0.001584786053882726
coach |Coach |coach,2014100415,9288,1,1.0766580534022394E-4
coach |Coach |coach,2014100510,7389,5,6.766815536608473E-4
coach |Coach |coach,2014100418,8794,4,4.5485558335228563E-4
coach |Coach |coach,2014100513,8653,4,4.6226742170345545E-4
coach |Coach |coach,2014100417,9001,2,2.2219753360737697E-4
coach |Coach |coach,2014100512,7658,2,2.6116479498563595E-4
coach |Coach |coach,2014100908,14247,4,2.807608619358461E-4
coach |Coach |coach,2014100907,7751,4,5.160624435556702E-4
coach |Coach |coach,2014100419,8630,5,5.793742757821553E-4
coach |Coach |coach,2014100909,1000,0,0.0
coach |Coach |coach,2014100721,11447,12,0.0010483096007687603
coach |Coach |coach,2014100722,8294,14,0.0016879672052085846
coach |Coach |coach,2014100720,10198,13,0.0012747597568150619
coach |Coach |coach,2014100723,5300,3,5.660377358490566E-4
coach |Coach |coach,2014100520,14801,5,3.3781501249915546E-4
coach |Coach |coach,2014100523,12605,4,3.1733439111463705E-4
coach |Coach |coach,2014100522,10915,8,7.329363261566652E-4
coach |Coach |coach,2014100521,14363,4,2.7849335097124555E-4
coach |Coach |coach,2014100623,8800,5,5.681818181818182E-4
coach |Coach |coach,2014100622,9000,5,5.555555555555556E-4
coach |Coach |coach,2014100621,9007,8,8.881980681692017E-4
coach |Coach |coach,2014100620,8998,9,0.0010002222716159147
coach |Coach |coach,2014093011,9741,4,4.106354583718304E-4
coach |Coach |coach,2014093012,11191,5,4.4678759717630236E-4
coach |Coach |coach,2014093013,5267,3,5.69584203531422E-4
coach |Coach |coach,2014093017,3899,3,7.694280584765325E-4
coach |Coach |coach,2014093018,99,0,0.0
coach |Coach |coach,2014093019,8564,12,0.0014012143858010276
