day |days |day,2014100223,8580,147,0.017132867132867134
day |days |day,2014100222,12009,184,0.015321841951869431
day |days |day,2014100221,14828,189,0.012746155921230105
day |days |day,2014100220,15090,213,0.01411530815109344
day |days |day,2014093023,7216,85,0.011779379157427938
day |days |day,2014093020,2478,44,0.01775625504439064
day |days |day,2014093022,2524,32,0.012678288431061807
day |days |day,2014093021,2547,42,0.016489988221436984
day |days |day,2014100321,9080,164,0.018061674008810574
day |days |day,2014100322,8671,160,0.018452312305385767
day |days |day,2014100320,9381,172,0.018334932309988273
day |days |day,2014100323,6929,178,0.02568913263097128
day |days |day,2014100123,8836,126,0.014259846084200997
day |days |day,2014100122,10378,171,0.016477163229909424
day |days |day,2014100121,12311,207,0.01681423117537162
day |days |day,2014100200,11724,103,0.008785397475264415
day |days |day,2014100201,6861,104,0.015158140212796968
day |days |day,2014100309,9997,303,0.030309092727818347
day |days |day,2014100307,6926,310,0.04475887958417557
day |days |day,2014100204,8387,80,0.009538571598903063
day |days |day,2014100308,8532,334,0.03914674167838725
day |days |day,2014100205,14882,1308,0.0878914124445639
day |days |day,2014100305,3838,410,0.1068264721208963
day |days |day,2014100202,5853,62,0.010592858363232531
day |days |day,2014100306,5526,333,0.06026058631921824
day |days |day,2014100203,5613,64,0.011402102262604668
day |days |day,2014100303,5043,863,0.17112829664882015
day |days |day,2014100208,9640,348,0.03609958506224066
day |days |day,2014100304,4725,477,0.10095238095238095
day |days |day,2014100209,12321,262,0.021264507750994237
day |days |day,2014100301,4480,100,0.022321428571428572
day |days |day,2014100206,9203,1236,0.13430403129414323
day |days |day,2014100302,8095,3968,0.49017912291537985
day |days |day,2014100207,9445,449,0.04753838009528851
day |days |day,2014100300,6707,119,0.01774265692560012
day |days |day,2014100106,45483,548,0.012048457665501396
day |days |day,2014100105,7742,224,0.028933092224231464
day |days |day,2014100104,8731,532,0.06093231015920284
day |days |day,2014100103,1127,2,0.001774622892635315
day |days |day,2014100102,2940,23,0.007823129251700681
