abbott |Abbott,2014100223,8580,107,0.012470862470862472
abbott |Abbott,2014100222,12009,73,0.006078774252643851
abbott |Abbott,2014100221,14828,77,0.0051928783382789315
abbott |Abbott,2014100220,15090,191,0.01265738899933731
abbott |Abbott,2014093023,7216,2,2.771618625277162E-4
abbott |Abbott,2014093020,2478,9,0.0036319612590799033
abbott |Abbott,2014093022,2524,6,0.002377179080824089
abbott |Abbott,2014093021,2547,1,3.9261876717707107E-4
abbott |Abbott,2014100321,9080,36,0.003964757709251102
abbott |Abbott,2014100322,8671,32,0.0036904624610771537
abbott |Abbott,2014100320,9381,25,0.002664961091568063
abbott |Abbott,2014100323,6929,16,0.0023091355173906767
abbott |Abbott,2014100123,8836,23,0.002602987777274785
abbott |Abbott,2014100122,10378,33,0.0031798034303333975
abbott |Abbott,2014100121,12311,42,0.003411583137031923
abbott |Abbott,2014100200,11724,6,5.117707267144319E-4
abbott |Abbott,2014100201,6861,5,7.287567409998542E-4
abbott |Abbott,2014100309,9997,59,0.005901770531159348
abbott |Abbott,2014100307,6926,59,0.008518625469246319
abbott |Abbott,2014100204,8387,3,3.576964349588649E-4
abbott |Abbott,2014100308,8532,93,0.01090014064697609
abbott |Abbott,2014100205,14882,4,2.6878107781212203E-4
abbott |Abbott,2014100305,3838,10,0.0026055237102657635
abbott |Abbott,2014100202,5853,3,5.125576627370579E-4
abbott |Abbott,2014100306,5526,19,0.003438291711907347
abbott |Abbott,2014100203,5613,0,0.0
abbott |Abbott,2014100303,5043,1,1.98294665873488E-4
abbott |Abbott,2014100208,9640,62,0.006431535269709543
abbott |Abbott,2014100304,4725,2,4.232804232804233E-4
abbott |Abbott,2014100209,12321,26,0.0021102183264345427
abbott |Abbott,2014100301,4480,15,0.0033482142857142855
abbott |Abbott,2014100206,9203,23,0.0024991850483537977
abbott |Abbott,2014100302,8095,5,6.176652254478073E-4
abbott |Abbott,2014100207,9445,40,0.004235044997353097
abbott |Abbott,2014100300,6707,23,0.0034292530192336365
abbott |Abbott,2014100106,45483,8,1.7588989292702768E-4
abbott |Abbott,2014100105,7742,0,0.0
abbott |Abbott,2014100104,8731,0,0.0
abbott |Abbott,2014100103,1127,0,0.0
abbott |Abbott,2014100102,2940,0,0.0
abbott |Abbott,2014100101,3598,1,2.7793218454697053E-4
abbott |Abbott,2014100100,1816,0,0.0
abbott |Abbott,2014100109,10999,12,0.0010910082734794072
abbott |Abbott,2014100108,14670,9,6.134969325153375E-4
abbott |Abbott,2014100107,32104,30,9.344629952653875E-4
abbott |Abbott,2014100210,10300,35,0.0033980582524271844
abbott |Abbott,2014100211,11008,27,0.0024527616279069768
abbott |Abbott,2014100212,11567,51,0.0044090948387654535
abbott |Abbott,2014100316,10537,23,0.0021827844737591345
abbott |Abbott,2014100213,10976,39,0.003553206997084548
abbott |Abbott,2014100317,9832,63,0.006407648494711147
abbott |Abbott,2014100214,12210,43,0.0035217035217035217
abbott |Abbott,2014100318,9075,39,0.004297520661157025
abbott |Abbott,2014100215,11832,31,0.0026200135226504394
abbott |Abbott,2014100319,8645,9,0.0010410641989589359
abbott |Abbott,2014100216,10725,16,0.0014918414918414918
abbott |Abbott,2014100312,10661,105,0.00984898227183191
abbott |Abbott,2014100217,9835,63,0.006405693950177936
abbott |Abbott,2014100313,9887,61,0.006169717811267321
abbott |Abbott,2014100218,9907,68,0.006863833652972645
abbott |Abbott,2014100314,9820,46,0.004684317718940937
abbott |Abbott,2014100219,11100,60,0.005405405405405406
abbott |Abbott,2014100420,8163,24,0.002940095553105476
abbott |Abbott,2014100315,10271,54,0.00525752117612696
abbott |Abbott,2014100120,12122,71,0.005857119287246329
abbott |Abbott,2014100421,8099,18,0.0022224966045190763
abbott |Abbott,2014100422,8432,14,0.0016603415559772296
abbott |Abbott,2014100423,6306,14,0.0022201078338090706
