crime |Crime |crime |crimes,2014100223,8580,6,6.993006993006993E-4
crime |Crime |crime |crimes,2014100222,12009,9,7.494379215588309E-4
crime |Crime |crime |crimes,2014100221,14828,5,3.371998920960345E-4
crime |Crime |crime |crimes,2014100220,15090,7,4.6388336646785953E-4
crime |Crime |crime |crimes,2014093023,7216,4,5.543237250554324E-4
crime |Crime |crime |crimes,2014093020,2478,7,0.002824858757062147
crime |Crime |crime |crimes,2014093022,2524,1,3.961965134706815E-4
crime |Crime |crime |crimes,2014093021,2547,1,3.9261876717707107E-4
crime |Crime |crime |crimes,2014100321,9080,1,1.1013215859030837E-4
crime |Crime |crime |crimes,2014100322,8671,4,4.613078076346442E-4
crime |Crime |crime |crimes,2014100320,9381,6,6.395906619763352E-4
crime |Crime |crime |crimes,2014100323,6929,1,1.443209698369173E-4
crime |Crime |crime |crimes,2014100123,8836,1,1.1317338162064282E-4
crime |Crime |crime |crimes,2014100122,10378,2,1.927153594141453E-4
crime |Crime |crime |crimes,2014100121,12311,5,4.061408496466575E-4
crime |Crime |crime |crimes,2014100200,11724,2,1.70590242238144E-4
crime |Crime |crime |crimes,2014100201,6861,0,0.0
crime |Crime |crime |crimes,2014100309,9997,8,8.002400720216065E-4
crime |Crime |crime |crimes,2014100307,6926,4,5.775339301183945E-4
crime |Crime |crime |crimes,2014100204,8387,1,1.192321449862883E-4
crime |Crime |crime |crimes,2014100308,8532,8,9.376465072667605E-4
crime |Crime |crime |crimes,2014100205,14882,1,6.719526945303051E-5
crime |Crime |crime |crimes,2014100305,3838,3,7.81657113079729E-4
crime |Crime |crime |crimes,2014100202,5853,2,3.4170510849137196E-4
crime |Crime |crime |crimes,2014100306,5526,0,0.0
crime |Crime |crime |crimes,2014100203,5613,0,0.0
crime |Crime |crime |crimes,2014100303,5043,2,3.96589331746976E-4
crime |Crime |crime |crimes,2014100208,9640,3,3.1120331950207467E-4
crime |Crime |crime |crimes,2014100304,4725,2,4.232804232804233E-4
crime |Crime |crime |crimes,2014100209,12321,6,4.869734599464329E-4
crime |Crime |crime |crimes,2014100301,4480,4,8.928571428571428E-4
crime |Crime |crime |crimes,2014100206,9203,2,2.1732043898728675E-4
crime |Crime |crime |crimes,2014100302,8095,2,2.470660901791229E-4
crime |Crime |crime |crimes,2014100207,9445,4,4.2350449973530967E-4
crime |Crime |crime |crimes,2014100300,6707,6,8.945877441479052E-4
crime |Crime |crime |crimes,2014100106,45483,0,0.0
crime |Crime |crime |crimes,2014100105,7742,1,1.291655902867476E-4
crime |Crime |crime |crimes,2014100104,8731,3,3.436032527774596E-4
crime |Crime |crime |crimes,2014100103,1127,0,0.0
crime |Crime |crime |crimes,2014100102,2940,0,0.0
crime |Crime |crime |crimes,2014100101,3598,1,2.7793218454697053E-4
crime |Crime |crime |crimes,2014100100,1816,2,0.0011013215859030838
crime |Crime |crime |crimes,2014100109,10999,17,0.0015455950540958269
crime |Crime |crime |crimes,2014100108,14670,4,2.7266530334015E-4
crime |Crime |crime |crimes,2014100107,32104,5,1.5574383254423124E-4
crime |Crime |crime |crimes,2014100210,10300,5,4.854368932038835E-4
crime |Crime |crime |crimes,2014100211,11008,6,5.450581395348837E-4
crime |Crime |crime |crimes,2014100212,11567,8,6.916227198063456E-4
crime |Crime |crime |crimes,2014100316,10537,5,4.745183638606814E-4
crime |Crime |crime |crimes,2014100213,10976,15,0.0013666180758017492
crime |Crime |crime |crimes,2014100317,9832,5,5.085435313262816E-4
crime |Crime |crime |crimes,2014100214,12210,8,6.552006552006552E-4
crime |Crime |crime |crimes,2014100318,9075,6,6.611570247933885E-4
crime |Crime |crime |crimes,2014100215,11832,7,5.916159567275186E-4
crime |Crime |crime |crimes,2014100319,8645,6,6.940427993059572E-4
crime |Crime |crime |crimes,2014100216,10725,2,1.8648018648018648E-4
crime |Crime |crime |crimes,2014100312,10661,2,1.8759966232060783E-4
crime |Crime |crime |crimes,2014100217,9835,3,3.050330452465684E-4
crime |Crime |crime |crimes,2014100313,9887,6,6.068574896328512E-4
crime |Crime |crime |crimes,2014100218,9907,4,4.037549207630968E-4
crime |Crime |crime |crimes,2014100314,9820,2,2.0366598778004074E-4
crime |Crime |crime |crimes,2014100219,11100,3,2.702702702702703E-4
crime |Crime |crime |crimes,2014100420,8163,2,2.450079627587897E-4
crime |Crime |crime |crimes,2014100315,10271,7,6.815305228312725E-4
crime |Crime |crime |crimes,2014100120,12122,10,8.249463784853984E-4
crime |Crime |crime |crimes,2014100421,8099,7,8.64304235090752E-4
crime |Crime |crime |crimes,2014100422,8432,2,2.3719165085388995E-4
crime |Crime |crime |crimes,2014100423,6306,2,3.171582619727244E-4
crime |Crime |crime |crimes,2014100310,10343,10,9.668374746205163E-4
crime |Crime |crime |crimes,2014100311,11400,3,2.631578947368421E-4
crime |Crime |crime |crimes,2014100115,14152,5,3.5330695308083665E-4
crime |Crime |crime |crimes,2014100114,11535,4,3.4677069787602947E-4
crime |Crime |crime |crimes,2014100117,11365,5,4.399472063352398E-4
crime |Crime |crime |crimes,2014100116,10904,5,4.58547322083639E-4
crime |Crime |crime |crimes,2014100111,9571,7,7.313760317626162E-4
crime |Crime |crime |crimes,2014100110,9126,12,0.0013149243918474688
crime |Crime |crime |crimes,2014100823,5727,4,6.984459577440195E-4
crime |Crime |crime |crimes,2014100113,11543,7,6.064281382656155E-4
crime |Crime |crime |crimes,2014100822,900,0,0.0
crime |Crime |crime |crimes,2014100112,11651,1,8.582954252853832E-5
crime |Crime |crime |crimes,2014100119,11403,25,0.0021924055073226346
crime |Crime |crime |crimes,2014100118,10294,30,0.002914319020788809
crime |Crime |crime |crimes,2014100604,4638,2,4.3122035360068997E-4
crime |Crime |crime |crimes,2014100605,8675,3,3.45821325648415E-4
crime |Crime |crime |crimes,2014100700,5207,2,3.840983291722681E-4
crime |Crime |crime |crimes,2014100914,3191,0,0.0
crime |Crime |crime |crimes,2014100602,8176,5,6.11545988258317E-4
crime |Crime |crime |crimes,2014100915,1000,3,0.003
crime |Crime |crime |crimes,2014100603,9384,2,2.1312872975277067E-4
crime |Crime |crime |crimes,2014100912,2545,0,0.0
crime |Crime |crime |crimes,2014100608,13680,2,1.4619883040935673E-4
crime |Crime |crime |crimes,2014100913,6771,1,1.476886722788362E-4
crime |Crime |crime |crimes,2014100609,13287,1,7.526153383005946E-5
crime |Crime |crime |crimes,2014100810,6053,4,6.608293408227325E-4
crime |Crime |crime |crimes,2014100606,4334,2,4.6146746654360867E-4
crime |Crime |crime |crimes,2014100607,6194,2,3.2289312237649337E-4
crime |Crime |crime |crimes,2014100707,4802,5,0.0010412328196584756
crime |Crime |crime |crimes,2014100813,7061,3,4.24868998725393E-4
crime |Crime |crime |crimes,2014100708,5400,3,5.555555555555556E-4
crime |Crime |crime |crimes,2014100814,6011,3,4.990850108135085E-4
crime |Crime |crime |crimes,2014100705,2740,0,0.0
crime |Crime |crime |crimes,2014100811,6604,8,0.0012113870381586917
crime |Crime |crime |crimes,2014100706,3398,1,2.942907592701589E-4
crime |Crime |crime |crimes,2014100812,5896,6,0.0010176390773405698
crime |Crime |crime |crimes,2014100817,6743,3,4.449058282663503E-4
crime |Crime |crime |crimes,2014100600,15771,3,1.9022256039566293E-4
crime |Crime |crime |crimes,2014100703,5792,2,3.453038674033149E-4
crime |Crime |crime |crimes,2014100818,7400,1,1.3513513513513514E-4
crime |Crime |crime |crimes,2014100601,8669,1,1.1535355865728458E-4
