hospital |hospital |hospitals,2014100223,8580,4,4.662004662004662E-4
hospital |hospital |hospitals,2014100222,12009,6,4.996252810392206E-4
hospital |hospital |hospitals,2014100221,14828,8,5.395198273536552E-4
hospital |hospital |hospitals,2014100220,15090,13,8.614976805831676E-4
hospital |hospital |hospitals,2014093023,7216,5,6.929046563192905E-4
hospital |hospital |hospitals,2014093020,2478,4,0.0016142050040355124
hospital |hospital |hospitals,2014093022,2524,3,0.0011885895404120444
hospital |hospital |hospitals,2014093021,2547,2,7.852375343541421E-4
hospital |hospital |hospitals,2014100321,9080,3,3.303964757709251E-4
hospital |hospital |hospitals,2014100322,8671,10,0.0011532695190866105
hospital |hospital |hospitals,2014100320,9381,7,7.461891056390577E-4
hospital |hospital |hospitals,2014100323,6929,6,8.659258190215039E-4
hospital |hospital |hospitals,2014100123,8836,2,2.2634676324128565E-4
hospital |hospital |hospitals,2014100122,10378,4,3.854307188282906E-4
hospital |hospital |hospitals,2014100121,12311,8,6.498253594346519E-4
hospital |hospital |hospitals,2014100200,11724,3,2.5588536335721597E-4
hospital |hospital |hospitals,2014100201,6861,5,7.287567409998542E-4
hospital |hospital |hospitals,2014100309,9997,5,5.001500450135041E-4
hospital |hospital |hospitals,2014100307,6926,3,4.331504475887958E-4
hospital |hospital |hospitals,2014100204,8387,3,3.576964349588649E-4
hospital |hospital |hospitals,2014100308,8532,7,8.204406938584154E-4
hospital |hospital |hospitals,2014100205,14882,12,8.063432334363661E-4
hospital |hospital |hospitals,2014100305,3838,0,0.0
hospital |hospital |hospitals,2014100202,5853,9,0.0015376729882111738
hospital |hospital |hospitals,2014100306,5526,3,5.428881650380022E-4
hospital |hospital |hospitals,2014100203,5613,2,3.563156957063959E-4
hospital |hospital |hospitals,2014100303,5043,0,0.0
hospital |hospital |hospitals,2014100208,9640,8,8.298755186721991E-4
hospital |hospital |hospitals,2014100304,4725,3,6.349206349206349E-4
hospital |hospital |hospitals,2014100209,12321,7,5.681357032708384E-4
hospital |hospital |hospitals,2014100301,4480,0,0.0
hospital |hospital |hospitals,2014100206,9203,6,6.519613169618602E-4
hospital |hospital |hospitals,2014100302,8095,1,1.2353304508956145E-4
hospital |hospital |hospitals,2014100207,9445,4,4.2350449973530967E-4
hospital |hospital |hospitals,2014100300,6707,3,4.472938720739526E-4
hospital |hospital |hospitals,2014100106,45483,31,6.815733350922323E-4
hospital |hospital |hospitals,2014100105,7742,0,0.0
hospital |hospital |hospitals,2014100104,8731,1,1.1453441759248655E-4
hospital |hospital |hospitals,2014100103,1127,0,0.0
hospital |hospital |hospitals,2014100102,2940,3,0.0010204081632653062
hospital |hospital |hospitals,2014100101,3598,1,2.7793218454697053E-4
hospital |hospital |hospitals,2014100100,1816,1,5.506607929515419E-4
hospital |hospital |hospitals,2014100109,10999,3,2.727520683698518E-4
hospital |hospital |hospitals,2014100108,14670,14,9.543285616905249E-4
hospital |hospital |hospitals,2014100107,32104,21,6.541240966857712E-4
hospital |hospital |hospitals,2014100210,10300,14,0.0013592233009708738
hospital |hospital |hospitals,2014100211,11008,1,9.084302325581395E-5
hospital |hospital |hospitals,2014100212,11567,5,4.3226419987896605E-4
hospital |hospital |hospitals,2014100316,10537,4,3.7961469108854513E-4
hospital |hospital |hospitals,2014100213,10976,7,6.377551020408163E-4
hospital |hospital |hospitals,2014100317,9832,7,7.119609438567941E-4
hospital |hospital |hospitals,2014100214,12210,3,2.457002457002457E-4
hospital |hospital |hospitals,2014100318,9075,5,5.509641873278236E-4
hospital |hospital |hospitals,2014100215,11832,3,2.535496957403651E-4
hospital |hospital |hospitals,2014100319,8645,10,0.001156737998843262
hospital |hospital |hospitals,2014100216,10725,12,0.0011188811188811189
hospital |hospital |hospitals,2014100312,10661,13,0.0012193978050839508
hospital |hospital |hospitals,2014100217,9835,5,5.083884087442806E-4
hospital |hospital |hospitals,2014100313,9887,3,3.034287448164256E-4
hospital |hospital |hospitals,2014100218,9907,4,4.037549207630968E-4
hospital |hospital |hospitals,2014100314,9820,6,6.109979633401223E-4
hospital |hospital |hospitals,2014100219,11100,5,4.5045045045045046E-4
hospital |hospital |hospitals,2014100420,8163,2,2.450079627587897E-4
hospital |hospital |hospitals,2014100315,10271,5,4.868075163080518E-4
hospital |hospital |hospitals,2014100120,12122,9,7.424517406368586E-4
hospital |hospital |hospitals,2014100421,8099,3,3.704161007531794E-4
hospital |hospital |hospitals,2014100422,8432,3,3.557874762808349E-4
hospital |hospital |hospitals,2014100423,6306,3,4.757373929590866E-4
hospital |hospital |hospitals,2014100310,10343,4,3.867349898482065E-4
hospital |hospital |hospitals,2014100311,11400,8,7.017543859649122E-4
hospital |hospital |hospitals,2014100115,14152,8,5.652911249293386E-4
hospital |hospital |hospitals,2014100114,11535,7,6.068487212830516E-4
hospital |hospital |hospitals,2014100117,11365,3,2.639683238011439E-4
hospital |hospital |hospitals,2014100116,10904,6,5.502567865003668E-4
hospital |hospital |hospitals,2014100111,9571,15,0.0015672343537770348
hospital |hospital |hospitals,2014100110,9126,10,0.0010957703265395574
hospital |hospital |hospitals,2014100823,5727,6,0.0010476689366160294
hospital |hospital |hospitals,2014100113,11543,24,0.002079182188339253
hospital |hospital |hospitals,2014100822,900,0,0.0
hospital |hospital |hospitals,2014100112,11651,15,0.0012874431379280749
hospital |hospital |hospitals,2014100119,11403,19,0.0016662281855652022
hospital |hospital |hospitals,2014100118,10294,2,1.9428793471925395E-4
hospital |hospital |hospitals,2014100604,4638,4,8.624407072013799E-4
hospital |hospital |hospitals,2014100605,8675,3,3.45821325648415E-4
hospital |hospital |hospitals,2014100700,5207,3,5.761474937584022E-4
hospital |hospital |hospitals,2014100914,3191,1,3.1338138514572234E-4
hospital |hospital |hospitals,2014100602,8176,6,7.338551859099804E-4
hospital |hospital |hospitals,2014100915,1000,0,0.0
hospital |hospital |hospitals,2014100603,9384,1,1.0656436487638534E-4
hospital |hospital |hospitals,2014100912,2545,5,0.0019646365422396855
hospital |hospital |hospitals,2014100608,13680,6,4.385964912280702E-4
hospital |hospital |hospitals,2014100913,6771,10,0.001476886722788362
hospital |hospital |hospitals,2014100609,13287,10,7.526153383005946E-4
hospital |hospital |hospitals,2014100810,6053,0,0.0
hospital |hospital |hospitals,2014100606,4334,0,0.0
hospital |hospital |hospitals,2014100607,6194,3,4.8433968356474005E-4
hospital |hospital |hospitals,2014100707,4802,7,0.0014577259475218659
hospital |hospital |hospitals,2014100813,7061,1,1.41622999575131E-4
hospital |hospital |hospitals,2014100708,5400,2,3.7037037037037035E-4
hospital |hospital |hospitals,2014100814,6011,2,3.3272334054233906E-4
hospital |hospital |hospitals,2014100705,2740,1,3.64963503649635E-4
hospital |hospital |hospitals,2014100811,6604,18,0.0027256208358570565
hospital |hospital |hospitals,2014100706,3398,0,0.0
hospital |hospital |hospitals,2014100812,5896,6,0.0010176390773405698
hospital |hospital |hospitals,2014100817,6743,3,4.449058282663503E-4
hospital |hospital |hospitals,2014100600,15771,4,2.536300805275506E-4
hospital |hospital |hospitals,2014100703,5792,1,1.7265193370165745E-4
hospital |hospital |hospitals,2014100818,7400,8,0.001081081081081081
hospital |hospital |hospitals,2014100601,8669,4,4.614142346291383E-4
hospital |hospital |hospitals,2014100704,3010,0,0.0
hospital |hospital |hospitals,2014100815,5628,1,1.7768301350390902E-4
hospital |hospital |hospitals,2014100701,13455,0,0.0
hospital |hospital |hospitals,2014100816,7857,1,1.2727504136438844E-4
hospital |hospital |hospitals,2014100702,8524,8,9.385265133740028E-4
hospital |hospital |hospitals,2014100509,9287,9,9.690965866264671E-4
hospital |hospital |hospitals,2014100508,6498,6,9.233610341643582E-4
hospital |hospital |hospitals,2014100819,4300,3,6.976744186046512E-4
hospital |hospital |hospitals,2014100507,16911,1,5.913310862752055E-5
hospital |hospital |hospitals,2014100403,6749,2,2.96340198547933E-4
hospital |hospital |hospitals,2014100506,11836,7,5.914160189253126E-4
hospital |hospital |hospitals,2014100402,6613,0,0.0
hospital |hospital |hospitals,2014100505,6487,1,1.5415446277169725E-4
hospital |hospital |hospitals,2014100401,4570,1,2.188183807439825E-4
hospital |hospital |hospitals,2014100504,3861,5,0.001295001295001295
hospital |hospital |hospitals,2014100400,5285,1,1.892147587511826E-4
hospital |hospital |hospitals,2014100503,4540,4,8.81057268722467E-4
hospital |hospital |hospitals,2014100709,5572,7,0.001256281407035176
hospital |hospital |hospitals,2014100407,7111,0,0.0
hospital |hospital |hospitals,2014100406,10763,2,1.85821796896776E-4
hospital |hospital |hospitals,2014100501,6148,4,6.506180871828237E-4
hospital |hospital |hospitals,2014100405,10366,0,0.0
hospital |hospital |hospitals,2014100500,11540,2,1.733102253032929E-4
hospital |hospital |hospitals,2014100404,3086,0,0.0
hospital |hospital |hospitals,2014100409,9932,7,7.047925896093435E-4
hospital |hospital |hospitals,2014100408,10458,5,4.7810288774144193E-4
hospital |hospital |hospitals,2014100903,4141,2,4.829751267809708E-4
hospital |hospital |hospitals,2014100613,12260,3,2.4469820554649265E-4
hospital |hospital |hospitals,2014100904,4854,1,2.0601565718994644E-4
hospital |hospital |hospitals,2014100614,10247,4,3.9035815360593347E-4
hospital |hospital |hospitals,2014100905,7777,2,2.5716857400025716E-4
