player |player |players |Players,2014100223,8580,19,0.0022144522144522147
player |player |players |Players,2014100222,12009,79,0.006578399533683071
player |player |players |Players,2014100221,14828,120,0.008092797410304829
player |player |players |Players,2014100220,15090,69,0.0045725646123260435
player |player |players |Players,2014093023,7216,76,0.010532150776053215
player |player |players |Players,2014093020,2478,13,0.005246166263115416
player |player |players |Players,2014093022,2524,28,0.011093502377179081
player |player |players |Players,2014093021,2547,5,0.0019630938358853552
player |player |players |Players,2014100321,9080,35,0.003854625550660793
player |player |players |Players,2014100322,8671,147,0.016953061930573176
player |player |players |Players,2014100320,9381,70,0.007461891056390577
player |player |players |Players,2014100323,6929,67,0.00966950497907346
player |player |players |Players,2014100123,8836,152,0.017202354006337708
player |player |players |Players,2014100122,10378,190,0.018307959144343803
player |player |players |Players,2014100121,12311,192,0.015595808626431647
player |player |players |Players,2014100200,11724,118,0.010064824292050495
player |player |players |Players,2014100201,6861,121,0.017635913132196472
player |player |players |Players,2014100309,9997,23,0.0023006902070621185
player |player |players |Players,2014100307,6926,18,0.0025989026855327752
player |player |players |Players,2014100204,8387,40,0.004769285799451532
player |player |players |Players,2014100308,8532,20,0.0023441162681669013
player |player |players |Players,2014100205,14882,59,0.0039645208977288
player |player |players |Players,2014100305,3838,7,0.0018238665971860343
player |player |players |Players,2014100202,5853,184,0.03143686998120622
player |player |players |Players,2014100306,5526,10,0.0018096272167933405
player |player |players |Players,2014100203,5613,74,0.013183680741136647
player |player |players |Players,2014100303,5043,6,0.001189767995240928
player |player |players |Players,2014100208,9640,75,0.007780082987551867
player |player |players |Players,2014100304,4725,7,0.0014814814814814814
player |player |players |Players,2014100209,12321,54,0.004382761139517896
player |player |players |Players,2014100301,4480,17,0.003794642857142857
player |player |players |Players,2014100206,9203,50,0.005433010974682169
player |player |players |Players,2014100302,8095,15,0.0018529956763434219
player |player |players |Players,2014100207,9445,67,0.0070937003705664374
player |player |players |Players,2014100300,6707,27,0.004025644848665574
player |player |players |Players,2014100106,45483,711,0.015632214233889587
player |player |players |Players,2014100105,7742,1153,0.14892792560062
player |player |players |Players,2014100104,8731,39,0.004466842286106975
player |player |players |Players,2014100103,1127,5,0.0044365572315882874
player |player |players |Players,2014100102,2940,9,0.003061224489795918
player |player |players |Players,2014100101,3598,34,0.009449694274596998
player |player |players |Players,2014100100,1816,11,0.006057268722466961
player |player |players |Players,2014100109,10999,186,0.016910628238930813
player |player |players |Players,2014100108,14670,365,0.024880708929788685
player |player |players |Players,2014100107,32104,768,0.02392225267879392
player |player |players |Players,2014100210,10300,114,0.011067961165048544
player |player |players |Players,2014100211,11008,53,0.004814680232558139
player |player |players |Players,2014100212,11567,115,0.009942076597216219
player |player |players |Players,2014100316,10537,21,0.001992977128214862
player |player |players |Players,2014100213,10976,198,0.018039358600583092
player |player |players |Players,2014100317,9832,32,0.0032546786004882017
player |player |players |Players,2014100214,12210,66,0.005405405405405406
player |player |players |Players,2014100318,9075,41,0.004517906336088154
player |player |players |Players,2014100215,11832,32,0.002704530087897228
player |player |players |Players,2014100319,8645,29,0.00335454019664546
player |player |players |Players,2014100216,10725,57,0.005314685314685315
player |player |players |Players,2014100312,10661,19,0.0017821967920457742
player |player |players |Players,2014100217,9835,33,0.003355363497712252
player |player |players |Players,2014100313,9887,48,0.00485485991706281
player |player |players |Players,2014100218,9907,50,0.00504693650953871
player |player |players |Players,2014100314,9820,52,0.005295315682281059
player |player |players |Players,2014100219,11100,54,0.004864864864864865
player |player |players |Players,2014100420,8163,46,0.005635183143452162
player |player |players |Players,2014100315,10271,23,0.0022393145750170384
player |player |players |Players,2014100120,12122,139,0.01146675466094704
player |player |players |Players,2014100421,8099,52,0.006420545746388443
player |player |players |Players,2014100422,8432,23,0.002727703984819734
player |player |players |Players,2014100423,6306,12,0.0019029495718363464
player |player |players |Players,2014100310,10343,37,0.0035772986560959103
player |player |players |Players,2014100311,11400,26,0.0022807017543859647
player |player |players |Players,2014100115,14152,134,0.009468626342566422
player |player |players |Players,2014100114,11535,68,0.005895101863892501
player |player |players |Players,2014100117,11365,237,0.020853497580290366
player |player |players |Players,2014100116,10904,221,0.020267791636096846
player |player |players |Players,2014100111,9571,56,0.00585100825410093
player |player |players |Players,2014100110,9126,83,0.009094893710278325
player |player |players |Players,2014100823,5727,19,0.0033176182992840928
player |player |players |Players,2014100113,11543,64,0.005544485835571342
player |player |players |Players,2014100822,900,4,0.0044444444444444444
player |player |players |Players,2014100112,11651,54,0.004634795296541069
player |player |players |Players,2014100119,11403,145,0.01271595194247128
player |player |players |Players,2014100118,10294,138,0.013405867495628521
player |player |players |Players,2014100604,4638,4,8.624407072013799E-4
player |player |players |Players,2014100605,8675,9,0.001037463976945245
player |player |players |Players,2014100700,5207,12,0.0023045899750336087
player |player |players |Players,2014100914,3191,41,0.012848636790974616
player |player |players |Players,2014100602,8176,24,0.0029354207436399216
player |player |players |Players,2014100915,1000,10,0.01
player |player |players |Players,2014100603,9384,9,9.590792838874681E-4
player |player |players |Players,2014100912,2545,8,0.003143418467583497
player |player |players |Players,2014100608,13680,11,8.04093567251462E-4
player |player |players |Players,2014100913,6771,21,0.0031014621178555605
player |player |players |Players,2014100609,13287,13,9.78399939790773E-4
player |player |players |Players,2014100810,6053,30,0.004956220056170494
player |player |players |Players,2014100606,4334,3,6.922011998154131E-4
player |player |players |Players,2014100607,6194,4,6.457862447529867E-4
player |player |players |Players,2014100707,4802,10,0.0020824656393169513
player |player |players |Players,2014100813,7061,41,0.005806542982580371
player |player |players |Players,2014100708,5400,13,0.0024074074074074076
player |player |players |Players,2014100814,6011,38,0.0063217434703044416
player |player |players |Players,2014100705,2740,3,0.0010948905109489052
player |player |players |Players,2014100811,6604,22,0.003331314354936402
player |player |players |Players,2014100706,3398,4,0.0011771630370806356
player |player |players |Players,2014100812,5896,58,0.00983717774762551
player |player |players |Players,2014100817,6743,19,0.002817736912353552
player |player |players |Players,2014100600,15771,22,0.0013949654429015281
player |player |players |Players,2014100703,5792,1,1.7265193370165745E-4
player |player |players |Players,2014100818,7400,29,0.003918918918918919
player |player |players |Players,2014100601,8669,40,0.0046141423462913835
player |player |players |Players,2014100704,3010,3,9.966777408637873E-4
player |player |players |Players,2014100815,5628,41,0.00728500355366027
player |player |players |Players,2014100701,13455,3,2.229654403567447E-4
player |player |players |Players,2014100816,7857,17,0.0021636757031946036
player |player |players |Players,2014100702,8524,1,1.1731581417175035E-4
player |player |players |Players,2014100509,9287,16,0.0017228383762248303
player |player |players |Players,2014100508,6498,9,0.0013850415512465374
player |player |players |Players,2014100819,4300,22,0.0051162790697674414
player |player |players |Players,2014100507,16911,12,7.095973035302466E-4
player |player |players |Players,2014100403,6749,7,0.0010371906949177656
player |player |players |Players,2014100506,11836,47,0.003970936127069956
player |player |players |Players,2014100402,6613,17,0.002570694087403599
player |player |players |Players,2014100505,6487,6,9.249267766301834E-4
player |player |players |Players,2014100401,4570,11,0.0024070021881838076
player |player |players |Players,2014100504,3861,6,0.001554001554001554
player |player |players |Players,2014100400,5285,28,0.005298013245033113
player |player |players |Players,2014100503,4540,13,0.0028634361233480176
player |player |players |Players,2014100709,5572,27,0.004845656855707107
player |player |players |Players,2014100407,7111,14,0.0019687807621994093
player |player |players |Players,2014100406,10763,6,5.57465390690328E-4
player |player |players |Players,2014100501,6148,15,0.002439817826935589
player |player |players |Players,2014100405,10366,3,2.894076789504148E-4
player |player |players |Players,2014100500,11540,17,0.0014731369150779896
player |player |players |Players,2014100404,3086,9,0.002916396629941672
player |player |players |Players,2014100409,9932,36,0.003624647603705195
player |player |players |Players,2014100408,10458,14,0.0013386880856760374
player |player |players |Players,2014100903,4141,0,0.0
player |player |players |Players,2014100613,12260,41,0.0033442088091353997
player |player |players |Players,2014100904,4854,5,0.0010300782859497322
player |player |players |Players,2014100614,10247,23,0.0022445593832341173
player |player |players |Players,2014100905,7777,1,1.2858428700012858E-4
player |player |players |Players,2014100615,8801,46,0.005226678786501534
player |player |players |Players,2014100710,7431,29,0.003902570313551339
player |player |players |Players,2014100906,3505,1,2.853067047075606E-4
player |player |players |Players,2014100616,10833,42,0.003877042370534478
player |player |players |Players,2014100711,13474,39,0.0028944634110138045
player |player |players |Players,2014100617,11523,66,0.005727675084613382
player |player |players |Players,2014100900,3864,8,0.002070393374741201
player |player |players |Players,2014100618,10834,49,0.004522798597009415
player |player |players |Players,2014100901,3052,6,0.001965923984272608
player |player |players |Players,2014100619,10472,48,0.004583651642475172
player |player |players |Players,2014100902,4916,3,6.102522375915378E-4
player |player |players |Players,2014100716,9756,41,0.0042025420254202545
player |player |players |Players,2014100800,3418,8,0.0023405500292568754
player |player |players |Players,2014100717,12018,33,0.0027458811782326512
player |player |players |Players,2014100801,4912,1,2.0358306188925082E-4
player |player |players |Players,2014100718,9824,32,0.003257328990228013
player |player |players |Players,2014100802,4582,1,2.1824530772588389E-4
player |player |players |Players,2014100719,8904,93,0.010444743935309973
player |player |players |Players,2014100803,4750,2,4.210526315789474E-4
player |player |players |Players,2014100712,10146,47,0.004632367435442539
player |player |players |Players,2014100804,8238,0,0.0
player |player |players |Players,2014100610,8565,63,0.007355516637478109
player |player |players |Players,2014100713,7382,45,0.006095908967759415
player |player |players |Players,2014100805,6904,3,4.3453070683661645E-4
player |player |players |Players,2014100611,8676,32,0.0036883356385431073
player |player |players |Players,2014100714,9294,65,0.006993759414676135
player |player |players |Players,2014100806,7696,1,1.2993762993762994E-4
player |player |players |Players,2014100612,7761,49,0.006313619378946012
player |player |players |Players,2014100715,8494,31,0.0036496350364963502
player |player |players |Players,2014100807,6298,3,4.76341695776437E-4
player |player |players |Players,2014100519,13547,20,0.0014763416254521297
player |player |players |Players,2014100809,5933,23,0.0038766222821506827
player |player |players |Players,2014100518,12589,26,0.0020652950988958615
player |player |players |Players,2014100808,7916,9,0.0011369378473976757
player |player |players |Players,2014100410,8297,26,0.0031336627696757864
player |player |players |Players,2014100412,8252,15,0.001817741153659719
player |player |players |Players,2014100515,6526,16,0.002451731535396874
player |player |players |Players,2014100411,8736,21,0.002403846153846154
player |player |players |Players,2014100514,7337,27,0.003679978192721821
player |player |players |Players,2014100414,8029,24,0.00298916427948686
player |player |players |Players,2014100517,16635,7,4.207995190862639E-4
player |player |players |Players,2014100413,7649,25,0.003268401098182769
player |player |players |Players,2014100516,7164,20,0.0027917364600781687
player |player |players |Players,2014100416,8535,24,0.00281195079086116
player |player |players |Players,2014100511,8203,24,0.0029257588687065707
player |player |players |Players,2014100415,9288,24,0.002583979328165375
player |player |players |Players,2014100510,7389,19,0.002571389903911219
player |player |players |Players,2014100418,8794,34,0.003866272458494428
player |player |players |Players,2014100513,8653,36,0.004160406795331099
player |player |players |Players,2014100417,9001,57,0.006332629707810243
player |player |players |Players,2014100512,7658,15,0.0019587359623922697
player |player |players |Players,2014100908,14247,19,0.001333614094195269
