decision |decisions |decision,2014100223,8580,6,6.993006993006993E-4
decision |decisions |decision,2014100222,12009,9,7.494379215588309E-4
decision |decisions |decision,2014100221,14828,15,0.0010115996762881036
decision |decisions |decision,2014100220,15090,26,0.0017229953611663353
decision |decisions |decision,2014093023,7216,7,9.700665188470067E-4
decision |decisions |decision,2014093020,2478,1,4.035512510088781E-4
decision |decisions |decision,2014093022,2524,3,0.0011885895404120444
decision |decisions |decision,2014093021,2547,2,7.852375343541421E-4
decision |decisions |decision,2014100321,9080,7,7.709251101321586E-4
decision |decisions |decision,2014100322,8671,4,4.613078076346442E-4
decision |decisions |decision,2014100320,9381,6,6.395906619763352E-4
decision |decisions |decision,2014100323,6929,1,1.443209698369173E-4
decision |decisions |decision,2014100123,8836,2,2.2634676324128565E-4
decision |decisions |decision,2014100122,10378,4,3.854307188282906E-4
decision |decisions |decision,2014100121,12311,18,0.001462107058727967
decision |decisions |decision,2014100200,11724,5,4.2647560559535994E-4
decision |decisions |decision,2014100201,6861,3,4.3725404459991256E-4
decision |decisions |decision,2014100309,9997,24,0.0024007202160648195
decision |decisions |decision,2014100307,6926,17,0.0024545192030031764
decision |decisions |decision,2014100204,8387,0,0.0
decision |decisions |decision,2014100308,8532,61,0.007149554617909048
decision |decisions |decision,2014100205,14882,0,0.0
decision |decisions |decision,2014100305,3838,0,0.0
decision |decisions |decision,2014100202,5853,3,5.125576627370579E-4
decision |decisions |decision,2014100306,5526,0,0.0
decision |decisions |decision,2014100203,5613,0,0.0
decision |decisions |decision,2014100303,5043,2,3.96589331746976E-4
decision |decisions |decision,2014100208,9640,7,7.261410788381743E-4
decision |decisions |decision,2014100304,4725,1,2.1164021164021165E-4
decision |decisions |decision,2014100209,12321,7,5.681357032708384E-4
decision |decisions |decision,2014100301,4480,0,0.0
decision |decisions |decision,2014100206,9203,4,4.346408779745735E-4
decision |decisions |decision,2014100302,8095,0,0.0
decision |decisions |decision,2014100207,9445,5,5.293806246691371E-4
decision |decisions |decision,2014100300,6707,3,4.472938720739526E-4
decision |decisions |decision,2014100106,45483,1,2.198623661587846E-5
decision |decisions |decision,2014100105,7742,2,2.583311805734952E-4
decision |decisions |decision,2014100104,8731,1,1.1453441759248655E-4
decision |decisions |decision,2014100103,1127,0,0.0
decision |decisions |decision,2014100102,2940,0,0.0
decision |decisions |decision,2014100101,3598,3,8.337965536409116E-4
decision |decisions |decision,2014100100,1816,1,5.506607929515419E-4
decision |decisions |decision,2014100109,10999,7,6.364214928629876E-4
decision |decisions |decision,2014100108,14670,12,8.179959100204499E-4
decision |decisions |decision,2014100107,32104,3,9.344629952653874E-5
decision |decisions |decision,2014100210,10300,36,0.003495145631067961
decision |decisions |decision,2014100211,11008,14,0.0012718023255813954
decision |decisions |decision,2014100212,11567,6,5.187170398547593E-4
decision |decisions |decision,2014100316,10537,9,8.541330549492266E-4
decision |decisions |decision,2014100213,10976,55,0.005010932944606414
decision |decisions |decision,2014100317,9832,21,0.0021358828315703824
decision |decisions |decision,2014100214,12210,20,0.001638001638001638
decision |decisions |decision,2014100318,9075,6,6.611570247933885E-4
decision |decisions |decision,2014100215,11832,22,0.0018593644354293441
decision |decisions |decision,2014100319,8645,5,5.78368999421631E-4
decision |decisions |decision,2014100216,10725,12,0.0011188811188811189
decision |decisions |decision,2014100312,10661,10,9.379983116030392E-4
decision |decisions |decision,2014100217,9835,7,7.117437722419929E-4
decision |decisions |decision,2014100313,9887,13,0.001314857894204511
decision |decisions |decision,2014100218,9907,17,0.0017159584132431613
decision |decisions |decision,2014100314,9820,12,0.0012219959266802445
decision |decisions |decision,2014100219,11100,24,0.002162162162162162
decision |decisions |decision,2014100420,8163,4,4.900159255175794E-4
decision |decisions |decision,2014100315,10271,8,7.788920260928828E-4
decision |decisions |decision,2014100120,12122,36,0.0029698069625474343
decision |decisions |decision,2014100421,8099,7,8.64304235090752E-4
decision |decisions |decision,2014100422,8432,6,7.115749525616698E-4
decision |decisions |decision,2014100423,6306,4,6.343165239454488E-4
decision |decisions |decision,2014100310,10343,32,0.003093879918785652
decision |decisions |decision,2014100311,11400,14,0.0012280701754385965
decision |decisions |decision,2014100115,14152,30,0.0021198417184850197
decision |decisions |decision,2014100114,11535,25,0.002167316861725184
decision |decisions |decision,2014100117,11365,22,0.001935767707875055
decision |decisions |decision,2014100116,10904,38,0.003484959647835657
decision |decisions |decision,2014100111,9571,3,3.1344687075540695E-4
decision |decisions |decision,2014100110,9126,8,8.766162612316459E-4
decision |decisions |decision,2014100823,5727,2,3.4922297887200976E-4
decision |decisions |decision,2014100113,11543,24,0.002079182188339253
decision |decisions |decision,2014100822,900,0,0.0
decision |decisions |decision,2014100112,11651,40,0.003433181701141533
decision |decisions |decision,2014100119,11403,29,0.0025431903884942557
decision |decisions |decision,2014100118,10294,21,0.002040023314552166
decision |decisions |decision,2014100604,4638,1,2.1561017680034498E-4
decision |decisions |decision,2014100605,8675,0,0.0
decision |decisions |decision,2014100700,5207,2,3.840983291722681E-4
decision |decisions |decision,2014100914,3191,3,9.40144155437167E-4
decision |decisions |decision,2014100602,8176,2,2.446183953033268E-4
decision |decisions |decision,2014100915,1000,0,0.0
decision |decisions |decision,2014100603,9384,1,1.0656436487638534E-4
decision |decisions |decision,2014100912,2545,0,0.0
