student |students |student |Students,2014100223,8580,11,0.001282051282051282
student |students |student |Students,2014100222,12009,14,0.001165792322424848
student |students |student |Students,2014100221,14828,23,0.0015511195036417588
student |students |student |Students,2014100220,15090,18,0.0011928429423459245
student |students |student |Students,2014093023,7216,9,0.0012472283813747228
student |students |student |Students,2014093020,2478,4,0.0016142050040355124
student |students |student |Students,2014093022,2524,4,0.001584786053882726
student |students |student |Students,2014093021,2547,5,0.0019630938358853552
student |students |student |Students,2014100321,9080,9,9.911894273127754E-4
student |students |student |Students,2014100322,8671,10,0.0011532695190866105
student |students |student |Students,2014100320,9381,13,0.0013857797676153929
student |students |student |Students,2014100323,6929,3,4.3296290951075193E-4
student |students |student |Students,2014100123,8836,4,4.526935264825713E-4
student |students |student |Students,2014100122,10378,16,0.0015417228753131624
student |students |student |Students,2014100121,12311,6,4.8736901957598897E-4
student |students |student |Students,2014100200,11724,5,4.2647560559535994E-4
student |students |student |Students,2014100201,6861,0,0.0
student |students |student |Students,2014100309,9997,39,0.0039011703511053317
student |students |student |Students,2014100307,6926,14,0.0020213687554143807
student |students |student |Students,2014100204,8387,1,1.192321449862883E-4
student |students |student |Students,2014100308,8532,14,0.0016408813877168307
student |students |student |Students,2014100205,14882,1,6.719526945303051E-5
student |students |student |Students,2014100305,3838,1,2.605523710265763E-4
student |students |student |Students,2014100202,5853,0,0.0
student |students |student |Students,2014100306,5526,5,9.048136083966703E-4
student |students |student |Students,2014100203,5613,0,0.0
student |students |student |Students,2014100303,5043,4,7.93178663493952E-4
student |students |student |Students,2014100208,9640,11,0.001141078838174274
student |students |student |Students,2014100304,4725,0,0.0
student |students |student |Students,2014100209,12321,50,0.0040581121662202745
student |students |student |Students,2014100301,4480,0,0.0
student |students |student |Students,2014100206,9203,5,5.433010974682169E-4
student |students |student |Students,2014100302,8095,2,2.470660901791229E-4
student |students |student |Students,2014100207,9445,15,0.0015881418740074113
student |students |student |Students,2014100300,6707,3,4.472938720739526E-4
student |students |student |Students,2014100106,45483,5,1.099311830793923E-4
student |students |student |Students,2014100105,7742,3,3.8749677086024286E-4
student |students |student |Students,2014100104,8731,0,0.0
student |students |student |Students,2014100103,1127,0,0.0
student |students |student |Students,2014100102,2940,0,0.0
student |students |student |Students,2014100101,3598,2,5.558643690939411E-4
student |students |student |Students,2014100100,1816,1,5.506607929515419E-4
student |students |student |Students,2014100109,10999,19,0.0017274297663423949
student |students |student |Students,2014100108,14670,14,9.543285616905249E-4
