train |train |trains,2014100223,8580,7,8.158508158508159E-4
train |train |trains,2014100222,12009,6,4.996252810392206E-4
train |train |trains,2014100221,14828,15,0.0010115996762881036
train |train |trains,2014100220,15090,16,0.0010603048376408217
train |train |trains,2014093023,7216,6,8.314855875831486E-4
train |train |trains,2014093020,2478,5,0.0020177562550443904
train |train |trains,2014093022,2524,3,0.0011885895404120444
train |train |trains,2014093021,2547,1,3.9261876717707107E-4
train |train |trains,2014100321,9080,14,0.0015418502202643172
train |train |trains,2014100322,8671,10,0.0011532695190866105
train |train |trains,2014100320,9381,14,0.0014923782112781154
train |train |trains,2014100323,6929,6,8.659258190215039E-4
train |train |trains,2014100123,8836,12,0.001358080579447714
train |train |trains,2014100122,10378,13,0.0012526498361919445
train |train |trains,2014100121,12311,29,0.002355616927950613
train |train |trains,2014100200,11724,9,7.676560900716479E-4
train |train |trains,2014100201,6861,6,8.745080891998251E-4
train |train |trains,2014100309,9997,27,0.0027008102430729217
train |train |trains,2014100307,6926,14,0.0020213687554143807
train |train |trains,2014100204,8387,5,5.961607249314415E-4
train |train |trains,2014100308,8532,24,0.0028129395218002813
train |train |trains,2014100205,14882,4,2.6878107781212203E-4
train |train |trains,2014100305,3838,1,2.605523710265763E-4
train |train |trains,2014100202,5853,4,6.834102169827439E-4
train |train |trains,2014100306,5526,4,7.238508867173362E-4
train |train |trains,2014100203,5613,1,1.7815784785319794E-4
train |train |trains,2014100303,5043,1,1.98294665873488E-4
train |train |trains,2014100208,9640,35,0.0036307053941908715
train |train |trains,2014100304,4725,3,6.349206349206349E-4
train |train |trains,2014100209,12321,20,0.0016232448664881098
train |train |trains,2014100301,4480,1,2.232142857142857E-4
train |train |trains,2014100206,9203,9,9.779419754427903E-4
train |train |trains,2014100302,8095,1,1.2353304508956145E-4
train |train |trains,2014100207,9445,16,0.0016940179989412387
train |train |trains,2014100300,6707,5,7.45489786789921E-4
train |train |trains,2014100106,45483,7,1.5390365631114922E-4
train |train |trains,2014100105,7742,1,1.291655902867476E-4
train |train |trains,2014100104,8731,1,1.1453441759248655E-4
train |train |trains,2014100103,1127,0,0.0
train |train |trains,2014100102,2940,1,3.401360544217687E-4
train |train |trains,2014100101,3598,1,2.7793218454697053E-4
train |train |trains,2014100100,1816,3,0.0016519823788546256
train |train |trains,2014100109,10999,17,0.0015455950540958269
train |train |trains,2014100108,14670,32,0.0021813224267212
train |train |trains,2014100107,32104,16,4.9838026414154E-4
train |train |trains,2014100210,10300,21,0.0020388349514563107
train |train |trains,2014100211,11008,14,0.0012718023255813954
train |train |trains,2014100212,11567,10,8.645283997579321E-4
train |train |trains,2014100316,10537,22,0.0020878808009869984
train |train |trains,2014100213,10976,8,7.288629737609329E-4
train |train |trains,2014100317,9832,22,0.0022375915378356386
train |train |trains,2014100214,12210,21,0.0017199017199017199
train |train |trains,2014100318,9075,35,0.003856749311294766
train |train |trains,2014100215,11832,31,0.0026200135226504394
train |train |trains,2014100319,8645,17,0.0019664545980335453
train |train |trains,2014100216,10725,49,0.004568764568764569
train |train |trains,2014100312,10661,11,0.001031798142763343
train |train |trains,2014100217,9835,31,0.00315200813421454
train |train |trains,2014100313,9887,12,0.0012137149792657025
train |train |trains,2014100218,9907,29,0.002927223175532452
train |train |trains,2014100314,9820,14,0.0014256619144602852
train |train |trains,2014100219,11100,9,8.108108108108108E-4
train |train |trains,2014100420,8163,22,0.002695087590346686
train |train |trains,2014100315,10271,16,0.0015577840521857657
train |train |trains,2014100120,12122,28,0.0023098498597591156
train |train |trains,2014100421,8099,8,9.877762686751452E-4
train |train |trains,2014100422,8432,4,4.743833017077799E-4
train |train |trains,2014100423,6306,8,0.0012686330478908975
train |train |trains,2014100310,10343,15,0.0014502562119307744
train |train |trains,2014100311,11400,9,7.894736842105263E-4
train |train |trains,2014100115,14152,9,6.35952515545506E-4
train |train |trains,2014100114,11535,14,0.0012136974425661032
train |train |trains,2014100117,11365,51,0.004487461504619446
train |train |trains,2014100116,10904,34,0.0031181217901687453
train |train |trains,2014100111,9571,9,9.403406122662209E-4
train |train |trains,2014100110,9126,10,0.0010957703265395574
train |train |trains,2014100823,5727,5,8.730574471800245E-4
train |train |trains,2014100113,11543,27,0.00233907996188166
train |train |trains,2014100822,900,0,0.0
train |train |trains,2014100112,11651,19,0.0016307613080422281
train |train |trains,2014100119,11403,38,0.0033324563711304043
train |train |trains,2014100118,10294,27,0.002622887118709928
train |train |trains,2014100604,4638,0,0.0
train |train |trains,2014100605,8675,0,0.0
train |train |trains,2014100700,5207,4,7.681966583445362E-4
train |train |trains,2014100914,3191,4,0.0012535255405828893
train |train |trains,2014100602,8176,0,0.0
train |train |trains,2014100915,1000,1,0.001
train |train |trains,2014100603,9384,0,0.0
train |train |trains,2014100912,2545,5,0.0019646365422396855
train |train |trains,2014100608,13680,24,0.0017543859649122807
train |train |trains,2014100913,6771,19,0.002806084773297888
train |train |trains,2014100609,13287,9,6.773538044705351E-4
train |train |trains,2014100810,6053,8,0.001321658681645465
train |train |trains,2014100606,4334,5,0.0011536686663590216
train |train |trains,2014100607,6194,22,0.003551824346141427
train |train |trains,2014100707,4802,13,0.0027072053311120365
train |train |trains,2014100813,7061,13,0.001841098994476703
train |train |trains,2014100708,5400,23,0.0042592592592592595
train |train |trains,2014100814,6011,11,0.0018299783729828648
train |train |trains,2014100705,2740,2,7.2992700729927E-4
train |train |trains,2014100811,6604,11,0.001665657177468201
train |train |trains,2014100706,3398,4,0.0011771630370806356
train |train |trains,2014100812,5896,10,0.0016960651289009499
train |train |trains,2014100817,6743,14,0.002076227198576301
train |train |trains,2014100600,15771,5,3.170376006594382E-4
train |train |trains,2014100703,5792,1,1.7265193370165745E-4
train |train |trains,2014100818,7400,12,0.0016216216216216215
train |train |trains,2014100601,8669,2,2.3070711731456916E-4
train |train |trains,2014100704,3010,0,0.0
train |train |trains,2014100815,5628,10,0.0017768301350390902
