collingwood |Collingwood,2014100223,8580,6,6.993006993006993E-4
collingwood |Collingwood,2014100222,12009,0,0.0
collingwood |Collingwood,2014100221,14828,5,3.371998920960345E-4
collingwood |Collingwood,2014100220,15090,10,6.626905235255136E-4
collingwood |Collingwood,2014093023,7216,0,0.0
collingwood |Collingwood,2014093020,2478,2,8.071025020177562E-4
collingwood |Collingwood,2014093022,2524,0,0.0
collingwood |Collingwood,2014093021,2547,0,0.0
collingwood |Collingwood,2014100321,9080,11,0.001211453744493392
collingwood |Collingwood,2014100322,8671,8,9.226156152692884E-4
collingwood |Collingwood,2014100320,9381,4,4.263937746508901E-4
collingwood |Collingwood,2014100323,6929,2,2.886419396738346E-4
collingwood |Collingwood,2014100123,8836,4,4.526935264825713E-4
collingwood |Collingwood,2014100122,10378,3,2.8907303912121797E-4
collingwood |Collingwood,2014100121,12311,12,9.747380391519779E-4
collingwood |Collingwood,2014100200,11724,0,0.0
collingwood |Collingwood,2014100201,6861,0,0.0
collingwood |Collingwood,2014100309,9997,3,3.0009002700810244E-4
collingwood |Collingwood,2014100307,6926,0,0.0
collingwood |Collingwood,2014100204,8387,0,0.0
collingwood |Collingwood,2014100308,8532,0,0.0
collingwood |Collingwood,2014100205,14882,0,0.0
collingwood |Collingwood,2014100305,3838,0,0.0
collingwood |Collingwood,2014100202,5853,0,0.0
collingwood |Collingwood,2014100306,5526,0,0.0
collingwood |Collingwood,2014100203,5613,0,0.0
collingwood |Collingwood,2014100303,5043,0,0.0
collingwood |Collingwood,2014100208,9640,1,1.037344398340249E-4
collingwood |Collingwood,2014100304,4725,0,0.0
collingwood |Collingwood,2014100209,12321,1,8.116224332440549E-5
collingwood |Collingwood,2014100301,4480,2,4.464285714285714E-4
collingwood |Collingwood,2014100206,9203,0,0.0
collingwood |Collingwood,2014100302,8095,0,0.0
collingwood |Collingwood,2014100207,9445,0,0.0
collingwood |Collingwood,2014100300,6707,2,2.981959147159684E-4
collingwood |Collingwood,2014100106,45483,0,0.0
collingwood |Collingwood,2014100105,7742,0,0.0
collingwood |Collingwood,2014100104,8731,0,0.0
collingwood |Collingwood,2014100103,1127,0,0.0
collingwood |Collingwood,2014100102,2940,0,0.0
collingwood |Collingwood,2014100101,3598,0,0.0
collingwood |Collingwood,2014100100,1816,0,0.0
collingwood |Collingwood,2014100109,10999,3,2.727520683698518E-4
collingwood |Collingwood,2014100108,14670,1,6.81663258350375E-5
collingwood |Collingwood,2014100107,32104,2,6.22975330176925E-5
collingwood |Collingwood,2014100210,10300,1,9.70873786407767E-5
collingwood |Collingwood,2014100211,11008,1,9.084302325581395E-5
collingwood |Collingwood,2014100212,11567,4,3.458113599031728E-4
collingwood |Collingwood,2014100316,10537,2,1.8980734554427256E-4
collingwood |Collingwood,2014100213,10976,5,4.5553935860058307E-4
collingwood |Collingwood,2014100317,9832,4,4.068348250610252E-4
collingwood |Collingwood,2014100214,12210,0,0.0
collingwood |Collingwood,2014100318,9075,1,1.1019283746556474E-4
collingwood |Collingwood,2014100215,11832,0,0.0
collingwood |Collingwood,2014100319,8645,3,3.470213996529786E-4
collingwood |Collingwood,2014100216,10725,1,9.324009324009324E-5
collingwood |Collingwood,2014100312,10661,0,0.0
collingwood |Collingwood,2014100217,9835,2,2.0335536349771224E-4
collingwood |Collingwood,2014100313,9887,1,1.0114291493880854E-4
collingwood |Collingwood,2014100218,9907,1,1.009387301907742E-4
collingwood |Collingwood,2014100314,9820,4,4.073319755600815E-4
collingwood |Collingwood,2014100219,11100,0,0.0
collingwood |Collingwood,2014100420,8163,36,0.004410143329658214
collingwood |Collingwood,2014100315,10271,5,4.868075163080518E-4
collingwood |Collingwood,2014100120,12122,6,4.94967827091239E-4
collingwood |Collingwood,2014100421,8099,7,8.64304235090752E-4
collingwood |Collingwood,2014100422,8432,4,4.743833017077799E-4
collingwood |Collingwood,2014100423,6306,2,3.171582619727244E-4
collingwood |Collingwood,2014100310,10343,0,0.0
collingwood |Collingwood,2014100311,11400,3,2.631578947368421E-4
collingwood |Collingwood,2014100115,14152,0,0.0
collingwood |Collingwood,2014100114,11535,3,2.600780234070221E-4
collingwood |Collingwood,2014100117,11365,2,1.759788825340959E-4
collingwood |Collingwood,2014100116,10904,0,0.0
collingwood |Collingwood,2014100111,9571,5,5.224114512590116E-4
collingwood |Collingwood,2014100110,9126,0,0.0
collingwood |Collingwood,2014100823,5727,4,6.984459577440195E-4
collingwood |Collingwood,2014100113,11543,1,8.663259118080222E-5
collingwood |Collingwood,2014100822,900,0,0.0
collingwood |Collingwood,2014100112,11651,1,8.582954252853832E-5
collingwood |Collingwood,2014100119,11403,7,6.138735420503376E-4
collingwood |Collingwood,2014100118,10294,0,0.0
collingwood |Collingwood,2014100604,4638,1,2.1561017680034498E-4
collingwood |Collingwood,2014100605,8675,0,0.0
collingwood |Collingwood,2014100700,5207,0,0.0
collingwood |Collingwood,2014100914,3191,3,9.40144155437167E-4
collingwood |Collingwood,2014100602,8176,1,1.223091976516634E-4
collingwood |Collingwood,2014100915,1000,1,0.001
collingwood |Collingwood,2014100603,9384,0,0.0
collingwood |Collingwood,2014100912,2545,0,0.0
collingwood |Collingwood,2014100608,13680,4,2.9239766081871346E-4
collingwood |Collingwood,2014100913,6771,4,5.907546891153448E-4
collingwood |Collingwood,2014100609,13287,2,1.5052306766011892E-4
collingwood |Collingwood,2014100810,6053,3,4.956220056170494E-4
collingwood |Collingwood,2014100606,4334,0,0.0
collingwood |Collingwood,2014100607,6194,1,1.6144656118824668E-4
collingwood |Collingwood,2014100707,4802,0,0.0
collingwood |Collingwood,2014100813,7061,3,4.24868998725393E-4
collingwood |Collingwood,2014100708,5400,2,3.7037037037037035E-4
collingwood |Collingwood,2014100814,6011,2,3.3272334054233906E-4
collingwood |Collingwood,2014100705,2740,0,0.0
collingwood |Collingwood,2014100811,6604,3,4.542701393095094E-4
collingwood |Collingwood,2014100706,3398,1,2.942907592701589E-4
collingwood |Collingwood,2014100812,5896,9,0.0015264586160108548
collingwood |Collingwood,2014100817,6743,4,5.932077710218003E-4
collingwood |Collingwood,2014100600,15771,0,0.0
collingwood |Collingwood,2014100703,5792,1,1.7265193370165745E-4
collingwood |Collingwood,2014100818,7400,5,6.756756756756757E-4
collingwood |Collingwood,2014100601,8669,0,0.0
collingwood |Collingwood,2014100704,3010,1,3.322259136212625E-4
collingwood |Collingwood,2014100815,5628,5,8.884150675195451E-4
collingwood |Collingwood,2014100701,13455,0,0.0
collingwood |Collingwood,2014100816,7857,3,3.8182512409316535E-4
collingwood |Collingwood,2014100702,8524,0,0.0
collingwood |Collingwood,2014100509,9287,0,0.0
collingwood |Collingwood,2014100508,6498,1,1.538935056940597E-4
collingwood |Collingwood,2014100819,4300,1,2.3255813953488373E-4
collingwood |Collingwood,2014100507,16911,2,1.182662172550411E-4
collingwood |Collingwood,2014100403,6749,0,0.0
collingwood |Collingwood,2014100506,11836,0,0.0
collingwood |Collingwood,2014100402,6613,0,0.0
collingwood |Collingwood,2014100505,6487,0,0.0
collingwood |Collingwood,2014100401,4570,1,2.188183807439825E-4
collingwood |Collingwood,2014100504,3861,2,5.18000518000518E-4
collingwood |Collingwood,2014100400,5285,0,0.0
collingwood |Collingwood,2014100503,4540,1,2.2026431718061675E-4
collingwood |Collingwood,2014100709,5572,3,5.384063173007897E-4
collingwood |Collingwood,2014100407,7111,2,2.812543945999156E-4
collingwood |Collingwood,2014100406,10763,1,9.2910898448388E-5
collingwood |Collingwood,2014100501,6148,1,1.6265452179570593E-4
collingwood |Collingwood,2014100405,10366,0,0.0
collingwood |Collingwood,2014100500,11540,1,8.665511265164645E-5
collingwood |Collingwood,2014100404,3086,0,0.0
