police |police |Police,2014100223,8580,92,0.010722610722610723
police |police |Police,2014100222,12009,16,0.0013323340827712548
police |police |Police,2014100221,14828,57,0.0038440787698947937
police |police |Police,2014100220,15090,11,7.289595758780649E-4
police |police |Police,2014093023,7216,1,1.385809312638581E-4
police |police |Police,2014093020,2478,5,0.0020177562550443904
police |police |Police,2014093022,2524,0,0.0
police |police |Police,2014093021,2547,2,7.852375343541421E-4
police |police |Police,2014100321,9080,28,0.0030837004405286344
police |police |Police,2014100322,8671,31,0.0035751355091684926
police |police |Police,2014100320,9381,20,0.0021319688732544507
police |police |Police,2014100323,6929,15,0.0021648145475537594
police |police |Police,2014100123,8836,11,0.001244907197827071
police |police |Police,2014100122,10378,7,6.745037579495086E-4
police |police |Police,2014100121,12311,11,8.935098692226465E-4
police |police |Police,2014100200,11724,13,0.001108836574547936
police |police |Police,2014100201,6861,7,0.001020259437399796
police |police |Police,2014100309,9997,41,0.004101230369110733
police |police |Police,2014100307,6926,40,0.005775339301183945
police |police |Police,2014100204,8387,2,2.384642899725766E-4
police |police |Police,2014100308,8532,36,0.004219409282700422
police |police |Police,2014100205,14882,1,6.719526945303051E-5
police |police |Police,2014100305,3838,12,0.003126628452318916
police |police |Police,2014100202,5853,10,0.0017085255424568598
police |police |Police,2014100306,5526,10,0.0018096272167933405
police |police |Police,2014100203,5613,2,3.563156957063959E-4
police |police |Police,2014100303,5043,3,5.94883997620464E-4
police |police |Police,2014100208,9640,12,0.0012448132780082987
police |police |Police,2014100304,4725,1,2.1164021164021165E-4
police |police |Police,2014100209,12321,13,0.0010551091632172713
police |police |Police,2014100301,4480,7,0.0015625
police |police |Police,2014100206,9203,12,0.0013039226339237205
police |police |Police,2014100302,8095,3,3.705991352686844E-4
police |police |Police,2014100207,9445,21,0.0022233986236103757
police |police |Police,2014100300,6707,17,0.0025346652750857313
police |police |Police,2014100106,45483,8,1.7588989292702768E-4
police |police |Police,2014100105,7742,2,2.583311805734952E-4
police |police |Police,2014100104,8731,1,1.1453441759248655E-4
police |police |Police,2014100103,1127,0,0.0
police |police |Police,2014100102,2940,0,0.0
police |police |Police,2014100101,3598,2,5.558643690939411E-4
police |police |Police,2014100100,1816,1,5.506607929515419E-4
police |police |Police,2014100109,10999,10,9.091735612328394E-4
police |police |Police,2014100108,14670,7,4.7716428084526244E-4
police |police |Police,2014100107,32104,7,2.1804136556192376E-4
police |police |Police,2014100210,10300,16,0.0015533980582524273
police |police |Police,2014100211,11008,25,0.002271075581395349
police |police |Police,2014100212,11567,24,0.002074868159419037
police |police |Police,2014100316,10537,18,0.0017082661098984531
police |police |Police,2014100213,10976,12,0.0010932944606413995
police |police |Police,2014100317,9832,21,0.0021358828315703824
police |police |Police,2014100214,12210,11,9.009009009009009E-4
police |police |Police,2014100318,9075,30,0.003305785123966942
police |police |Police,2014100215,11832,7,5.916159567275186E-4
police |police |Police,2014100319,8645,6,6.940427993059572E-4
police |police |Police,2014100216,10725,8,7.459207459207459E-4
police |police |Police,2014100312,10661,58,0.005440390207297627
police |police |Police,2014100217,9835,3,3.050330452465684E-4
police |police |Police,2014100313,9887,13,0.001314857894204511
police |police |Police,2014100218,9907,7,7.065711113354194E-4
police |police |Police,2014100314,9820,23,0.0023421588594704683
police |police |Police,2014100219,11100,4,3.6036036036036037E-4
police |police |Police,2014100420,8163,12,0.001470047776552738
police |police |Police,2014100315,10271,10,9.736150326161036E-4
police |police |Police,2014100120,12122,10,8.249463784853984E-4
police |police |Police,2014100421,8099,3,3.704161007531794E-4
police |police |Police,2014100422,8432,5,5.929791271347248E-4
police |police |Police,2014100423,6306,3,4.757373929590866E-4
police |police |Police,2014100310,10343,35,0.003383931161171807
police |police |Police,2014100311,11400,30,0.002631578947368421
police |police |Police,2014100115,14152,15,0.0010599208592425098
police |police |Police,2014100114,11535,13,0.0011270047680970957
police |police |Police,2014100117,11365,8,7.039155301363836E-4
police |police |Police,2014100116,10904,11,0.0010088041085840058
police |police |Police,2014100111,9571,16,0.0016717166440288372
police |police |Police,2014100110,9126,11,0.001205347359193513
police |police |Police,2014100823,5727,3,5.238344683080147E-4
police |police |Police,2014100113,11543,21,0.0018192844147968466
police |police |Police,2014100822,900,0,0.0
police |police |Police,2014100112,11651,25,0.002145738563213458
police |police |Police,2014100119,11403,22,0.0019293168464439184
police |police |Police,2014100118,10294,5,4.857198367981348E-4
police |police |Police,2014100604,4638,0,0.0
police |police |Police,2014100605,8675,5,5.763688760806917E-4
police |police |Police,2014100700,5207,2,3.840983291722681E-4
police |police |Police,2014100914,3191,5,0.0015669069257286117
police |police |Police,2014100602,8176,4,4.892367906066536E-4
police |police |Police,2014100915,1000,2,0.002
police |police |Police,2014100603,9384,1,1.0656436487638534E-4
police |police |Police,2014100912,2545,8,0.003143418467583497
police |police |Police,2014100608,13680,3,2.192982456140351E-4
police |police |Police,2014100913,6771,20,0.002953773445576724
police |police |Police,2014100609,13287,10,7.526153383005946E-4
police |police |Police,2014100810,6053,11,0.0018172806872625144
police |police |Police,2014100606,4334,2,4.6146746654360867E-4
police |police |Police,2014100607,6194,4,6.457862447529867E-4
police |police |Police,2014100707,4802,6,0.0012494793835901709
police |police |Police,2014100813,7061,9,0.001274606996176179
police |police |Police,2014100708,5400,4,7.407407407407407E-4
police |police |Police,2014100814,6011,1,1.6636167027116953E-4
police |police |Police,2014100705,2740,1,3.64963503649635E-4
police |police |Police,2014100811,6604,8,0.0012113870381586917
police |police |Police,2014100706,3398,2,5.885815185403178E-4
police |police |Police,2014100812,5896,8,0.0013568521031207597
police |police |Police,2014100817,6743,12,0.0017796233130654012
police |police |Police,2014100600,15771,4,2.536300805275506E-4
police |police |Police,2014100703,5792,0,0.0
police |police |Police,2014100818,7400,7,9.459459459459459E-4
police |police |Police,2014100601,8669,1,1.1535355865728458E-4
police |police |Police,2014100704,3010,0,0.0
police |police |Police,2014100815,5628,8,0.0014214641080312722
police |police |Police,2014100701,13455,1,7.432181345224824E-5
police |police |Police,2014100816,7857,13,0.0016545755377370497
police |police |Police,2014100702,8524,1,1.1731581417175035E-4
police |police |Police,2014100509,9287,6,6.460643910843114E-4
police |police |Police,2014100508,6498,1,1.538935056940597E-4
police |police |Police,2014100819,4300,15,0.0034883720930232558
police |police |Police,2014100507,16911,3,1.7739932588256165E-4
police |police |Police,2014100403,6749,2,2.96340198547933E-4
police |police |Police,2014100506,11836,1,8.448800270361608E-5
police |police |Police,2014100402,6613,6,9.073037955542114E-4
police |police |Police,2014100505,6487,5,7.707723138584862E-4
police |police |Police,2014100401,4570,3,6.564551422319475E-4
police |police |Police,2014100504,3861,6,0.001554001554001554
police |police |Police,2014100400,5285,1,1.892147587511826E-4
police |police |Police,2014100503,4540,5,0.0011013215859030838
police |police |Police,2014100709,5572,9,0.001615218951902369
police |police |Police,2014100407,7111,6,8.437631837997469E-4
police |police |Police,2014100406,10763,3,2.78732695345164E-4
police |police |Police,2014100501,6148,0,0.0
police |police |Police,2014100405,10366,2,1.9293845263360988E-4
police |police |Police,2014100500,11540,7,6.065857885615251E-4
police |police |Police,2014100404,3086,0,0.0
police |police |Police,2014100409,9932,23,0.002315747080144986
police |police |Police,2014100408,10458,43,0.004111684834576401
police |police |Police,2014100903,4141,1,2.414875633904854E-4
police |police |Police,2014100613,12260,2,1.631321370309951E-4
police |police |Police,2014100904,4854,2,4.1203131437989287E-4
police |police |Police,2014100614,10247,20,0.0019517907680296671
police |police |Police,2014100905,7777,2,2.5716857400025716E-4
police |police |Police,2014100615,8801,27,0.0030678332007726397
police |police |Police,2014100710,7431,15,0.0020185708518368995
police |police |Police,2014100906,3505,3,8.559201141226819E-4
police |police |Police,2014100616,10833,4,3.6924213052709313E-4
police |police |Police,2014100711,13474,8,5.937360843105239E-4
police |police |Police,2014100617,11523,10,8.678295582747548E-4
police |police |Police,2014100900,3864,1,2.587991718426501E-4
police |police |Police,2014100618,10834,17,0.0015691342071257153
police |police |Police,2014100901,3052,4,0.001310615989515072
police |police |Police,2014100619,10472,17,0.0016233766233766235
police |police |Police,2014100902,4916,1,2.034174125305126E-4
police |police |Police,2014100716,9756,17,0.0017425174251742518
police |police |Police,2014100800,3418,4,0.0011702750146284377
police |police |Police,2014100717,12018,23,0.0019137959727076053
police |police |Police,2014100801,4912,0,0.0
police |police |Police,2014100718,9824,14,0.0014250814332247557
police |police |Police,2014100802,4582,4,8.729812309035355E-4
police |police |Police,2014100719,8904,14,0.0015723270440251573
police |police |Police,2014100803,4750,3,6.315789473684211E-4
police |police |Police,2014100712,10146,19,0.0018726591760299626
police |police |Police,2014100804,8238,1,1.2138868657441127E-4
police |police |Police,2014100610,8565,9,0.0010507880910683013
police |police |Police,2014100713,7382,5,6.77323218639935E-4
police |police |Police,2014100805,6904,0,0.0
police |police |Police,2014100611,8676,8,9.220839096357768E-4
police |police |Police,2014100714,9294,36,0.003873466752743706
police |police |Police,2014100806,7696,7,9.095634095634096E-4
police |police |Police,2014100612,7761,8,0.001030795000644247
police |police |Police,2014100715,8494,23,0.002707793736755357
police |police |Police,2014100807,6298,9,0.0014290250873293109
police |police |Police,2014100519,13547,7,5.167195689082454E-4
police |police |Police,2014100809,5933,17,0.0028653295128939827
police |police |Police,2014100518,12589,7,5.560409881642704E-4
police |police |Police,2014100808,7916,16,0.00202122283981809
police |police |Police,2014100410,8297,27,0.003254188260817163
police |police |Police,2014100412,8252,5,6.059137178865729E-4
police |police |Police,2014100515,6526,8,0.001225865767698437
police |police |Police,2014100411,8736,4,4.578754578754579E-4
police |police |Police,2014100514,7337,5,6.814774430966335E-4
police |police |Police,2014100414,8029,15,0.0018682276746792876
police |police |Police,2014100517,16635,2,1.2022843402464683E-4
police |police |Police,2014100413,7649,2,2.6147208785462153E-4
police |police |Police,2014100516,7164,8,0.0011166945840312675
police |police |Police,2014100416,8535,13,0.0015231400117164617
police |police |Police,2014100511,8203,13,0.001584786053882726
police |police |Police,2014100415,9288,5,5.383290267011198E-4
police |police |Police,2014100510,7389,4,5.413452429286778E-4
police |police |Police,2014100418,8794,25,0.002842847395951785
police |police |Police,2014100513,8653,10,0.0011556685542586387
police |police |Police,2014100417,9001,14,0.0015553827352516388
police |police |Police,2014100512,7658,13,0.0016975711674066336
police |police |Police,2014100908,14247,19,0.001333614094195269
police |police |Police,2014100907,7751,17,0.0021932653851115987
police |police |Police,2014100419,8630,11,0.0012746234067207416
police |police |Police,2014100909,1000,7,0.007
police |police |Police,2014100721,11447,9,7.862322005765703E-4
police |police |Police,2014100722,8294,1,1.2056908608632747E-4
police |police |Police,2014100720,10198,12,0.001176701313983134
police |police |Police,2014100723,5300,3,5.660377358490566E-4
police |police |Police,2014100520,14801,14,9.458820349976353E-4
police |police |Police,2014100523,12605,7,5.553351844506148E-4
police |police |Police,2014100522,10915,1,9.161704076958314E-5
police |police |Police,2014100521,14363,7,4.8736336419967973E-4
police |police |Police,2014100623,8800,3,3.4090909090909094E-4
police |police |Police,2014100622,9000,5,5.555555555555556E-4
police |police |Police,2014100621,9007,12,0.0013322971022538025
police |police |Police,2014100620,8998,15,0.0016670371193598578
police |police |Police,2014093011,9741,118,0.012113746021968998
police |police |Police,2014093012,11191,59,0.005272093646680368
police |police |Police,2014093013,5267,19,0.003607366622365673
police |police |Police,2014093017,3899,11,0.0028212362144139523
police |police |Police,2014093018,99,0,0.0
police |police |Police,2014093019,8564,12,0.0014012143858010276
