sydney |Sydney,2014100223,8580,10,0.0011655011655011655
sydney |Sydney,2014100222,12009,7,5.82896161212424E-4
sydney |Sydney,2014100221,14828,18,0.0012139196115457244
sydney |Sydney,2014100220,15090,13,8.614976805831676E-4
sydney |Sydney,2014093023,7216,10,0.001385809312638581
sydney |Sydney,2014093020,2478,1,4.035512510088781E-4
sydney |Sydney,2014093022,2524,1,3.961965134706815E-4
sydney |Sydney,2014093021,2547,4,0.0015704750687082843
sydney |Sydney,2014100321,9080,18,0.001982378854625551
sydney |Sydney,2014100322,8671,17,0.0019605581824472377
sydney |Sydney,2014100320,9381,13,0.0013857797676153929
sydney |Sydney,2014100323,6929,9,0.0012988887285322558
sydney |Sydney,2014100123,8836,7,7.922136713444998E-4
sydney |Sydney,2014100122,10378,19,0.0018307959144343805
sydney |Sydney,2014100121,12311,43,0.0034928113069612543
sydney |Sydney,2014100200,11724,5,4.2647560559535994E-4
sydney |Sydney,2014100201,6861,1,1.4575134819997084E-4
sydney |Sydney,2014100309,9997,38,0.0038011403421026307
sydney |Sydney,2014100307,6926,29,0.00418712099335836
sydney |Sydney,2014100204,8387,0,0.0
sydney |Sydney,2014100308,8532,27,0.0031645569620253164
sydney |Sydney,2014100205,14882,1,6.719526945303051E-5
sydney |Sydney,2014100305,3838,2,5.211047420531526E-4
sydney |Sydney,2014100202,5853,0,0.0
sydney |Sydney,2014100306,5526,10,0.0018096272167933405
sydney |Sydney,2014100203,5613,0,0.0
sydney |Sydney,2014100303,5043,1,1.98294665873488E-4
sydney |Sydney,2014100208,9640,7,7.261410788381743E-4
sydney |Sydney,2014100304,4725,3,6.349206349206349E-4
sydney |Sydney,2014100209,12321,13,0.0010551091632172713
sydney |Sydney,2014100301,4480,3,6.696428571428571E-4
sydney |Sydney,2014100206,9203,3,3.259806584809301E-4
sydney |Sydney,2014100302,8095,2,2.470660901791229E-4
sydney |Sydney,2014100207,9445,5,5.293806246691371E-4
sydney |Sydney,2014100300,6707,3,4.472938720739526E-4
sydney |Sydney,2014100106,45483,5,1.099311830793923E-4
sydney |Sydney,2014100105,7742,0,0.0
sydney |Sydney,2014100104,8731,0,0.0
sydney |Sydney,2014100103,1127,0,0.0
sydney |Sydney,2014100102,2940,1,3.401360544217687E-4
sydney |Sydney,2014100101,3598,1,2.7793218454697053E-4
sydney |Sydney,2014100100,1816,0,0.0
sydney |Sydney,2014100109,10999,11,0.0010000909173561233
sydney |Sydney,2014100108,14670,16,0.0010906612133606
sydney |Sydney,2014100107,32104,9,2.8033889857961624E-4
sydney |Sydney,2014100210,10300,18,0.0017475728155339806
sydney |Sydney,2014100211,11008,43,0.00390625
sydney |Sydney,2014100212,11567,27,0.0023342266793464164
sydney |Sydney,2014100316,10537,19,0.0018031697826705894
sydney |Sydney,2014100213,10976,34,0.003097667638483965
sydney |Sydney,2014100317,9832,22,0.0022375915378356386
sydney |Sydney,2014100214,12210,18,0.0014742014742014742
sydney |Sydney,2014100318,9075,22,0.0024242424242424242
sydney |Sydney,2014100215,11832,32,0.002704530087897228
sydney |Sydney,2014100319,8645,24,0.002776171197223829
sydney |Sydney,2014100216,10725,22,0.0020512820512820513
sydney |Sydney,2014100312,10661,25,0.002344995779007598
sydney |Sydney,2014100217,9835,19,0.0019318759532282665
sydney |Sydney,2014100313,9887,20,0.0020228582987761707
sydney |Sydney,2014100218,9907,19,0.0019178358736247098
sydney |Sydney,2014100314,9820,23,0.0023421588594704683
sydney |Sydney,2014100219,11100,20,0.0018018018018018018
sydney |Sydney,2014100420,8163,12,0.001470047776552738
sydney |Sydney,2014100315,10271,20,0.001947230065232207
sydney |Sydney,2014100120,12122,22,0.0018148820326678765
sydney |Sydney,2014100421,8099,14,0.001728608470181504
sydney |Sydney,2014100422,8432,7,8.301707779886148E-4
sydney |Sydney,2014100423,6306,10,0.001585791309863622
sydney |Sydney,2014100310,10343,28,0.0027071449289374455
sydney |Sydney,2014100311,11400,18,0.0015789473684210526
sydney |Sydney,2014100115,14152,13,9.185980780101752E-4
sydney |Sydney,2014100114,11535,15,0.0013003901170351106
sydney |Sydney,2014100117,11365,20,0.0017597888253409592
sydney |Sydney,2014100116,10904,14,0.0012839325018341892
sydney |Sydney,2014100111,9571,16,0.0016717166440288372
sydney |Sydney,2014100110,9126,7,7.670392285776902E-4
sydney |Sydney,2014100823,5727,4,6.984459577440195E-4
sydney |Sydney,2014100113,11543,12,0.0010395910941696266
sydney |Sydney,2014100822,900,2,0.0022222222222222222
sydney |Sydney,2014100112,11651,23,0.0019740794781563814
sydney |Sydney,2014100119,11403,18,0.0015785319652722968
sydney |Sydney,2014100118,10294,14,0.0013600155430347775
sydney |Sydney,2014100604,4638,1,2.1561017680034498E-4
sydney |Sydney,2014100605,8675,2,2.3054755043227666E-4
sydney |Sydney,2014100700,5207,2,3.840983291722681E-4
sydney |Sydney,2014100914,3191,8,0.0025070510811657787
sydney |Sydney,2014100602,8176,1,1.223091976516634E-4
sydney |Sydney,2014100915,1000,2,0.002
sydney |Sydney,2014100603,9384,4,4.2625745950554135E-4
sydney |Sydney,2014100912,2545,3,0.0011787819253438114
sydney |Sydney,2014100608,13680,20,0.0014619883040935672
sydney |Sydney,2014100913,6771,5,7.38443361394181E-4
sydney |Sydney,2014100609,13287,10,7.526153383005946E-4
sydney |Sydney,2014100810,6053,17,0.002808524698496613
sydney |Sydney,2014100606,4334,10,0.0023073373327180432
sydney |Sydney,2014100607,6194,9,0.0014530190506942201
sydney |Sydney,2014100707,4802,3,6.247396917950854E-4
sydney |Sydney,2014100813,7061,4,5.66491998300524E-4
sydney |Sydney,2014100708,5400,11,0.002037037037037037
sydney |Sydney,2014100814,6011,7,0.0011645316918981866
sydney |Sydney,2014100705,2740,2,7.2992700729927E-4
sydney |Sydney,2014100811,6604,11,0.001665657177468201
sydney |Sydney,2014100706,3398,2,5.885815185403178E-4
sydney |Sydney,2014100812,5896,15,0.002544097693351425
sydney |Sydney,2014100817,6743,10,0.001483019427554501
sydney |Sydney,2014100600,15771,12,7.608902415826517E-4
sydney |Sydney,2014100703,5792,0,0.0
sydney |Sydney,2014100818,7400,10,0.0013513513513513514
sydney |Sydney,2014100601,8669,5,5.767677932864229E-4
sydney |Sydney,2014100704,3010,0,0.0
sydney |Sydney,2014100815,5628,7,0.0012437810945273632
sydney |Sydney,2014100701,13455,0,0.0
sydney |Sydney,2014100816,7857,12,0.0015273004963726614
sydney |Sydney,2014100702,8524,2,2.346316283435007E-4
sydney |Sydney,2014100509,9287,6,6.460643910843114E-4
sydney |Sydney,2014100508,6498,4,6.155740227762388E-4
sydney |Sydney,2014100819,4300,18,0.004186046511627907
sydney |Sydney,2014100507,16911,2,1.182662172550411E-4
sydney |Sydney,2014100403,6749,1,1.481700992739665E-4
sydney |Sydney,2014100506,11836,3,2.5346400811084827E-4
sydney |Sydney,2014100402,6613,0,0.0
sydney |Sydney,2014100505,6487,5,7.707723138584862E-4
sydney |Sydney,2014100401,4570,4,8.7527352297593E-4
sydney |Sydney,2014100504,3861,1,2.59000259000259E-4
sydney |Sydney,2014100400,5285,11,0.0020813623462630085
sydney |Sydney,2014100503,4540,2,4.405286343612335E-4
sydney |Sydney,2014100709,5572,6,0.0010768126346015793
sydney |Sydney,2014100407,7111,6,8.437631837997469E-4
sydney |Sydney,2014100406,10763,1,9.2910898448388E-5
sydney |Sydney,2014100501,6148,0,0.0
sydney |Sydney,2014100405,10366,1,9.646922631680494E-5
sydney |Sydney,2014100500,11540,7,6.065857885615251E-4
sydney |Sydney,2014100404,3086,1,3.240440699935191E-4
sydney |Sydney,2014100409,9932,15,0.0015102698348771646
sydney |Sydney,2014100408,10458,14,0.0013386880856760374
sydney |Sydney,2014100903,4141,2,4.829751267809708E-4
sydney |Sydney,2014100613,12260,17,0.0013866231647634583
sydney |Sydney,2014100904,4854,0,0.0
sydney |Sydney,2014100614,10247,14,0.0013662535376207671
sydney |Sydney,2014100905,7777,1,1.2858428700012858E-4
sydney |Sydney,2014100615,8801,13,0.0014771048744460858
sydney |Sydney,2014100710,7431,5,6.728569506122998E-4
sydney |Sydney,2014100906,3505,5,0.0014265335235378032
sydney |Sydney,2014100616,10833,14,0.001292347456844826
sydney |Sydney,2014100711,13474,10,7.421701053881549E-4
sydney |Sydney,2014100617,11523,29,0.002516705718996789
sydney |Sydney,2014100900,3864,1,2.587991718426501E-4
sydney |Sydney,2014100618,10834,16,0.0014768321949418497
sydney |Sydney,2014100901,3052,3,9.82961992136304E-4
sydney |Sydney,2014100619,10472,16,0.0015278838808250573
sydney |Sydney,2014100902,4916,1,2.034174125305126E-4
sydney |Sydney,2014100716,9756,23,0.0023575235752357525
sydney |Sydney,2014100800,3418,5,0.001462843768285547
sydney |Sydney,2014100717,12018,24,0.00199700449326011
